lemma	suffix	tokens	mw_etym	dhatu_strip	auto_confirmed	chapter_ref	text	sentence	adjudicated_genuine_krt	note
gagana	ana	577	0	0	0	AbhCint, 2	Abhidhānacintāmaṇi	grahābjinīgodyupatirvikartano hariḥ śucīnau gaganāhajādhvagau		
pratipādana	ana	51	0	0	0	AKośa, 2	Amarakośa	viśrāṇanaṃ vitaraṇaṃ sparśanaṃ pratipādanam		
maudgalyāyana	ana	18	0	0	0	Divyāv, 2	Divyāvadāna	tatkasya hetoḥ pañca me maudgalyāyana ātyayikapiṇḍapātāḥ		
gorocana	ana	6	0	0	0	MPur, 62	Matsyapurāṇa	gorocanaṃ sagomūtramuṣṇaṃ gośakṛtaṃ tathā		
vajraudana	ana	6	0	0	0	RRĀ, V.kh., 3	Rasaratnākara	bhavedvajraudanaṃ sākṣānmāryaṃ paścācca yojayet		
samañjana	ana	5	0	0	0	AVP, 1, 98	Atharvaveda (Paippalāda)	madhumat nau samañjanam		
bhūtānadyatana	ana	4	0	0	0	ĀVDīp zu Ca, Sū., 1, 2	Āyurvedadīpikā	atra smāha iti smaśabdaprayogena bhūtamātra eva liḍarthe laṭ sme iti laṭ na bhūtānadyatanaparokṣe ātreyopadeśasyāgniveśaṃ pratyaparokṣatvāt		
apatana	ana	3	0	0	0	AHS, Śār., 1	Aṣṭāṅgahṛdayasaṃhitā	suvarcalāṃ viśalyāṃ vā jarāyvapatane 'pi ca		
āvirbhāvana	ana	3	0	0	0	HBhVil, 1	Haribhaktivilāsa	mūrtyāvirbhāvanaṃ mūrtipratiṣṭhā kṛṣṇamandiram		
mṛgendrāsana	ana	3	0	0	0	AbhCint, 1	Abhidhānacintāmaṇi	khe dharmacakraṃ camarāḥ sapādapīṭhaṃ mṛgendrāsanamujjvalaṃ ca		
jugupsana	ana	3	0	0	0	AbhCint, 2	Abhidhānacintāmaṇi	garhaṇā dhikkriyā nindā kutsākṣepo jugupsanam		
hāsana	ana	2	0	0	0	KSS, 3, 6	Kathāsaritsāgara	nūnaṃ virūpair adhikaṃ hāsanaiḥ krīḍati smaraḥ		
uddyotana	ana	2	0	0	0	LAS, 2	Laṅkāvatārasūtra	vyañjanahetuḥ punarmahāmate utpannasya vikalpasya bhāvasya lakṣaṇoddyotanakṛtyaṃ karoti pradīpavadrūpādīnām		
avitrāsana	ana	1	0	0	0	Ca, Śār., 8	Carakasaṃhitā	krīḍanakāni khalu kumārasya vicitrāṇi ghoṣavantyabhirāmāṇi cāgurūṇi cātīkṣṇāgrāṇi cānāsyapraveśīni cāprāṇaharāṇi cāvitrāsanāni syuḥ		
