k1	accented	gloss
BAgApahArajAti	BAgApahArajAti	assimilation of fractional decrease, reduction to uniformity of a decrease by a fraction, or the subtraction of a part
ISvare	ISvare	
KamBAyatabindara	KamBAyatabindara	
babakARa	babakARa	
bfhatsUryasidDAnt	bfhatsUryasidDAnt	der ausführliche
cuwikA	cuwikA	ein Behälter zum Waschen der Füsse
hUNgarAI	hUNgarAI	
isPIva	isPIva	
isaPahARa	isaPahARa	Isfahan
mugasTAna	mugasTAna	
namiTuna	namiTuna	die Zwillinge im Thierkreise
oqISadeSa	oqISadeSa	
pArAsapuli	pArAsapuli	Persepolis
upayicArika	upayicArika	Wächter eines
uterijA	uterijA	
viviwwyE	viviwwyE	
