whitney_no,root,homonym,gloss,ryad_derived,ryad_conf,z_series,z_set,set_derived,z_url,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis
255,jas,,be exhausted,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=50,A₁,§66-rule,closed,defective,§67-A1-default
288,tak,,rush,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=51,A₁,§66-rule,closed,defective,§67-A1-default
289,takṣ,,fashion,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=52,A₁,§66-rule,closed,defective,§67-A1-default
196,grabh,,seize,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=820,A₁,§66-rule,closed,defective,§67-A1-default
292,taḍ,,beat,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=53,A₁,§66-rule,closed,defective,§67-A1-default
349,dā,1,give,A₂,medium,A1,aniṭ,,https://samskrtam.ru/z/verb.php?id=821,A₂,§66-rule,open,full,§67-A2-list
296,tap,,heat,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=54,A₁,§66-rule,closed,defective,§67-A1-default
705,vadh,,slay,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=822,A₁,§66-rule,closed,defective,§67-A1-named-exclusion
324,tyaj,,forsake,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=55,A₁,§66-rule,closed,defective,§67-A1-default
738,vīj,,fan,I₂,high,A1,,,https://samskrtam.ru/z/verb.php?id=823,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
325,trap,,be abashed,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=56,A₁,§66-rule,closed,defective,§67-A1-default
839,sādh,,succeed,A₂,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=824,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
326,tras,,be terrified,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=57,A₁,§66-rule,closed,defective,§67-A1-default
901,svad,,sweeten,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=825,A₁,§66-rule,closed,defective,§67-A1-default
329,tvakṣ,,fashion,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=58,A₁,§66-rule,closed,defective,§67-A1-default
446,paś,1,see,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=826,A₁,§66-rule,closed,defective,§67-A1-default
337,dakṣ,,be able,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=59,A₁,§66-rule,closed,defective,§67-A1-default
338,dagh,,reach to,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=60,A₁,§66-rule,closed,defective,§67-A1-default
347,das,,waste,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=62,A₁,§66-rule,closed,defective,§67-A1-default
348,dah,,burn,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=63,A₁,§66-rule,closed,defective,§67-A1-default
406,dhraj,,sweep,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=64,A₁,§66-rule,closed,defective,§67-A1-default
411,nakṣ,,attain,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=65,A₁,§66-rule,closed,defective,§67-A1-default
412,naṭ,,"dance, play",A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=66,A₁,§66-rule,closed,defective,§67-A1-default
413,nad,,sound,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=67,A₁,§66-rule,closed,defective,§67-A1-default
415,nabh,,burst,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=68,A₁,§66-rule,closed,defective,§67-A1-default
418,naś,1,be lost,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=69,A₁,§66-rule,closed,defective,§67-A1-default
420,nas,,unite,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=70,A₁,§66-rule,closed,defective,§67-A1-default
421,nah,,tie,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=71,A₁,§66-rule,closed,defective,§67-A1-default
435,pac,,cook,A₁,medium,A1,aniṭ,,https://samskrtam.ru/z/verb.php?id=72,A₁,§66-rule,closed,defective,§67-A1-default
436,paj,,start,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=73,A₁,§66-rule,closed,defective,§67-A1-default
437,paṭ,,tear,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=74,A₁,§66-rule,closed,defective,§67-A1-default
438,paṭh,,read,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=75,A₁,§66-rule,closed,defective,§67-A1-default
440,pat,1,"fly, fall",A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=76,A₁,§66-rule,closed,defective,§67-A1-default
442,path,,go,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=77,A₁,§66-rule,closed,defective,§67-A1-default
443,pad,,go,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=78,A₁,§66-rule,closed,defective,§67-A1-default
446,paś,1,see,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=79,A₁,§66-rule,closed,defective,§67-A1-default
477,prach,,ask,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=80,A₁,§66-rule,closed,full,§67-A1-list
478,prath,,spread,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=81,A₁,§66-rule,closed,defective,§67-A1-default
488,phakk,,swell,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=82,A₁,§66-rule,closed,defective,§67-A1-default
504,bhakṣ,,"partake of, eat",A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=83,A₁,§66-rule,closed,defective,§67-A1-default
505,bhaj,,"divide, share",A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=84,A₁,§66-rule,closed,defective,§67-A1-default
513,bhal,,perceive,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=85,L?,index-unknown,open,defective,§67-L-default
514,bhaṣ,,bark,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=86,A₁,§66-rule,closed,defective,§67-A1-default
515,bhas,,devour,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=87,A₁,§66-rule,closed,defective,§67-A1-default
531,bhṛjj,,roast,R₁,high,A1,,aniṭ,https://samskrtam.ru/z/verb.php?id=88,R₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
532,bhyas,,fear,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=89,A₁,§66-rule,closed,defective,§67-A1-default
539,majj,,sink,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=90,A₁,§66-rule,closed,defective,§67-A1-default
545,mad,,"be exhilarated, exhilarate",A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=91,A₁,§66-rule,closed,defective,§67-A1-default
586,myakṣ,,be situated,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=92,A₁,§66-rule,closed,defective,§67-A1-default
573,mṛkṣ,,stroke,R₁,high,A1,,,https://samskrtam.ru/z/verb.php?id=93,R₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
579,mṛd,,"rub, crush",R₁,high,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=94,R₁,§66-rule,closed,full,§67-RMN-default(majority)
595,yakṣ,,press on,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=95,A₁,§66-rule,closed,defective,§67-A1-default
598,yat,,stretch,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=96,A₁,§66-rule,closed,defective,§67-A1-default
599,yabh,,fuck,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=97,A₁,§66-rule,closed,defective,§67-A1-default
601,yas,,be heated,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=98,A₁,§66-rule,closed,defective,§67-A1-default
613,rakṣ,,protect,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=99,A₁,§66-rule,closed,defective,§67-A1-default
615,rac,,procuce,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=100,A₁,§66-rule,closed,defective,§67-A1-default
619,raṭ,,howl,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=101,A₁,§66-rule,closed,defective,§67-A1-default
621,rad,,dig,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=102,A₁,§66-rule,closed,defective,§67-A1-default
625,rap,,chatter,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=103,A₁,§66-rule,closed,defective,§67-A1-default
626,rapś,,be full,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=104,A₁,§66-rule,closed,defective,§67-A1-default
633,ras,,roar,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=105,A₁,§66-rule,closed,defective,§67-A1-default
634,rah,,desert,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=106,A₁,§66-rule,closed,defective,§67-A1-default
667,lakṣ,,mark,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=107,A₁,§66-rule,closed,defective,§67-A1-default
668,lag,,attach,A₁,medium,A1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=108,A₁,§66-rule,closed,defective,§67-A1-default
670,lajj,,be ashamed,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=109,A₁,§66-rule,closed,defective,§67-A1-default
671,laḍ,,move about,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=110,A₁,§66-rule,closed,defective,§67-A1-default
672,lap,,prate,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=111,A₁,§66-rule,closed,defective,§67-A1-default
673,labh,,take,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=112,A₁,§66-rule,closed,defective,§67-A1-default
677,laṣ,,desire,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=113,A₁,§66-rule,closed,defective,§67-A1-default
678,las,,be lively,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=114,A₁,§66-rule,closed,defective,§67-A1-default
703,vat,,apprehend,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=115,A₁,§66-rule,closed,defective,§67-A1-default
705,vadh,,slay,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=116,A₁,§66-rule,closed,defective,§67-A1-named-exclusion
716,vas,2,clothe,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=117,A₁,§66-rule,closed,defective,§67-A1-named-exclusion
751,vyac,,extend,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=118,A₁,§66-rule,closed,defective,§67-A1-default
754,vyadh,,pierce,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=119,A₁,§66-rule,closed,full,§67-A1-list
760,vraśc,,cut up,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=120,A₁,§66-rule,closed,defective,§67-A1-default
753,vyath,,waver,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=122,A₁,§66-rule,closed,defective,§67-A1-default
757,vraj,,proceed,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=124,A₁,§66-rule,closed,defective,§67-A1-default
767,śak,,be able,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=125,A₁,§66-rule,closed,defective,§67-A1-default
769,śat,,cut in pieces,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=126,A₁,§66-rule,closed,defective,§67-A1-default
770,śad,1,prevail,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=127,A₁,§66-rule,closed,defective,§67-A1-default
771,śad,2,fall,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=128,A₁,§66-rule,closed,defective,§67-A1-default
772,śap,,curse,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=129,A₁,§66-rule,closed,defective,§67-A1-default
777,śaś,,leap,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=130,A₁,§66-rule,closed,defective,§67-A1-default
778,śas,,cut,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=131,A₁,§66-rule,closed,defective,§67-A1-default
822,śvas,,blow,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=132,A₁,§66-rule,closed,defective,§67-A1-default
806,śrath,,slacken,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=133,A₁,§66-rule,closed,defective,§67-A1-default
810,śrā,,boil,A₂,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=134,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
804,śnath,,pierce,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=135,A₁,§66-rule,closed,defective,§67-A1-default
806,śrath,,slacken,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=136,A₁,§66-rule,closed,defective,§67-A1-default
827,sagh,,be equal to,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=137,A₁,§66-rule,closed,defective,§67-A1-default
828,sac,,accompany,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=138,A₁,§66-rule,closed,defective,§67-A1-default
830,sad,,sit,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=139,A₁,§66-rule,closed,defective,§67-A1-default
832,sap,,serve,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=140,A₁,§66-rule,closed,defective,§67-A1-default
835,sas,,sleep,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=141,A₁,§66-rule,closed,defective,§67-A1-default
836,sah,,prevail,A₁,medium,A1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=142,A₁,§66-rule,closed,defective,§67-A1-default
903,svap,,sleep,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=143,A₁,§66-rule,closed,full,§67-A1-list
883,spṛś,,touch,R₁,high,A1,,aniṭ,https://samskrtam.ru/z/verb.php?id=144,R₁,§66-rule,closed,full,§67-RMN-default(majority)
873,sthag,,cover,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=145,A₁,§66-rule,closed,defective,§67-A1-default
907,had,,discharge excrement,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=147,A₁,§66-rule,closed,defective,§67-A1-default
910,has,,laugh,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=149,A₁,§66-rule,closed,defective,§67-A1-default
930,hras,,shorten,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=150,A₁,§66-rule,closed,defective,§67-A1-default
778,śas,,cut,A₁,medium,A2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=827,A₁,§66-rule,closed,defective,§67-A1-default
796,śū,,swell,U₂,high,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=828,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
921,hū,,call,U₂,high,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=829,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
26,āp,,obtain,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=151,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
28,ās,,sit,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=152,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
720,vā,2,weave,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=153,A₂,§66-rule,open,defective,§67-A2-list
91,kāś,,"appear, make a show",A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=154,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
92,kās,,cough,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=155,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
140,kṣā,,burn,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=156,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
150,kṣmā,,tremble,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=157,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
161,khād,,chew,A₂,medium,A2,seṭ,,https://samskrtam.ru/z/verb.php?id=158,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
165,khyā,,see,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=159,A₂,§66-rule,open,defective,§67-A2-list
176,gā,1,go,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=160,A₂,§66-rule,open,full,§67-A2-list
177,gā,2,sing,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=161,A₂,§66-rule,open,full,§67-A2-list
178,gāh,,plunge,A₂,medium,A2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=162,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
200,glā,,be weary,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=163,A₂,§66-rule,open,defective,§67-A2-list
210,ghrā,,smell,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=164,A₂,§66-rule,open,defective,§67-A2-list
241,chā,,cut up,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=165,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
270,jyā,,"overpower, injure",A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=166,A₂,§66-rule,open,full,§67-A2-list
269,jñā,,know,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=167,A₂,§66-rule,open,defective,§67-A2-list
327,trā,,rescue,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=169,A₂,§66-rule,open,defective,§67-A2-list
349,dā,1,give,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=170,A₂,§66-rule,open,full,§67-A2-list
350,dā,2,"divide, share",A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=171,A₂,§66-rule,open,full,§67-A2-list
351,dā,3,bind,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=172,A₂,§66-rule,open,full,§67-A2-list
352,dā,4,clear,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=173,A₂,§66-rule,open,full,§67-A2-list
353,dāś,,make offering,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=174,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
354,dās,,,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=175,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
381,drā,1,run,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=176,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
382,drā,2,sleep,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=177,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
393,dhā,1,put,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=178,A₂,§66-rule,open,full,§67-A2-list
394,dhā,2,suck,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=179,A₂,§66-rule,open,full,§67-A2-list
404,dhmā,,,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=180,A₂,§66-rule,open,defective,§67-A2-list
405,dhyā,,think,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=181,A₂,§66-rule,open,defective,§67-A2-list
422,nāth,,seek aid,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=182,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
448,pā,1,drink,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=184,A₂,§66-rule,open,full,§67-A2-list
449,pā,2,protect,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=185,A₂,§66-rule,open,full,§67-A2-list
476,pyā,,fill up,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=186,A₂,§66-rule,open,defective,§67-A2-list
479,prā,,fill,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=187,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
487,psā,,devour,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=188,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
496,bādh,,oppress,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=189,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
516,bhā,,shine,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=190,A₂,§66-rule,open,defective,§67-A2-list
518,bhāṣ,,speak,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=192,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
519,bhās,,shine,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=193,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
535,bhrāj,,shine,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=194,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
548,mā,1,measure,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=195,A₂,§66-rule,open,full,§67-A2-list
549,mā,2,exchange,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=196,A₂,§66-rule,open,full,§67-A2-list
550,mā,3,bellow,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=197,A₂,§66-rule,open,full,§67-A2-list
553,mi,2,damage,I₁,high,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=198,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
561,mī,,damage,I₂,high,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=199,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
585,mnā,,note,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=200,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
591,mlā,,relax,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=201,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
603,yā,,go,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=202,A₂,§66-rule,open,defective,§67-A2-list
604,yāc,,ask,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=203,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
605,yād,,unite,A₂,medium,A2,,,https://samskrtam.ru/z/verb.php?id=204,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
635,rā,1,give,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=205,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
636,rā,2,bark,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=206,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
637,rāj,,be kingly,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=207,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
638,rādh,,succeed,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=208,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
685,lī,1,cling,I₂,high,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=210,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
679,lā,,grasp,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=211,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
719,vā,1,blow,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=212,A₂,§66-rule,open,defective,§67-A2-list
723,vāś,,bellow,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=213,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
724,vāh,,press,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=214,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
761,vrādh,,stir up,A₂,medium,A2,,,https://samskrtam.ru/z/verb.php?id=215,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
756,vyā,,envelop,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=216,A₂,§66-rule,open,full,§67-A2-list
779,śā,,sharpen,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=217,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
780,śās,1,order,A₂,medium,A2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=218,A₂,§66-rule,closed,full,§67-exception-list
805,śyā,,coagulate,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=219,A₂,§66-rule,open,full,§67-A2-list
810,śrā,,boil,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=220,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
818,ślā,,dissolve,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=221,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
819,ślāgh,,extol,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=222,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
837,sā,1,bind,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=223,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
839,sādh,,succeed,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=224,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
872,styā,,stiffen,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=225,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
874,sthā,,stand,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=226,A₂,§66-rule,open,full,§67-A2-list
