whitney_no,root,homonym,gloss,ryad_derived,ryad_conf,z_series,z_set,set_derived,z_url,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis
607,yu,2,separate,U₁,high,U1,aniṭ,,https://samskrtam.ru/z/verb.php?id=481,U₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
608,yuj,,join,U₁,high,U1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=482,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
609,yudh,,fight,U₁,high,U1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=483,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
610,yup,,obstruct,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=484,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
652,ru,1,cry,U₁,high,U1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=485,U₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
653,ru,2,break,U₁,high,U1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=486,U₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
654,ruc,,shine,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=487,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
655,ruj,,break,U₁,high,U1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=488,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
656,ruṭh,,torment,U₁,high,U1,seṭ,,https://samskrtam.ru/z/verb.php?id=489,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
657,rud,,weep,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=490,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
658,rudh,1,grow,U₁,high,U1,,,https://samskrtam.ru/z/verb.php?id=491,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
659,rudh,2,obstruct,U₁,high,U1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=492,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
660,rup,,"break, pain",U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=493,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
661,ruṣ,,be vexed,U₁,high,U1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=494,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
662,ruh,,ascend,U₁,high,U1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=495,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
687,luñc,,tear,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=496,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
688,luṭh,1,roll,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=497,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
689,luṭh,2,rob,U₁,high,U1,seṭ,,https://samskrtam.ru/z/verb.php?id=498,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
690,luḍ,,stir up,U₁,high,U1,seṭ,,https://samskrtam.ru/z/verb.php?id=499,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
689,luṭh,2,rob,U₁,high,U1,seṭ,,https://samskrtam.ru/z/verb.php?id=500,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
691,lup,,break,U₁,high,U1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=501,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
692,lubh,,be lustful,U₁,high,U1,veṭ,,https://samskrtam.ru/z/verb.php?id=502,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
693,lul,,be lively,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=503,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
763,vruḍ,,sink,U₁,high,U1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=504,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
790,śuc,,gleam,U₁,high,U1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=505,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
791,śuj,,swell,U₁,high,U1,,,https://samskrtam.ru/z/verb.php?id=506,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
792,śudh,,purify,U₁,high,U1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=507,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
792,śudh,,purify,U₁,high,U1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=508,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
792,śudh,,purify,U₁,high,U1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=509,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
792,śudh,,purify,U₁,high,U1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=510,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
19,av,,favor,A₁,medium,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=528,A₁,§66-rule,closed,defective,§67-A1-default
67,ūh,1,remove,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=529,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
68,ūh,2,consider,U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=530,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
101,kū,,design,U₂,high,U2,aniṭ,,https://samskrtam.ru/z/verb.php?id=531,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
102,kūj,,hum,U₂,high,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=532,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
103,kūḍ,,burn,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=533,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
104,kūṇ,,shrink,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=534,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
105,kūrd,,"leap, exult",U₂,high,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=535,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
115,knū,,wet,U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=536,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
185,gur,,greet,U₁,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=537,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
188,gūrd,,exult,U₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=538,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
189,gūrdh,,exalt,U₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=539,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
207,ghūrṇ,,waver,U₂,high,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=540,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
234,cūṣ,,"draw, suck",U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=541,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
263,jū,,be swift,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=542,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
264,jūrv,,consume,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=543,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
365,du,,burn,U₁,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=544,U₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
363,dīv,1,play,I₂,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=545,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
386,drū,,hurl,U₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=546,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
400,dhū,,shake,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=547,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
401,dhūrv,,injure,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=548,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
465,pū,,cleanse,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=549,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
466,pūj,,reverence,U₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=550,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
467,pūy,,stink,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=551,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
502,brū,,say,U₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=552,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
528,bhū,,be,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=553,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
529,bhūṣ,,"attend upon, adorn",U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=554,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
563,mīv,,push,I₂,high,U2,,,https://samskrtam.ru/z/verb.php?id=555,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
663,rūṣ,,strew,U₂,high,U2,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=556,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
694,lū,,cut,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=557,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
825,ṣṭhīv,,spew,I₂,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=558,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
849,sū,,"generate, enliven, impel",U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=559,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
796,śū,,swell,U₂,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=815,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
850,sūd,,put in order,U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=560,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
921,hū,,call,U₂,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=816,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
851,sūrkṣ,,heed,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=561,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
891,sphūrj,,rumble,U₂,high,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=562,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
845,sīv,,sew,I₂,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=563,I₂,§66-rule,closed,full,§67-exception-list
898,srīv,,fail,I₂,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=564,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
922,hūrch,,fall away,U₂,high,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=565,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
740,vṛ,1,cover,R₁,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=877,R₁,§66-rule,open,full,§67-RMN-default(majority)
103,kūḍ,,burn,U₂,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=878,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
115,knū,,wet,U₂,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=879,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
187,guh,,hide,U₁,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=880,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
222,carv,,chew,A₁,medium,U2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=882,R₁,§66-rule-closed,closed,full,§67-RMN-default(majority)
314,turv,,overcome,U₁,high,U2,seṭ,,https://samskrtam.ru/z/verb.php?id=883,U₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
368,duṣ,,spoil,U₁,high,U2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=884,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
429,nu,1,praise,U₁,high,U2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=885,U₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
464,puṣ,,thrive,U₁,high,U2,veṭ,,https://samskrtam.ru/z/verb.php?id=886,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
570,mūrch,,thicken,U₂,high,U2,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=887,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
570,mūrch,,thicken,U₂,high,U2,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=888,U₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
567,muṣ,,steal,U₁,high,U2,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=889,U₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
