L_id	k1	hom	headword_iast	base_slp1	base_iast	cue	base_type	deriv_kind	suffix	citation
3	a	3	a	a	a	von	prefix	prefixed		P. 2,2,6
3	a	3	a	nizeDa	niṣedha	von	nominal	denominal-other		P. 2,2,6
9	aMSaka	1	aṃśaka	aMSa	aṃśa	von	nominal	taddhita	ka	AK. 1,1,2,17
10	aMSaka	2	aṃśaka	aMSa	aṃśa	Von	nominal	taddhita	ka	TRIK. 1,1,104
13	aMSay		aṃśay	aMSa	aṃśa	von	nominal	denominal-other		KAVIKALPADR.
14	aMSala		aṃśala	aMSa	aṃśa	von	nominal	denominal-other		RAMĀN.
17	aMSApay		aṃśāpay	aMSa	aṃśa	von	nominal	denominal-other		WEST.
19	aMSin		aṃśin	aMSa	aṃśa	von	nominal	taddhita	in	YĀJÑ. 2,114
21	aMSuka		aṃśuka	aMSu	aṃśu	Von	nominal	taddhita	ka	SIDDH. K. 248,b, ult.
27	aMSumant	1	aṃśumant	aMSu	aṃśu	von	nominal	denominal-other		AV. 8,7,4
30	aMSumAlin		aṃśumālin	aMSumAlA	aṃśumālā	von	nominal	taddhita	in	TRIK. 1,1,99
31	aMSula		aṃśula	aMSu	aṃśu	von	nominal	denominal-other		TRIK. 2,7,22
38	aMsaDrI		aṃsadhrī	Dra	dhra	von	nominal	denominal-other		AV. 11,1,23
40	aMsaBArika		aṃsabhārika	aMsaBAra	aṃsabhāra	von	nominal	taddhita	ika	
42	aMsala		aṃsala	aMsa	aṃsa	von	nominal	denominal-other		P. 5,2,98
44	aMseBAra		aṃsebhāra	aMsa	aṃsa	von	nominal	denominal-other		
45	aMseBArika		aṃsebhārika	aMseBAra	aṃsebhāra	von	nominal	taddhita	ika	
46	aMsya		aṃsya	aMsa	aṃsa	von	nominal	taddhita	ya	ṚV. 1,191,7
53	aMhasaspati		aṃhasaspati	aMhas	aṃhas	von	nominal	denominal-other		VS. 7,30
58	aMhUraRa		aṃhūraṇa	aMhUryati	aṃhūryati	von	nominal	denominal-other		ṚV. 6,47,20
58	aMhUraRa		aṃhūraṇa	aMhura	aṃhura	von	nominal	denominal-other		ṚV. 6,47,20
60	aMhoyu		aṃhoyu	aMhas	aṃhas	von	nominal	denominal-other		ṚV. 5,13,3
61	aMhri		aṃhri	aMh	aṃh	von	root	krt		UṆ. 4,67
71	akampita		akampita	kamp	kamp	von	root	krt		ṚV. PRĀTIŚ. 3,18
77	akarRya		akarṇya	akarRa	akarṇa	von	nominal	taddhita	ya	P. 6,2,156
84	akalkatA		akalkatā	akalka	akalka	von	nominal	taddhita	tA	YĀJÑ. 3,313
86	akalkala		akalkala	akalkana	akalkana	von	nominal	denominal-other		ŚKDR.
94	akasmAt		akasmāt	kim	kim	von	nominal	denominal-other		H. 1532
96	akARqe		akāṇḍe	akARqa	akāṇḍa	von	nominal	denominal-other		ŚĀK. 45
100	akAmatA		akāmatā	akAma	akāma	von	nominal	taddhita	tA	M. 2,2
101	akAmahata		akāmahata	han	han	von	root	krt		BṚH. ĀR. UP. 4,3,33
104	akAraRa		akāraṇa	˚tyaktar	˚tyaktar	von	nominal	denominal-other		M. 3,157
115	akiMcanatA		akiṃcanatā	akiMcana	akiṃcana	von	nominal	taddhita	tA	H. 81
116	akiMcaniman		akiṃcaniman	akiMcana	akiṃcana	von	nominal	denominal-other		
125	akulatA		akulatā	akula	akula	von	nominal	taddhita	tA	M. 3,63
129	akUvAra		akūvāra	akUpAra	akūpāra	von	nominal	denominal-other		H. 1073
134	akfttaruc		akṛttaruc	kart	kart	von	nominal	denominal-other		ṚV. 10,84,4
