L_id	headword_slp1	headword	base_slp1	base	suffix	suffix_class	lex	n_citations	dcs_tokens	dcs_attested	citations
104534	sanAtana	sanātana	sanA	sanā	tana	абстракт	adj.	70	697	True	AK. 3,2,22; H. 1452; MED. n. 218; HALĀY. 1,125; AV. 10,8,22. fg.; ŚAT. BR. 6,4,4,17; KATHOP. 3,16; SUŚR. 1,6,5
46044	purAtana	purātana	purA	purā	tana	абстракт	adj.	31	287	True	AK. 3,2,26; H. 1448; HALĀY. 4,26; MBH. 14,2849; M. 3,213; SUŚR. 2,17,18; KUMĀRAS. 6,9; MBH. 12,13450
100601	SUnyatA	śūnyatā	SUnya	śūnya	tA	абстракт	f.	16	111	True	R. 3,1,35; VARĀH. BṚH. S. 46,47; RAGH. 19,13; ŚAT. BR. 10,4,3,19; KATHĀS. 33,138; DHŪRTAS. 72,10; SARVADARŚANAS. 176,16; SUŚR. 1,48,20
105248	samatA	samatā	sama	sama	tA	абстракт	f.	28	53	True	VARĀH. BṚH. S. 17,2; ŚAT. BR. 12,3,5,12; MBH. 13,5697; VARĀH. BṚH. S. 104,52; MBH. 14,179; R. 7,3,19; Spr. (II) 3747; HARIV. 1403
38376	nAnAtva	nānātva	nAnA	nānā	tva	абстракт	n.	7	51	True	LĀṬY. 10,7,3; ŚĀṄKH. BR. 23,3; MBH. 2,137; SĀṂKHYAK. 27; TATTVAS. 37; RAGH. 10,19; BHĀG. P. 2,10,13
42353	paratva	paratva	para	para	tva	абстракт	n.	10	46	True	KAṆĀDA 1,6; TARKAS. 3; BHĀṢĀP. 3,85; P. 1,2,9; P. 1,1,47; VĀYU-P.; Verz. d. Oxf. H. 56,b,18; MBH. 13,592
7502	astitva	astitva	asti	asti	tva	абстракт	n.	3	44	True	ŚAṂK.; WIND. Sancara 93; P. 6,2,21
28524	tadAtva	tadātva	tadA	tadā	tva	абстракт	n.	6	40	True	AK. 2,8,1,29; TRIK. 3,2,17; H. 162; M. 7,163; MBH. 2,2107; R. 5,76,16
50365	prAktana	prāktana	prAk	prāk	tana	абстракт	adj.	17	39	True	HARIV. 14590; RAGH. 1,20; KUMĀRAS. 1,30; KATHĀS. 27,101; BHĀG. P. 7,10,36; ŚRUT. 26; KUMĀRAS. 6,10; JAṬĀDH.
52178	bahutva	bahutva	bahu	bahu	tva	абстракт	n.	15	32	True	ARJ. 7,24; MBH. 1,1549; R. 6,3,49; KAP. 1,149; KAṆ. 2,2,36; SĀṂKHYAK. 18; Spr. 997; ŚĀK. 68
