lemma_id,lemma,tokens,tier,dcs_grammar,whitney_gana
161481,nivṛt,456,MULTI,"1.P.,1.Ā.",I|II|III
165581,sambhū,456,SINGLE,"1.P.,1.Ā.",I
159806,ānī,455,MULTI,"1.P.,1.Ā.",I|II|III
162523,pratipad,446,MULTI,"4.P.,4.Ā.",II|IV
157997,ram,444,MULTI,4. Ā.,I|IX
157416,bhā,437,SINGLE,2. Ā.,II
157579,dham,431,MULTI,1. Ā.,I|II
165186,samācar,431,SINGLE,"1.P.,1.Ā.",I
157768,darśay,423,AYA,10. Ā.,X
157945,bhid,421,SINGLE,3. P.,VII
157237,tṛ,420,MULTI,3. P.,I|III|IV|VI|VIII
161547,nihan,414,MULTI,"2.Ā.,2.P.,4.P.",I|II|VI|VIII
157937,anubrū,413,MULTI,"2.P.,2.Ā.",II|VI
163524,vimuc,408,SINGLE,"4.P.,6.Ā.,6.P.,4.Ā.",VI
158662,duh,407,MULTI,1. Ā.,II|IV|VI
162912,prapad,406,MULTI,"4.P.,4.Ā.",II|IV
162979,prayuj,404,MULTI,"7.Ā.,7.P.",II|VI|VII
159171,sādhay,403,AYA,10. Ā.,X
157633,adhī,402,UNJOINED,"4.P.,2.P.,2.Ā.,4.Ā.",
158146,sidh,402,MULTI,4. Ā.,I|IV
166624,jāray,394,AYA,10. Ā.,X
157525,sev,392,SINGLE,4. P.,I
157380,dhyā,389,MULTI,3. Ā.,II|IV
157818,paṭh,388,SINGLE,1. Ā.,I
157330,viś,382,SINGLE,3. P.,VI
160135,utthā,382,UNJOINED,"1.P.,1.Ā.",
162977,prayā,380,SINGLE,"2.P.,2.Ā.",II
170905,ṛch,376,UNJOINED,5. Ā.,
156256,cintay,373,AYA,10. Ā.,X
157147,juṣ,373,MULTI,6. Ā.,II|VI
157960,anumantray,371,AYA,"Denom.P.,Denom.Ā.",X
160140,utpad,364,MULTI,"4.P.,4.Ā.",II|IV
157624,spṛś,350,MULTI,6. Ā.,I|VI
159902,lakṣay,350,AYA,10. Ā.,X
163178,prāś,345,UNJOINED,"9.P.,1.P.,1.Ā.,9.Ā.",
166499,arcay,345,AYA,10. Ā.,X
165408,samardhay,343,AYA,"10.P.,10.Ā.",X
156254,ci,342,MULTI,1. Ā.,I|II|III|V
160035,hiṃs,339,MULTI,7. Ā.,I|VII
160529,upalabh,339,SINGLE,"1.Ā.,1.P.",I
157904,śuc,338,MULTI,6. Ā.,I|II|IV
161226,nāśay,338,AYA,10. Ā.,X
157942,bhāṣ,336,SINGLE,1. P.,I
160195,udāhṛ,331,MULTI,"1.P.,2.P.,1.Ā.",I|II|III|IX
161564,nyas,329,UNJOINED,"1.Ā.,2.P.,4.P.,1.P.,4.Ā.",
157428,ruc,328,SINGLE,1. P.,I
160497,bhojay,325,AYA,10. Ā.,X
165414,sampad,325,MULTI,"4.P.,4.Ā.",II|IV
166720,śamay,325,AYA,10. Ā.,X
159897,āruh,324,MULTI,"1.Ā.,1.P.,6.P.,6.Ā.",I|VI
160676,dāpay,324,AYA,10. Ā.,X
156176,kﾱp,322,UNJOINED,1. P.,
158024,lepay,321,AYA,10. Ā.,X
158673,abhidhā,321,MULTI,"3.Ā.,3.P.",I|II|III|IV
163102,prasad,321,MULTI,"1.P.,1.Ā.",I|II
162664,pratiṣṭhāpay,316,AYA,"10.P.,10.Ā.",X
160154,utsah,315,MULTI,"1.Ā.,1.P.",I|II|IV
156110,añj,313,MULTI,1. Ā.,I|VII
159062,abhiṣic,312,UNJOINED,"4.P.,6.Ā.,6.P.",
161261,nikṣip,306,SINGLE,"4.P.,6.Ā.,6.P.",VI
158080,sic,304,MULTI,4. Ā.,I|VI
158901,yudh,304,MULTI,2. P.,I|II|IV
157605,adhigam,303,MULTI,"1.P.,1.Ā.",I|II
169237,vācay,303,AYA,10. Ā.,X
159885,ārabh,302,SINGLE,"1.Ā.,1.P.",I
157239,tṛp,298,MULTI,6. Ā.,I|IV|V|VI
157326,bādh,298,SINGLE,1. P.,I
157173,tan,296,MULTI,8. Ā.,IV|VIII
157462,pāyay,296,AYA,10. Ā.,X
158878,abhimantray,294,AYA,"Denom.P.,Denom.Ā.",X
209165,saṃpreṣ,293,UNJOINED,"9.P.,4.P.",
160242,uddhṛ,292,UNJOINED,"1.P.,1.Ā.",
159405,trā,291,MULTI,2. Ā.,II|IV
160455,upapad,291,MULTI,"4.P.,4.Ā.",II|IV
158894,abhimṛś,290,SINGLE,"1.P.,6.P.,6.Ā.",VI
156265,chid,289,SINGLE,1. P.,VII
170027,mahīy,287,AYA,Denom. P.,X
158253,antardhā,282,UNJOINED,"3.Ā.,3.P.",
158840,sah,282,MULTI,1. P.,I|II|IV
