gana,roman,kind,cleanly_classable_tokens,all_joined_tokens_fractional
1,I,thematic,63404,115061.5
2,II,athematic,5931,54213.2
3,III,athematic,8,14861.9
4,IV,thematic,7613,33810.9
5,V,athematic,2414,10564.7
6,VI,thematic,7993,24335.4
7,VII,athematic,1145,3365.1
8,VIII,athematic,3,5172.1
9,IX,athematic,371,7895.1
10,X,thematic,48329,48329
