book	surface_slp1	lemma_slp1	method	first_lesson	rank_all	pos
buhler	yajati	yajati	surface	1	35949	m
buhler	caraTaH	caraTa	suffix-strip	1	15149	m
buhler	kutaH	kuta	suffix-strip	1	35949	m
buhler	putraH	putra	suffix-strip	2	42	m
buhler	PalAni	Pala	suffix-strip	2	70	n
buhler	devAH	deva	suffix-strip	2	26	m
buhler	grAme	grAma	suffix-strip	2	887	mn
buhler	naraH	nara	suffix-strip	2	83	m
buhler	gfhe	gfha	suffix-strip	2	205	mn
buhler	dAnAni	dAna	suffix-strip	2	298	n
buhler	nfpAH	nfpa	suffix-strip	2	153	m
buhler	DanAni	Dana	suffix-strip	3	287	n
buhler	gfhezu	gfha	suffix-strip	3	205	mn
buhler	nfpAya	nfpa	suffix-strip	3	153	m
buhler	meGaH	meGa	suffix-strip	3	870	m
buhler	Danena	Dana	suffix-strip	3	287	n
buhler	narAH	nara	suffix-strip	3	83	m
buhler	hastayoH	hasta	suffix-strip	3	278	mn
buhler	Pale	Pala	suffix-strip	3	70	n
buhler	hastena	hasta	suffix-strip	3	278	mn
buhler	kawe	kawa	suffix-strip	3	7790	m
buhler	lANgalEH	lANgala	suffix-strip	3	7094	mn
buhler	devaH	deva	suffix-strip	3	26	m
buhler	k	k	surface	3	6664	m
buhler	devA	devA	surface	4	35949	f
buhler	pApAt	pApa	suffix-strip	4	125	n
buhler	nfpasya	nfpa	suffix-strip	4	153	m
buhler	mArge	mArga	suffix-strip	4	489	m
buhler	vasati	vasati	surface	4	4256	f
buhler	nfpA	nfpA	surface	4	26474	f
buhler	yajataH	yajata	suffix-strip	4	7094	adj
buhler	sUktAni	sUkta	suffix-strip	4	2455	n
buhler	SizyayoH	Sizya	suffix-strip	4	679	m
buhler	jalasya	jala	suffix-strip	4	188	n
buhler	kzetrezu	kzetra	suffix-strip	4	815	mn
buhler	n	n	surface	4	17217	m
buhler	pa	pa	surface	4	19118	m
buhler	tata	tata	surface	4	15149	m
buhler	udakam	udaka	suffix-strip	4	419	n
buhler	p	p	surface	4	20365	m
buhler	r	r	surface	4	12205	m
buhler	agni	agni	surface	4	45	m
buhler	ma	ma	surface	4	12205	m
buhler	nara	nara	surface	4	83	m
buhler	ti	ti	surface	4	16413	mn
buhler	hati	hati	surface	4	16413	f
buhler	gam	ga	suffix-strip	4	581	adj
buhler	maDu	maDu	surface	6	253	n
buhler	rAmaH	rAma	suffix-strip	6	134	m
buhler	bAlasya	bAla	suffix-strip	6	388	m
buhler	Sizyasya	Sizya	suffix-strip	6	679	m
buhler	nagare	nagara	suffix-strip	6	808	mn
buhler	bAlAH	bAla	suffix-strip	6	388	m
buhler	t	t	surface	6	2644	m
buhler	jan	ja	suffix-strip	6	116	adj
buhler	s	s	surface	6	14114	m
buhler	am	am	surface	6	10649	m
buhler	ram	ra	suffix-strip	6	9529	m
buhler	stenaH	stena	suffix-strip	7	3908	m
buhler	daRqaH	daRqa	suffix-strip	7	376	mn
buhler	rAmasya	rAma	suffix-strip	7	134	m
buhler	janakaH	janaka	suffix-strip	7	1828	m
buhler	puRyena	puRya	suffix-strip	7	191	adj
buhler	lokaH	loka	suffix-strip	7	44	m
buhler	d	d	surface	7	20365	m
buhler	c	c	surface	7	4022	m
buhler	jalam	jala	suffix-strip	7	188	n
buhler	j	j	surface	7	35949	m
buhler	lokam	loka	suffix-strip	7	44	m
buhler	l	l	surface	7	5660	m
buhler	h	h	surface	7	21838	m
buhler	SAstre	SAstra	suffix-strip	8	381	n
buhler	pattre	pattra	suffix-strip	8	313	mn
buhler	vinaya	vinaya	surface	8	2099	m
buhler	aDarmAya	aDarma	suffix-strip	8	775	m
buhler	DarmAya	Darma	suffix-strip	8	36	mn
buhler	sUkte	sUkta	suffix-strip	8	2455	n
buhler	bAlaH	bAla	suffix-strip	8	388	m
buhler	yajYAya	yajYa	suffix-strip	8	123	m
buhler	manuzyasya	manuzya	suffix-strip	8	426	m
buhler	kzatriyA	kzatriyA	surface	8	5613	f
buhler	uktam	ukta	suffix-strip	8	8661	n
buhler	ju	ju	surface	8	30141	m
buhler	gir	gir	surface	8	848	f
buhler	m	m	surface	8	11898	m
buhler	ratnena	ratna	suffix-strip	9	309	mn
buhler	vihagA	vihagA	surface	9	35949	f
buhler	hfdayezu	hfdaya	suffix-strip	9	370	n
buhler	BArye	BArya	suffix-strip	9	26474	m
buhler	BikzayA	BikzA	suffix-strip	9	2437	f
buhler	vana	vana	surface	9	132	n
buhler	vyADAH	vyADa	suffix-strip	9	3929	m
buhler	SUdrA	SUdrA	surface	9	5157	f
buhler	SizyA	SizyA	surface	9	13704	f
buhler	nagarasya	nagara	suffix-strip	9	808	mn
buhler	raTyAsu	raTyA	suffix-strip	9	5091	f
buhler	kzatriyasya	kzatriya	suffix-strip	9	511	m
buhler	y	y	surface	9	11591	m
buhler	v	v	surface	9	18073	m
buhler	pad	pad	surface	9	1761	m
buhler	Gftena	Gfta	suffix-strip	10	269	n
buhler	vihagAH	vihaga	suffix-strip	10	5198	m
buhler	narEH	nara	suffix-strip	10	83	m
buhler	kawAH	kawa	suffix-strip	10	7790	m
buhler	BikzA	BikzA	surface	10	2437	f
buhler	gfhasTasya	gfhasTa	suffix-strip	10	2369	m
buhler	BAryayA	BAryA	suffix-strip	10	402	f
buhler	vasu	vasu	surface	10	458	mn
buhler	raRe	raRa	suffix-strip	10	252	m
buhler	praBUtaH	praBUta	suffix-strip	10	3446	adj
buhler	aSvena	aSva	suffix-strip	10	249	m
buhler	da	da	surface	10	367	adj
buhler	nagara	nagara	surface	11	808	mn
buhler	kawayoH	kawa	suffix-strip	11	7790	m
buhler	naya	naya	surface	11	2795	m
buhler	makzikA	makzikA	surface	12	5559	f
buhler	pArTivAH	pArTiva	suffix-strip	12	399	m
buhler	nIcAH	nIca	suffix-strip	12	3181	adj
buhler	sADavaH	sADava	suffix-strip	12	47379	n
buhler	Darma	Darma	surface	12	36	mn
buhler	muKyAH	muKya	suffix-strip	12	757	adj
buhler	kalpate	kalpatA	suffix-strip	12	47379	f
buhler	aSvA	aSvA	surface	12	13286	f
buhler	loBaH	loBa	suffix-strip	13	1139	m
buhler	pApasya	pApa	suffix-strip	13	125	n
buhler	kAraRam	kAraRa	suffix-strip	13	259	n
buhler	SriyA	SriyA	surface	13	47379	f
buhler	balena	bala	suffix-strip	13	63	mn
buhler	duHKAni	duHKa	suffix-strip	13	165	n
buhler	pustakAni	pustaka	suffix-strip	13	5464	mn
buhler	nis	nis	surface	13	21838	m
buhler	paSyata	paSyata	surface	14	47379	adj
buhler	suKena	suKa	suffix-strip	14	141	n
buhler	vakre	vakra	suffix-strip	14	2795	adj
buhler	Asane	Asana	suffix-strip	14	531	n
buhler	SizyAH	Sizya	suffix-strip	14	679	m
buhler	kalahaH	kalaha	suffix-strip	14	3603	mn
buhler	kzatriyAH	kzatriya	suffix-strip	14	511	m
buhler	snuze	snuzA	suffix-strip	14	3145	f
buhler	vaDu	vaDu	surface	14	26474	f
buhler	durjanasya	durjana	suffix-strip	15	5130	m
buhler	sarpasya	sarpa	suffix-strip	15	934	m
buhler	durjanaH	durjana	suffix-strip	15	5130	m
buhler	kAlena	kAla	suffix-strip	15	59	m
buhler	pade	pada	suffix-strip	15	192	mn
buhler	kAvyAni	kAvya	suffix-strip	15	2009	mn
buhler	kanye	kanyA	suffix-strip	15	358	f
buhler	nfpe	nfpa	suffix-strip	15	153	m
buhler	prajA	prajA	surface	15	293	f
buhler	arTAya	arTa	suffix-strip	15	33	mn
buhler	saBAsu	saBA	suffix-strip	15	1086	f
buhler	paRqitEH	paRqita	suffix-strip	15	1743	m
buhler	brAhmaRasya	brAhmaRa	suffix-strip	15	87	m
buhler	ISvaraH	ISvara	suffix-strip	15	228	m
buhler	sevyatAm	sevyatA	suffix-strip	15	35949	f
buhler	SAstrasya	SAstra	suffix-strip	15	381	n
buhler	kartre	kartra	suffix-strip	15	35949	n
buhler	namaH	nama	suffix-strip	15	35949	m
buhler	lokasya	loka	suffix-strip	15	44	m
buhler	N	N	surface	15	8280	m
buhler	kAmaduGA	kAmaduGA	surface	16	11317	f
buhler	buDEH	buDa	suffix-strip	16	788	adj
buhler	patnI	patnI	surface	16	768	f
buhler	rakzaRena	rakzaRa	suffix-strip	16	2335	n
buhler	mAse	mAsa	suffix-strip	16	335	mn
buhler	ta	ta	surface	16	8823	m
buhler	taram	tara	suffix-strip	16	10649	m
buhler	tre	tra	suffix-strip	16	23796	m
buhler	pitu	pitu	surface	16	10858	mn
buhler	tari	tari	surface	16	35949	f
buhler	man	ma	suffix-strip	16	12205	m
buhler	jIvitam	jIvita	suffix-strip	17	611	n
buhler	stenAH	stena	suffix-strip	17	3908	m
buhler	vESyAH	vESya	suffix-strip	17	1082	m
buhler	vARijyena	vARijya	suffix-strip	17	6402	n
buhler	pASupAlyena	pASupAlya	suffix-strip	17	14614	n
buhler	sUta	sUta	surface	18	144	mn
buhler	raTam	raTa	suffix-strip	18	66	m
buhler	kAlidAsasya	kAlidAsa	suffix-strip	18	47379	m
buhler	upanayane	upanayana	suffix-strip	18	6336	n
buhler	yudDe	yudDa	suffix-strip	18	248	n
buhler	prayAge	prayAga	suffix-strip	18	3569	mn
buhler	yaH	ya	suffix-strip	19	7019	m
buhler	me	ma	suffix-strip	19	12205	m
buhler	yena	ya	suffix-strip	19	7019	m
buhler	vAtena	vAta	suffix-strip	19	133	m
buhler	vAri	vAri	surface	19	973	n
buhler	tena	ta	suffix-strip	19	8823	m
buhler	vahati	vahati	surface	19	35949	m
buhler	paRqitaH	paRqita	suffix-strip	19	1743	m
buhler	pArTiva	pArTiva	surface	19	399	m
buhler	tA	tA	surface	19	78	f
buhler	Bavati	Bavati	surface	19	35949	m
buhler	puRyEH	puRya	suffix-strip	19	191	adj
buhler	janAH	jana	suffix-strip	19	140	m
