book	surface_slp1	first_lesson	rank_all	count_all	pos
buhler	tatra	1	30	13768	ind
buhler	tadA	1	60	7650	ind
buhler	atra	1	67	6130	ind
buhler	kaTam	1	139	3543	ind
buhler	adya	1	156	3268	ind
buhler	sadA	1	189	2946	ind
buhler	yadA	1	260	2425	ind
buhler	kva	1	783	915	ind
buhler	sarvatra	1	1098	649	ind
buhler	aDunA	1	1891	352	ind
buhler	yajati	1	35949	2	m
buhler	a	2	112	3970	ind
buhler	e	2	954	753	2.P.
buhler	kadA	2	3724	144	ind
buhler	he	2	4716	102	ind
buhler	pibati	2	82084		?
buhler	k	3	6664	60	m
buhler	mi	3	17217	10	5.Ā.
buhler	tizWati	3	82084		?
buhler	na	4	3	53981	ind
buhler	gam	4	25	15950	6.Ā.
buhler	ka	4	34	12187	pron
buhler	agni	4	45	9689	m
buhler	nara	4	83	5011	m
buhler	A	4	157	3267	ind
buhler	u	4	477	1417	ind
buhler	ruh	4	2079	310	6.Ā.
buhler	I	4	3181	180	Int.Ā.
buhler	vasati	4	4256	119	f
buhler	r	4	12205	20	m
buhler	ma	4	12205	20	m
buhler	tata	4	15149	13	m
buhler	ti	4	16413	11	mn
buhler	hati	4	16413	11	f
buhler	n	4	17217	10	m
buhler	pa	4	19118	8	m
buhler	p	4	20365	7	m
buhler	nfpA	4	26474	4	f
buhler	devA	4	35949	2	f
buhler	janA	4	59389		?
buhler	puna	4	59389		?
buhler	dahati	4	59389		?
buhler	mas	4	82084		?
buhler	ca	6	1	155088	ind
buhler	tu	6	10	35004	ind
buhler	jan	6	62	7380	4.P.
buhler	maDu	6	253	2490	n
buhler	ram	6	495	1376	4.Ā.
buhler	kram	6	2293	276	4.P.
buhler	t	6	2644	229	m
buhler	am	6	10649	26	m
buhler	s	6	14114	15	m
buhler	SAmyati	6	82084		?
buhler	ati	7	135	3619	ind
buhler	c	7	4022	130	m
buhler	l	7	5660	77	m
buhler	d	7	20365	7	m
buhler	h	7	21838	6	m
buhler	j	7	35949	2	m
