cpd_token_id	vigraha	first_member_form	text	ref
557709	ātta-cāpo yena saḥ	ātta	Bhāgavatapurāṇa	BhāgPur, 4, 16 (s20)
4184387	āgato roṣo yayoḥ tau	āgata	Rāmāyaṇa	Rām, Yu, 64 (s24)
4295984	priyaṃ yaśo yasya saḥ	priya	Saundarānanda	SaundĀ, 8 (s57)
425799	madirā ādir yeṣāṃ tāni, taiḥ	madirā	Aṣṭāṅgahṛdayasaṃhitā	AHS, Utt., 39 (s115)
5573463	puravo vājā yāsāṃ tāḥ (ūtayaḥ)	puru	Ṛgveda	ṚV, 6, 10 (s5)
230412	hutaṃ bhāgo yeṣāṃ te	huta	Atharvaveda (Śaunaka)	AVŚ, 18, 4 (s21)
1526107	kṣato deho yasya saḥ	kṣata	Kathāsaritsāgara	KSS, 1, 7 (s96)
2796047	naṣṭa ādityo yasmin (āhave)	naṣṭa	Mahābhārata	MBh, 8, 54 (s17)
5577123	kṣatraṃ śrīr yasya saḥ	kṣatra	Ṛgveda	ṚV, 6, 26 (s8)
4748445	pañcaviṃśatiḥ anto yasya tat	pañcaviṃśati	Tantrāloka	TĀ, 3 (s153)
1090928	catvāraḥ bhujā yasyāḥ sā	catur	Garuḍapurāṇa	GarPur, 1, 41 (s2)
3893848	gaganam ādir yeṣāṃ tāni	gagana	Rasārṇava	RArṇ, 4 (s15)
3576330	āḥkāraḥ anto yasya tat	āḥkāra	Nirukta	N, 1, 17 (s12)
4124260	varam ānanaṃ yasyāḥ (sā)	vara	Rāmāyaṇa	Rām, Su, 18 (s22)
3450150	aṣṭau cakrāṇi yasya (yānasya)	aṣṭa	Matsyapurāṇa	MPur, 163 (s107)
4005952	viṣaṇṇaṃ vadanaṃ yasya (saḥ)	viṣaṇṇa	Rāmāyaṇa	Rām, Bā, 61 (s3)
2694673	ayaḥ haste yeṣām (te)	ayas	Mahābhārata	MBh, 7, 97 (s39)
