sutra	n_words	words_iast
P.1.1.1	4	aicchika|guṇa|maṇi|vṛddhi
P.1.1.2	1	guṇa
P.1.1.3	8	dhā|guṇa|paribhāṣā|sthā|suśrut|tatra|vṛddhi|yatra
P.1.1.4	7	loluva|marīmṛja|nimitta|popuva|pratiṣedha|āp|ārdhadhātuka
P.1.1.5	2	lakṣaṇa|nimitta
P.1.1.6	4	chāndasa|viṣayatva|ādīdhyaka|āvevyaka
P.1.1.7	3	anantara|dhā|saṃyoga
P.1.1.8	8	anunāsika|car|iyant|mukha|nāsikā|sahita|vacana|yama
P.1.1.9	37	aghoṣa|aghoṣamahāprāṇaprayatnavant|alpaprāṇa|aṅka|bāhya|ghoṣa|grāhya|guṇa|jñāna|kaṇṭhya|kārya|mahāprāṇa|mithas|mūrdhan|oṣṭha|pañcama|prayatna|prayoga|prātiśākhya|savarṇa|saṃvāra|sidh|sparś|upadhmānīya|var|varṇa|vicāra|visarga|viveka|vivāra|yuj|ābhyantara|āntaratamya|āsya|āśraya|īṣat|śvāsa
P.1.1.10	5	anyathā|bala|grahaṇaka|paraspara|savarṇa
P.1.1.11	10	bodhya|daṃpati|dvivacana|jampatī|maṇi|pragṛhya|pratiṣedha|rodasī|va|vā
P.1.1.12	2	adas|saṃbandhin
P.1.1.14	12	a|bhid|i|kriyāyoga|maryādā|nipāta|oṣṇa|smaraṇa|u|vid|vākya|ā
P.1.1.15	3	aho|uta|āho
P.1.1.16	6	anārṣa|iti|nimittaka|saṃbuddhi|vaidika|śākalya
P.1.1.17	1	u
P.1.1.18	3	iti|u|ūm̐
P.1.1.19	8	adhi|gaura|māmaka|mātra|saptama|sarasī|vart|śri
P.1.1.20	7	barhis|dhā|dā|gṛhītavya|rūpa|vinā|yam
P.1.1.21	4	asahāya|eka|kārya|ādyudātta
P.1.1.22	1	kumāra
P.1.1.23	8	bahuka|gaṇaśas|kati|katidhā|saṃkhya|tati|tāvatkṛtvas|yati
P.1.1.24	1	ṣaṣ
P.1.1.25	3	kati|tati|yati
P.1.1.26	1	niṣṭha
P.1.1.27	32	asma|bhavant|dva|eka|etad|idam|itara|jñāpaka|ka|katama|katara|nema|para|paramasarvatra|paṭh|pūrva|rūpa|sama|sarva|sarvanāman|sima|smar|sva|svarabheda|ta|tva|tya|ubha|ubhaya|viśva|ya|yu
P.1.1.28	10	bahuvrīhi|diś|grahaṇa|iha|muh|pratipadam|pūrva|samāsa|uttara|uttarapūrva
