sutra	n_words	words_iast
P.1.1.29	7	makat|muktasaṃśaya|pratyaṅgam|priya|saṃśaya|tvakat|tvatka
P.1.1.30	4	māsapūrva|pūrva|tṛtīyāsamāsa|vākya
P.1.1.31	2	itara|varṇa
P.1.1.32	4	itara|kārya|vac|ādhāra
P.1.1.33	9	ardha|carama|catuṣṭaya|dvitaya|kalpa|katipaya|nema|prathama|prati
P.1.1.34	17	abhidheya|adhara|apara|apekṣā|avadhi|avara|dakṣiṇa|gaṇapāṭha|gāthaka|niyama|para|pūrva|sarvatra|saṃjñā|uttara|vyavasthā|āp
P.1.1.35	3	sva|vācin|ātmīya
P.1.1.36	8	antara|bahiryoga|bāhya|kṣip|paridhānīya|prāvaraṇīya|upasaṃvyāna|śāṭaka
P.1.1.37	123	avyaya|bahis|bala|bata|bhuvas|bhājak|bhūr|bhūyaṃs|cira|cirarātra|divā|diṣṭi|doṣa|duṣṭu|hai|he|hetu|hiruk|hyas|iddhā|jhaṭiti|joṣa|jyok|kam|ku|kāmam|kṣam|mak|manāk|maṅkṣu|mithas|mitho|mithu|mithyā|mudhā|muhus|mā|mṛṣā|na|nak|nakta|namas|nikaṣā|nitya|nityadā|nānā|nīcais|om|param|paryanta|+73
P.1.1.38	5	prabhṛti|prāñc|sarva|taddhita|vibhakti
P.1.1.39	2	kṛt|svarūpa
P.1.1.40	1	sarp
P.1.1.41	3	adhihari|avyayībhāva|upāgni
P.1.1.42	1	sarvanāmasthāna
P.1.1.43	6	a|draṣṭavya|napuṃsaka|samartha|sāmarthya|tarhi
P.1.1.44	3	pratiṣedha|vibhāṣā|vikalpa
P.1.1.45	6	bhāvin|jāta|krama|samudāya|saṃprasāraṇa|sthāna
P.1.1.46	4	anuṣaṅga|avayava|krama|pūrva
P.1.1.47	8	antya|apavāda|madhya|nirdhāraṇa|para|paratva|pūrva|sthāneyogin
P.1.1.48	5	atinau|atirai|ri|upagu|ādeśa
P.1.1.49	7	bodhya|iha|prasaṅga|saṃbandha|sthāneyoga|viśeṣa|ṣaṣṭha
P.1.1.50	27	aneka|antara|anyatama|balīyaṃs|bhū|caturtha|diś|dvitīya|grahaṇa|guṇa|nādavant|pramāṇa|prasaṅga|sadṛśa|savarṇa|sañj|soṣman|sthāna|sādṛśya|tṛtīya|vart|vidhā|yathā|yatra|āntarya|āp|ūṣman
P.1.1.51	3	guṇa|jan|para
P.1.1.52	1	diś
P.1.1.54	4	dhā|kārya|nirdeśa|para
P.1.1.55	2	aneka|diś
P.1.1.56	22	atideśa|bhāva|jñā|karaṇa|prayojana|prāñc|pṛthaktva|rabh|saṃbandhin|sthānivat|tulya|ubhayatra|udāharaṇa|varj|vart|vidhi|yathā|ādeśa|ānumānika|āp|āśraya|śri
P.1.1.57	17	abhāva|anurodha|api|atideśa|bhūta|darś|laghay|lakṣya|nimitta|nirdeśa|paṭay|pūrva|saurya|sauryin|vart|vidhi|viṣayasaptamī
P.1.1.58	11	cikīrṣaka|dvirvacana|dvitva|gdhi|kaṇḍūti|niṣedha|pratidivan|sudhī|yāti|yāyāvara|śiṣ
P.1.1.59	5	aś|aṭ|dvirvacana|dvitva|sidh
P.1.1.60	3	adarśana|lopa|uccāraṇa
P.1.1.61	3	luk|lup|pratyaya
P.1.1.62	20	a|anyatara|atha|ekadeśa|gam|han|kar|kimartham|kṛtsna|lakṣaṇa|lup|niyama|prayojana|sidh|sūtra|yathā|yoga|āśraya|śakya|śri
P.1.1.63	7	antodātta|atri|garga|uṣṭragrīva|vida|ādyudātta|āṅga
P.1.1.64	1	śabda
P.1.1.65	2	pūrva|upadhā
P.1.1.66	3	dhā|diś|nirdeśa
P.1.1.67	1	dhā
P.1.1.68	9	bodhanīya|bāhya|grahaṇa|nirdeśa|rūpa|svarūpa|viśeṣa|śabda|śabdasaṃjñā
P.1.1.69	9	dvidhā|para|pratyeka|rīti|savarṇa|sāmarthya|sāvarṇya|triṃśat|ārambha
P.1.1.70	2	kāla|para
P.1.1.71	2	madhyapatita|pat
P.1.1.72	5	kram|pratiṣedha|sarvamāgadhaka|varjam|vidhi
P.1.1.73	6	madhya|mālīya|punar|samudāya|vṛddha|śālīya
P.1.1.74	2	prādus|tadīya
P.1.1.75	16	aiṇīpacana|bhaujakaṭa|bhojakaṭīya|bāhīka|daivadatta|devadatta|deśa|eṇīpacana|gaumata|gaunarda|gomant|gonarda|gonardīya|prāgdeśa|prāñc|āhicchatra
P.1.1.87	1	prādus
P.1.1.151	1	āścarya
P.1.1.181	1	kati
P.1.2	1	adhihari
P.1.2.1	9	bhid|gā|iti|kuṭ|paryudāsa|rabh|uruvyacas|utkoṭa|vyac
P.1.2.2	2	svaj|vij
P.1.2.3	2	prātipadika|ūrṇu
P.1.2.4	2	adhikāra|sārvadhātuka
P.1.2.5	2	bhid|sraṃs
P.1.2.6	24	artha|bodhya|dabh|grahaṇa|grath|iṣṭi|man|mādhava|mūla|mṛgya|nityatva|nyāsa|pakṣa|prāpti|rūpa|sudhākara|svaj|udāharaṇa|vacana|viṣayaka|viṣayatva|ānarthakya|śrath|śri
P.1.2.7	8	apavāda|gudh|kliś|kuṣ|mard|marḍ|vad|vas
P.1.2.8	6	grabh|muṣ|prach|rud|svap|vid
P.1.2.9	6	bādh|har|paratva|sthā|stu|śī
P.1.2.10	7	bhid|budh|dabh|samīpa|vardh|vācakatva|yaj
P.1.2.11	5	bhid|budh|ci|sarj|yaj
P.1.2.12	1	har
P.1.2.13	2	gam|vā
P.1.2.14	1	han
P.1.2.15	5	gandhana|sūcana|vart|yam|āviṣkaraṇa
P.1.2.16	2	upayamana|yam
P.1.2.17	3	dhā|dā|sthā
P.1.2.18	5	div|nigṛhīti|nikuciti|sev|vart
P.1.2.19	9	anubandha|dharṣ|kṣvid|mid|nirdeśa|nivṛtti|niṣṭha|svid|śī
P.1.2.20	2	marṣ|titikṣa
P.1.2.21	10	anyatarasyām|bhuj|cud|dyut|kārṣāpaṇa|luṭh|odana|ruc|vikaraṇa|ādikarman
P.1.2.22	2	grahaṇa|pū
P.1.2.23	5	grath|guph|riph|sraṃs|vart
P.1.2.24	3	art|luñc|vañc
P.1.2.25	6	gandhana|karś|marṣ|sūtra|tarṣ|vart
P.1.2.26	6	div|dyut|likh|ruc|vart|śuc
P.1.2.27	11	dīrgha|evam|grahaṇa|hrasva|krama|kāla|nivṛtti|parimāṇa|plu|samudāya|saṃyogin
P.1.2.28	1	sthā
P.1.2.29	5	bhāga|pad|uccais|udātta|ūrdhvabhāga
P.1.2.30	4	adhobhāga|anudātta|bhāga|nīcais
P.1.2.31	6	anudātta|anudāttatva|dharma|samāhāra|svarita|udātta
P.1.2.32	8	ardha|bhāṣya|hrasva|spaś|sārdha|tathā|āditas|śiṣ
P.1.2.33	14	aikaśrutya|bheda|budh|dhā|dūra|ekaśruti|math|saṃbodhana|saṃbuddhi|tirodhāna|traisvarya|vibhāga|vivāda|vākya
P.1.2.34	10	e|gīti|japa|nyūṅkha|prayoga|upāṃśu|varcas|yajñakarman|yajñakriyā|ṣoḍaśan
P.1.2.35	11	grahaṇa|kasmāt|kṛti|lakṣay|pakṣa|uccaistara|vaṣaṭkāra|vicitra|vidhāna|vā|yadi
P.1.2.36	14	antara|api|bahvṛca|brāhmaṇa|chandas|kar|pakṣa|pākṣika|saṃhita|sthā|svādhyāya|viṣaya|vyavasthā|yathāsaṃpradāyam
P.1.2.37	5	ekaśruti|nigada|subrahmaṇya|svarita|udātta
P.1.2.38	2	anudātta|deva
P.1.2.39	4	ekaśruti|saṃhita|vart|viṣaya
P.1.2.40	2	para|sad
P.1.2.41	3	apṛkta|ghṛtaspṛś|pratyaya
P.1.2.42	5	adhikaraṇa|ekadharmin|karmadhāraya|mahānavamī|tatpuruṣa
P.1.2.43	5	diś|upasarjana|vidhāyaka|vācya|śāstra
P.1.2.44	9	alaṃkumāri|jīvaka|nipāta|niṣkauśāmbi|pañcagu|vibhakti|vigraha|yam|āp
P.1.2.45	8	arthavant|autsargika|niṣedha|padatva|prātipadika|varja|ḍavittha|ḍittha
P.1.2.46	6	kṛt|lih|niyama|samāsa|taddhita|vākya
P.1.2.47	7	atinau|atirai|parigraha|pradhāna|prātipadika|ri|śrīpā
P.1.2.48	14	atikhaṭva|atilakṣmī|atirājakumāri|atiśrī|grahaṇa|gu|lakṣmī|mātra|strī|strīpratyaya|upasarjana|vacana|vakṣyamāṇatva|śrī
P.1.2.49	8	daśendra|diś|indrāṇī|luk|pañcendra|vyapadeśya|āmalaka|śaṣkula
P.1.2.50	3	goṇī|pañcagoṇi|sūci
P.1.2.51	17	adūra|atideśa|bahutva|bhava|janapada|kaṭubadarī|lup|magadha|nivāsa|pañcāla|prakṛti|puṃstva|vacana|vaṅga|vyakti|yuj|śirīṣa
P.1.2.52	4	goda|jāti|varj|viśeṣaṇa
P.1.2.53	19	bodha|diś|dāra|lokavyavahāra|pramāṇatva|pratipādaka|pratipādya|prāmāṇya|samudāya|saṃjñā|sidh|sikatā|svabhāva|varaṇa|varṣa|yatna|yogaśabda|śiṣya|śāstrīya
P.1.2.54	9	khyā|kāraṇa|labh|pad|prakhyāna|pratīti|vidhāna|vyartha|yoga
P.1.2.55	5	abhyupagantavya|gam|pramāṇa|pramāṇatva|rūḍhi
P.1.2.56	5	artha|cakṣ|pradhāna|prakṛti|vacana
P.1.2.57	8	adyatana|bhāṣ|nyāyya|paribhāṣā|saṃveśana|tulya|upasarjana|utthāna
P.1.2.58	1	jāti
P.1.2.59	2	asma|yu
P.1.2.60	3	nakṣatra|phalguna|proṣṭhapada
P.1.2.61	2	ekavacana|punarvasu
P.1.2.62	2	artha|viśākha
P.1.2.63	5	anurādhā|dvaṃdva|dvivacana|punarvasu|tiṣya
P.1.2.64	4	eka|ekaśeṣa|lup|sarūpa
P.1.2.65	4	lakṣaṇa|viśeṣa|vṛddha|yuvan
P.1.2.66	4	gārgyāyaṇa|gārgī|puṃvat|strī
P.1.2.67	3	kukkuṭa|mayūra|pumaṃs
P.1.2.68	2	bhrātar|putra
P.1.2.69	2	a|ekavat
P.1.2.70	1	pitar
P.1.2.71	2	śvaśrū|śvaśura
P.1.2.73	5	go|grāmyapaśu|saṃgha|taruṇa|śapha
P.1.3.1	3	dhātu|kriyā|udāharaṇa
P.1.3.2	2	anunāsika|upadeśa
P.1.3.3	1	antya
P.1.3.4	1	vibhakti
P.1.3.10	2	anudeśa|yathāsaṃkhyam
P.1.3.11	7	adhikāra|dharma|svar|svarita|sādhana|veditavya|viniyoga
P.1.3.12	2	anudātta|ātmanepada
P.1.3.13	1	autsargika
P.1.3.14	4	dyotya|lavana|lū|vyatihāra
P.1.3.15	5	gam|han|hiṃs|i|sarp
P.1.3.16	4	anyonya|itaretara|lū|upapada
P.1.3.17	1	viś
P.1.3.18	2	krī|sahacarita
P.1.3.19	3	bahuvi|ji|sāhacarya
P.1.3.20	5	dā|vac|viharaṇa|vipādikā|āsya
P.1.3.21	4	krīḍ|tvar|tācchīlya|śap
P.1.3.22	3	edha|pratijñā|sthā
P.1.3.23	7	nirṇetar|pada|prakāśana|stheya|sthā|ākhyā|āviṣkaraṇa
P.1.3.24	3	pīṭha|sthā|ūrdhvakarman
P.1.3.25	4	aindra|gārhapatya|mantrakaraṇa|sthā
P.1.3.26	4	akarmaka|bhojanakāla|sthā|śudh
P.1.3.27	1	tap
P.1.3.28	2	han|yam
P.1.3.29	2	arch|gam
P.1.3.30	1	hvā
P.1.3.31	2	hvā|spardhā
P.1.3.32	13	abhibhava|avakṣepaṇa|gandhana|kar|prakathana|pratipādana|pratiyatna|sevana|sāhasikya|upayoga|vartaka|viniyoga|ādhāna
P.1.3.33	5	bhū|kar|kṣam|kṣama|prasahana
P.1.3.34	1	kar
P.1.3.35	2	kar|saindhava
P.1.3.36	10	bhṛti|niryātana|nī|saṃmānana|utsañjana|vetana|vigaṇana|vyaya|ācārya|āp
P.1.3.37	3	dūrīkar|gaḍu|nī
P.1.3.38	9	adhyayana|han|kram|pratibandha|sarga|sphīta|sphītatā|tāyana|vṛtti
P.1.3.39	1	kram
P.1.3.40	3	kram|kutapa|udgamana
P.1.3.41	4	dvidhā|kram|saṃdhi|viharaṇa
P.1.3.42	4	kram|prārambha|samartha|tulya
P.1.3.43	1	kram
P.1.3.44	4	apahnava|apalāpa|jñā|lap
P.1.3.45	1	jñā
P.1.3.46	6	bhaj|jñā|smaraṇa|sāmarthya|yoga|ādhyāna
P.1.3.47	13	avabodha|bhāsana|chad|kulabhāryā|samyagavabodha|samyagbodha|sāntvay|upacchandana|upamantraṇa|upasaṃbhāṣā|upaśāntvana|vad|vimati
P.1.3.48	3	samuccāraṇa|vad|vyakta
P.1.3.49	4	kalāpa|kaṭha|kālāpa|vad
P.1.3.50	7	mauhūrta|rudh|sāṃvatsara|vad|vibhāṣā|vipralāpa|virodhokti
P.1.3.51	2	gar|yuj
P.1.3.52	3	gar|grāsa|pratijñāna
P.1.3.53	2	car|sakarmaka
P.1.3.54	2	car|loka
P.1.3.55	2	caturtha|yam
P.1.3.56	5	pāṇigrahaṇa|svakaraṇa|svīkāra|yam|śiṣ
P.1.3.57	4	darś|jñā|smar|śru
P.1.3.58	3	jñā|niṣedha|pūrva
P.1.3.59	1	śru
P.1.3.60	2	śad|śī
P.1.3.61	2	mar|sidh
P.1.3.62	6	gup|kram|viś|ās|ātmanepadin|śī
P.1.3.63	3	anuprayoga|vart|yuj
P.1.3.64	2	yajñapātra|yuj
P.1.3.65	1	kṣṇu
P.1.3.66	2	avana|bhuj
P.1.3.67	9	darś|gaṇay|gulma|hastipaka|lū|ruh|smar|sthala|vanagulma
P.1.3.68	6	bhī|hetu|muṇḍa|smi|upalakṣaṇa|ārambha
P.1.3.69	7	abhikāṅkṣā|gardh|har|mithyāphala|pad|pralambhana|vañc
P.1.3.70	6	lī|nyagbhāvana|nyañc|saṃmānana|vartaka|śālīnīkaraṇa
P.1.3.71	6	abhyāsa|car|kar|mithyā|upapada|vac
P.1.3.72	10	abhiprāya|i|paragāmin|phala|pācaka|svarita|tadartham|yaj|yajamāna|yājaka
P.1.3.73	1	vad
P.1.3.74	2	gāmin|pac
P.1.3.75	5	grantha|kar|udyama|vrīhi|yam
P.1.3.76	1	jñā
P.1.3.77	4	dyut|i|jñā|vad
P.1.3.78	2	parasmaipada|prakaraṇa
P.1.3.79	1	kar
P.1.3.80	1	kṣip
P.1.3.81	1	vah
P.1.3.82	2	marṣ|vah
P.1.3.83	1	ram
P.1.3.84	3	ram|saṃbandha|uttaratra
P.1.3.85	2	ram|vart
P.1.3.86	10	budh|dru|ga|i|jan|naś|pru|sru|syad|yudh
P.1.3.87	7	ad|aś|bhuj|cal|calana|kamp|nigaraṇa
P.1.3.88	4	cittavant|ās|śuṣ|śī
P.1.3.89	10	dam|dhā|muh|nart|pā|ruc|vad|vas|yam|yas
P.1.3.91	8	dyut|kalp|luṭh|mid|ruc|sraṃs|vardh|śardh
P.1.3.92	5	kalp|syad|vardh|vart|śardh
P.1.3.93	1	kalp
P.1.3.136	1	nipāta
P.1.4.1	6	avakāśa|itas|saṃjñā|uccaistva|upaniveśin|ūrdhva
P.1.4.2	4	avakāśa|prasaṅga|vipratiṣedha|vāṭ
P.1.4.3	2	nada|vṛttikāraṃ
P.1.4.4	1	sthāna
P.1.4.6	2	bhid|nipāta
P.1.4.7	2	varjam|śeṣa
P.1.4.8	1	pati
P.1.4.9	1	pati
P.1.4.10	1	laghu
P.1.4.11	2	guru|saṃyoga
P.1.4.12	2	dīrgha|guru
P.1.4.13	1	aṅga
P.1.4.14	1	pada
P.1.4.15	6	pada|rājāy|rājīy|srucy|varmāy|vācy
P.1.4.17	2	sarvanāmasthāna|varj
P.1.4.18	1	varṣaka
P.1.4.19	4	payasvin|udaśvit|vidyutvant|yaśasvin
P.1.4.20	2	ayasmaya|ṛkvan
P.1.4.21	2	bahuvacana|sāmānya
P.1.4.22	2	dvivacana|ekavacana
P.1.4.23	2	kāraka|nirvartaka
P.1.4.24	9	apādāna|apāya|avadhi|dhruva|gup|jugupsā|pat|viśleṣa|yā
P.1.4.25	2	bhī|trā
P.1.4.26	1	ji
P.1.4.27	4	var|vāraṇa|yava|āp
P.1.4.28	4	adarśana|antardhi|dhā|lī
P.1.4.29	5	i|pratipādayitar|upayoga|ākhyātar|śru
P.1.4.30	5	gomaya|jan|pad|prakṛti|vṛścika
P.1.4.31	3	bhū|himavant|prabhava
P.1.4.32	2	i|saṃpradāna
P.1.4.33	6	abhilāṣa|modaka|prī|ruc|ruci|svad
P.1.4.34	6	hnu|jñā|raṇḍa|sthā|śap|ślāgh
P.1.4.35	2	dhar|uttamarṇa
P.1.4.36	2	prakarṣa|sparh
P.1.4.37	14	akṣamā|amarṣa|apakāra|asūy|asūyā|droha|druh|kopa|krodha|krudh|nipāta|prati|īrṣy|īrṣyā
P.1.4.38	3	druh|krudh|sarj
P.1.4.39	5	loc|rādh|vipraśna|īkṣ|śubhāśubha
P.1.4.40	1	śru
P.1.4.41	4	gar|hotar|prathama|sah
P.1.4.42	2	karaṇa|sādhaka
P.1.4.43	1	div
P.1.4.44	4	krī|parikrayaṇa|saṃpradāna|yam
P.1.4.45	8	abhivyāpaka|adhikaraṇa|aupaśleṣika|dhar|icchā|sthāla|vaiṣayika|ādhāra
P.1.4.46	3	sthā|ās|śī
P.1.4.47	5	abhiniveśa|maṇḍūka|pluti|samudāya|viś
P.1.4.48	1	vas
P.1.4.49	1	karman
P.1.4.50	1	sarp
P.1.4.51	22	bhikṣ|brū|ci|daṇḍay|duh|har|ji|karṣ|kṣīranidhi|math|muṣ|nī|pac|parigaṇana|prach|rudh|sudhā|vac|vah|vraja|yāc|śās
P.1.4.52	11	bhakṣ|bhuj|budh|gam|gopa|jakṣ|pac|pratyavasāna|īr|śabdakarman|śī
P.1.4.53	2	har|kar
P.1.4.54	6	kartar|pac|sthāla|svatantra|svātantrya|vac
P.1.4.55	3	hetu|prayojaka|preraka
P.1.4.56	6	abhi|jñā|nipāta|protha|prāñc|uccāraṇa
P.1.4.57	90	ai|au|ava|bata|baṭ|bhājak|brū|ced|chambaṭ|cāṭu|daha|dikam|dvai|e|ghum|ha|hahe|hai|he|hehai|ho|hā|i|iddhā|kam|kham|khum|kum|kuvid|kūpat|man|mākim|mākis|mākīm|mātra|na|nahi|nakim|nakis|nakīm|ned|o|paśu|phaṭ|pratirūpaka|pyāṭ|pāṭ|rai|saha|sanukam|+40
P.1.4.58	8	apa|bahuvacana|pari|parā|pra|prati|sam|vi
P.1.4.59	5	abhi|api|pranāyaka|upasarga|vart
P.1.4.60	11	abhi|apa|api|artha|ava|duṣ|gati|mā|su|ud|upa
P.1.4.61	36	bhraṃśakalā|dhvaṃsakalā|dhūli|dhūsī|gulugudhā|kevāla|masamasā|maṣmaṣā|paryālī|paṭat|phala|phalīkar|prādus|sajuṣ|saṃśakalā|sevāsī|svadhā|svāhā|tanthī|tāla|urarī|vandhā|varṣālī|vauṣaṭ|vaśmasā|vaṣaṭ|vetāla|viklī|āklī|āloṣṭī|ātālī|āvis|śakalā|śevāla|śrauṣaṭ|ūrī
P.1.4.62	7	anukaraṇa|khāt|khāṭ|para|paraka|viṣaya|ṣṭhiv
P.1.4.63	5	anādara|asant|bahuvacana|sant|ādara
P.1.4.64	2	alam|bhūṣaṇa
P.1.4.65	5	antar|grabh|han|nī|parigraha
P.1.4.66	6	han|kaṇe|manas|pratirūpaka|pratīghāta|śraddhā
P.1.4.67	1	puras
P.1.4.68	1	asta
P.1.4.69	3	accha|gam|vad
P.1.4.70	3	adas|adaḥkar|upadeśa
P.1.4.71	2	antardhi|tiras
P.1.4.72	1	tiras
P.1.4.73	3	anvāje|dhā|upāje
P.1.4.74	23	amā|asaukar|bhadrākar|bījaruha|cintā|lavaṇa|mithyā|namas|prasahana|pratapana|prājayā|rocanākar|saṃsaryā|sākṣāt|udaka|uṣṇa|vaśa|vikasana|vījaryā|yadīya|ārdra|āsthā|śīta
P.1.4.75	5	atyādhāna|kar|manas|upaśleṣa|uras
P.1.4.76	4	madhya|nivacana|pada|yam
P.1.4.77	7	dārakarman|hastekar|kar|mātra|pāṇi|svīkāra|upayamana
P.1.4.78	3	bandhana|prādhva|ānukūlya
P.1.4.79	4	aupamya|jīvaka|kar|upaniṣad
P.1.4.81	2	para|pārivatsa
P.1.4.82	1	dhā
P.1.4.83	3	karmapravacanīya|kram|veditavya
P.1.4.84	6	anu|lakṣay|lakṣaṇa|varṣ|varṣaṇa|vi
P.1.4.85	4	anu|avasita|dyotya|sāhitya
P.1.4.86	3	anu|apakṛṣṭa|hīna
P.1.4.87	2	niṣka|upa
P.1.4.88	5	apa|deva|pari|varjana|varṣ
P.1.4.89	3	madhura|maryādā|ā
P.1.4.90	11	anu|bhāga|dyut|itthaṃbhūta|lakṣaṇa|pari|prati|sic|sādhu|vīpsā|ākhyāna
P.1.4.91	2	abhi|as
P.1.4.92	4	niryātana|prati|pratidāna|pratinidhi
P.1.4.93	6	adhi|anarthaka|bādha|dyotaka|pari|viśeṣa
P.1.4.94	3	su|susikta|suṣikta
P.1.4.95	4	ati|atikramaṇa|pad|pravṛtti
P.1.4.96	8	anvavasarga|api|dyotya|garhā|kāmacāra|palāṇḍu|samuccaya|saṃbhāvana
P.1.4.97	1	adhi
P.1.4.98	3	adhi|kar|viniyoktar
P.1.4.99	1	parasmaipada
P.1.4.100	1	ātmanepada
P.1.4.101	4	madhyama|prathama|trika|uttama
P.1.4.102	5	bahuvacana|dvivacana|ekavacana|ekaśas|labh
P.1.4.104	1	vibhakti
P.1.4.105	5	madhyama|puruṣa|sthānin|vācin|vācya
P.1.4.106	9	añj|man|prahāsa|pūrva|pūrvottara|uttama|vyatyāsa|yathārtha|śālaka
P.1.4.107	2	uttama|uttamapuruṣa
P.1.4.108	5	gauṇa|madbhū|mukhya|prathama|tvadbhū
P.1.4.109	6	dru|lamb|para|saṃhita|saṃnikarṣa|śī
P.1.4.110	2	avasāna|virāma
P.2.1.1	6	ekārtha|samartha|saṃbandhin|sāmarthya|vidhi|vyapekṣā
P.2.1.2	5	parigaṇana|prati|sumna|vāraṇa|āmantrita
P.2.1.3	8	anitya|kram|laukika|nitya|prāñc|samāsa|vigraha|vṛtti
P.2.1.4	3	vaikalpika|veditavya|ūrdhva
P.2.1.5	2	avyayībhāva|bodhya
P.2.1.6	50	adhi|adhistri|agnigrantha|anu|asaṃprati|ati|atinidram|ativṛtti|atiśītam|atyaya|avyaya|aśeṣa|bandh|dhvaṃsa|duḥśāka|duṣ|dyotaka|grahaṇa|i|iti|nirhimam|nirmakṣika|parigraha|paryanta|paścāt|prati|pratyartham|pratyeka|prādurbhāva|sa|sacakra|sahari|satṛṇam|saṃpatti|su|sumadra|sāgni|sākalya|tyaj|upa|vyṛddhi|yathā|yathāśakti|yaugapadya|yogya|yogyatā|yugapad|ādhikya|ānupūrvya|śīta
P.2.1.7	2	yathābhirūpam|yathādhyāpakam
P.2.1.8	7	avadhāraṇa|bhū|dvitīya|iyattā|mantray|pariccheda|yāvadamatram
P.2.1.9	3	mātra|prati|saptama
P.2.1.10	13	akṣapari|avāñc|bhū|ekapari|kaparda|pari|pañcaka|pañcama|pāta|pātayitar|saṃkhya|uttāna|śalākāpari
P.2.1.12	10	apa|atas|bahirgrāmam|bahis|deva|jñāpaka|pari|pañcama|prāñc|varṣ
P.2.1.13	5	abhividhi|caturtha|maryādā|vidhāna|ā
P.2.1.14	11	abhi|abhyagni|dyotaka|gam|lakṣaṇa|prati|srughna|tena|yena|ābhimukhya|āp
P.2.1.15	2	anu|aśani
P.2.1.16	4	anu|lakṣay|vārāṇasī|āyāma
P.2.1.17	27	ca|duḥṣama|khalevusam|khaleyavam|lūnayavam|lūyamānayavam|niḥṣama|pradakṣiṇa|pramṛgam|praratham|proḍham|prāhṇa|puṇyasama|pāpasama|pūtayavam|pūyamānayavam|samabhūmi|samapadāti|saṃhriyamāṇa|saṃhṛtabusam|saṃprati|suṣama|tiṣṭhadgu|vahadgu|viṣama|āyatīgavam|āyatīsamam
P.2.1.18	4	madhya|madhyegaṅgam|pāregaṅgam|ṣaṣṭha
P.2.1.19	9	dvimuni|janmavaṃśa|muni|saṃkhya|sāmānādhikaraṇya|trimuni|vaṃśa|vaṃśya|vidyāvaṃśa
P.2.1.20	4	dviyamunam|pañcanada|saptagaṅga|saptagodāvara
P.2.1.21	6	kṛṣṇaveṇā|lohitagaṅga|saṃjñā|tūṣṇīṃgaṅgam|unmattagaṅga|śanairgaṅgam
P.2.1.22	1	tatpuruṣa
P.2.1.23	1	dvigu
P.2.1.24	9	as|dvitīya|gam|i|pad|pat|pañcama|āp|śri
P.2.1.25	6	aikapadya|aikasvarya|atra|saṃbhava|svayam|svayaṃkṛta
P.2.1.26	4	gam|khaṭvā|khaṭvāpluta|kṣepa
P.2.1.27	2	kumāra|sāmi
P.2.1.28	4	chid|kumāra|mā|pañcama
P.2.1.29	3	atyanta|nirantara|saṃyoga
P.2.1.30	5	artha|guṇavacana|khaṇḍa|kāṇa|ṣaṣṭha
P.2.1.31	11	avara|kalaha|miśra|nipuṇa|pūrva|sadṛśa|sama|saṃmiśra|vikala|ślakṣṇa|ūna
