compound_id	compound_lemma	compound_surface	member_count	head_lemma	head_upos	head_case	head_gender	head_number	member_deprels	chapter_ref	text	sentence
cpd:058	tanmātra-kṛ-adhikāra	tanmātra kṛta adhikāraḥ	3	adhikāra	NOUN	Nom	Masc	Sing	-|-	MPur, 39	Matsyapurāṇa	sa tatra tanmātrakṛtādhikāraḥ krameṇa saṃvardhayatīha garbham
cpd:059	muni-sattama	muni sattamāḥ	2	sattama	ADJ	Voc	Masc	Plur	-	MPur, 53	Matsyapurāṇa	nāmatastāni vakṣyāmi śṛṇudhvaṃ munisattamāḥ
cpd:060	sūrya-dina	sūrya dine	2	dina	NOUN	Loc	Neut	Sing	-	MPur, 70	Matsyapurāṇa	yadā sūryadine hastaḥ puṣyo yātha punarvasuḥ
cpd:061	vṛtti-kṛt	vṛtti kṛt	2	kṛt	ADJ	Nom	Masc	Sing	-	MuA zu RHT, 4, 1.2	Mugdhāvabodhinī	abhre 'pi vṛttikṛdviśeṣamāha kadācid girijā devī haraṃ dṛṣṭvā manoharam
cpd:062	jṛ-rasa	jīrṇa rasasya	2	rasa	NOUN	Gen	Masc	Sing	-	MuA zu RHT, 19, 34.2	Mugdhāvabodhinī	atha jīrṇarasasyādhikyaṃ darśayannāha ghanetyādi
cpd:063	deva-manuṣya-ādi	deva manuṣya ādīnām	3	ādi	NOUN	Gen	Masc	Plur	-|-	PABh zu PāśupSūtra, 2, 26	Pañcārthabhāṣya	devamanuṣyādīnāṃ sthānaśarīrendriyaviṣayādiṣu yā ratiḥ rañjanādhivāsanā tatsarvam antaradṛṣṭyā sarvamīśvarakṛtameva draṣṭavyamityetad bhagavatyabhyadhikatvaṃ śeṣeṣu ca puruṣeṣu nyūnatvaṃ jñātvā yuktaṃ
cpd:064	tri-kalpa	tri kalpe	2	kalpa	NOUN	Loc	Masc	Sing	-	PABh zu PāśupSūtra, 5, 20	Pañcārthabhāṣya	vā trikalpe
cpd:065	lakuca-ambu	lakuca ambunā	2	ambu	NOUN	Ins	Neut	Sing	-	RPSudh, 6	Rasaprakāśasudhākara	kuṣmāṇḍakhaṇḍamadhye tu svedito lakucāmbunā
cpd:066	tulya-bhāga	tulya bhāgāḥ	2	bhāga	NOUN	Nom	Masc	Plur	-	RRSṬīkā zu RRS, 10, 15.3	Rasaratnasamuccayaṭīkā	sarve ca mithastulyabhāgāḥ
cpd:067	prakaṭa-mūṣā	prakaṭa mūṣāyām	2	mūṣā	NOUN	Loc	Fem	Sing	-	RRĀ, Ras.kh., 3	Rasaratnākara	dhametprakaṭamūṣāyāṃ yāvan nāgakṣayo bhavet
