A\B	tatpurusha	karmadharaya	dvigu	dvandva	bahuvrihi	avyayibhava	unclear	total_A
tatpurusha	49	6	0	0	1	0	0	56
karmadharaya	5	12	0	0	1	0	0	18
dvigu	0	0	2	0	0	0	0	2
dvandva	0	0	0	6	2	0	0	8
bahuvrihi	1	1	0	0	13	0	0	15
avyayibhava	0	0	0	0	0	0	0	0
unclear	1	0	0	0	0	0	0	1
total_B	56	19	2	6	17	0	0	100
