formation_class,distinct_stems,tokens,pct_of_peri
causative,297,2586,63.91
class10_lexical,43,751,18.56
ambiguous_caus_class10,63,366,9.05
denominative,27,174,4.3
plain_root,21,164,4.05
desiderative,5,5,0.12
intensive,0,0,0.0
TOTAL,456,4046,100.0
