lesson	lemma_iast	lemma_slp1	count_all	rank_all	band	cand_no	dcs_text	dcs_ref	dcs_sent	form	example_iast	public_glosses
XVIII	kāray	kAray	1521	433	топ-1000	1	Hitopadeśa	Hitop, 3	Hitop, 3, 102.5	kāraya	māṃ rajadarśanaṃ kāraya	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	2	Hitopadeśa	Hitop, 0	Hitop, 0, 40	kāritavān	etac cintayitvā rājā paṇḍitasabhāṃ kāritavān	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	3	Hitopadeśa	Hitop, 2	Hitop, 2, 90.17	kāritavantau	tataḥ saṃjīvakam ānīya darśanaṃ kāritavantau	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	4	Hitopadeśa	Hitop, 1	Hitop, 1, 81	kārayet	durjanena samaṃ sakhyaṃ vairaṃ cāpi na kārayet	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	5	Hitopadeśa	Hitop, 1	Hitop, 1, 109.3	kārayet	pañca yatra na vidyante tatra vāsaṃ na kārayet	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	6	Hitopadeśa	Hitop, 3	Hitop, 3, 81.2	kārayet	phalgu sainyaṃ ca yat kiṃcin madhye vyūhasya kārayet	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	7	Manusmṛti	ManuS, 8	ManuS, 8, 249	kārayet	upacchannāni cānyāni sīmāliṅgāni kārayet	побуждая | велел сделать | приказал
XVIII	kāray	kAray	1521	433	топ-1000	8	Manusmṛti	ManuS, 8	ManuS, 8, 251.2	kārayet	tāni saṃdhiṣu sīmāyām aprakāśāni kārayet	побуждая | велел сделать | приказал
XVIII	darśay	darSay	1159	594	топ-1000	1	Hitopadeśa	Hitop, 3	Hitop, 3, 7.9	darśitaḥ	tato mayāpi svavikramo darśitaḥ	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	2	Hitopadeśa	Hitop, 1	Hitop, 1, 73.4	darśayāmi	tad ahaṃ tvāṃ tatra nītvā darśayāmi	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	3	Hitopadeśa	Hitop, 1	Hitop, 1, 3.9	darśayiṣyati	na jāne kim anabhimataṃ darśayiṣyati	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	4	Hitopadeśa	Hitop, 2	Hitop, 2, 113	darśayanti	atathyāny api tathyāni darśayanti hi peśalāḥ	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	5	Hitopadeśa	Hitop, 2	Hitop, 2, 119.11	darśitavatī	tataḥ sā tatputraṃ kusūlād bahiṣkṛtya darśitavatī	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	6	Hitopadeśa	Hitop, 2	Hitop, 2, 97	darśayate	niyuktaḥ kṣatriyo dravye khaḍgaṃ darśayate dhruvam	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	7	Hitopadeśa	Hitop, 2	Hitop, 2, 124.6	darśaya	siṃhaḥ sakopam āha satvaraṃ gatvā durātmānaṃ darśaya	показал | яви | явил
XVIII	darśay	darSay	1159	594	топ-1000	8	Hitopadeśa	Hitop, 1	Hitop, 1, 8.3	darśayati	kutra tava kaṅkaṇam vyāghro hastaṃ prasārya darśayati	показал | яви | явил
XVIII	sthāpay	sTApay	1100	632	топ-1000	1	Hitopadeśa	Hitop, 4	Hitop, 4, 61.9	sthāpitaḥ	tena cābhayavācaṃ dattvā citrakarṇa iti nāma kṛtvā sthāpitaḥ	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	2	Manusmṛti	ManuS, 7	ManuS, 7, 44.2	sthāpayituṃ	jitendriyo hi śaknoti vaśe sthāpayituṃ prajāḥ	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	3	Manusmṛti	ManuS, 7	ManuS, 7, 141.2	sthāpayed	sthāpayed āsane tasmin khinnaḥ kāryekṣaṇe nṝṇām	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	4	Manusmṛti	ManuS, 7	ManuS, 7, 190	sthāpayed	gulmāṃś ca sthāpayed āptān kṛtasaṃjñān samantataḥ	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	5	Manusmṛti	ManuS, 7	ManuS, 7, 202.2	sthāpayet	sthāpayet tatra tadvaṃśyaṃ kuryāc ca samayakriyām	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	6	Manusmṛti	ManuS, 8	ManuS, 8, 157.2	sthāpayanti	sthāpayanti tu yāṃ vṛddhiṃ sā tatrādhigamaṃ prati	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	7	Manusmṛti	ManuS, 8	ManuS, 8, 261.2	sthāpayed	tat tathā sthāpayed rājā dharmeṇa grāmayor dvayoḥ	поставив | поставь | остановив
XVIII	sthāpay	sTApay	1100	632	топ-1000	8	Rāmāyaṇa	Rām, Bā, 65	Rām, Bā, 65, 15.2	sthāpitā	vīryaśulketi me kanyā sthāpiteyam ayonijā	поставив | поставь | остановив
XVIII	śrāvay	SrAvay	265	2361	редкое	1	Manusmṛti	ManuS, 1	ManuS, 1, None	śrāvayiṣyati	etat vaḥ ayam bhṛguḥ śāstram śrāvayiṣyati aśeṣatas	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	2	Manusmṛti	ManuS, 3	ManuS, 3, 232	śrāvayet	svādhyāyaṃ śrāvayet pitrye dharmaśāstrāṇi caiva hi	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	3	Rāmāyaṇa	Rām, Yu, 31	Rām, Yu, 31, 65.2	śrāvayāmāsa	sāmātyaṃ śrāvayāmāsa nivedyātmānam ātmanā	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	4	Rāmāyaṇa	Rām, Ki, 31	Rām, Ki, 31, 4.2	śrāvito	mama doṣān asaṃbhūtāñ śrāvito rāghavānujaḥ	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	5	Rāmāyaṇa	Rām, Yu, 39	Rām, Yu, 39, 19.2	śrāvitaṃ	paruṣaṃ vipriyaṃ vāpi śrāvitaṃ na kadācana	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	6	Rāmāyaṇa	Rām, Utt, 13	Rām, Utt, 13, 35.2	śrāvayase	maheśvarasakhitvaṃ tu mūḍha śrāvayase kila	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	7	Rāmāyaṇa	Rām, Utt, 98	Rām, Utt, 98, 5	śrāvitā	śrāvitā ca purī ramyā śrāvatīti lavasya ca	заставил выслушать | поведал | заставил слушать
XVIII	śrāvay	SrAvay	265	2361	редкое	8	Rāmāyaṇa	Rām, Yu, 104	Rām, Yu, 104, 5.2	śrāvayase	rūkṣaṃ śrāvayase vīra prākṛtaḥ prākṛtām iva	заставил выслушать | поведал | заставил слушать
XVIII	pūray	pUray	633	1123	редкое	1	Hitopadeśa	Hitop, 2	Hitop, 2, 10.2	pūryate	jalabindunipātena kramaśaḥ pūryate ghaṭaḥ	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	2	Hitopadeśa	Hitop, 2	Hitop, 2, 28.4	pūrayanti	acireṇaiva ye tuṣṭāḥ pūrayanti manorathān	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	3	Rāmāyaṇa	Rām, Yu, 87	Rām, Yu, 87, 6	pūritā	pūritā tena śabdena sanadīgirikānanā	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	4	Rāmāyaṇa	Rām, Su, 1	Rām, Su, 1, 16.2	pūrayāmāsa	pṛthivīṃ pūrayāmāsa diśaścopavanāni ca	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	5	Rāmāyaṇa	Rām, Ay, 6	Rām, Ay, 6, 8.2	pūrayāmāsa	ayodhyāṃ pūrayāmāsa tūryaghoṣānunāditaḥ	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	6	Rāmāyaṇa	Rām, Ay, 6	Rām, Ay, 6, 26.2	pūrayāmāsuḥ	rāmasya pūrayāmāsuḥ purīṃ jānapadā janāḥ	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	7	Rāmāyaṇa	Rām, Ay, 95	Rām, Ay, 95, 27	pūritam	pragṛhya ca mahīpālo jalapūritam añjalim	наполняя | наполнил | заполнил
XVIII	pūray	pUray	633	1123	редкое	8	Rāmāyaṇa	Rām, Ār, 59	Rām, Ār, 59, 7.2	pūrayitvā	apūrayitvā taṃ kālaṃ matsakāśam ihāgataḥ	наполняя | наполнил | заполнил
XXVIII	kup	kup	500	1398	редкое	1	Hitopadeśa	Hitop, 2	Hitop, 2, 84.5	kupito	tataḥ kesarāgraṃ lūnaṃ dṛṣṭvā kupito vivarāntargataṃ mūṣikam alabhamāno 'cintayat	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	2	Manusmṛti	ManuS, 9	ManuS, 9, 310.2	kupitā	te hy enaṃ kupitā hanyuḥ sadyaḥ sabalavāhanam	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	3	Rāmāyaṇa	Rām, Su, 22	Rām, Su, 22, 15.2	kupita	abravīt kupitākārā karālā nirṇatodarī	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	4	Rāmāyaṇa	Rām, Ār, 45	Rām, Ār, 45, 28	kupitā	rāvaṇenaivam uktā tu kupitā janakātmajā	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	5	Rāmāyaṇa	Rām, Ār, 43	Rām, Ār, 43, 5	kupitā	tam uvāca tatas tatra kupitā janakātmajā	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	6	Rāmāyaṇa	Rām, Ār, 44	Rām, Ār, 44, 1	kupito	tayā paruṣam uktas tu kupito rāghavānujaḥ	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	7	Rāmāyaṇa	Rām, Yu, 58	Rām, Yu, 58, 39.2	kupitaḥ	kupitaśca nijagrāha kirīṭe rākṣasarṣabham	разгневался | в гневе | разгневавшись
XXVIII	kup	kup	500	1398	редкое	8	Rāmāyaṇa	Rām, Yu, 59	Rām, Yu, 59, 65	kupitaḥ	tato 'tikāyaḥ kupitaścāpam āropya sāyakam	разгневался | в гневе | разгневавшись
XXVIII	krudh	kruD	1574	416	топ-1000	1	Hitopadeśa	Hitop, 2	Hitop, 2, 85.14	kruddhaḥ	na jāne kruddhaḥ svāmī kiṃ vidhāsyati	разгневанный | гневный | в гневе
XXVIII	krudh	kruD	1574	416	топ-1000	2	Hitopadeśa	Hitop, 2	Hitop, 2, 119.10	kruddha	ata evāyaṃ daṇḍanāyakaḥ kruddha eva gacchati	разгневанный | гневный | в гневе
XXVIII	krudh	kruD	1574	416	топ-1000	3	Hitopadeśa	Hitop, 2	Hitop, 2, 119.7	kruddhaḥ	sā brūte anyaṃ kenāpi kāryeṇa putrasyopari kruddhaḥ	разгневанный | гневный | в гневе
XXVIII	krudh	kruD	1574	416	топ-1000	4	Hitopadeśa	Hitop, 4	Hitop, 4, 62.2	kruddho	mattaḥ pramattaś conmattaḥ śrāntaḥ kruddho bubhukṣitaḥ	разгневанный | гневный | в гневе
XXVIII	krudh	kruD	1574	416	топ-1000	5	Hitopadeśa	Hitop, 4	Hitop, 4, 27.6	kruddhena	atha bhagavatā kruddhena varadānasyāvaśyakatayā vicāramūḍhayoḥ pārvatī pradattā	разгневанный | гневный | в гневе
