whitney_no,root_iast,root_slp1,homonym,gloss,dcs_lemma_attested,dcs_freq_band,vidyut_aupadeshika,vidyut_dhatupatha_code,vidyut_match_count,vidyut_ambiguous
22,as,as,1,be,True,5,asu~,04.0106,1,False
2,akṣ,akz,1,attain,True,2,akzU~,01.0742,1,False
6,aj,aj,,drive,True,3,aja~,01.0262,1,False
8,aṭ,aw,,wander,True,3,awa~,01.0332,1,False
10,at,at,,wander,True,2,ata~,01.0038,1,False
11,ad,ad,,eat,True,4,,,0,False
20,aś,aS,1,attain,True,5,,,0,False
21,aś,aS,2,eat,True,5,,,0,False
23,as,as,2,throw,True,5,asu~,04.0106,1,False
24,ah,ah,,say,True,5,,,0,False
2,akṣ,akz,1,attain,True,2,akzU~,01.0742,1,False
597,yaj,yaj,,offer,True,5,ya\ja~^,01.1157,1,False
698,vakṣ,vakz,,increase,True,3,vakza~,01.0753,1,False
699,vac,vac,,speak,True,5,,,0,False
700,vaj,vaj,,be strong,False,,,,0,False
704,vad,vad,,speak,True,5,vada~,01.1164,1,False
708,vap,vap,1,strew,True,4,quva\pa~^,01.1158,1,False
709,vap,vap,2,shear,True,4,quva\pa~^,01.1158,1,False
714,vaś,vaS,,be eager,True,4,vaS,,1,False
715,vas,vas,1,shine,True,5,va\sa~;vas;vasa~,01.1160;10.0273,3,True
716,vas,vas,2,clothe,True,5,va\sa~;vas;vasa~,01.1160;10.0273,3,True
718,vah,vah,,carry,True,5,va\ha~^,01.1159,1,False
72,ṛj,fj,2,shine,True,3,arja~,01.0256,1,False
81,kath,kaT,,talk,True,3,kaTa,10.0389,1,False
80,katth,katT,,boast,True,3,katTa~\,01.0037,1,False
87,kaṣ,kaz,,scratch,True,2,kaza~,01.0781,1,False
88,kas,kas,,open,True,2,kasa~,01.0996,1,False
116,krakṣ,krakz,,crash,False,,,,0,False
117,krath,kraT,,be jubilant,False,,kraTa~,01.0912,1,False
133,kvath,kvaT,,boil,True,3,kvaTe~,01.0981,1,False
134,kṣad,kzad,,divide,True,2,,,1,False
136,kṣap,kzap,,be abstinent,True,3,kzap,,1,False
154,khac,Kac,,,True,3,Kac,,2,False
156,khad,Kad,,be hard,False,,,,0,False
159,khall,Kall,,be relaxed,False,,Kall,,1,False
167,gad,gad,,say,True,4,gada;gada~,01.0054;10.0399,2,True
168,gadh,gaD,,attach,False,,,,0,False
196,grabh,graB,,seize,False,,,,0,False
197,gras,gras,,devour,True,4,gras,,1,False
199,glah,glah,,gamble,True,2,glaha~\,01.0738,1,False
201,ghaṭ,Gaw,,strive,True,3,Gaw,,1,False
202,ghaṭṭ,Gaww,,rub,True,2,Gaww;Gawwa~,10.0125,2,True
204,ghas,Gas,,eat,True,3,Ga\sx~,01.0812,1,False
211,cak,cak,,quake,True,3,,,0,False
213,cakṣ,cakz,,see,True,3,,,0,False
215,caṭ,caw,,go,True,2,cawe~,01.0330,1,False
216,cat,cat,,hide,True,2,,,0,False
239,chad,Cad,,cover,True,4,Cada~;CadiH,01.0925;10.0370,2,True
246,jakṣ,jakz,1,eat,True,3,,,0,False
250,jap,jap,,whisper,True,5,jap,,1,False
255,jas,jas,,be exhausted,True,3,,,0,False
288,tak,tak,,rush,True,2,,,0,False
289,takṣ,takz,,fashion,True,4,takzU~,01.0743,1,False
196,grabh,graB,,seize,False,,,,0,False
292,taḍ,taq,,beat,True,1,taqa~,10.0064,1,False
349,dā,dA,1,give,True,5,dA,,2,False
296,tap,tap,,heat,True,5,tap,,2,False
705,vadh,vaD,,slay,True,4,,,0,False
324,tyaj,tyaj,,forsake,True,5,tya\ja~,01.1141,1,False
738,vīj,vIj,,fan,True,2,vIj,,2,False
325,trap,trap,,be abashed,True,2,,,0,False
839,sādh,sAD,,succeed,True,3,,,2,False
326,tras,tras,,be terrified,True,4,tras,,2,False
901,svad,svad,,sweeten,True,3,,,1,False
329,tvakṣ,tvakz,,fashion,False,,,,0,False
446,paś,paS,1,see,True,5,,,0,False
337,dakṣ,dakz,,be able,True,2,dakz,,1,False
338,dagh,daG,,reach to,True,3,,,0,False
347,das,das,,waste,True,3,,,0,False
348,dah,dah,,burn,True,5,da\ha~,01.1146,1,False
406,dhraj,Draj,,sweep,True,2,,,0,False
411,nakṣ,nakz,,attain,True,3,Rakza~,01.0752,1,False
412,naṭ,naw,,"dance, play",True,2,Rawa~,01.0347,1,False
413,nad,nad,,sound,True,4,Rada~,01.0056,1,False
415,nabh,naB,,burst,True,3,RaBa~,04.0155,2,False
418,naś,naS,1,be lost,True,5,Ra\Sa~;naS,04.0091,2,True
420,nas,nas,,unite,True,3,,,0,False
421,nah,nah,,tie,True,3,Ra\ha~^,04.0062,1,False
435,pac,pac,,cook,True,5,pac;qupa\ca~^z,01.1151,2,True
436,paj,paj,,start,False,,,,0,False
437,paṭ,paw,,tear,False,,pawa~,01.0333;10.0282,2,False
438,paṭh,paW,,read,True,4,paWa~,01.0381,1,False
440,pat,pat,1,"fly, fall",True,5,patx~,01.0979,1,False
442,path,paT,,go,False,,,,0,False
443,pad,pad,,go,True,4,pa\da~\,04.0065,1,False
446,paś,paS,1,see,True,5,,,0,False
477,prach,praC,,ask,False,,pra\Ca~,06.0149,1,False
478,prath,praT,,spread,True,4,praTa~\,01.0869,1,False
488,phakk,Pakk,,swell,False,,,,0,False
504,bhakṣ,Bakz,,"partake of, eat",True,4,Bakza~;Bakza~^,01.1039;10.0033,2,True
505,bhaj,Baj,,"divide, share",True,5,Ba\ja~^,01.1153,1,False
513,bhal,Bal,,perceive,False,,,,0,False
514,bhaṣ,Baz,,bark,True,3,Baza~,01.0791,1,False
515,bhas,Bas,,devour,True,3,,,0,False
531,bhṛjj,Bfjj,,roast,True,3,,,0,False
532,bhyas,Byas,,fear,True,2,,,0,False
539,majj,majj,,sink,True,4,wuma\sjo~,06.0151,1,False
545,mad,mad,,"be exhilarated, exhilarate",True,5,madI~,01.0927;04.0105,2,False
