whitney_no,root_iast,root_slp1,homonym,gloss,dcs_lemma_attested,dcs_freq_band,vidyut_aupadeshika,vidyut_dhatupatha_code,vidyut_match_count,vidyut_ambiguous
586,myakṣ,myakz,,be situated,True,3,myakz,,1,False
573,mṛkṣ,mfkz,,stroke,True,1,,,0,False
579,mṛd,mfd,,"rub, crush",True,5,,,1,False
595,yakṣ,yakz,,press on,True,1,,,0,False
598,yat,yat,,stretch,True,5,yat;yata~,10.0261,2,True
599,yabh,yaB,,fuck,True,1,ya\Ba~,01.1135,1,False
601,yas,yas,,be heated,True,2,yasu~,04.0107,1,False
613,rakṣ,rakz,,protect,True,5,rakza~,01.0746,1,False
615,rac,rac,,procuce,True,1,raca,10.0403,1,False
619,raṭ,raw,,howl,True,2,rawa~,01.0334,1,False
621,rad,rad,,dig,True,3,rada~,01.0055,1,False
625,rap,rap,,chatter,True,2,rapa~,01.0467,1,False
626,rapś,rapS,,be full,True,2,,,0,False
633,ras,ras,,roar,True,3,rasa;rasa~,01.0810;10.0477,2,True
634,rah,rah,,desert,True,3,raha~,01.0832;10.0122,2,False
667,lakṣ,lakz,,mark,True,3,lakz;lakza~,10.0006,2,True
668,lag,lag,,attach,True,4,laga~;lage~,01.0895;10.0263,2,True
670,lajj,lajj,,be ashamed,True,3,lajj,,1,False
671,laḍ,laq,,move about,True,2,,,0,False
672,lap,lap,,prate,True,3,lapa~,01.0468,1,False
673,labh,laB,,take,True,5,,,1,False
677,laṣ,laz,,desire,True,2,laz;laza~^,01.1033,3,True
678,las,las,,be lively,True,3,lasa~,01.0811;10.0253,2,False
703,vat,vat,,apprehend,True,5,,,0,False
705,vadh,vaD,,slay,True,4,,,0,False
716,vas,vas,2,clothe,True,5,va\sa~;vas;vasa~,01.1160;10.0273,3,True
751,vyac,vyac,,extend,True,3,vyaca~,06.0013,1,False
754,vyadh,vyaD,,pierce,True,5,vya\Da~,04.0078,1,False
760,vraśc,vraSc,,cut up,True,3,o~vrascU~,06.0012,1,False
753,vyath,vyaT,,waver,True,4,vyaTa~\,01.0868,1,False
757,vraj,vraj,,proceed,True,5,vraja~,01.0286;10.0109,2,False
767,śak,Sak,,be able,True,5,,,0,False
769,śat,Sat,,cut in pieces,True,2,,,0,False
770,śad,Sad,1,prevail,True,3,Sa\dx~,01.0991;06.0164,2,False
771,śad,Sad,2,fall,True,3,Sa\dx~,01.0991;06.0164,2,False
772,śap,Sap,,curse,True,4,Sa\pa~^,01.1155;04.0064,2,False
777,śaś,SaS,,leap,False,,,,0,False
778,śas,Sas,,cut,True,3,Sasu~,01.0828,1,False
822,śvas,Svas,,blow,True,4,,,0,False
806,śrath,SraT,,slacken,True,3,,,0,False
810,śrā,SrA,,boil,False,,SrA,,2,False
804,śnath,SnaT,,pierce,True,3,,,1,False
806,śrath,SraT,,slacken,True,3,,,0,False
827,sagh,saG,,be equal to,True,2,,,0,False
828,sac,sac,,accompany,True,4,zaca~^,01.1152,1,False
830,sad,sad,,sit,True,4,za\dx~,01.0990;06.0163,2,False
832,sap,sap,,serve,True,3,zapa~,01.0466,1,False
835,sas,sas,,sleep,True,3,,,0,False
836,sah,sah,,prevail,True,4,zaha~,10.0341,2,False
903,svap,svap,,sleep,True,4,,,0,False
883,spṛś,spfS,,touch,True,4,spf\Sa~,06.0158,1,False
873,sthag,sTag,,cover,False,,zWage~,01.0909,1,False
907,had,had,,discharge excrement,False,,ha\da~\,01.1132,1,False
910,has,has,,laugh,True,4,hase~,01.0822,1,False
930,hras,hras,,shorten,True,3,hrasa~,01.0808,1,False
778,śas,Sas,,cut,True,3,Sasu~,01.0828,1,False
796,śū,SU,,swell,False,,,,0,False
921,hū,hU,,call,False,,,,0,False
26,āp,Ap,,obtain,True,5,,,0,False
28,ās,As,,sit,True,5,,,0,False
720,vā,vA,2,weave,True,5,,,0,False
91,kāś,kAS,,"appear, make a show",True,3,kAS,,2,False
92,kās,kAs,,cough,True,3,kAs,,1,False
140,kṣā,kzA,,burn,True,3,,,0,False
150,kṣmā,kzmA,,tremble,True,3,,,0,False
161,khād,KAd,,chew,True,4,KAdf~,01.0051,1,False
165,khyā,KyA,,see,True,4,,,0,False
176,gā,gA,1,go,True,5,,,0,False
177,gā,gA,2,sing,True,5,,,0,False
178,gāh,gAh,,plunge,True,3,gAhU~\,01.0736,1,False
200,glā,glA,,be weary,True,3,,,0,False
210,ghrā,GrA,,smell,True,4,GrA\,01.1075,1,False
241,chā,CA,,cut up,True,2,,,0,False
270,jyā,jyA,,"overpower, injure",True,4,jyA,,1,False
269,jñā,jYA,,know,True,5,,,0,False
327,trā,trA,,rescue,True,4,,,0,False
349,dā,dA,1,give,True,5,dA,,2,False
350,dā,dA,2,"divide, share",True,5,dA,,2,False
351,dā,dA,3,bind,True,5,dA,,2,False
352,dā,dA,4,clear,True,5,dA,,2,False
353,dāś,dAS,,make offering,True,4,dASf~^,01.1025,1,False
354,dās,dAs,,,True,1,,,0,False
381,drā,drA,1,run,True,3,,,0,False
382,drā,drA,2,sleep,True,3,,,0,False
393,dhā,DA,1,put,True,5,DA,,2,False
394,dhā,DA,2,suck,True,5,DA,,2,False
404,dhmā,DmA,,,True,2,,,0,False
405,dhyā,DyA,,think,True,4,,,0,False
422,nāth,nAT,,seek aid,True,3,nATf~\,01.0007,1,False
448,pā,pA,1,drink,True,5,pA\,01.1074,1,False
449,pā,pA,2,protect,True,5,pA\,01.1074,1,False
476,pyā,pyA,,fill up,True,4,,,0,False
479,prā,prA,,fill,True,3,,,0,False
487,psā,psA,,devour,True,2,,,0,False
496,bādh,bAD,,oppress,True,4,bADf~\,01.0005,1,False
516,bhā,BA,,shine,True,4,,,0,False
518,bhāṣ,BAz,,speak,True,5,BAz,,1,False
519,bhās,BAs,,shine,True,4,BAs,,1,False
535,bhrāj,BrAj,,shine,True,4,BrAj,,1,False
548,mā,mA,1,measure,True,5,mA,,1,False
549,mā,mA,2,exchange,True,5,mA,,1,False
550,mā,mA,3,bellow,True,5,mA,,1,False
553,mi,mi,2,damage,True,3,,,0,False
561,mī,mI,,damage,True,3,,,0,False
585,mnā,mnA,,note,True,2,mnA\,01.1078,1,False
591,mlā,mlA,,relax,True,3,,,0,False
603,yā,yA,,go,True,5,,,0,False
604,yāc,yAc,,ask,True,4,quyAcf~^,01.0954,1,False
605,yād,yAd,,unite,True,2,,,0,False
635,rā,rA,1,give,True,4,,,0,False
636,rā,rA,2,bark,True,4,,,0,False
637,rāj,rAj,,be kingly,True,4,rAjf~^,01.0956,1,False
638,rādh,rAD,,succeed,True,4,rA\Da~,04.0077,1,False
685,lī,lI,1,cling,True,4,lI,,2,False
679,lā,lA,,grasp,True,1,,,0,False
719,vā,vA,1,blow,True,5,,,0,False
723,vāś,vAS,,bellow,True,3,vAS,,1,False
724,vāh,vAh,,press,True,3,vAhf~\,01.0952,1,False
761,vrādh,vrAD,,stir up,True,3,,,0,False
756,vyā,vyA,,envelop,True,2,,,0,False
779,śā,SA,,sharpen,True,4,,,0,False
780,śās,SAs,1,order,True,4,,,0,False
805,śyā,SyA,,coagulate,True,2,,,0,False
810,śrā,SrA,,boil,False,,SrA,,2,False
818,ślā,SlA,,dissolve,False,,,,0,False
819,ślāgh,SlAG,,extol,True,4,SlAG,,1,False
837,sā,sA,1,bind,True,3,,,0,False
839,sādh,sAD,,succeed,True,3,,,2,False
872,styā,styA,,stiffen,True,2,,,0,False
874,sthā,sTA,,stand,True,5,zWA\,01.1077,1,False
875,snā,snA,,bathe,True,5,snA,,1,False
888,sphā,sPA,,fatten,False,,,,0,False
905,svād,svAd,,,True,1,,,0,False
911,hā,hA,1,leave,True,5,hA,,1,False
912,hā,hA,2,go forth,True,5,hA,,1,False
913,hās,hAs,,go emulously,True,2,,,0,False
931,hrād,hrAd,,make a noise,False,,hrAda~\,01.0026,1,False
935,hlād,hlAd,,refresh,True,2,hlAdI~\,01.0027,1,False
78,ej,ej,,stir,True,3,ejf~,01.0267,1,False
52,īṣ,Iz,,move,True,3,Iza~,01.0780,1,False
302,tāy,tAy,,stretch,False,,,,0,False
344,day,day,,share,True,3,,,0,False
756,vyā,vyA,,envelop,True,2,,,0,False
789,śī,SI,2,lie,True,4,SI,,1,False
921,hū,hU,,call,False,,,,0,False
755,vyay,vyay,,expend,False,,,,0,False
79,edh,eD,,thrive,True,4,eDa~\,01.0002,1,False
153,kṣvel,kzvel,,play,False,,kzvelf~,01.0618,1,False
164,khel,Kel,,stagger,True,2,,,0,False
236,ceṣṭ,cezw,,stir,True,4,,,0,False
224,cāy,cAy,,"note, observe",True,3,,,0,False
268,jeh,jeh,,"loll, pant",True,2,,,0,False
434,ned,ned,,flow,True,1,,,0,False
451,pāy,pAy,,to void excrement,False,,,,1,False
537,bhreṣ,Brez,,totter,True,1,Brezf~^,01.1027,1,False
590,mreḍ,mreq,,gratify,False,,,,0,False
664,rej,rej,,tremble,True,3,rej,,1,False
748,ven,ven,,long,True,3,venf~^,01.1019,1,False
749,vell,vell,,stagger,True,3,vella~,01.0619,1,False
750,veṣṭ,vezw,,,True,3,vezw,,1,False
856,sev,sev,,attend upon,True,5,,,1,False
928,heṣ,hez,,,True,3,hez,,1,False
934,hreṣ,hrez,,neigh,True,2,hrez,,1,False
732,vindh,vinD,,lack,False,,,,0,False
733,vip,vip,,tremble,True,4,vip,,1,False
734,viś,viS,,enter,True,5,vi\Sa~,06.0160,1,False
735,viṣ,viz,,be active,True,4,vi\zu~,01.0794,1,False
784,śiñj,SiYj,,twang,True,2,SiYj,,2,False
786,śim,Sim,,,False,,,,0,False
787,śiṣ,Siz,,leave,True,4,Si\za~,10.0349,1,False
811,śri,Sri,,resort,True,4,SriY,01.1044,1,False
820,śliṣ,Sliz,,clasp,True,3,Sli\za~,04.0083,1,False
824,śvit,Svit,,be bright,True,2,,,0,False
841,sic,sic,,pour out,True,4,zi\ca~^,06.0170,1,False
842,sidh,siD,1,repel,True,5,ziDa~;zi\Du~,01.0049;04.0089,2,True
843,sidh,siD,2,succeed,True,5,ziDa~;zi\Du~,01.0049;04.0089,2,True
865,stigh,stiG,,mount,False,,,,0,False
866,stim,stim,,be stiff,False,,,,0,False
876,snih,snih,,be sticky,True,4,zRi\ha~;zRiha~,04.0097;10.0055,3,True
893,smi,smi,,smile,True,4,smi,,1,False
897,sridh,sriD,,blunder,True,3,,,0,False
906,svid,svid,,sweat,True,4,YizvidA~,01.1133,1,False
915,hiṃs,hiMs,,injure,True,4,hiMs;hisi~,10.0366,2,True
914,hi,hi,,impel,True,5,,,0,False
916,hikk,hikk,,sob,True,2,,,0,False
917,hiṇḍ,hiRq,,roam,True,2,,,0,False
31,iṅg,iNg,,stir,True,3,igi~,01.0163,1,False
35,idh,iD,,kindle,False,,,,0,False
41,il,il,,be quiet,False,,ila~,06.0084;10.0167,2,False
42,iṣ,iz,1,"seek, desire",True,5,iz;iza~;izu~,04.0022;06.0078,3,True
43,iṣ,iz,2,send,True,5,iz;iza~;izu~,04.0022;06.0078,3,True
130,klid,klid,,be wet,True,4,klidU~,04.0157,1,False
131,kliś,kliS,,distress,True,4,,,0,False
141,kṣi,kzi,1,possess,True,4,kzi\,01.0269;06.0143,2,False
142,kṣi,kzi,2,destroy,True,4,kzi\,01.0269;06.0143,2,False
143,kṣip,kzip,,throw,True,5,kzi\pa~;kzi\pa~^,04.0015;06.0005,2,True
152,kṣvid,kzvid,,hum,False,,,,0,False
162,khid,Kid,,tear,True,4,Ki\da~;Ki\da~\,04.0066;06.0172,2,True
225,ci,ci,1,gather,True,4,,,0,False
226,ci,ci,2,"note, observe",True,4,,,0,False
227,cit,cit,,"perceive, know, appear",True,5,citI~,01.0039,1,False
228,cint,cint,,think,False,,,,0,False
242,chid,Cid,,cut off,True,5,,,0,False
258,ji,ji,1,conquer,True,5,ji,,1,False
259,ji,ji,2,quicken,True,5,ji,,1,False
259,ji,ji,2,quicken,True,5,ji,,1,False
272,jri,jri,,go,True,1,,,0,False
305,tij,tij,,be sharp,True,2,teja~,01.0263,1,False
306,tim,tim,,be quiet,True,2,,,0,False
333,tviṣ,tviz,,be stirred up,True,3,,,0,False
356,diś,diS,,point,True,5,di\Sa~^,06.0003,1,False
357,dih,dih,,smear,True,4,,,0,False
388,dviṣ,dviz,,hate,True,4,,,0,False
397,dhi,Di,,,True,2,Di\,06.0142,1,False
423,niṃs,niMs,,kiss,True,2,,,0,False
424,nikṣ,nikz,,pierce,False,,,,0,False
425,nij,nij,,wash,True,3,,,0,False
426,nind,nind,,revile,True,4,Ridi~,01.0069,1,False
453,pinv,pinv,,fatten,True,3,,,0,False
454,pibd,pibd,,be firm,False,,,,0,False
455,piś,piS,,adorn,True,3,piSa~,06.0173,1,False
456,piṣ,piz,,crush,True,4,,,0,False
457,pis,pis,,stretch,False,,,,0,False
520,bhikṣ,Bikz,,beg,True,3,Bikz,,1,False
521,bhid,Bid,,split,True,5,Bidi~,01.0067,1,False
553,mi,mi,2,damage,True,3,,,0,False
561,mī,mI,,damage,True,3,,,0,False
554,mikṣ,mikz,,mix,True,3,,,0,False
556,mith,miT,,"alternate, altercate",True,2,miTf~^,01.1008,1,False
558,mil,mil,,combine,True,4,mila~,06.0091,1,False
559,miṣ,miz,,wink,True,3,miza~,06.0079,1,False
560,mih,mih,,urinate,True,3,mi\ha~,01.1147,1,False
35,idh,iD,,kindle,False,,,,0,False
588,mrit,mrit,,dissolve,False,,,,0,False
191,gṛ,gf,2,swallow,True,4,,,0,False
397,dhi,Di,,,True,2,Di\,06.0142,1,False
642,rikh,riK,,scratch,False,,riK;riKa~,01.0168,2,True
426,nind,nind,,revile,True,4,Ridi~,01.0069,1,False
452,pi,pi,,"swell, fatten",False,,,,0,False
644,ric,ric,,leave,True,4,ri\ca~;ric,10.0348,3,True
448,pā,pA,1,drink,True,5,pA\,01.1074,1,False
645,rip,rip,,smear,True,2,,,0,False
646,riph,riP,,snarl,True,1,riPa~,06.0026,1,False
647,ribh,riB,,sing,True,3,,,1,False
588,mrit,mrit,,dissolve,False,,,,0,False
648,riś,riS,,tear,True,2,ri\Sa~,06.0156,1,False
641,ri,ri,,flow,True,3,,,0,False
649,riṣ,riz,,be hurt,True,4,riza~,01.0790;04.0144,2,False
650,rih,rih,,lick,True,3,riha~,06.0027,1,False
727,vij,vij,,tremble,True,3,vij,,2,False
681,likh,liK,,scratch,True,4,liKa~,06.0092,1,False
767,śak,Sak,,be able,True,5,,,0,False
682,lip,lip,,smear,True,4,li\pa~^;lip,06.0169,2,True
796,śū,SU,,swell,False,,,,0,False
683,liś,liS,,tear,False,,liS;li\Sa~,06.0157,2,True
820,śliṣ,Sliz,,clasp,True,3,Sli\za~,04.0083,1,False
684,lih,lih,,lick,True,4,,,0,False
796,śū,SU,,swell,False,,,,0,False
725,vic,vic,1,sift,True,2,,,0,False
918,hīḍ,hIq,,be hostile,True,3,,,0,False
728,vid,vid,1,know,True,5,vi\dx~^,06.0168,1,False
729,vid,vid,2,find,True,5,vi\dx~^,06.0168,1,False
730,vidh,viD,1,worship,True,4,,,0,False
731,vidh,viD,2,,True,4,,,0,False
45,īkṣ,Ikz,,see,True,4,Ikz,,1,False
177,gā,gA,2,sing,True,5,,,0,False
46,īṅkh,INK,,swing,False,,IKi~,01.0151,1,False
280,ṭīk,wIk,,trip,False,,,,0,False
78,ej,ej,,stir,True,3,ejf~,01.0267,1,False
765,vlī,vlI,,crush,True,2,,,0,False
48,īḍ,Iq,,praise,True,4,,,0,False
523,bhī,BI,,fear,True,5,BI,,2,False
49,īr,Ir,,set in motion,True,3,,,0,False
888,sphā,sPA,,fatten,False,,,,0,False
50,īrṣy,Irzy,,be jealous,True,2,Irzya~,01.0588,1,False
51,īś,IS,,be master,True,4,,,0,False
52,īṣ,Iz,,move,True,3,Iza~,01.0780,1,False
53,īh,Ih,,be eager,True,3,Iha~\,01.0719,1,False
120,krī,krI,,buy,True,4,,,0,False
121,krīḍ,krIq,,play,True,4,krIqf~,01.0405,1,False
260,jīv,jIv,,live,True,5,jIva~,01.0643,1,False
284,ḍī,qI,,fly,False,,qI,,2,False
358,dī,dI,1,fly,True,3,,,0,False
359,dī,dI,2,shine,True,3,,,0,False
360,dīkṣ,dIkz,,be consecrated,True,3,,,0,False
362,dīp,dIp,,shine,True,5,dIp,,1,False
363,dīv,dIv,1,play,True,4,,,0,False
364,dīv,dIv,2,lament,True,4,,,0,False
398,dhī,DI,,think,True,4,,,0,False
427,nī,nI,,lead,True,5,RI\Y,01.1049,1,False
452,pi,pi,,"swell, fatten",False,,,,0,False
460,pīḍ,pIq,,press,True,2,pIqa~,10.0017,1,False
461,pīy,pIy,,abuse,False,,,,1,False
480,prī,prI,,please,True,5,prI,,1,False
523,bhī,BI,,fear,True,5,BI,,2,False
536,bhrī,BrI,,consume,True,1,,,0,False
562,mīl,mIl,,wink,True,2,mIla~,01.0595,1,False
563,mīv,mIv,,push,False,,mIva~,01.0645,1,False
641,ri,ri,,flow,True,3,,,0,False
685,lī,lI,1,cling,True,4,lI,,2,False
686,lī,lI,2,be unsteady,True,4,lI,,2,False
737,vī,vI,,enjoy,True,4,,,0,False
738,vīj,vIj,,fan,True,2,vIj,,2,False
739,vīḍ,vIq,,make strong,False,,,,0,False
762,vrīḍ,vrIq,,be abashed,True,3,vrIq;vrIqa~,04.0021,3,True
765,vlī,vlI,,crush,True,2,,,0,False
788,śī,SI,1,fall,True,4,SI,,1,False
789,śī,SI,2,lie,True,4,SI,,1,False
813,śrī,SrI,1,mix,True,5,,,0,False
825,ṣṭhīv,zWIv,,spew,True,3,,,0,False
830,sad,sad,,sit,True,4,za\dx~,01.0990;06.0163,2,False
845,sīv,sIv,,sew,True,3,,,0,False
866,stim,stim,,be stiff,False,,,,0,False
898,srīv,srIv,,fail,False,,,,0,False
918,hīḍ,hIq,,be hostile,True,3,,,0,False
932,hrī,hrI,,be ashamed,True,4,,,0,False
86,kal,kal,,"drive, produce",True,1,kala~,10.0093,1,False
114,kḷp,kxp,,be in order,False,,kxp,,1,False
139,kṣal,kzal,,wash,False,,kzala~,10.0086,1,False
174,gal,gal,,drop,True,4,gala~,01.0627,1,False
175,galbh,galB,,dare,False,,,,0,False
223,cal,cal,,stir,True,4,cal,,1,False
254,jalp,jalp,,"murmur, speak",True,4,,,0,False
274,jval,jval,,"burn, flame",True,4,jvala~,01.0916,1,False
346,dal,dal,,burst,True,3,dala~,01.0629,1,False
491,phal,Pal,1,brust,True,4,,,0,False
492,phal,Pal,2,fruit,True,4,,,0,False
495,bal,bal,,whirl,False,,,,0,False
676,lal,lal,,sport,True,3,lala~,01.0416,1,False
711,val,val,,turn,True,3,val,,1,False
712,valg,valg,,spring,True,3,valga~,01.0152,1,False
713,valh,valh,,challenge,False,,,,0,False
776,śal,Sal,,leap,False,,,,0,False
861,skhal,sKal,,stumble,True,4,sKala~,01.0625,1,False
887,sphal,sPal,,strike,False,,,,0,False
936,hval,hval,,go wrong,False,,hvala~,01.0917,1,False
391,dham,Dam,,blow,True,5,DmA\,01.1076,1,False
786,śim,Sim,,,False,,,,0,False
517,bhām,BAm,,be angry,False,,,,0,False
137,kṣam,kzam,,endure,True,4,kzam;kzamU~,04.0103,2,True
219,cam,cam,,sip,True,2,,,0,False
775,śam,Sam,3,note,True,5,Samu~,04.0098,1,False
808,śram,Sram,,be weary,True,4,Sramu~,04.0101,1,False
170,gam,gam,,go,True,5,ga\mx~,01.1137,1,False
380,dram,dram,,run,False,,,,0,False
416,nam,nam,,"bend, bow",True,4,Ra\ma~,01.1136,1,False
629,ram,ram,,be or make content,True,5,ram,,1,False
674,lam,lam,,take pleasure,False,,,,0,False
13,am,am,,injure,True,3,,,0,False
84,kam,kam,,love,True,3,kam,,1,False
119,kram,kram,,stride,True,4,kram;kramu~,01.0545,2,True
128,klam,klam,,be weary,True,3,klam;klamu~,04.0104,2,True
137,kṣam,kzam,,endure,True,4,kzam;kzamU~,04.0103,2,True
219,cam,cam,,sip,True,2,,,0,False
297,tam,tam,,faint,True,3,tam,,1,False
343,dam,dam,,control,True,4,damu~,04.0100,1,False
534,bhram,Bram,,wander,True,4,Bramu~,01.0985;04.0102,2,False
710,vam,vam,,vomit,True,4,wuvama~,01.0984,1,False
774,śam,Sam,2,be quiet,True,5,Samu~,04.0098,1,False
775,śam,Sam,3,note,True,5,Samu~,04.0098,1,False
808,śram,Sram,,be weary,True,4,Sramu~,04.0101,1,False
9,aṇṭh,aRW,,visit,False,,,,1,False
12,an,an,,breathe,True,4,,,0,False
25,āñch,AYC,,tear,True,2,,,0,False
85,kamp,kamp,,tremble,True,4,kamp,,1,False
90,kāṅkṣ,kANkz,,desire,True,4,kAkzi~,01.0760,1,False
118,krand,krand,,cry out,True,4,kradi~,01.0074,1,False
155,khañj,KaYj,,limp,True,2,Kaji~,01.0266,1,False
214,cañc,caYc,,dance,True,3,cancu~,01.0217,1,False
278,ṭaṅk,waNk,,cover,True,1,,,0,False
283,ḍamb,qamb,,mock,False,,,,0,False
493,baṃh,baMh,,make firm,False,,,,0,False
540,mañc,maYc,,purify,False,,,,0,False
543,maṇḍ,maRq,,deck,False,,maqi~,01.0361,1,False
612,raṃh,raMh,,hasten,True,3,rahi~,01.0833;10.0329,2,False
614,raṅg,raNg,,rock,False,,,,0,False
620,raṇv,raRv,,delight,False,,,,0,False
630,ramb,ramb,,hang down,False,,,,0,False
631,rambh,ramB,,roar,False,,,,0,False
669,laṅgh,laNG,,leap,True,3,laGi~;laNG,10.0291,2,True
675,lamb,lamb,,hang down,True,4,,,1,False
680,lāñch,lAYC,,mark,False,,lACi~,01.0235,1,False
702,vaṇṭ,vaRw,,divide,False,,vawi~,01.0377;10.0073,2,False
722,vāñch,vAYC,,desire,True,4,vACi~,01.0236,1,False
768,śaṅk,SaNk,,doubt,True,4,SaNk,,1,False
