dimension,key,tokens,pct
auxiliary,as,3697,91.37
auxiliary,kṛ,298,7.37
auxiliary,bhū,32,0.79
auxiliary,other,19,0.47
person_number,3Si,3503,86.58
person_number,3Pl,466,11.52
person_number,3Du,68,1.68
person_number,1Si,8,0.2
person_number,2Si,1,0.02
voice,Act,4046,100.0
top_base_stem,cintay,200,4.94
top_base_stem,preṣay,184,4.55
top_base_stem,pūjay,160,3.95
top_base_stem,janay,159,3.93
top_base_stem,darśay,131,3.24
top_base_stem,kathay,125,3.09
top_base_stem,pātay,105,2.6
top_base_stem,vāray,102,2.52
top_base_stem,kāray,91,2.25
top_base_stem,chāday,87,2.15
top_base_stem,sthāpay,76,1.88
top_base_stem,tāḍay,62,1.53
top_base_stem,yodhay,59,1.46
top_base_stem,coday,56,1.38
top_base_stem,dhāray,52,1.29
top_base_stem,prasāday,51,1.26
top_base_stem,varay,48,1.19
top_base_stem,pālay,47,1.16
top_base_stem,utpāday,45,1.11
top_base_stem,toṣay,41,1.01
