feat_formation,tokens,pct_of_past,reading
NULL,85955,84.22,"UNMARKED — reduplicated perfect hides here, mixed with aorist/impf"
root,5690,5.58,root aorist
peri,4046,3.96,periphrastic perfect — form-evident PERFECT
them,2781,2.73,thematic aorist
s,1508,1.48,s-aorist
is,1077,1.06,iṣ-aorist
red,833,0.82,"reduplicated AORIST (augmented) — FALSE FRIEND, not the perfect"
sa,124,0.12,sa-aorist
sis,41,0.04,siṣ-aorist
