palsule_root,palsule_ref,row_kind,palsule_only,n_other_sources,whitney_root,mayrhofer_ewa_root,werba_via1_root,boehtlingk_pwg_root
bhūṣaṇaparyāptivāraṇeṣu,,continuation_or_gloss,False,1,,,,
alark,4-№86,root_entry,True,0,,,,
all,4-№87,root_entry,True,0,,,,
1av,4-№88,root_entry,False,4,av,av,*av,av
2av,4-№89,root_entry,False,1,,,2av,
avadhīra,4-№90,root_entry,True,0,,,,
avy,4-№91,root_entry,True,0,,,,
avv,5-№92,root_entry,True,0,,,,
1aç,5-№93,root_entry,False,4,1aç,aç,1aç,aç
2aç,5-№94,root_entry,False,3,2aç,,2aç,2aç
açva,5-№95,root_entry,False,1,,,,açva
aṣ,5-№96,root_entry,False,1,,,,aṣ
gatidīptyādāneṣu ityeke,,continuation_or_gloss,False,1,,,,
1as,5-№97,root_entry,False,4,1as,1as,as,as
gatidīptyādāneṣu,,continuation_or_gloss,False,4,,,,
2as,5-№98,root_entry,False,4,2as,2as,2as,2as
bhuvi,,continuation_or_gloss,False,4,,,,
3as,5-№99,root_entry,False,2,,,3*as,3as
kṣepane,,continuation_or_gloss,False,2,,,,
ast,5-№100,root_entry,True,0,,,,
1ah,5-№101,root_entry,False,4,ah,1ah,1ah,ah
2ah,5-№102,root_entry,False,2,,2ah,,2ah
3ah,5-№103,root_entry,False,1,,,,3ah
4ah,5-№104,root_entry,True,0,,,,
āñch,5-№105,root_entry,False,3,āñch,āñch,,āñch
āyāme,,continuation_or_gloss,False,2,,,,
āndola,5-№106,root_entry,False,1,,,,āndola
1āp,5-№107,root_entry,False,3,āp,āp,,āp
lambhane,,continuation_or_gloss,False,3,,,,
2āp,5-№108,root_entry,True,0,,,,
vyāptau,,continuation_or_gloss,True,0,,,,
ār,5-№109,root_entry,False,4,ār,ār,ār,ār
ās,5-№110,root_entry,False,4,ās,ās,ās,ās
upaveśane,,continuation_or_gloss,False,3,,,,
āhvara,5-№111,root_entry,False,1,,,,āhvara
1i,5-№112,root_entry,False,4,1i,i,i,i
adhyayane; nityamadhipūrvaḥ,,continuation_or_gloss,False,2,,,,
2i,5-№113,root_entry,False,3,2i,,2i,2i
gatau,,continuation_or_gloss,False,2,,,,
3i,5-№114,root_entry,False,2,,,3yā,3i
smaraṇe; ayamapyadhipūrvaḥ,,continuation_or_gloss,False,2,,,,
4i,5-№115,root_entry,False,1,,,,4i
ikṣ,6-№116,root_entry,True,0,,,,
ikh,6-№117,root_entry,False,1,,,,ikh
gatyarthaḥ,,continuation_or_gloss,True,0,,,,
iṅkh,6-№118,root_entry,False,1,,iṅkh/iṅk,,
gatyarthaḥ,,continuation_or_gloss,False,1,,,,
iṅg,6-№119,root_entry,False,3,iṅg,iṅg,,iṅg
gatyarthaḥ,,continuation_or_gloss,False,3,,,,
iṅgh,6-№120,root_entry,True,0,,,,
ich,6-№121,root_entry,False,3,ich,,*ih,ich
ij,6-№122,root_entry,False,2,,,*ij,ij
iṭ,6-№123,root_entry,False,2,iṭ,,,iṭ
gatau,,continuation_or_gloss,False,1,,,,
1iḍ,6-№124,root_entry,False,2,iḍ,,,iḍ
2iḍ,6-№125,root_entry,True,0,,,,
iṇ,6-№126,root_entry,True,0,,,,
iṇḍ,6-№127,root_entry,True,0,,,,
idh,6-№128,root_entry,False,4,idh,idh,idh,idh
in,6-№129,root_entry,False,2,in,,,in
inakṣ,6-№130,root_entry,False,2,inakṣ,,,inakṣ
int,6-№131,root_entry,True,0,,,,
ind,6-№132,root_entry,False,1,,,,ind
paramaiśvarye,,continuation_or_gloss,False,1,,,,
indh,6-№133,root_entry,False,1,,,,indh
dīptau,,continuation_or_gloss,False,1,,,,
1inv,6-№134,root_entry,False,1,,,,inv
2inv,6-№135,root_entry,True,0,,,,
iyakṣ,6-№136,root_entry,False,2,iyakṣ,,,iyakṣ
ir,6-№137,root_entry,False,1,,,,ir
irajy,6-№138,root_entry,False,2,irajy,,,irajy
iraṇ,7-№139,root_entry,True,0,,,,
iradh,7-№140,root_entry,False,2,iradh,,,iradh
1il,7-№141,root_entry,False,2,il,,,il
preraṇe,,continuation_or_gloss,False,2,,,,
2il,7-№142,root_entry,True,0,,,,
svapnakṣepanayoḥ,,continuation_or_gloss,True,0,,,,
3il,7-№143,root_entry,True,0,,,,
ill,7-№144,root_entry,True,0,,,,
1iṣ,7-№145,root_entry,False,4,1iṣ,iṣ,iṣ,iṣ
īṣaṁ gatau,,continuation_or_gloss,False,4,,,,
2iṣ,7-№146,root_entry,False,3,2iṣ,,2iṣ,2iṣ
icchāyām,,continuation_or_gloss,False,3,,,,
3iṣ,7-№147,root_entry,False,2,,,3iṣ,3iṣ
ābhīkṣṇye,,continuation_or_gloss,False,2,,,,
4iṣ,7-№148,root_entry,False,2,,,4iṣ,4iṣ
1ī,7-№149,root_entry,False,3,ī,,ī,ī
2ī,7-№150,root_entry,False,3,,2yā,2*ī,2ī
īkṣ,7-№151,root_entry,False,3,īkṣ,īkṣ,,īkṣ
darśane,,continuation_or_gloss,False,3,,,,
īkh,7-№152,root_entry,True,0,,,,
gatyarthaḥ,,continuation_or_gloss,True,0,,,,
īṅkh,7-№153,root_entry,False,4,īṅkh,īṅkh,īṅkh,īṅkh
gatyarthaḥ,,continuation_or_gloss,False,4,,,,
īj,7-№154,root_entry,False,3,īj,īj,,īj
gatikutsanayoḥ,,continuation_or_gloss,False,3,,,,
īñj,7-№155,root_entry,True,0,,,,
gatikutsanayoḥ ityeke,,continuation_or_gloss,True,0,,,,
īṭ,7-№156,root_entry,False,1,,eṭ,,
1īḍ,7-№157,root_entry,False,4,īḍ,īḍ,1īḍ,īḍ
stutau,,continuation_or_gloss,False,3,,,,
2īḍ,7-№158,root_entry,True,0,,,,
stutau,,continuation_or_gloss,True,0,,,,
1īr,7-№159,root_entry,False,3,īr,īr,,īr
kṣepe,,continuation_or_gloss,False,3,,,,
2īr,7-№160,root_entry,True,0,,,,
gatau kampane ca,,continuation_or_gloss,True,0,,,,
īrkṣy,7-№161,root_entry,False,1,,,,īrkṣy
īrṣyārthaḥ,,continuation_or_gloss,True,0,,,,
īrṣ,7-№162,root_entry,False,1,,īrṣ,,
īrṣy,8-№163,root_entry,False,2,īrṣy,,,īrṣy
īrṣyārthāḥ,,continuation_or_gloss,True,0,,,,
īl,8-№164,root_entry,True,0,,,,
īḷ,8-№165,root_entry,True,0,,,,
īç,8-№166,root_entry,False,4,īç,īç,*iç,īç
1īṣ,8-№167,root_entry,False,3,īṣ,īṣ,,īṣ
uñche,,continuation_or_gloss,False,2,,,,
2īṣ,8-№168,root_entry,False,1,,2eṣ,,
gatihiṃsādarśaneṣu,,continuation_or_gloss,False,1,,,,
īh,8-№169,root_entry,False,4,īh,īh/āh,āh,īh
ceṣṭāyām,,continuation_or_gloss,False,4,,,,
1u,8-№170,root_entry,False,4,u,u,u,u
2u,8-№171,root_entry,False,2,,,2*u,2u
3u,8-№172,root_entry,False,1,,,,3u
1ukṣ,8-№173,root_entry,False,4,1ukṣ,ukṣ,1ukṣ,ukṣ
2ukṣ,8-№174,root_entry,False,3,2ukṣ,,2ukṣ,2ukṣ
3ukṣ,8-№175,root_entry,False,1,,,,3ukṣ
ukh,8-№176,root_entry,False,1,,,,ukh
gatyarthaḥ,,continuation_or_gloss,False,1,,,,
uṅkh,8-№177,root_entry,False,1,,,ūṅkh,
gatyarthaḥ,,continuation_or_gloss,False,1,,,,
uṅg,8-№178,root_entry,True,0,,,,
uc,8-№179,root_entry,False,4,uc,uc/oc,uc,uc
samavāye,,continuation_or_gloss,False,4,,,,
uch,8-№180,root_entry,False,2,uch,,,uch
ujjh,8-№181,root_entry,False,3,ujh,ujjh,,ujjh
utsarge,,continuation_or_gloss,False,3,,,,
uñch,8-№182,root_entry,False,3,uñch,uñch,,uñch
uṭ,8-№183,root_entry,True,0,,,,
uṭh,8-№184,root_entry,False,2,,uṭh,,uṭh
uḍ,8-№185,root_entry,False,1,,,,uḍ
unḍ,9-№186,root_entry,True,0,,,,
1ud,9-№187,root_entry,False,4,ud,ud/od,ud,ud
2ud,9-№188,root_entry,False,2,,,2ud,2ud
udhras,9-№189,root_entry,False,1,,,,udhras
uñche ityeke,,continuation_or_gloss,True,0,,,,
un,9-№190,root_entry,True,0,,,,
ubj,9-№192,root_entry,False,3,ubj,ubj,,ubj
ārjave,,continuation_or_gloss,False,3,,,,
ubh,9-№193,root_entry,False,4,ubh,ubh/vabh,ubh,ubh
pūraṇe,,continuation_or_gloss,False,4,,,,
umbh,9-№194,root_entry,False,1,,,,umbh
pūraṇe,,continuation_or_gloss,False,1,,,,
ur,9-№195,root_entry,False,2,,vari,,ur
urd,9-№196,root_entry,False,1,,,,urd
māne krīḍāyāṃ ca,,continuation_or_gloss,True,0,,,,
urv,9-№197,root_entry,False,1,,,,urv
hiṃsārthaḥ,,continuation_or_gloss,True,0,,,,
ul,9-№198,root_entry,False,1,,,,ul
ulaṇḍ,9-№199,root_entry,False,1,,,,ulaṇḍ
1uṣ,9-№200,root_entry,False,4,uṣ,uṣ,1uṣ,uṣ
2uṣ,9-№201,root_entry,False,2,,,2*uṣ,2uṣ
3uṣ,9-№202,root_entry,False,2,,,3uṣ,3uṣ
uh,9-№203,root_entry,False,3,,uh,uh,uh
ardane,,continuation_or_gloss,False,2,,,,
ū,9-№204,root_entry,False,2,,,ū,ū
ūṭh,10-№205,root_entry,False,2,,ūṭh/oṭh,,ūṭh
upaghāte,,continuation_or_gloss,False,1,,,,
ūna,10-№206,root_entry,False,1,,,,ūna
parihāṇe,,continuation_or_gloss,True,0,,,,
ūy,10-№207,root_entry,False,1,,,,ūy
tantusantāne,,continuation_or_gloss,False,1,,,,
1ūrj,10-№208,root_entry,False,2,,,1ūrj,ūrj
2ūrj,10-№209,root_entry,True,0,,,,
ūrṇu,10-№210,root_entry,False,2,ūrṇu,,,ūrṇu
ācchādane,,continuation_or_gloss,False,1,,,,
ūrd,10-№211,root_entry,False,1,,,,ūrd
ūrv,10-№212,root_entry,True,0,,,,
1ūṣ,10-№213,root_entry,False,2,,oṣ,,ūṣ
2ūṣ,10-№214,root_entry,True,0,,,,
ūṣa,10-№215,root_entry,False,1,,,,ūṣa
