cell,lemmas_attesting,tokens
Nom.Sing,9933,107267
Nom.Dual,506,1464
Nom.Plur,1311,10131
Acc.Sing,5543,91569
Acc.Dual,392,1429
Acc.Plur,1286,13011
Ins.Sing,2244,22995
Ins.Dual,233,713
Ins.Plur,1647,12418
Dat.Sing,820,4367
Dat.Dual,7,15
Dat.Plur,41,204
Abl.Sing,2383,23041
Abl.Dual,48,74
Abl.Plur,196,698
Gen.Sing,1390,9743
Gen.Dual,268,616
Gen.Plur,652,5036
Loc.Sing,3811,48787
Loc.Dual,160,310
Loc.Plur,810,5211
Voc.Sing,58,85
Voc.Dual,3,3
Voc.Plur,7,7
