const	name	number	sutra	kind	n_members	members_slp1
SHRENYADI	SreRyAdiH	11	2.1.59	basic	25	SreRi|eka|pUga|mukunda|rASi|nicaya|vizaya|niDana|para|indra|deva|muRqaBUta|SravaRa|vadAnya|aDyApaka|aBirUpaka|brAhmaRa|kzatriya|viSizwa|pawu|paRqita|kuSala|capala|nipuRa|kfpaRa
KRTADI	kftAdiH	12	2.1.59	basic	22	kfta|mita|mata|BUta|ukta|yukta|samAjYAta|samAmnAta|samAKyAta|samBAvita|saMsevita|avaDArita|avakalpita|nirAkfta|upakfta|upAkfta|dfzwa|kalita|dalita|udAhfta|viSruta|udita
SHAKAPARTHIVADI	SAkapArTivAdiH	13	2.1.60	akrti	30	SAkapArTivaH|kutapasOSruta|ajAtOlvali|kftAkfta|BuktaviBukta|pItavipIta|gatapratyAgata|yAtAnuyAta|krayAkrayikA|puwApuwikA|PalAPalikA|mAnonmAnikA|SAkapArTivAdInAmupasaNKyAnam|SramaRAdiH|2.1.70|SramaRA|pravrajitA|kulawA|garBiRI|tApasI|dAsI|banDakI|aDyApaka|aBirUpaka|paRqita|pawu|mfdu|kuSala|capala|nipuRA
MAYURAVYAMSAKADI	mayUravyaMsakAdiH	15	2.1.72	akrti	83	mayUravyaMsaka|CAtravyaMsaka|kambojamuRqa|yavanamuRqa|hastagfhya|pAdegfhya|pAdagfhya|lANgUlegfhya|lANgUlagfhya|punardAya|ehIqam|ehiyavam|apehivARijA|prehivARijA|ehisvAgatA|apohisvAgatA|prehisvAgatA|ehidvitIyA|apehidvitIyA|prehidvitIyA|ehikawA|apohakawA|prohakawA|AharakawA|prohikardamA|prohakardamA|viDamacUqA|udDamacUqA|udDaracUqA|AharacelA|haravasana|AharavanitA|hatavinata|kfntavicakzaRA|udDarotsfjA|udDarAvasfjA|udDamaviDamA|utpacanipacA|utpatanipatA|uccAvacam|uccanIcam|acopacam|AparAcam|Kapracama|niScapracam|akiMcana|snAtvAkAlaka|pItvAsTiraka|BuktvAsuhita|prozyapApIyAn|utpatyapAkalA|nipatyarohiRI|nizaRRASyAmA|aprehipraGasA|prehipraGasA|ihapaYcamI|ihadvitIyA|jahijoqa|jahijoqam|jahistambaH|jjahistambama|aSnItapibatA|pacataBfjjatA|KAdatamodatA|KAdatavamatA|KAdatAcamatA|AharanivapA|AvapanizkirA|utpacacvipacA|BinDilavaRA|kfnDivicakzanA|pacalavaRA|pacaprakUwA|akutoBayaH|kAndiSIkaH|kAndoSIkaH|strAhopuruzikA|ahamahamikA|yadfcCA|ehireyAhirA|unmfjAvamfjA|dravyAntaram|avaSyakAryam
YAJAKADI	yAjakAdiH	16	2.2.9	basic	13	yAjaka|pUjaka|paricAraka|parivezaka|parizecaka|snAtaka|aDyApaka|utsAha|udvartaka|hotf|Batf|raTagaRaka|pattigaRaka
RAJADANTADI	rAjadantAdiH	17	2.2.31	basic	57	rAjadantaH|agrevaRam|liptavAsitam|nagnamuzitam|siktasaMmfzwam|mfzwaluYcitam|avaklinnapakvam|arpitoptam|uptagAQam|ulUKalamusalam|taRqulakiRvam|dfzadupalam|AraqvAyani|AragvAyanabanDakI|citraraTavAhlIkam|AvantyaSmakam|SUdrAryam|snAtakarAjAnO|vizvaksenArjunO|akziBruvam|dAragavam|SabdArTO|DarmArTO|kAmArTO|arTaSabdO|arTaDarmO|arTakAmO|vEkArimatam|gAjavAjam|gopAlaDAnapUlAsam|gopAlaDAnIpUlAsam|pUlAsakAraRqam|pUlAsakakuraRqam|sTUlAsama|sTUlapUlAsam|uSIrabIjam|jijYAsTi|siYjAsTam|siYjASvatTam|citrAsvAtI|citrasvAtI|BAryApatI|daMpatI|jaMpatI|jAyApatI|putrapatI|putrapaSU|keSaraSmaSrU|Sirobiju|SirobIjama|SirojAnu|sarpirmaDuna|maDusarpizI|AdyantO|antAdI|guRavfdDI|vfdDiguRO
AHITAGNYADI	AhitAgnyAdiH	18	2.2.37	akrti	13	AhitAgniH|jAtapUtraH|jAtadanta|jAtaSamaSru|tElapIta|GftapIta|dyapI|UQaBArya|gatArTa|gaqukaRWa|asyudyata|aramudyata|daRqapARi
KADARADI	kaqArAdiH	19	2.2.38	basic	19	kaqAra|guqula|KaYja|Koqa|kARa|kuRWa|Kalati|gOra|vfdDa|Bikzuka|piNgula|piNgala|taqa|tanu|Wa|baDira|maWara|kaYja|barbara
NAVADI	nAvAdiH	20	2.3.17	basic	16	nO|kAka|anna|Suka|SfgAla|nOkAkAnnaSukaSfgAlavarjezu|prakftyAdiH|2.3.18|prakfti|prAya|gotra|sama|vizama|dvidroRa|paYcaka|sAhasra
PRATYADI	pratyAdiH	22	2.3.43	basic	35	prati|pari|anu|apratyAdiBiriti vaktavyam|gavASvAdiH|2.4.11|gavASvam|gavAvikam|gavEqakam|ajAvikam|ajEqakam|kubjavAmanam|kubjakirAtam|putrapOtram|SvacaRqAlam|strIkumAram|dAsImARavakam|SAwIpawIram|SAwIpacCakam|SAwIpawwIkam|uzwraKaram|uzwraSaSam|mUtraSakft|mUtrapurIzam|yakfnmedaH|mAMsaSoRitam|darBaSaram|darBapUtIkam|arjunaSirIzam|arjunapuruzam|tfRopalam|tfRolapama|dAsIdAsam|kuwIkuwam|BAgavatIBAgavatam
