member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
triloka	caturvedAdiH	5.1.124			1
tripadI	kumBapadyAdiH	5.4.139			
trisvara	caturvedAdiH	5.1.124			
trivaNkara	tricakrAdi	6.2.129			
trivft	tricakrAdi	6.2.129			1
trizwup	utsAdiH	4.1.86			
tryAhAva	DUmAdiH	4.2.127	P.4.2.127	1	1
tryAkzAyaRa	EzukAryAdiH	4.2.54	P.4.2.54	1	1
tryahava	DUmAdiH	4.2.127			
tsaru	AkarzAdiH	5.2.64			1
tu	cAdiH	1.4.57			1
tuRqadeva	EzukAryAdiH	4.2.54	P.4.2.54	1	1
tuda	SuBrAdiH	4.1.123	P.4.1.123	1	1
tukza	pakzAdiH	4.2.80	P.4.2.80	1	1
tulaBa	dAmanyAdiH	5.3.116	P.5.3.116	1	1
tunda	arSaAdiH|tundAdiH	5.2.117|5.2.127	P.5.2.117|P.5.2.127	1	1
tuza	pakzAdiH	4.2.80			1
tvA	cAdiH	1.4.57			
tvE	cAdiH	1.4.57			1
tva	sarvAdiH	1.1.27	P.1.1.27	1	1
tvat	sarvAdiH	1.1.27			1
tyad	AdyAdiH|sarvAdiH	1.1.27|5.4.44			1
u	cAdiH	1.4.57	P.1.4.57	1	1
uBAYjali	dvidaRqyAdiH	5.4.128			
uBAbAhu	dvidaRqyAdiH	5.4.128			
uBAdanti	dvidaRqyAdiH	5.4.128			
uBAhasti	dvidaRqyAdiH	5.4.128			
uBAkarRi	dvidaRqyAdiH	5.4.128	P.5.4.128	1	1
uBApARi	dvidaRqyAdiH	5.4.128			
uBa	sarvAdiH	1.1.27	P.1.1.27	1	1
uBayAYjali	dvidaRqyAdiH	5.4.128			
uBayAbAhu	dvidaRqyAdiH	5.4.128			
uBayAdanti	dvidaRqyAdiH	5.4.128	P.5.4.128	1	1
uBayAhasti	dvidaRqyAdiH	5.4.128	P.5.4.128	1	1
uBayAkarRi	dvidaRqyAdiH	5.4.128	P.5.4.128	1	1
uBayApARi	dvidaRqyAdiH	5.4.128			
uBaya	sarvAdiH	1.1.27			1
uKA	digAdiH	4.3.54			
uKyA	katryAdiH	4.2.95			
uRaka	gOrAdiH	4.1.41	P.4.1.41	1	1
uSInara	utsAdiH|yODeyAdiH	4.1.178|4.1.86|5.3.117			1
uSIra	kisarAdiH	4.4.53			1
uSIrabIjam	rAjadantAdiH	2.2.31			
uSij	prajYAdiH	5.4.38			1
uY	cAdiH	1.4.57			
uYCa	uYCAdiH	6.1.160	P.6.1.160	1	1
ubjakakuBAH	tikakitavAdiH	2.4.68			
uccAra	tArakAdiH	5.2.36			1
uccAvacam	mayUravyaMsakAdiH	2.1.72			
uccEs	svarAdiH	1.1.37	P.1.1.37	1	1
uccanIcam	mayUravyaMsakAdiH	2.1.72			
ud	prAdiH	1.4.58			1
udAhfta	kftAdiH	2.1.59			
udAra	bahvAdiH	4.1.45	P.4.1.45	1	1
udBAsI	grahyAdiH	3.1.134			
udBAva	balAdiH	5.2.136			
udDamacUqA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
udDamaviDamA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
udDarAvasfjA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
udDaracUqA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
udDarotsfjA	mayUravyaMsakAdiH	2.1.72			
udaNka	bAhvAdiH|upakAdiH	2.4.69|4.1.96	P.2.4.69	1	1
udaSvit	aNgulyAdiH	5.3.108			1
udaYcana	arIhaRAdiH	4.2.80			1
udaYcu	bAhvAdiH	4.1.96	P.4.1.96	1	1
udajina	nirudakAdiH	6.2.184	P.6.2.184	1	1
udaka	daRqAdiH|picCAdiH|siDmAdiH	5.1.66|5.2.100|5.2.97			1
udakaSudDa	anuSatikAdiH	7.3.20	P.7.3.20	1	1
udakam	sAkzAtpraBftiH	1.4.74			
udapAna	SuRqikAdiH|paladyAdiH|utsAdiH	4.1.86|4.2.110|4.3.76	P.4.2.110	1	1
udapAnamaRqUkaH	pAtresamitAdiH	2.1.48			
udara	mUlaviBujAdiH|tundAdiH	3.2.5|5.2.117			1
udarakfmiH	pAtresamitAdiH	2.1.48			
udasTAna	CatrAdiH	4.4.62			1
uddAso	grahyAdiH	3.1.134			
uddaRqa	arIhaRAdiH	4.2.80			1
udgAtf	udgAtrAdiH	5.1.129			
udita	kftAdiH	2.1.59			1
udranya	tikAdiH	4.1.154			
udumbara	KalAdiH|naqAdiH|rajatAdiH	4.1.99|4.2.51|4.3.154			1
udumbaramaSakAH	pAtresamitAdiH	2.1.48			
udvAma	balAdiH	5.2.136			
udvAsa	balAdiH	5.2.136	P.5.2.136	1	1
udvartaka	yAjakAdiH	2.2.9	P.2.2.9	1	1
udvepa	saNkalAdiH	4.2.75	P.4.2.75	1	1
udyAna	arDarcAdiH	2.4.31	P.2.4.31	1	1
udyoga	arDarcAdiH	2.4.31	P.2.4.31	1	1
ujjayanI	DUmAdiH	4.2.127			
ujjayinI	varaRAdiH	4.2.82			1
ukTa	gargAdiH|ukTAdiH	4.1.105|4.2.60	P.4.2.60	1	1
ukaY	cAdiH	1.4.57			
ukta	kftAdiH	2.1.59			1
ulUKala	kukkuwyAdiH	6.3.42			1
ulUKalamusalam	rAjadantAdiH	2.2.31			
ulUKalamusale	daDipayasyAdiH	2.4.14			
ulUka	KaRqikAdiH|gargAdiH	4.1.105|4.2.45			1
ulUkapAka	kzipakAdiH	7.3.45			1
ula	balAdiH	4.2.80	P.4.2.80	1	1
ulaBa	dAmanyAdiH	5.3.116			
ulanda	arIhaRAdiH	4.2.80	P.4.2.80	1	1
ulaqula	balAdiH	4.2.80			
umA	aSvAdiH	5.1.39			1
umBi	katryAdiH	4.2.95	P.4.2.95	1	1
unmanas	BfSAdiH	3.1.12			1
unmfjAvamfjA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
unnetf	udgAtrAdiH	5.1.129			
upAMSu	svarAdiH	1.1.37	P.1.1.37	1	1
upAjina	nirudakAdiH	6.2.184			1
upAkfta	izwAdiH|kftAdiH	2.1.59|5.2.88	P.2.1.59	1	1
upAnah	AdyAdiH	5.4.44			1
upAnaqa	uraHpraBftayaH	5.4.151			
upAsAdita	izwAdiH	5.2.88	P.5.2.88	1	1
upAyo	vinayAdiH	5.4.34			
upa	prAdiH	1.4.58			1
upaDA	svarAdiH	1.1.37			1
upabAhu	bAhvAdiH	4.1.96	P.4.1.96	1	1
upacAra	vinayAdiH	5.4.34			1
upadeSa	vetanAdiH	4.4.12			1
upagUQa	fSyAdiH	4.2.80	P.4.2.80	1	1
upahasta	vetanAdiH	4.4.12	P.4.4.12	1	1
upahita	AcitAdiH	6.2.146	P.6.2.146	1	1
upaka	naqAdiH	4.1.99			1
upakalApa	parimuKAdiH	4.3.59			1
upakalamakAH	tikakitavAdiH	2.4.68			
upakalamaka	upakAdiH	2.4.69			
upakfta	izwAdiH|kftAdiH	2.1.59|5.2.88			1
upala	SuRqikAdiH	4.3.76			1
upamA	caturvedAdiH	5.1.124			1
upamanyu	bidAdiH	4.1.104			1
upanindu	bAhvAdiH	4.1.96			
upanizad	parimuKAdiH	4.3.59			1
upanizat	vetanAdiH	4.4.12			
uparADaya	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
uparAja	kASyAdiH	4.2.116	P.4.2.116	1	1
uparimeKala	yaskAdiH	2.4.63	P.2.4.63	1	1
uparoDI	grahyAdiH	3.1.134			
upasIra	parimuKAdiH	4.3.59			1
upasTAna	CatrAdiH|vetanAdiH	4.4.12|4.4.62			1
upasTApana	upavastrAdiH	5.1.105			1
upasTURa	parimuKAdiH	4.3.59			1
upasTa	vetanAdiH	4.4.12			1
upasTita	AcitAdiH	6.2.146	P.6.2.146	1	1
upasaNkramaRa	mahAnAmnyAdiH	5.1.94			
upasad	vimuktAdiH	5.2.61			1
upasarga	kzipakAdiH|saMtApAdiH	5.1.101|7.3.45			1
upavAku	bAhvAdiH	4.1.96			
upavAsa	agnipadAdiH|arDarcAdiH|guqAdiH|saMtApAdiH	2.4.31|4.4.103|5.1.101|5.1.97	P.2.4.31	1	1
upavastf	upavastrAdiH	5.1.105			
upavasti	vetanAdiH	4.4.12	P.4.4.12	1	1
upaveSa	vetanAdiH	4.4.12			1
upayAma	balAdiH	5.2.136			1
uptagAQam	rAjadantAdiH	2.2.31			
uqupa	saNkalAdiH|utsaNgAdiH	4.2.75|4.4.15			1
urala	balAdiH	4.2.80	P.4.2.80	1	1
urarI	UryAdiH	1.4.61	P.1.4.61	1	1
uras	BargAdiH|SAKAdiH|aNgulyAdiH|arSaAdiH|kaRqvAdiH|picCAdiH|tikAdiH|uraHpraBftayaH	3.1.27|4.1.154|4.1.178|5.2.100|5.2.127|5.3.103|5.3.108|5.4.151	P.4.1.154|P.5.4.151	1	1
urasA	sinDvAdiH|varaRAdiH	4.2.82|4.3.93			1
urda	gOrAdiH	4.1.41			
urma	aSvAdiH	5.1.39			
urmi	yavAdiH	8.2.9			
uru	svargAdiH	5.1.111			1
urva	bidAdiH	4.1.104	P.4.1.104	1	1
urvaSI	vimuktAdiH	5.2.61			1
utAho	cAdiH	1.4.57			1
utTApana	upavastrAdiH	5.1.105			1
utkAsa	yaskAdiH	2.4.63	P.2.4.63	1	1
utkaRWA	tArakAdiH	5.2.36			
utkara	utkarAdiH	4.2.90			1
utkarza	tArakAdiH	5.2.36			1
utkroSa	utkarAdiH	4.2.90			1
utkzepa	SivAdiH	4.1.112	P.4.1.112	1	1
utpAda	parimuKAdiH	4.3.59			1
utpAta	parimuKAdiH	4.3.59			1
utpUta	utsaNgAdiH	4.4.15			
utpacacvipacA	mayUravyaMsakAdiH	2.1.72			
utpacanipacA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
utpala	puzkarAdiH	5.2.135			1
utpanna	utsaNgAdiH	4.4.15			1
utpatanipatA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
utpatyapAkalA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
utpuwa	saNkalAdiH|utsaNgAdiH	4.2.75|4.4.15	P.4.2.75	1	1
utsAhI	grahyAdiH	3.1.134			
utsAha	balAdiH|yAjakAdiH	2.2.9|5.2.136			1
utsa	utsAdiH	4.1.86			1
utsaNga	utsaNgAdiH	4.4.15			1
utsuka	BfSAdiH	3.1.12	P.3.1.12	1	1
uttAna	mUlaviBujAdiH	3.2.5			1
uttama	gahAdiH|saNkalAdiH	4.2.138|4.2.75			1
uttamaSAKa	gahAdiH	4.2.138	P.4.2.138	1	1
uttarASman	fSyAdiH	4.2.80	P.4.2.80	1	1
uttara	gahAdiH|sarvAdiH	1.1.27|4.2.138			1
uttaraSalaNkawAH	tikakitavAdiH	2.4.68			
uvas	kaRqvAdiH	3.1.27			
uzA	svarAdiH	1.1.37	P.1.1.37	1	1
uzRa	varRadfQAdiH	5.1.123			1
uzRam	sAkzAtpraBftiH	1.4.74			
uzRih	utsAdiH	4.1.86			1
uzRihA	ajAdiH	4.1.4	P.4.1.4	1	1
uzRij	prajYAdiH	5.4.38	P.5.4.38	1	1
uzas	kaRqvAdiH	3.1.27			1
uzwra	aMSvAdiH	6.2.193			1
uzwraKaram	pratyAdiH	2.3.43			
uzwraSaSam	pratyAdiH	2.3.43			
uzwragrIvA	BavadAdiH	5.3.14			
vA	cAdiH	1.4.57	P.1.4.57	1	1
vANmanase	daDipayasyAdiH	2.4.14			
vARi	kaRAdiH	7.4.3			1
vARijaka	BOrikyAdiH	4.2.54	P.4.2.54	1	1
vARikAjya	BOrikyAdiH	4.2.54	P.4.2.54	1	1
vASanaH	nandyAdiH	3.1.134			
vAgmin	aSvAdiH	4.1.110			1
vAhIka	paladyAdiH	4.2.110			
vAha	nizkAdiH	5.1.20			1
vAhana	vetanAdiH	4.4.12			1
vAhyaka	tikAdiH	4.1.154			1
vAjAse	gargAdiH	4.1.105			
vAjapya	naqAdiH	4.1.99	P.4.1.99	1	1
vAjasaneya	SOnakAdiH	4.3.106	P.4.3.106	1	1
vAjavata	tikAdiH	4.1.154	P.4.1.154	1	1
vAk	kurvAdiH	4.1.151			
vAkina	vAkinAdiH	4.1.158	P.4.1.158	1	1
vAlamanda	caturvedAdiH	5.1.124			
vAlikAjya	BOrikyAdiH	4.2.54	P.4.2.54	1	1
vAlmIki	gahAdiH	4.2.138	P.4.2.138	1	1
vAlmiki	gahAdiH	4.2.138	P.4.2.138	1	1
vAmA	tricakrAdi	6.2.129			
vAman	pAmAdiH	5.2.100	P.5.2.100	1	1
vAmaraTa	kurvAdiH	4.1.151	P.4.1.151	1	1
vAmarajju	BavadAdiH	5.3.14			
vAnAma	kaRAdiH	7.4.3			1
vAprakaraRegirinadyAdInAM copasaMKyAnam	irikAdiH	8.4.6			
vAqava	brAhmaRAdiH	5.1.124			1
vArARasI	nadyAdiH	4.2.97	P.4.2.97	1	1
vArAwaki	gahAdiH	4.2.138	P.4.2.138	1	1
vArabARa	arDarcAdiH	2.4.31	P.2.4.31	1	1
vAravAraRa	arDarcAdiH	2.4.31	P.2.4.31	1	1
vArdAlI	maDvAdiH	4.2.86	P.4.2.86	1	1
vAri	bahvAdiH	4.1.45			1
vAripaTa	BavadAdiH	5.3.14			1
vArkali	tOlvalyAdiH	2.4.61			1
vAsa	kASAdiH	4.2.80			1
vAsava	saKyAdiH	4.2.80			1
vAstuvidyA	parimuKAdiH	4.3.59			1
vAt	cAdiH	1.4.57	P.1.4.57	1	1
vAtAgAra	utkarAdiH	4.2.90			
vAta	pASAdiH	4.2.49			1
vAtaki	kurvAdiH	4.1.151	P.4.1.151	1	1
vAtsyAyana	SArNgaravAdiH	4.1.73	P.4.1.73	1	1
vAvadUka	kurvAdiH	4.1.151	P.4.1.151	1	1
vAw	cAdiH	1.4.57	P.1.4.57	1	1
vAyudatta	SuBrAdiH|saKyAdiH	4.1.123|4.2.80	P.4.1.123	1	1
vE	cAdiH	1.4.57	P.1.4.57	1	1
vENki	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vESIti	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vESvaDenava	EzukAryAdiH	4.2.54	P.4.2.54	1	1
vESvaDyenava	EzukAryAdiH	4.2.54			
vESvamAnava	EzukAryAdiH	4.2.54	P.4.2.54	1	1
vEhati	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vEji	gahAdiH	4.2.138			1
vEkArimatam	rAjadantAdiH	2.2.31			
vEkarRi	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vEkayata	BOrikyAdiH	4.2.54	P.4.2.54	1	1
vEki	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vElya	aSvAdiH	4.1.110			
vEmatAyaRa	arIhaRAdiH	4.2.80			
vEmatAyana	arIhaRAdiH	4.2.80	P.4.2.80	1	1
vEpeya	BOrikyAdiH	4.2.54			
vEqAlikarRaka	cihaRAdiH	6.2.125			
vEqAlikarRi	cihaRAdiH	6.2.125			
vErARaka	utkarAdiH	4.2.90	P.4.2.90	1	1
vEraki	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
vEtula	cihaRAdiH	6.2.125	P.6.2.125	1	1
vEwayata	krOqyAdiH	4.1.80			
vIRA	jyotsnAdiH|siDmAdiH	5.2.103|5.2.97			1
vIja	SuBrAdiH	4.1.123			
vIra	saKyAdiH|samAnAdiH	4.1.35|4.2.80			1
vIraRa	arIhaRAdiH|fSyAdiH	4.2.80			1
vIrut	kzipakAdiH	7.3.45			
vOzaw	UryAdiH|cAdiH	1.4.57|1.4.61	P.1.4.57	1	1
vaDA	cAdiH	1.4.57	P.1.4.57	1	1
vaDU	kulAlAdiH|udgAtrAdiH	4.3.118|5.1.129			1
vaDa	daRqAdiH|uYCAdiH	5.1.66|6.1.160			1
vaDvA	cAdiH	1.4.57	P.1.4.57	1	1
vaDyoga	anuSatikAdiH|bidAdiH	4.1.104|7.3.20			
vaMSa	SarAdiH|digAdiH|vaMSAdiH	4.3.54|5.1.50|6.3.120			1
vaNKaraBaRqIraTAH	tikakitavAdiH	2.4.68			
vaNga	gahAdiH	4.2.138	P.4.2.138	1	1
vaNkawa	kASAdiH	4.2.80			
vaRij	prajYAdiH	5.4.38			1
vaSA	yavAdiH	8.2.9			1
vaSam	cAdiH	1.4.57			
vaSe	sAkzAtpraBftiH	1.4.74			
vaca	pacAdiH	3.1.134	P.3.1.134	1	1
vadAnya	SreRyAdiH|cArvAdiH	2.1.59|6.2.160	P.2.1.59	1	1
vada	aSvAdiH|pacAdiH	3.1.134|4.1.110	P.3.1.134	1	1
vadi	svarAdiH	1.1.37	P.1.1.37	1	1
vahaH	vfzAdiH	6.1.203			
vahacara	saMpadAdiH	3.3.108			
vahacaru	saMpadAdiH	3.3.108			
vahadgu	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
vahyaska	bidAdiH	4.1.104	P.4.1.104	1	1
vajra	arDarcAdiH|saKyAdiH	2.4.31|4.2.80	P.2.4.31	1	1
vakasakTa	yaskAdiH	2.4.63			
vakra	kzipakAdiH|varRadfQAdiH	5.1.123|7.3.45			1
valaBI	varaRAdiH	4.2.82	P.4.2.82	1	1
valaya	arDarcAdiH	2.4.31	P.2.4.31	1	1
valepAka	kzipakAdiH	7.3.45			
valgu	aNgulyAdiH|gargAdiH|kaRqvAdiH|varaRAdiH	3.1.27|4.1.105|4.2.82|5.3.108	P.4.2.82	1	1
valika	pakzAdiH	4.2.80	P.4.2.80	1	1
valkala	arDarcAdiH	2.4.31	P.2.4.31	1	1
vallaBa	GozAdiH	6.2.85	P.6.2.85	1	1
valmIka	arDarcAdiH	2.4.31	P.2.4.31	1	1
vanDA	UryAdiH	1.4.61	P.1.4.61	1	1
vana	balAdiH|cAdiH|kASAdiH|pASAdiH|tfRAdiH	1.4.57|4.2.49|4.2.80	P.1.4.57	1	1
vanakOSAmbI	nadyAdiH	4.2.97	P.4.2.97	1	1
vanakoSAmbI	nadyAdiH	4.2.97			
vanaspatiH	vanaspatyAdiH	6.2.140			
vapA	BidAdiH	3.3.104	P.3.3.104	1	1
vapa	pacAdiH	3.1.134	P.3.1.134	1	1
vapra	arDarcAdiH	2.4.31	P.2.4.31	1	1
vaqaBIkAra	kurvAdiH	4.1.151	P.4.1.151	1	1
vaqavA	KaRqikAdiH|jyotsnAdiH	4.2.45|5.2.103			
vaqavAyA	nadyAdiH	4.2.97			
varARa	tfRAdiH	4.2.80	P.4.2.80	1	1
varAha	varAhAdiH|vyAGrAdiH	2.1.56|4.2.80	P.2.1.56	1	1
varDanaH	nandyAdiH	3.1.134			
varI	gOrAdiH	4.1.41			1
varRAt	arSaAdiH	5.2.127			
varRa	arDarcAdiH|picCAdiH|rasAdiH|tfRAdiH	2.4.31|4.2.80|5.2.100|5.2.95	P.2.4.31	1	1
varRaka	gargAdiH|tArakAdiH	4.1.105|5.2.36			1
varRu	kacCAdiH|sinDvAdiH|suvAstvAdiH	4.2.133|4.2.77|4.3.93			1
vara	naqAdiH	4.1.99			1
varaRA	varaRAdiH	4.2.82			
varaRa	kASAdiH|kaRqvAdiH	3.1.27|4.2.80			1
varam	svarAdiH	1.1.37	P.1.1.37	1	1
varatra	KalAdiH	4.2.51			
varcala	kfSASvAdiH	4.2.80			1
varcas	BfSAdiH	3.1.12			1
varcaska	arDarcAdiH	2.4.31	P.2.4.31	1	1
vareRya	tikAdiH	4.1.154			1
varga	digAdiH	4.3.54			1
varjya	DUmAdiH	4.2.127			1
varman	tArakAdiH	5.2.36			1
varmatI	katryAdiH	4.2.95			1
varmika	caturvedAdiH	5.1.124			1
varmin	jyotsnAdiH	5.2.103			1
vartanAkza	SivAdiH	4.1.112			
varuRa	saNkalAdiH	4.2.75			1
varuqa	kulAlAdiH	4.3.118			1
varzA	aSvAdiH|vasantAdiH	4.2.63|5.1.39			
varzAlI	UryAdiH	1.4.61	P.1.4.61	1	1
varza	arDarcAdiH	2.4.31	P.2.4.31	1	1
varzman	siDmAdiH	5.2.97			1
varzuka	yaskAdiH	2.4.63	P.2.4.63	1	1
vas	aSvAdiH	4.1.110			1
vasA	BidAdiH	3.3.104	P.3.3.104	1	1
vasAti	KalAdiH	4.2.51			1
vasUnitiH	kurugArhapatAdiH	6.2.42			
vasanta	arDarcAdiH|vasantAdiH	2.4.31|4.2.63	P.2.4.31|P.4.2.63	1	1
vasizWa	karRAdiH	4.2.80			1
vastra	arDarcAdiH	2.4.31	P.2.4.31	1	1
vasu	aSvAdiH|arDarcAdiH|parSvAdiH|prajYAdiH|vimuktAdiH	2.4.31|5.1.39|5.2.61|5.3.117|5.4.38	P.2.4.31|P.5.3.117	1	1
vasumat	vimuktAdiH	5.2.61			
vasunItiH	kurugArhapatAdiH	6.2.42			
vat	cAdiH	1.4.57			1
vataRqa	SArNgaravAdiH|SivAdiH|gargAdiH	4.1.105|4.1.112|4.1.73			1
vatsA	ajAdiH	4.1.4			
vatsa	gargAdiH|svargAdiH	4.1.105|5.1.111			1
vatsajarantaH	kArtakOjapAdiH	6.2.37			
vatsodDaraRa	takzaSilAdiH	4.3.93			1
vawAku	bAhvAdiH	4.1.96	P.4.1.96	1	1
vawa	balAdiH|maDvAdiH	4.2.80|4.2.86			1
vayas	parSvAdiH|prajYAdiH|vimuktAdiH	5.2.61|5.3.117|5.4.38			1
vazaw	UryAdiH|cAdiH|svarAdiH	1.1.37|1.4.57|1.4.61	P.1.1.37|P.1.4.61	1	1
veRu	bilvAdiH|fSyAdiH|guqAdiH|maDvAdiH|naqAdiH|pIlvAdiH	4.2.80|4.2.86|4.2.91|4.3.136|4.4.103|6.3.121			1
veSa	digAdiH|kAzWAdiH|vetanAdiH	4.3.54|4.4.12|8.1.67	P.4.4.12	1	1
veSman	fSyAdiH|kfSASvAdiH	4.2.80			1
veda	gavAdiH	5.1.2			1
vedaH	vfzAdiH	6.1.203			
vedi	kASyAdiH	4.2.116			1
vega	tArakAdiH	5.2.36			1
vehat	BfSAdiH	3.1.12			1
velA	kaRqvAdiH	3.1.27			1
velAyAm	cAdiH	1.4.57			
veman	pAmAdiH|saNkalAdiH	4.2.75|5.2.100	P.4.2.75	1	1
vetAlI	UryAdiH	1.4.61			
vetana	vetanAdiH	4.4.12	P.4.4.12	1	1
vetasa	naqAdiH|pIlvAdiH	4.2.91|6.3.121			1
vetra	naqAdiH|pIlvAdiH|utkarAdiH	4.2.90|4.2.91|6.3.121			1
vew	kaRqvAdiH	3.1.27			1
vewa	maDvAdiH	4.2.86	P.4.2.86	1	1
vfQa	varRadfQAdiH	5.1.123			
vfTA	svarAdiH	1.1.37	P.1.1.37	1	1
vfdDa	kaqArAdiH	2.2.38	P.2.2.38	1	1
vfdDiguRO	rAjadantAdiH	2.2.31			
vfka	vyAGrAdiH	2.1.56	P.2.1.56	1	1
vfkabanDu	revatyAdiH	4.1.146	P.4.1.146	1	1
vfkagrAha	revatyAdiH	4.1.146	P.4.1.146	1	1
vfkalA	bAhvAdiH	4.1.96			
vfkavaYcin	revatyAdiH	4.1.146			
vfkza	gargAdiH|utkarAdiH	4.1.105|4.2.90			1
vfnda	aSmAdiH	4.2.80			1
vfsa	gOrAdiH	4.1.41			
vftrahan	vimuktAdiH	5.2.61			1
vftta	arDarcAdiH	2.4.31	P.2.4.31	1	1
vftti	kaTAdiH|ukTAdiH	4.2.60|4.4.102	P.4.2.60	1	1
vfw	GozAdiH	6.2.85			
vfza	svargAdiH|tikAdiH|vyAGrAdiH	2.1.56|4.1.154|5.1.111	P.2.1.56	1	1
vfzaH	vfzAdiH	6.1.203			
vfzagaRa	gargAdiH	4.1.105	P.4.1.105	1	1
vfzalI	bAhvAdiH	4.1.96			
vfzala	yuvAdiH	5.1.130			1
vfze	nadyAdiH	4.2.97			
vfzwI	saMpadAdiH	3.3.108			
vfzwi	saNkASAdiH	4.2.80			1
vhAyi	kaRAdiH	7.4.3			
vi	prAdiH	1.4.58	P.1.4.58	1	1
viBIzaRaH	nandyAdiH	3.1.134			
viBagna	varAhAdiH	4.2.80			1
viDAna	saNkalAdiH	4.2.75			1
viDamacUqA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
viDavA	SuBrAdiH	4.1.123			1
viGAtin	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
viGnatantra	tArakAdiH	5.2.36			
viMSapa	aSvAdiH	4.1.110			
viS	AdyAdiH	5.4.44			1
viSAla	aSvAdiH|arDarcAdiH|bahvAdiH|kfSASvAdiH|utkarAdiH	2.4.31|4.1.110|4.1.45|4.2.80|4.2.90	P.2.4.31	1	1
viSAyI	grahyAdiH	3.1.134			
viSa	SuBrAdiH	4.1.123			1
viSaNkawa	bahvAdiH	4.1.45			1
viSasti	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
viSeza	vinayAdiH	5.4.34			1
viSiKA	CatrAdiH	4.4.62			
viSikA	CatrAdiH	4.4.62	P.4.4.62	1	1
viSizwa	SreRyAdiH	2.1.59			1
viSravaRa	SivAdiH	4.1.112	P.4.1.112	1	1
viSri	gfzwyAdiH	4.1.136	P.4.1.136	1	1
viSruta	kftAdiH	2.1.59			1
viSvAnara	aSvAdiH|bidAdiH	4.1.104|4.1.110	P.4.1.104	1	1
viSvAvasu	gargAdiH	4.1.105			1
viSva	sarvAdiH	1.1.27	P.1.1.27	1	1
viSvaDA	CatrAdiH	4.4.62	P.4.4.62	1	1
viSvadeva	EzukAryAdiH|manojYAdiH	4.2.54|5.1.133	P.4.2.54|P.5.1.133	1	1
viSvajana	pratijanAdiH	4.4.99	P.4.4.99	1	1
viSvakaTA	kaTAdiH	4.4.102	P.4.4.102	1	1
viTak	svarAdiH	1.1.37	P.1.1.37	1	1
vibadDa	fSyAdiH	4.2.80	P.4.2.80	1	1
vicAra	tArakAdiH	5.2.36			1
vicakzaRa	kaRAdiH	7.4.3			1
vicitra	vispazwAdiH	6.2.24	P.6.2.24	1	1
vicitta	vispazwAdiH	6.2.24	P.6.2.24	1	1
vid	AdyAdiH	5.4.44			1
vidA	BidAdiH	3.3.104	P.3.3.104	1	1
vida	aSvAdiH	4.1.110			1
vidaBft	gargAdiH	4.1.105			1
vidagDa	varAhAdiH	4.2.80	P.4.2.80	1	1
vidan	prajYAdiH	5.4.38			
videha	DUmAdiH	4.2.127	P.4.2.127	1	1
vidvas	prajYAdiH	5.4.38			
vidyA	parimuKAdiH|prajYAdiH	4.3.59|5.4.38			1
vigarha	puzkarAdiH	5.2.135	P.5.2.135	1	1
vigra	sutaNgamAdiH	4.2.80			1
vigraha	sutaNgamAdiH	4.2.80			1
vihAra	arDarcAdiH	2.4.31	P.2.4.31	1	1
vihAyasA	svarAdiH	1.1.37			
vihasane	sAkzAtpraBftiH	1.4.74			
vijApaka	kacCAdiH	4.2.133	P.4.2.133	1	1
vijagDa	varAhAdiH	4.2.80			1
vijaya	AkarzAdiH	5.2.64			1
vijigIzA	utkarAdiH	4.2.90			1
vikAsa	SuBrAdiH	4.1.123			1
vikaNkata	kumudAdiH|palASAdiH	4.2.80|4.3.141	P.4.3.141	1	1
vikaTA	kaTAdiH	4.4.102	P.4.4.102	1	1
vikala	gOrAdiH	4.1.41	P.4.1.41	1	1
vikara	saNkASAdiH|utsAdiH	4.1.86|4.2.80	P.4.1.86	1	1
vikarza	CedAdiH	5.1.64			1
vikasA	SuBrAdiH	4.1.123			
vikawa	bahvAdiH	4.1.45	P.4.1.45	1	1
viklI	UryAdiH	1.4.61	P.1.4.61	1	1
vikuGAsa	kfSASvAdiH	4.2.80			
vikzA	CatrAdiH	4.4.62	P.4.4.62	1	1
vilAtA	ajAdiH	4.1.4			
vilepikA	mahizyAdiH	4.4.48	P.4.4.48	1	1
