member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
samAna	samAnAdiH	4.1.35			1
samAnagrAma	gahAdiH	4.2.138	P.4.2.138	1	1
samAya	vinayAdiH	5.4.34			1
samBAvita	kftAdiH	2.1.59			
samIpa	caturvedAdiH	5.1.124			1
samIra	irikAdiH|saNkASAdiH	4.2.80|8.4.6	P.4.2.80	1	1
samUha	vinayAdiH	5.4.34			1
sama	gahAdiH|nAvAdiH|sarvAdiH	1.1.27|2.3.17|4.2.138	P.1.1.27	1	1
samaBUmi	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
samala	pakzAdiH|saKyAdiH|saNkASAdiH	4.2.80	P.4.2.80	1	1
samam	svarAdiH	1.1.37			
samapadAti	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
samara	arDarcAdiH	2.4.31	P.2.4.31	1	1
samasTa	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
samayA	svarAdiH	1.1.37	P.1.1.37	1	1
samayAcAra	vinayAdiH	5.4.34	P.5.4.34	1	1
samaya	vinayAdiH	5.4.34			1
samayuga	pratijanAdiH	4.4.99	P.4.4.99	1	1
sambara	kaRqvAdiH	3.1.27			
samodana	saMtApAdiH	5.1.101			
sampA	varaRAdiH	4.2.82			
sampanna	vispazwAdiH	6.2.24			
samrAjaH	kurvAdiH	4.1.151			
samudra	saMpadAdiH	3.3.108			1
samudrasTalI	DUmAdiH	4.2.127	P.4.2.127	1	1
samutkarza	vinayAdiH	5.4.34	P.5.4.34	1	1
sanA	svarAdiH	1.1.37	P.1.1.37	1	1
sanAt	cAdiH|svarAdiH	1.1.37|1.4.57	P.1.1.37	1	1
sanDivelA	sanDivelAdiH	4.3.16			
sananda	gOrAdiH	4.1.41	P.4.1.41	1	1
sanat	svarAdiH	1.1.37	P.1.1.37	1	1
santatam	svarAdiH	1.1.37			
sanukaM	cAdiH	1.4.57			
sanutar	cAdiH|svarAdiH	1.1.37|1.4.57	P.1.1.37	1	1
sapadi	svarAdiH	1.1.37			1
sapara	kaRqvAdiH	3.1.27			1
sapati	dvidaRqyAdiH	5.4.128			
sapatnI	SivAdiH	4.1.112			1
saptala	naqAdiH|saKyAdiH	4.1.99|4.2.80	P.4.1.99	1	1
saptan	bAhvAdiH	4.1.96			1
saraka	arDarcAdiH|pakzAdiH|saKyAdiH|saNkASAdiH	2.4.31|4.2.80	P.2.4.31	1	1
sarasa	pakzAdiH|saKyAdiH	4.2.80			1
saraw	pacAdiH	3.1.134			1
sarga	saMtApAdiH	5.1.101			1
saroja	puzkarAdiH	5.2.135	P.5.2.135	1	1
saroruha	puzkarAdiH	5.2.135	P.5.2.135	1	1
sarpa	pacAdiH	3.1.134	P.3.1.134	1	1
sarpirmaDunI	daDipayasyAdiH	2.4.14			
sarpirmaDuna	rAjadantAdiH	2.2.31			
sarpiz	uraHpraBftayaH	5.4.151			
sarpizkuRqikA	kapilakAdiH	8.2.18			1
sarva	sarvAdiH	1.1.27	P.1.1.27	1	1
sarvaBUmi	anuSatikAdiH	7.3.20			1
sarvajana	pratijanAdiH	4.4.99	P.4.4.99	1	1
sarvakeSa	SaRqikAdiH	4.3.92	P.4.3.92	1	1
sarvaloka	anuSatikAdiH	7.3.20			1
sarvapuruza	anuSatikAdiH	7.3.20	P.7.3.20	1	1
sarvasena	SaRqikAdiH	4.3.92	P.4.3.92	1	1
sarvaviDa	caturvedAdiH	5.1.124			
satram	svarAdiH	1.1.37	P.1.1.37	1	1
sattvat	prajYAdiH|utsAdiH	4.1.86|5.4.38			
satvat	parSvAdiH|vimuktAdiH	5.2.61|5.3.117			
satya	CatrAdiH	4.4.62			1
