anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
whitney-sec	whitney-sec:611-641		subject:sanskritgrammar:present_root	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:642-682		subject:sanskritgrammar:present_redup	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:683-696		subject:sanskritgrammar:present_nasal	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:697-716		subject:sanskritgrammar:present_nu_u	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:717-732		subject:sanskritgrammar:present_na	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:733-750		subject:sanskritgrammar:present_a	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:751-758		subject:sanskritgrammar:present_acc_a	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:759-767		subject:sanskritgrammar:present_ya	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:768-774		subject:sanskritgrammar:passive_present	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:775		subject:sanskritgrammar:present_cur	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:583-584		subject:sanskritgrammar:present_participle	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:781-823		subject:sanskritgrammar:perfect	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
