k1	also_in_pw_same_source
kurukzetrasTalI	1
kuruvilva	
kuruvilvaka	
kurvant	1
kusaMbanDa	1
kusrantihIRa	
kusumavant	1
kusumay	1
kusumitalatAvellitA	1
kuvAhula	
kuverAcala	
kuveriRa	
kuvimba	
kuvra	
kuwIprAveSika	1
kuzWahantar	1
kuzit	
kxptakIla	
kzAmIkar	
kzArapatra	
kzIraSukrA	
kzIray	
kzOdraja	
kzaRatu	1
kzamAvanta	
kzamitar	1
kzarapatrA	
kzatriRa	
kzetrasaMBUta	1
kzetrasaMBava	1
kzitivadarI	
kzuDAvant	1
kzudrapatra	
kzudvant	1
kzurapatra	
kzurikApatra	
lAkza	1
lAlAy	1
lIlAy	1
lOhakAri	1
lOkikavizayavicAra	1
lUnIy	1
laGUkar	
laGay	1
laGusaptatikA	
laGuvEyAkaraRasidDAntamaYjUzA	1
laGvAryasidDAnta	1
laNgUla	1
ladDa	
lakzaRavAdarahasya	1
lakzaRka	
lakzmaRAcArya	1
lakzmaRaBawwa	1
lalAmavant	1
lalAwikAy	1
laramAnATa	1
lavaNgaka	1
lavaRAraja	
lavavant	
lawakAmiSca	
liNgasaMBUtA	1
libiMkara	
likAbanDa	1
lohitapAdadeSa	1
lomasikA	1
mADavaBawwa	1
mADavaSrama	
mADavapaRqita	1
mADavayatIndra	1
mADavayogin	1
mADyaMdinIyaka	1
mARikAmbU	
mARimanta	
mAlArizwa	
mAlatItIrasaMBava	1
mAlyaguRAy	1
mAnamahant	1
mAninDa	
mAqaTa	
mArdaNga	1
mArgamitra	1
mArkara	1
mAtaNgadivAkara	1
mAtfmAtar	1
mAtfvAhin	
mAtrIy	1
mAtuli	1
mAyUrAja	1
mEDyAtiTa	1
mElanda	1
mEtrAyaRya	1
mOktimAlA	
mUSAKAna	1
mUlakeSara	
mUlapadma	
mUlasaMGa	1
mUrCAKAna	1
mUvIpa	1
mUzariHPa	
mUzikAhvaya	
maDudoha	
maDunetar	1
maDvaSAstra	1
maDyamaBAva	1
maDyasidDAntakOmadI	
maKatrAtar	1
maRIy	1
maRiBUmikA	
maRqUkamAtar	1
maRqanakavi	1
maRqanamiSra	1
maRqavyapura	1
maYcakAmura	
maYcayAyya	
madaBaYjin	
madakawa	1
madanapAWaka	1
madavfnda	1
mahASaMBu	1
mahAhimavant	1
mahAlasa	
mahAnIlABrajAlIy	1
mahAprItivegasaMBavamudrA	1
mahArasavant	
mahAsaMmohana	1
mahAtmavant	1
mahEraRqaM	
mahItapattana	1
mahadbilaM	
mahana	1
mahardDimant	1
maheSitar	1
mahizAsurasaMBava	1
makamakAy	1
makarandakaRAy	1
makarandavant	
malIyaMs	
malahantar	1
manaHsila	
mantradAtar	1
mantradevaprakASikA	1
mantrakoza	
mantratantranetra	
mantratantraprakASa	
marmaka	
marusaMBava	1
marz	1
masAraka	1
masIDanI	
masIjala	
masiDAna	
masijala	
masimaRi	
masipaRya	
masipaTa	
masiprasU	
masivarDana	
mataNgahataka	1
mataNgatIrTa	1
matottara	1
mattamAtaNgalIlAkara	1
mayUrabidalA	
mazarARa	
mazurARa	
meGapAlI	
merudu	1
mezAhvaya	1
mezAkzikusuma	
mfdaNgaPala	1
mfdaNgaka	1
mfduromavant	1
mfgaSIrzaka	1
mfgakAyana	1
mftasvamoktar	1
mftyumant	1
mftyusaMjIvana	
misarUmiSra	1
mitrIy	1
mizamizAy	1
mokzAy	1
morvaRI	
mozwar	1
muKaMpaca	1
muKasaMBava	1
muKavivAka	
muRqamAlA	1
muRqarikA	1
mugasTAna	
muktAmAtar	1
mukulay	1
mukundamiSra	1
mukundarAma	1
mukuweSvarItIrTa	
murAriBawwa	1
murArimiSra	1
murmurIy	1
nAdavindUpanizad	
nAgapattrI	
nAgasaMBava	1
nAgasvarUpiRI	
nAgavIwa	1
nAgojI	1
nAmasArodDAra	1
nAnanda	1
nArAyaRAy	1
nArAyaRaBawwa	1
nArAyaRadAsasidDa	1
nArAyaRadEvavid	1
nArAyaRapaRqita	1
nArAyaRasarasvatI	1
nAradIyaka	1
nAradvasava	
nArnamani	1
nAsAura	
nAsikAcCinnI	
nAsikyaka	1
nAwakaratnakoza	
nErJariRa	
nEzpeSikatva	1
nIlAruRa	1
nIlapizwoqI	
nIlasinduvAra	
nIlavIja	
nIraNga	
nIrajana	1
nIsARa	
nIsOra	
nUma	
naKanizpAva	
naNga	
naSitar	1
nagarIvaka	
nakrarAja	1
naktaMBAga	1
nalinIpadmakoza	
namiTuna	
namrIkfta	
nanAnanatAyin	1
nandAprAcI	1
nandisPowa	1
narasiMhasarasvatI	1
navAnagara	1
navAsra	
navacCAtta	
navacakra	1
navakaRqikABAzya	
navipulA	1
nayanetar	1
nazwavIja	
nfpakumAra	
nfsiMhASrama	1
nfsiMhaBawwa	1
nfsiMhaka	1
nfsiMhamUrtyAcArya	1
nfsiMhasarasvatI	1
nfsiMhatApanIya	1
niHSaMsaya	
nibandDar	1
niboDa	
nikAlya	1
nikftimant	1
nikoWaka	1
nikumBAKyavIja	
nimbaka	1
nimbavIja	
nimezakat	
niraMSuka	1
nirapAyin	1
nirdezwar	1
nirdigDikA	1
nirganDana	1
nirutseka	1
nirvaha	1
nirvikalpakavicAra	1
nirvikalpana	1
niryAtar	1
nityAnandASrama	1
nityanATasidDa	
niyodDar	1
nizavya	
nizpandana	1
nizpuqgala	
nopasTAtar	1
nyAyAlaMkAraBawwa	1
nyAyArTalaGuboDinI	1
nyAyanibanDa	1
nyAyasidDAntadIpapraBA	1
oMkAreSvara	1
oQra	1
ojasy	1
okUlaka	1
oqISadeSa	
oqadeSa	1
ozWapuzpa	1
pAMsukAsIsa	1
pARineya	1
pARqaraka	1
pASana	1
pAScAttyAkarasaMBava	
pAScAtyanirRayAmfta	1
pAWIkuwa	1
pAWaBU	1
pAYcarAtrya	1
pAcayitar	1
pAdaSIlI	
pAdapIvI	
pAdavITI	
pAdavalmIka	1
pAkarAjeSvara	
pAlabaRij	
pAnabaRij	
pApapAlikA	
pApavinASana	
pArAsa	
pArAsapuli	
pArAsu	
pArAvatANGri	1
pArSvAsTan	
pAraMparya	1
pAraQI	
pArikarmika	
pAripAtraka	1
pArva	
pAtar	1
pAtrIra	
pAtray	1
pIWADyakza	1
pOrumahna	1
pUrRAtman	1
pUtiPala	
pUzaka	1
pUzanvant	
paNgugrAha	
paNgutvahAriRI	1
paNkaDUma	
paNktivIja	
paTant	1
paYcAbajamaRqala	
paYcIkar	
paYcabrahma	
paYcakoza	
paYcalANgalaka	1
paYcarakza	
paYcasUtrI	
paYcavIja	
pacanika	1
paciti	
padArTamAlAdIpikA	1
padmanABadatta	1
padmanABadvAdaSI	1
padmanABapurI	1
pakzajanman	1
pakzavant	1
pakzavindu	
palalASaya	1
pannagakeSara	
parANganA	1
parASaraBawwa	1
parAYjana	1
parAprAsAdamantra	1
parArjuna	1
parAtriMSakA	
parAvarya	1
paraSurAmamiSra	1
paraYja	1
paraYjana	1
paracCandavant	1
paramArTanirvftisatyanirdeSa	1
paramaguru	1
parameSman	1
parapratinaptar	1
pararIRa	1
parastAttna	1
parasvaDa	
parc	1
pariSezavant	1
paricayavant	1
paridAya	1
parijYAtar	1
parikartar	1
parikzipaka	
parimaNkana	1
parimalla	1
paripela	1
parivAhavant	1
parivfQAzwaka	1
paroku	
paropakaraRIkar	
parozRih	1
paryUzaRAzwAhnikA	1
patadgrAha	1
patnIy	1
pattrAvalI	
pattraPalatA	
pattraSavara	
pattraSirA	
pattrataRqulI	1
pavanASanASa	1
pavimant	1
pawaSAwaka	1
pawwABirAmaSAstrin	
payaHpArAvAra	1
pazWavAh	
peYjUza	
peloja	
pewwa	1
pfTakzetra	
pfTukalpinI	1
pfTvIkuravaka	
piRqasa	1
piRqay	1
piciRqavant	1
pilunI	
pipatizant	1
pitfpitar	1
pitfvAnDava	
pitsant	1
pittavant	1
pnA	1
prARArTavant	1
prARaBAsvant	1
prARasaMBfta	1
prARatozaRI	1
prARimAtar	1
prAjitar	1
prAkriyAkOmuda	1
prApay	1
prAtarBoktar	1
praBavitar	1
praGozaka	1
praKyAla	
praRetar	1
praTay	1
prabAhuka	1
prabal	1
pracetar	1
pradAtar	1
pradezwar	1
prahasant	
prahitoH	
prajjawika	
prakASakajYAtar	
prakawAy	1
prakramitar	1
prakriyAprasAda	1
prarzaBa	1
prasAdavant	1
prasavitar	1
prasnavitrIy	1
pratIkAsa	
pratikAsa	
pratinaptar	1
pratisAraRA	
pratisyAya	1
pratiyogijYAnakaraRatAvAda	
pratyAsAra	1
pratyAsara	1
pratyavasTAtar	1
pravIqa	1
pravaravant	1
pravetar	1
prayatnavant	1
prayogasetu	1
prekzAvant	1
premavant	1
priyavaktar	1
proddaRqa	1
puMBUman	1
puYjay	1
pullaka	
punarBAryA	1
purasaMskAra	1
purumahna	1
purut	1
puruzottamapura	1
puruzottamavAdArTa	1
putArikA	
puwutfRaka	
puzpAmbuja	
puzpadantaka	1
puzpalAvin	1
puzpavant	1
puzpavawuka	
pyAyasTURa	
qakara	1
qaqAha	
rADAmedin	
rADAmohanaSarman	1
rADAvinoda	1
rAGavaBawwa	1
rAgAnugAvivfti	1
rAjaSAkanikA	1
rAjaSAkinI	1
rAjakaSeru	
rAjamAtar	1
rAjapaTAy	1
rAmAcArya	1
rAmaBawwa	1
rAmaliNgakfti	1
rAmamiSra	1
rAmapUjASaraRi	1
rAmapaRqita	1
rAmaprasAdatarkAlaMkAra	1
rAmaprasAdatarkavAgISa	1
rAmarudraBawwa	1
rAmasaMyamin	1
rAmatarkavAgISa	1
rAmavAjapeyin	1
rAmavilAsa	1
rAmendrayati	1
rAqi	
rAtryAkUpAra	
raNgabIja	1
raNgamAtar	1
raNgezWAluka	1
raNgoji	1
raRamuzwi	
raRavaNkamalla	
racayitar	1
rajYanadru	
rajanIcayanATa	1
rajanaka	1
raktaSfNgika	
raktakeSara	
raktar	1
raktataRA	
rakzaRi	
rasakalyARinIvrata	
rasikaraYjanI	1
riy	1
roQar	1
rogaSilpan	
rohiReya	1
romaratAsAra	
rucirAYjana	
rudrakoza	
sADyavant	1
sAMkucI	
sAMmAtra	1
sAMmitikAyani	1
sAMsrAviRa	
sASraya	1
sAhiqa	
sAhnika	1
sAhuqiyARa	
sAkzAtkartar	1
sAmasura	
sAmavant	1
sAmavedIya	1
sAntvayitar	1
sAnyAsika	1
sArTIkar	
sArTavant	1
sArTay	1
sAraNgAkzI	1
sAradAtilaka	
sArpya	1
sAvErisole	
sAvitrika	1
sKadya	1
sOhya	
sOjanyavant	1
sOmanasyAyanA	
sOmyajAmAtar	1
sOpizwi	1
sOraTi	
sPUrtimant	1
sPaYja	1
sPuliNgAy	1
sTUlaSAwi	1
sTUlanAsaM	
sTalIy	1
sTapuwIkar	
sTirAy	1
sTirakusuma	
sUcIpaNkti	
sUcikulAy	1
sUcivant	1
sUraBawwa	1
sUtrakfta	
sUtrapattriRI	
saMBArin	1
saMBUtivijaya	1
saMBavya	1
saMBogayakziRI	1
saMBogya	1
saMDisaMBava	1
saMGAtavant	1
saMPAla	1
saMSayitar	1
saMbala	
saMbanDanirRaya	1
saMbanDatattva	1
saMbanDaviveka	1
saMcayavant	1
saMdohya	
saMduhya	
saMgItasinDu	1
saMgrahavant	1
saMhArakAlAy	1
saMjYopasarjanIBUta	
saMkazwaharavrata	1
saMmAnin	1
saMmArzwi	1
saMmIlya	1
saMmUrCa	1
saMmUrCana	1
saMmohanatantra	1
saMnyAsavant	1
saMpAvEyaSva	
saMpAwa	1
saMpUrRavrata	1
saMparAyaka	1
saMpatprada	
saMpiDAna	1
saMprAptidvAdaSI	1
saMprArTya	1
saMprakASya	1
saMprasADya	1
saMpreraRa	1
saMpreza	1
saMpuwaka	1
saMtozavant	1
saMvatsaradIpavrata	1
saMvyAsa	1
saMvyavahAravant	1
saNgamanera	
saSayAnumitirahasya	
sacCAstravant	1
saharuRa	
sahasaMBava	1
sahitANgula	
sajjapura	
sakAravipulA	1
sakalavedopanizatsAra	1
sakftPala	1
saktimant	1
samAntaka	
samAsavant	1
samIda	1
samIy	1
samagray	1
samarakanda	
samavAyANga	1
samayasAranAwaka	
samidBAra	1
samudrAy	1
samudreka	1
samyakAPaRa	
sanAtanaSarman	1
sapatnIkar	
saraNgaka	1
saraktaka	
saralIkar	
sarasIka	1
sarasaMprata	1
sarasvatIrahasya	1
sarava	1
saridBartar	1
saritvant	1
sarojIy	1
sarvAhaMmAnin	1
sarvAkaravaropeta	1
sarvaBAvADizWAtar	1
sarvaDanvan	
sarvadrazwar	1
sarvajYAtar	1
sarvarRikA	
sarvasaMpannasasya	1
sarvavettar	1
sarvayatnavant	1
sasantAloka	
sasyaSUka	1
satAha	
satprakriyA	
sattraspardDi	
satyatitikzAvant	1
savitar	1
setikartavyatAka	1
setumaNgalatantra	1
sevAPala	1
sfRa	
siMhAy	1
sidDAntaBedalavasaMgraha	1
sidDAntadIpika	
sidDAntakalpataru	1
sidDAntalakzaRAkroqa	1
sidDAntasUktimaYjarI	
sidDala	1
sidDamAtfkA	1
sidDayogeSvara	1
sidDiBErava	1
sidDidAtar	
sinDutIrasaMBava	1
skAndapraBAsaKaRqa	1
skamBiRya	1
skandamAtar	1
smaravant	
smftikOstuBa	1
soWala	1
somArDaDArin	
sparitar	1
sparzwar	1
sravadrarBA	
srotaHpati	1
stOBaka	
stabDasaMBAra	1
stotray	1
strIrAja	1
strIy	1
suBagasena	
suKASaka	1
suKAlukA	1
suKAvatIdeva	1
suKaprakASamuni	1
suKayitar	1
suRahAsaPa	
suboDana	
suboDin	
sudIrGarAjIvaPalA	1
sudrazwar	1
sujanaMmanya	1
sukfty	1
sulaBIBU	
sulaiRaka	
sumatiMjaya	
suraGu	1
surasaMBavA	1
suratAnasiMha	1
surevawa	
susAravant	1
susTiraMmanya	1
susTitaMmanya	1
susaMbadDa	1
susaMpad	1
sutEla	
suzeRakavirAja	1
svApakIy	1
svIyIkar	
svacCawI	1
svajanAy	
svalpaSilAy	1
svamAtra	1
svanandA	
svapitar	1
svarRaMjIrI	1
svarRamAtar	1
svarRamaRqana	
svargaDenu	
svasaMmuKa	1
svastikIkar	
svayaMBUliNga	1
svayaMBUmAtfkAtantra	1
svayaMpraBu	1
svedamalojJita	1
tAIkadeSa	
tAbarisARu	
tAhika	
tAmracakzu	
tAmravIja	
tAndana	1
tApitawa	1
tArIza	1
tArakin	
tAsyandra	1
tAttali	
tEBa	1
tElavIja	
tEtira	
tIRadeSa	
tUzRISIla	1
tabArisARu	
tabirasARa	
tallaha	
tamodarSana	
tannI	1
tantrAloka	1
tantrasadBAva	1
tanumant	1
tanuvAra	
tanuvIja	
tapAgacCanAyaka	1
tapaSa	
taraMgaRi	1
tarabAlikA	
taralAy	1
taralay	1
tarkapratibanDakatArahasya	1
tarkuSARa	1
tatAra	
tatsat	1
tattvAloka	1
tattvAmftaprakASinI	1
tattvArRava	1
tattvaSAradI	1
tattvaSikzopanyAsa	1
tattvacandrikA	1
tattvadIpa	1
tattvapariSudDi	1
tattvapradIpikA	1
tattvasamIkzA	1
tattvavindu	
tattvayATArTyadIpana	1
tavArisARa	
tavipulA	1
tejAqara	
tejaHsaMBava	1
tejala	
tejovIja	
tejovindUpanizad	
tfRAMhripa	1
tfRaduh	
tfRamatkfRa	
tfRanimba	
tfRavIja	
tfRavalvaja	
tfzitottara	
tigala	1
tilakAy	1
tilicCa	1
timikoza	
tiraScANgirasa	1
tirimiti	
tirohay	1
tirpili	
tirumala	1
toraSravas	1
toyakumBa	
tozayitar	1
trEloka	1
trapra	1
travAqilaGu	1
triBaNga	
triBadra	
triBukti	
triBuvanarAya	1
triHsAman	1
triSalAkApuruzacarita	1
triSarIraBErava	1
triSaraRatawaBIma	1
tridAlikA	1
trimUrta	1
trinagarI	
tripuwIPala	
trivIja	
triviDanAmAvalI	1
trivid	
trizazwilakzaRamahApuruzapurARasaMgraha	
trowihasta	1
truwivIja	
tuRqikerikA	1
tukajyotirvid	1
tulAvIja	
tumUla	1
tumbaluha	
turaMgadvizaRI	
turaMgaka	1
turiARa	
tuvarISimba	
tuvarayAvanAla	
tuzaspa	1
tuzwu	1
tvaNmanoyogasya	
tvalaga	1
tvarAyaRa	1
tvizAMpati	1
tyagala	
uBayAlaMkriyA	
uBayamuKI	1
uBayasaMBava	1
uMveka	1
uccAprAjApatya	1
uccIkar	
uccUla	1
udBUtarasasya	
udBija	1
udDavabrAhmaRa	
udGasa	1
udIcyavftta	
udaDIy	1
udaSray	1
udagranTi	
udakamata	1
udbAhulaka	1
udboDinI	
uddeSyaviDeyavoDasTalIyavicAra	
udepura	1
uditaqambAra	1
udyota	1
ukTyAmahIyava	
umAtilakatAla	
unmAdavant	1
unmattaveSa	
unmowana	1
unnidray	1
upAsakadaSa	1
upadAtar	1
upadIkar	
upakartar	1
upalaDipriya	1
upamAtar	1
upanetar	1
upasTAtar	1
upasTapatra	
upataptar	1
upayicArika	
upoccArin	1
upodbalay	1
uqidfzatAla	
uqiyAna	1
urImARa	
urRanABa	
uraHpArSvArDamaRqalin	1
uraka	
urasvant	1
uromaRqalin	1
utKarin	
utaTa	1
utareza	
uterijA	
utpalapatra	
utpatitar	1
utpatsu	1
uttAnapatraka	
uttApin	1
uttaNga	
uttarapAnTa	
uttareSvarASrama	1
uttareSvaratIrTa	1
uttareja	
uttarottarapadacCalA	1
uzRIkar	
vARadaRqa	1
vARarasI	1
vAcasAMpati	1
vAgGastavant	1
vAhadvipant	
vAjasa	1
vAjiBakza	
vAjimant	1
vAjisaneyaka	1
vAkra	1
vAlmIkeSvara	1
vAmanAcArya	1
vAmanIkar	
vAmanajayAditya	1
vAmanakASikA	1
vAnasi	
vApAtinArmeDa	1
vAqavahAraka	
vArIy	1
vArUQa	1
vAricAmara	1
vArttikatAtparyapariSudDi	1
vAsABft	1
vAsASva	1
vAtAya	
vAtAyanIya	1
vAtakalAkala	
vAtar	1
vAtiNgaRa	1
vAtigama	1
vAyasIkar	
vAyasekzu	
vERasomakratavIya	
vESaMpAyanIya	1
vEdyamAtar	1
vEkftavant	1
vEkrAntaka	1
vIpsa	1
vIrapattrA	
vaDUwaSayana	1
vaDvatI	1
vaMSasTabila	1
vaNgaSulvaja	
vaNke	
vaRikavrata	1
vacCala	1
vadanIBU	
vahitraka	1
vajahURa	
vajrada	
vajrakapAlin	1
valArAti	
valadviz	
valatI	1
valiSi	
valkabant	
valkila	1
vallaBanyAyAcArya	1
valliSUraRa	1
valmIki	1
vammAga	
vanabarvara	
vanahAsaka	1
vanakaRqula	
vanyopAdakI	1
vaqavAgnimala	
varAtuzwa	1
varAwaki	
varRadAtar	
varRamAtar	1
varayitar	1
varkarakarkara	
varzaMpuzpa	
vasantakusumAkara	1
vasantakusuma	1
vatsANka	
veTileha	
vedAntavAgISaBawwAcArya	1
vedamuKyA	1
vegAna	1
veganASyanASakaBAvarahasya	1
veliBukipraya	
venoviSAle	
vfDasAnu	1
vfdDatiktA	1
vfkzaMmUlika	
vfndArakAy	1
vfzAlalatatAyin	
vfzaBARu	1
vfzwiGna	
viBAsvant	1
viBettar	1
viDUratA	1
viDeyIBU	
viGnahantar	1
viGnavattA	
viSadAy	1
viSezatA	1
viSezayitar	1
viSiSnya	
viSokIkar	
viSudDeSvara	1
viSvaMBaraSAstra	1
viSvaSaMBu	1
viSvaprakASin	1
viSvavidvaMs	1
viSveSitar	1
viSvedevar	1
vicCAyay	1
vidAru	1
vidUray	1
vidiTa	1
vidraTa	1
vidruDi	1
vidyAgfha	
vihiMsin	
vihvalin	
vijAkA	1
vijjana	1
vikacIkar	
vikanikahika	
vikarttar	1
vikazvara	1
vikramAdityacarita	1
vilUray	1
vimalasarasvati	
vimanIkar	
vinAkfti	
vinDapattrI	1
vinigUhitar	1
vipravIti	
viprekzitar	1
virAgavant	1
viralaviralIBUta	
viroDAcaraRa	1
virudDArTadIpaka	
vismAraka	1
vitardDi	1
vivanDika	1
vivekya	1
viviwwyE	
vivoQar	1
vizAy	1
vizRukavi	1
vizRumiSra	1
vizRuvAjapeyin	1
vizaGa	
vizahantar	1
vizamAy	1
vizayIkar	
vizayatAvicAra	1
vizwivrata	1
vrIhirAjaka	1
vrakza	
vyADAy	1
vyADihantar	1
vyAlIy	1
vyAyatana	1
vyUhIkar	
vyaBicarita	
vyaNgaka	1
vyabasTAsArasaMgraha	
vyapadeSavant	1
vyaqqamaNgala	
vyasanavant	1
vyomolmuka	
wAMkara	1
wOwa	
waRwuka	
wodalatantra	
woqarakzmApati	1
wotalA	
wowaka	
yAjayitar	1
yAmAtar	1
yAvadABUtasaMplavam	1
yOvanamatta	
yOvanikA	
yadAvAjadAvarya	
yajYAtmamiSra	1
yajYIyabrahmapAdapa	
yajYadruha	
yajYakuRqala	1
yajYoqumbara	
yajurlakzmI	1
yakzoqumbaraka	
yamunABrAtar	1
yant	1
yogAy	1
yogAyana	1
yogIy	1
yoginIBErava	1
yojayitar	1
yonisaMBava	1
yonisaMvftti	
yugalAy	1
yuzmay	1
zaqa	1
zaqasra	
zaqga	
zaqiqaH	
zaqloha	
zarija	
zarolikA	
