k1	also_in_pw_same_source
SaMButanaya	1
SaMBuvallaBa	1
SaMkaraBAzya	1
SaMvUka	1
SaNKacUqaka	1
SaNKavant	1
SaNkumant	1
SaRqAkI	1
SaSIBaparvan	
SaSivadana	
SabdaprakASikAdvirUpakoSa	1
SakramAtar	1
SaktarUpa	
SaktiBErava	1
SalikAjina	
SamIpattrA	1
Samanasvasar	1
SanDa	1
SarAvi	
SarAy	1
SaradasiMhadeva	1
SatyaMjaya	
SayyaMBava	1
Sewa	1
SezanArAyaRapaRqita	1
SfNgArIy	1
SfNgaveraka	1
SfNgerImaWa	1
SiKAvalI	
SiKinDana	1
SiNgAmbikA	
SiTilAy	1
SilaMDira	1
Silhana	1
SivAdityamiSra	1
SivAnandasarasvatI	1
SivApriya	
SivacampUprabanDa	1
SivatatparasUtra	1
SizyAy	1
SizyaDIvfdDitantra	1
SlezmADmA	1
SlezmaGanA	1
SmaSrUy	1
SnABa	
SoBAkAwi	1
SoDayitar	1
SopArIpAka	
SozasaMBava	1
SrIBrAtar	1
SrISalmalIBARqa	1
SrInATaSarman	1
SrIpAlakavirAja	1
SrIsaMBUtA	1
SrOtarvaRa	1
SradDAtar	1
SramaRAy	1
Sramavant	1
SravaRikA	
Sreya	1
SroTa	1
Srukandali	1
SuBavant	
SuMni	
SuPAhila	
SuklIkar	
SunakacaYcUkA	
Sutudri	1
Sutudru	1
SvaBrIy	1
SvetAmli	
SvetavArttAkinI	
SyenASva	
UKya	1
Uawa	1
Uhavant	1
UnAItIrTa	1
UrDvIkar	
Urjayant	1
UrvyaNga	1
UzRa	1
UzarAy	1
Uzavant	1
aBIla	
aBayadAnasAra	
aBiDAnacUqAmaRi	1
aBiDAnakoza	
aBiDAnatantra	1
aBicArika	1
aBigantavya	1
aBilazya	1
aBimuKIBU	
aBinavatAmarasa	1
aBiniDanaM	
aBisaMpAta	1
aBisaMtApa	
aBizeRay	1
aBramataNgaja	1
aByAsavant	1
aByantarIkar	
aByunnati	1
aByutseka	1
aDISitar	1
aDaHpAtana	1
aDaHpuzpa	
aDaScOra	1
aDarIkar	
aDikaraRacandrikA	1
aDikaraRaratnamAlA	1
aDiraTIya	1
aDivapana	1
aDiyAga	1
aDoSuka	1
aDvarahotra	1
aDvaratantra	1
aDyAsaBAzya	1
aDyAtmamImAMsA	1
aDyAtmapradIpikA	1
aDyAtmasuDAtaraMgiRI	1
aDyAtmavidyopadeSaviDi	1
aDyAyaka	
aDyarDeqa	1
aGApaha	1
aGoraSivAcArya	1
aKaRqAnandamuni	1
aMSIkar	
aMSasavarRa	
aMSay	1
aNgAragartA	1
aNgArakAraka	1
aNgArakatIrTa	1
aNgArakeSvaratIrTa	1
aNgadeva	1
aNgirasya	
aNgulIka	1
aNgulIsaMBUta	1
aNkAvataraRa	1
aNkUray	1
aNkapAta	1
aNkeSaya	1
aNkollakatIrTa	
aNkurAy	1
aNkuray	1
aRIyaMs	1
aRIyasa	1
aRuBAzya	1
aRumaDyavIja	1
aRuvedAntarasaprakaraRa	
aRuvratin	1
aSOcanirRaya	
aSaga	1
aSezakulavallarI	1
aSmIra	1
aSmajatuka	1
aSokottaMsikA	1
aSrapa	
aSvAvant	1
aSvavAhaka	
aTarvavedin	1
aYjAsA	1
aYjalipAta	1
aYjanAdri	1
aYjanapura	1
aYjanika	1
aYjiga	1
aYjovErUpa	1
acCAdIkzita	1
acCAvAkaSastra	
acCodana	
acCowana	
acCupta	
acalaBrAtar	1
acaleSa	1
acikkaRa	1
acirABa	
acyutASrama	1
acyutaWakkura	1
acyutacarita	1
acyutakfzRAnandatIrTa	1
adButapuRya	1
adButasAgara	1
adDaboDeya	
adfSyAYjana	1
adfSyIkaraRa	1
aditISvaratIrTa	1
aditivana	1
advEtAmfta	1
advEtacandrikA	1
advEtacintAmaRi	1
advEtajYAnasarvasva	
advEtaratnarakzaRa	1
advEtasidDi	1
advayatAraka	1
agastyAy	1
agnIDrI	
agnikOtuka	1
agnisaMBava	1
agnisiMhanandana	
agnismfti	1
agnisvAmin	1
agnitIrTa	1
agnivindu	
agravIja	
agurusAra	1
ahaMkAravant	1
ahaMmati	1
ahiPeRa	
ahika	
ahikoza	
ahilyA	1
ahirbuDna	1
ahiwwAna	1
ahobalaSAstrin	1
ajAkfpaRIya	
ajEkapAda	
ajavasta	
ajayagarha	1
ajayasIha	
ajinapatrikA	
akAlajalada	1
akaTam	1
akrUreSvaratIrTa	1
akri	
akzapAd	
akzapiRqa	1
akzaramAlikA	1
akzaravyakti	1
akzayasena	1
akzigocara	
akziva	
alaMkArAvatAra	1
alaMkAraSeKara	1
alaMkAravftti	1
alaMkAravimarSinI	1
alaMkartar	1
alapadma	1
alapallava	
alikAtIrTa	1
alikulasaMkula	1
alimant	1
allAqa	1
allama	1
alpapatra	
alpasarvatoBadramaRqala	1
amAhaka	1
amAhakeSvaratIrTa	1
amUza	
amalAjJawA	1
amanaskalaya	1
amarUka	1
amaraka	1
amaraliNga	1
amaramaNgala	1
amarendramuni	1
ambUkar	
ambalagacCanAyakaguru	
amban	
ambariza	1
ambikeSvaratIrTa	1
ambikeyaka	1
ambla	1
ambuhastinI	
ambura	
amftAy	1
amftacandasUri	1
amftakumBa	1
amftamatI	
amftapuwa	1
amftasaMBavA	
amftataraMgiRI	1
amfteSvaraliNga	
amitapraBava	1
amiyARa	
amlAtaka	1
amlapUra	1
amlapatra	
amlavIja	
amlikAvawaka	1
amlowaka	1
amoGasidDa	
anATapurI	1
anAdeSa	1
anAdimant	1
anAdivArttA	1
anDAtamasa	1
anDUkaBawwa	1
anIcidarSin	
anUpasiMha	1
anUrADA	
anaNgapura	1
anadya	
anagnika	1
analAnanda	
anantAnanda	1
anantaBawwIya	1
anantanATa	1
anantanArAyaRa	1
anantapurI	1
anaqudvrata	1
anarTajYa	1
anarTin	1
anarakeSvaratIrTa	1
anasUyAtIrTa	1
andulIsa	
anekArTakoza	
anekArTasamuccaya	
anekArTatilaka	
anekavarRasamIkaraRa	1
animizadfS	1
anivftti	1
annaMBawwa	1
annadAkalpa	1
annadAtar	1
antAkzI	
antaHkaraRapraboDa	
antabala	1
antakfddaSa	1
antaki	
antarDAnakawa	1
antarIkzan	1
antardeha	1
antarveDa	
antaryAman	
antasTACandas	
antavipulA	1
antravallika	
anuBavAnanda	1
anuSAlva	1
anuSAya	1
anuboDya	1
anuguRavant	
anukUlavant	1
anukaYcita	
anukampokti	1
anukarzin	1
anumAnadIDiti	1
anumAnamUlawippaRI	
anumAnamayUKa	1
anumAnaprAmARyavyavasTApana	1
anumAnatattvacintAmaRi	1
anumalla	1
anumitiparAmarSakAryakAraRaBAvavicAra	
anumititva	
anunAsikya	1
anurAgavant	1
anusUyA	1
anuvAkIya	
anuvAkasaMKyA	1
anuzWAyajYayajYIya	1
anyaTAsidDivicAra	
apAmIva	1
apArDya	1
apAtyaya	1
apaSada	
apaguRa	1
apakartar	1
apamarRa	1
apamityaka	1
apanetavya	1
aparagoqani	
aparati	1
aparavaktra	1
aparavideha	1
aparokzAnuBava	1
apasArya	1
apavAruka	
apavfti	
apayyadIkzita	1
apekzitavyAKyAna	
appaidIkzita	1
appayyadIkzita	1
appidIkzita	1
apramARaSuB	
apsareSvaratIrTa	1
apyAyadIkzita	1
apyayya	
arDIkar	
arDaSana	1
arDanArInara	1
arDarecita	1
arDasAra	1
arDasTAna	1
arDay	1
arTAtman	1
arTapaYcakanirUpaRa	1
aragvaDa	1
aramIka	
arcanamaRi	1
ardvantu	
arhaccandrasUri	1
arhayoSri	
arimARa	
arimIRanIsAra	
arjanaDvaja	
arjunIyA	1
arkadala	1
arkapuzpa	1
arsas	
aruRABa	1
aruRAcalasTala	1
arvAdevI	1
asAlatiKAna	1
asArarUpa	
asTalA	
asUkzaRa	1
asadaDyetar	1
asadgrahin	1
asant	1
asidDinirUpaRavyAKyA	1
asipatraka	
asmanta	
asrakaRWa	1
asrapatraka	
astAga	1
astarkzaRa	1
astimant	1
asukzaRa	1
asumant	1
asurkzaRa	1
atIzaNga	1
atiSUnya	1
atiSUra	1
aticaRqA	
atidAtar	1
atidurgAmanu	1
atiguRatA	
atikrAntaBAvanIya	1
atiliha	
atipAra	1
atipUrva	1
atiparuza	1
atipatra	
atiratna	1
atireKA	1
atisaktimant	1
atisvara	
atitAra	
atitIrTa	1
atitara	1
atitejas	1
ativaktar	1
ativarzaRa	1
ativftta	1
ativizAdin	
ativizama	1
ativrata	1
atizaNga	1
atrISvara	1
atrikASrama	1
atriputra	
atritanUBava	
atyASa	1
atyArya	1
atyambupAna	1
atyamlaparRa	
atyantaSaMkarI	1
atyarDa	1
atyucCrita	1
atyudAtta	1
atyukta	1
atyunnata	1
atyunnati	1
atyutseka	1
avaDfti	1
avaDyASva	1
avagAda	1
avagalBa	
avagantar	1
avahitTaka	1
avajYAnagastotra	1
avalinda	1
avant	1
avaravarRaka	1
avarikA	1
avasTAsaMgraha	1
avda	
avekAcArya	1
aviGnavinAyakacaturTI	1
awavIbala	1
awwahAseSvaratIrTa	1
ayanadevatA	
ayovatsa	
ayyAjIBawwa	1
azwASrakuRqa	1
azwAdaSANga	
azwAracakravant	1
azwalohaka	1
azwaniDana	1
azwapAd	
azweqa	1
bADyamAna	
bAbajIvyAsa	1
bAhubARa	1
bAhusaMBava	1
bAjabAhAduracandra	1
bAlaboDinI	1
bAlhaka	1
bAlopacAra	1
bArbawIra	
bArdala	
bIjapraboDa	1
bUvaSarman	
babakARa	
badari	
bahirmudrA	
bahurUpAzwaka	1
bahusaMpuwa	1
bahusrava	
bahvajAvika	1
bakabakAy	1
bakanisUdana	
balAtkAragaRa	
balhIka	1
ballAlasena	1
bambagEra	
banDyAsUnu	
banDyAsuta	
banDyAy	
banDyaparvata	
barbaraka	1
barhiHpuzpa	
bfhaccakzus	
bfhatsUryasidDAnt	
bilveSvara	
binducita	1
bindupratizWAnamaya	1
brAhmIkuRqa	1
brahmapuzpi	
brahmastambi	
brahmavarDan	
bukkaRa	1
bukkarAya	1
cAmy	
cAndracandrika	1
cArakARqa	1
cORqapAcArya	1
cUqApakza	1
cUri	1
caNkrAyaRa	
caRqavfzwiprayAta	1
caSAti	1
caYcumant	1
caYcupatra	
cadelavAla	1
cakammada	
cakrIkar	
cakraSatapatra	
cakrabAlaDi	
cakradantIvIja	
calapatra	
campakolva	1
candanAy	1
candragola	1
candrakavant	1
candrakoza	
candranArAyaRaBawwAcArya	1
candrasaMBava	1
cannuBawwa	1
caramAlaya	1
carcAy	1
caritrita	1
carpawi	
carvawi	1
catuHpuRqra	
caturTAraRyaka	
caturhotar	1
cayanIcandraSeKararAyaguru	1
cazwAna	
cedAra	1
cidAnandAy	1
cinnaBawwa	1
cintAvant	1
cinta	
cirivilva	
citrakavi	1
citrarUpavAdArTa	1
citrikA	
cittonnati	1
civi	
cokuwi	1
cullaka	1
cuwikA	
dARqaka	1
dASaSiras	
dAdIrAya	1
dAkzAyaRi	1
dAkziRyavant	1
dAlmAyaRi	1
dAradikA	1
dAsapUra	1
dAsasaras	
dAzAy	
dEnAra	1
dEvayajYapaRqitasUrya	1
dIpAnvita	
dIpaKawvA	
dIpavant	
dIrGakaMDara	
dOHsADika	1
dOgUla	1
daDisara	
daDyAlI	1
daPArabAhlIka	
daRqabAlaDi	
daRqapAMSula	
daRqavArkza	
daSanavIja	
dahanabahula	
dahiyaka	
dakARa	1
dakziRapaTa	
dalakoza	
dantaSawa	1
dantavIja	
danuza	
darBAvatI	
darSanopanizad	1
dardruGna	1
dardrunASinI	1
dardrurogin	1
darh	1
dasArAma	1
dattatIrTakft	1
dehakoza	
deula	
devadroRA	
devajAnIya	1
devanAraka	
devayAjYaka	
devyAgama	1
dfQavIja	
diDIzU	1
digambaraka	1
dinakeSara	
divAwana	1
doHSiKara	
dohadohIya	1
dolotsava	1
dozaka	1
dozavant	1
drAvakakanda	
drAyuDa	
draQay	1
dravIkar	
dravyaBAzya	
drezkaRa	1
druRi	1
duHPAlikutTa	
duHsaMtuzwa	
duHsaciva	1
duScetas	1
dugDavIjA	
duracandra	
durantatA	
durgAhva	1
durizWa	1
durmoha	
durnirUpa	1
durvAsasa	1
dvAdaSAMSaka	1
dvIpaKarjUra	
dvIpasaMBava	1
dviguRay	1
dvijajetar	1
dvimAtar	1
dviraByAsAkUpAra	1
dvirePagaRasaMmitA	
dvivid	
dyUtAlaya	1
dyUtavIja	
ekADipa	1
ekAkzarIBAvin	1
ekAmra	1
ekAntItIrTa	1
ekaSAla	1
ekaSAlmalIspfhayantIvrata	1
ekatAlin	
elAvalI	1
erAkudeSa	
etavADrya	
evaMBUta	1
evaMjAtIyaka	
ezARa	
ezyant	1
fRadAtar	1
fRapradAtar	1
fRastamBa	
fRiDani	1
fSyasAman	
fkzanemi	1
ftusAraRA	1
ftuvid	
fzyANka	
fzyaSfNga	
fzyaketana	
fzyaloBa	
gAgABawwa	1
gArDrapatra	
gArutmatapatrikA	
gAtrasaMplava	1
gItaprakASa	1
gOqapAdI	
gOqorvISakulapraSasti	1
gOrANgirasa	
gOrAvrata	
gOtamasaMBavA	1
gUQapatra	
gaNgApAradeSa	1
gaRakArikA	1
gaRanI	1
gaRaniDi	
gacCAcAraprakIrRakasUtra	1
gagaRANganA	
gagaRAnanda	
gagaRagaYja	
gagaRapuzpa	
gagaRasparSana	
ganDaPaRijJaka	
ganDabaRij	
ganDapatra	
ganDarvatantra	1
ganDavIjA	
ganDavahala	
garBapAtin	1
garalAy	1
gardaBAhvaya	
garuqAy	1
garvAy	1
gavAkzatantra	1
gawa	
gayasPAya	
gehIy	1
gfhASramavant	1
gfhItar	1
gfhacaryA	1
gfhakartar	1
girIyaka	1
giripriya	
giristri	
glAtar	1
goAsAra	
goDUmasaMBava	1
goDas	1
goGota	1
goRika	
goSfNgaparvatasvayaMBUcEtyaBawwArakoddeSa	1
gobAlin	
gohanna	
gomayacCatra	
gopAlapurI	1
gopAwavika	1
gopay	1
gosaMBavA	
gosaMBava	1
gosaMga	1
gosila	
gosvalu	
gotrapravara	
govindanyAyAlaMkAraBawwAcArya	1
govyADila	1
goyIcandra	1
grIzmaBava	
grIzmaja	
grIzmodBava	
grahItar	1
grahaRavant	1
grahelikA	1
granTakartar	1
granTipatra	1
guAsIra	
guRAy	1
guRTa	
guRTaka	
guRaSiromaRi	1
guRadIDitiwippaRI	1
guRagraha	1
guRanandI	
guRarahasya	1
guRavant	1
gucCapatra	
guhyavIja	
guqavIja	
gurupatra	
guruvAkyaleSasaMgraha	1
gusAyinfpati	1
hAkali	1
hAvanI	1
hEmavant	1
hEmavarci	1
hInakuzWa	1
hInavftta	1
hIrarAja	1
hUMkfti	1
hUNgarAI	
hUNgarasTAna	
haMsADirUQa	1
haTiRAvaragrAma	1
hamIrapurya	1
hananIy	1
hareu	
hariRAy	1
hariREgumezin	1
haritIkar	
hassanaSAha	1
hastamuktAvali	1
hastinIpura	1
hayAnanda	1
hayadvizant	1
hfdBeda	1
hfdinI	1
hfllocana	1
hfzIkASrama	1
hikavikanika	
himAdrIy	1
himajJawi	
hitavant	1
hitopadezwar	1
hoqar	1
hrOda	
hrastataRqula	
hrasvAbfhadopaSA	
hrasvagarBa	1
hruqu	1
hulamAtfkA	1
iMreja	
iNkuma	
iSena	
iTiresu	
icCAvant	1
idaMkAryA	
ikzupatra	
ilARqa	
illIsa	1
imAmaru	
indIvAra	1
indindira	1
indivara	1
indrasAman	1
indravAwatIrTa	1
indreSvaratIrTa	1
indupramati	1
indurAj	1
ipAhaRa	
irAnta	
isPIva	
isaPahARa	
isakandara	
isirakAra	
izviSvajyotis	
izwahotrIya	
izwikApaTika	
izwikApura	1
jANGAlAyana	1
jANGanI	1
jAgadISI	1
jAgaritar	1
jAlavAla	
jAmunadeSa	1
jAtUkarRIputra	1
jAtavant	1
jAtavedAdinavadurgAmanu	1
jAtisAMkaryavAda	1
jAvAdi	1
jAvitrIpAka	1
jAwAlikA	1
jEmanta	1
jImUtakuwa	
jIrata	
jIvatpitar	1
jIyIkIyA	
jUma	
jYAnAnandasamuccaya	1
jYAnaSataka	1
jYAnadarpana	
jYAnadvayakAraRatAvicAra	1
jYAnagarBastotra	1
jYAnahastika	1
jYAnalakzaRavAdArTa	1
jYAnamuktAvalI	
jYAnapraboDamaYjarI	1
jYAnarpiBAskarAcArya	
jYAnottara	1
jYaptiprAmARyavAda	1
jagalu	1
jagatkartar	1
jagatsrazwar	1
jagaty	1
jajjAiRa	
jalAlapura	1
jalaBeda	1
jalaSUkara	
jalabAlaka	
jalagaMvu	
jalakAmuka	
jalatumbikA	
jalavilva	
jalavindu	
jalaviqAla	
jamARu	
jambumant	1
jammARa	
janmavant	1
japanfsiMha	
jaqAy	1
jarijARa	
jarisARu	
javavant	1
javipulA	
jawAvant	1
