L_id	k1	hom	verdict	mw_realcite	corpus_hit	also_in_pw_same_source	pwg_text_sibling	n_kosa	present_in	novel_kosa	pwg_cited_sources	src_category
13	aMSay		pwg-unique	0		1	0	0	pw		ŚKDR	kosa_nighantu_not_digitised
15	aMSasavarRa		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
479	agnisaMBava		pwg-unique	0		1	0	0	pw		H|RĀJAN|ŚKDR	kosa_nighantu_not_digitised
487	agnisvAmin		pwg-unique	0		1	0	0	pw		Ind	scholarly_journal_technical
499	agnIDrI		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
553	agravIja		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
768	aNgulIka		pwg-unique	0		1	0	0	pw		TRIK|ŚKDR	kosa_nighantu_not_digitised
772	aNgulIsaMBUta		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
805	acalaBrAtar		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
825	acirABa		pwg-unique	0		0	0	0			HĀR	kosa_nighantu_not_digitised
841	acCAvAkaSastra		pwg-unique	0		0	0	0			Ind|Verz	ms_catalogue_propernoun
852	acCupta		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
860	acyutakfzRAnandatIrTa		pwg-unique	0		1	0	0	pw		COLEBR	scholarly_journal_technical
925	ajayagarha		pwg-unique	0		1	0	0	pw		Z	scholarly_journal_technical
1063	aYjanika		pwg-unique	0		1	0	0	pw		H|JAṬĀDH|ŚKDR	kosa_nighantu_not_digitised
1149	aRIyasa		pwg-unique	0		1	0	0	pw		Ind	scholarly_journal_technical
1160	aRumaDyavIja		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
1413	atiliha		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
1420	ativaktar		pwg-unique	0		1	1	0	pw		AK	kosa_nighantu_not_digitised
1434	ativizAdin		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
1570	atyamlaparRa		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
1858	aDaHpuzpa		pwg-unique	0		0	0	0			RATNAM|RĀJAN|WILS|ŚKDR	kosa_nighantu_not_digitised
2002	aDiyAga		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
2065	aDoSuka		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
2141	aDyAyaka		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
2276	anantaBawwIya		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
2391	analAnanda		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
2508	anAdimant		pwg-unique	0		1	0	0	pw		ŚAṂK	other_or_none
2687	anIcidarSin		pwg-unique	0		0	0	0			TRIK|WILS|ŚKDR	kosa_nighantu_not_digitised
2699	anukaYcita		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
2923	anumititva		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
3004	anuvAkasaMKyA		pwg-unique	0		1	0	0	pw		Ind	scholarly_journal_technical
3152	anUpasiMha		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
3247	antaki		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
3249	antakfddaSa		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
3347	antaryAman		pwg-unique	0		0	0	0			Ind|ŚAṂK	scholarly_journal_technical
3509	annaMBawwa		pwg-unique	0		1	0	0	pw		Verz|Z	ms_catalogue_propernoun
3832	aparagoqani		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
3857	aparavideha		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
3958	apavfti		pwg-unique	0		0	0	0			MED	kosa_nighantu_not_digitised
4190	apekzitavyAKyAna		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
4228	appidIkzita		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
4234	apyayya		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
4236	apyAyadIkzita		pwg-unique	0		1	0	0	pw		COLEBR|Journ	scholarly_journal_technical
4301	apramARaSuB		pwg-unique	0		0	0	0			BURN	scholarly_journal_technical
4797	aBisaMtApa		pwg-unique	0		0	0	0			HALĀY|ŚKDR	kosa_nighantu_not_digitised
4805	aBisaMpAta		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
5108	amalAjJawA		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
5206	amftataraMgiRI		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
5219	amftamatI		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
