id,lesson,deva,iast,verdict,confidence,n_tokens,n_chars,top_containment,top_ref,top_cite,top_text
buhler-I-1,I,अद्य जीवामः,adya jīvāmaḥ,invented,medium,2,11,0.638,"Aṣṭāṅgahṛdayasaṃhitā AHS, Sū., 10",DCS sent_id 27848,āyuṣyo jīvanaḥ snigdhaḥ pittānilaviṣāpahaḥ
buhler-I-2,I,सदा पचथः,sadā pacathaḥ,invented,medium,2,12,0.293,"Abhidharmakośa AbhidhKo, 2",DCS sent_id 479418,mūladvayamahiṃsā ca vīryaṃ ca kuśale sadā
buhler-I-3,I,अत्र रक्षति,atra rakṣati,invented,medium,2,11,0.595,"Aitareyabrāhmaṇa AB, 1, 22",DCS sent_id 650345_3,gandharvaḥ itthā padam asya rakṣati iti kharam avekṣate
buhler-I-4,I,अधुना रक्षामि,adhunā rakṣāmi,invented,medium,2,13,0.566,"Bhāratamañjarī BhāMañj, 13",DCS sent_id 585290,tatra tānavadadghorā rakṣāmi nalinīmimām
buhler-I-5,I,यदा धावथ तदा पतथ,yadā dhāvatha tadā patatha,invented,medium,4,23,0.357,"Ṛgveda ṚV, 1, 168",DCS sent_id 595419,yac cyāvayatha vithureva saṃhitaṃ vy adriṇā patatha tveṣam arṇavam
buhler-I-6,I,क्व यजति,kva yajati,invented,medium,2,9,1.0,"Kauṣītakibrāhmaṇa KauṣB, 3, 4",DCS sent_id 712474_1,tat āhuḥ yat pañca prayājāḥ ṣaṭ ṛtavaḥ kva etam ṣaṣṭham ṛtum yajati iti
buhler-I-7,I,तत्र चरथः,tatra carathaḥ,invented,medium,2,13,0.243,"Abhinavacintāmaṇi ACint, 1",DCS sent_id 506097,tataḥ prāhus trasareṇu tatra ṣaḍbhir ājāhvayā sarṣapaḥ
buhler-I-8,I,कुतः शंसति,kutaḥ śaṃsati,invented,medium,2,12,0.514,"Aitareya-Āraṇyaka AĀ, 1, 1, 3",DCS sent_id 748677_4,tat yat mādhuchandasam śaṃsati sarveṣām kāmānām avaruddhyai
buhler-I-9,I,त्यजामि कथम्,tyajāmi katham,invented,medium,2,13,0.66,"Bhāratamañjarī BhāMañj, 1",DCS sent_id 575723,tyajāmi niranukrośaḥ sahāyaṃ daivanirmitam
buhler-I-10,I,पुनः पतावः,punaḥ patāvaḥ,invented,medium,2,12,0.695,"Harṣacarita Harṣacarita, 5",DCS sent_id 630616,pretapatiprayāṇaprahatāḥ paṭavaḥ paṭahā ivāraṭanto hṛdayasphoṭanāḥ pasphāyire nipatatāṃ nirghātānāṃ ghorā ghananirghoṣāḥ
buhler-I-11,I,एवं वदन्ति,evaṃ vadanti,unknown,low,2,11,1.0,"Divyāvadāna Divyāv, 13",DCS sent_id 656496,sa yadi prativibudhyate tamevaṃ vadanti bhoḥ puruṣa na tvayā śrutam yathā śrāvastyāmudyānamoṣakāḥ puruṣāḥ pratidinamanvāhiṇḍyante te yadi suptaṃ puruṣaṃ paśyanti vadanti uttiṣṭha gaccheti
buhler-I-12,I,तत्र वसावः,tatra vasāvaḥ,invented,medium,2,12,1.0,"Matsyapurāṇa MPur, 122",DCS sent_id 343227,tatra ratnānyanekāni svayaṃ rakṣati vāsavaḥ
buhler-I-13,I,सर्वत्र जीवन्ति,sarvatra jīvanti,invented,medium,2,15,0.543,"Abhinavacintāmaṇi ACint, 1",DCS sent_id 506306,medaś cāpi mahāmedo jīvantī madhukaṃ tathā
buhler-II-14,II,सदा देवान्स्मरन्ति,sadā devānsmaranti,invented,medium,2,17,0.293,"Abhidharmakośa AbhidhKo, 2",DCS sent_id 479418,mūladvayamahiṃsā ca vīryaṃ ca kuśale sadā
buhler-II-15,II,गृहं गच्छामः,gṛhaṃ gacchāmaḥ,invented,medium,2,14,1.0,"Divyāvadāna Divyāv, 13",DCS sent_id 656452,te kathayanti sārthavāha yamāgamya bodhasya gṛhapateranekadhanasamuditaṃ sasuhṛtsambandhibāndhavaṃ gṛhaṃ vinaṣṭam kathaṃ tena sārdhaṃ gacchāmaḥ sarvathā tvaṃ sārthasya svāmī
buhler-II-16,II,जलं पिबति पुत्रः,jalaṃ pibati putraḥ,invented,medium,3,17,0.694,"Sarvāṅgasundarā SarvSund zu AHS, Utt., 39, 78.2",DCS sent_id 42621,tamamṛtarasatulyapākaṃ yaḥ pūrvāhṇe prāśaṃ lehaṃ bhakṣayan paścādyatheṣṭaṃ jalaṃ kṣīraṃ māṃsarasaṃ vā pibati sa smṛtyādiyutaḥ suvarṇaughagauro dīrghamāyuḥ prāpnoti
buhler-II-17,II,नृपौ जयतः,nṛpau jayataḥ,invented,medium,2,12,0.505,"Bhāratamañjarī BhāMañj, 8",DCS sent_id 580884,pārthaḥ saṃśaptakānhatvā nināya bhrātarau nṛpau
buhler-II-18,II,कदा फलानि यच्छथः,kadā phalāni yacchathaḥ,invented,medium,3,21,0.542,"Rāmāyaṇa Rām, Ay, 38",DCS sent_id 118281,kadā sumanasaḥ kanyā dvijātīnāṃ phalāni ca
buhler-II-19,II,कुत्राधुना गजं नयामि,kutrādhunā gajaṃ nayāmi,invented,medium,3,21,0.3,"Atharvaveda (Paippalāda) AVP, 1, 9",DCS sent_id 646187,tatas pari brahmaṇā śāśadāna ugrasya manyor ud imaṃ nayāmi
buhler-II-20,II,तरन्ति देवाः,taranti devāḥ,invented,medium,2,12,0.626,"Aitareyabrāhmaṇa AB, 4, 13",DCS sent_id 651504,bṛhadrathaṃtare sāmanī bhavata ete vai yajñasya nāvau sampāriṇyau yad bṛhadrathaṃtare tābhyām eva tat saṃvatsaraṃ taranti
buhler-II-21,II,तरथ हे देवाः,taratha he devāḥ,invented,medium,3,14,0.3,"Agnipurāṇa AgniPur, 18",DCS sent_id 484648,dhruvo varṣasahasrāṇi trīṇi divyāni he mune
