id,lesson,deva,iast,verdict,confidence,n_tokens,n_chars,top_containment,top_ref,top_cite,top_text
buhler-II-22,II,ग्रामे गच्छति नरः,grāme gacchati naraḥ,invented,medium,3,18,0.601,"Garuḍapurāṇa GarPur, 1, 83",DCS sent_id 545473,somakuṇḍe naraḥ snātvā somalokaṃ ca gacchati
buhler-II-23,II,नरः पुत्रौ पश्यति,naraḥ putrau paśyati,invented,medium,3,18,0.717,"Saṅghabhedavastu SBhedaV, 1",DCS sent_id 365000,sa kathayati vatsa brāhmaṇāḥ kathayanti aputrasya gatir nāstīti asti tvayā kiṃcid apatyam utpāditam upādhyāya kumāra evāhaṃ strītantre aprakṛtijñaḥ pitrā rājyanimittaṃ protsāhyamānaḥ pravrajitaḥ kuto mamāpatyasamutpattiḥ vatsa yady evaṃ pūrvopabhuktaviṣayānusmaraṇaṃ kuru upādhyāya gāḍhavedanābhyāhatasya me idānīṃ chidyamāneṣu marmasu mucyamāneṣu sandhiṣu maraṇaikāntamanasaḥ kathaṃ pūrvopabhuktaviṣayānusmaraṇaṃ bhavati sa tasyopādhyāyaḥ pañcābhijñālābhī tena ṛddhyā mahān vātavarṣo nirmitaḥ tasya varṣabindavaḥ kāye nipatitāḥ tataḥ śītalasalilavātasparśād vedanā viṣṭambhitā sa pūrvopabhuktaviṣayān smartum ārabdhaḥ yāvad asya maithunarāgasamanusmaraṇād dvau śukrabindū sarudhire nipatitau catvāri sthānāny acintanīyāni ātmacintā lokacintā sattvānāṃ karmavipākacintā buddhānāṃ ca buddhaviṣayacintā iti tau śukrabindū dve aṇḍe prādurbhūte sūryasyābhyudgamanakālasamaye sūryaraśmiparipācite sphuṭite dvau kumārau jātau tato nātidūre ikṣuvāṭaḥ tau tatra praviṣṭau tatas sūryaraśmayo bhāsuratarā jātāḥ gautamariṣiḥ sūryaraśmiparitāpitaḥ kālagataḥ tataḥ suvarṇadvaipāyanariṣir āgataḥ paśyati kālagataḥ sa śūlasāmantake paśyati aṇḍe sphuṭite kapālāny avasthitāni so 'nusarann itaś cāmutaś ca ikṣuvāṭaṃ praviṣṭo yāvat paśyati dvau kumārau samanvāhartuṃ pravṛttaḥ kasyaitau putrāv iti paśyati gautamasya ṛṣeḥ tato 'sya sutarāṃ premā utpannaḥ tena tāv āśramapadaṃ nītvā āpāyitau poṣitau saṃvardhitau tayoś ca nāmadheyaṃ vyavasthāpayituṃ pravṛttaḥ sūryasyābhyudgamanakālasamaye sūryaraśmibhiḥ paripācitau jātau bhavataḥ tasmāt sūryagotrāviti sūryagotrā iti saṃjñā saṃvṛttā gautamasya riṣeḥ putrau gautamā gautamā iti dvitīyā saṃjñā saṃvṛttā svāṅgīnisṛtā iti āṅgīrasā āṅgīrasā iti tṛtīyā saṃjñā saṃvṛttā ikṣuvāṭāllabdhā ikṣvākā ikṣvākā iti caturthī saṃjñā saṃvṛttā yāvad apareṇa samayena bharadvājo rājā aputra eva kālagataḥ amātyāḥ saṃnipatya samavāyaṃ kartum ārabdhāḥ bhavantaḥ kam idānīṃ rājānam abhiṣiñcāma iti apare kathayanti tasya bhrātā gautamo riṣīṇāṃ madhye pravrajitaḥ tasyedaṃ kulakramāgataṃ rājyaṃ tam abhiṣiñcāma iti kṛtasaṃjalpāḥ suvarṇadvaipāyanasya riṣeḥ sakāśam upasaṃkrāntāḥ upasaṃkramya pādayor nipatya kathayanti maharṣe gautamaḥ kva gata iti sa kathayati yuṣmābhir eva praghātita iti maharṣe vayaṃ tasya darśanam api na samanusmarāmaḥ kathaṃ praghātayāmaḥ ahaṃ yuṣmān smārayāmi śobhanaṃ tena te smāritāḥ kathayanti maharṣe yady evam alaṃ tasya nāmagrahaṇena pāpakāryasāvakīrtanīyaḥ kiṃ tena pāpakaṃ karma kṛtaṃ idaṃ cedaṃ ca nāsau pāpakarmakārī adūṣy anapakāry eva yuṣmābhiḥ praghātitaḥ kathaṃ tena vistareṇa yathāvṛttaṃ samākhyātaṃ te saṃjātadaurmanasyāḥ kathayanti maharṣe yady evaṃ vayaṃ pāpakarmakāriṇo nāsāviti te caivam ālāpaṃ kurvanti tau ca dārakau riṣeḥ sakāśam upasaṃkrāntau amātyāḥ kathayanti maharṣe kasyaitau dārakau kathayati tasyaiva putrau katham etau samutpannau kā vā anayoḥ saṃjñā tena sotpattikaṃ vistareṇa samākhyātam amātyāḥ śrutvāpi paraṃ vismayam upagatāḥ tais taṃ riṣim anujñāpya tayor jyeṣṭhaḥ kumāro rājyābhiṣekeṇābhiṣiktaḥ so 'pyaputraḥ kālagataḥ tato 'sau dvitīyaḥ kanīyān abhiṣiktaḥ tasya ikṣvākurājā ikṣvākurājā iti saṃjñā saṃvṛttā ikṣvākor gautamā rājñaḥ putraprapautṛkayā naptṛpranaptṛkayā punar api potalake nagare ekaśatam ikṣvākurājaśatam abhūt
buhler-II-24,II,देवं यजावः,devaṃ yajāvaḥ,invented,medium,2,12,0.305,"Agnipurāṇa AgniPur, 1",DCS sent_id 483794,munibhiḥ pṛṣṭavān devaṃ pūjitaṃ jñānakarmabhiḥ
buhler-II-25,II,पुत्रा ग्रामं गच्छन्ति,putrā grāmaṃ gacchanti,invented,medium,3,20,0.707,"Hiraṇyakeśigṛhyasūtra HirGS, 2, 3",DCS sent_id 425636_1,atha enam kaṇaiḥ sarṣapa miśraiḥ uddhūpayati śaṇḍaḥ markaḥ upavīraḥ śāṇḍīkeraḥ ulūkhalaḥ cyavanaḥ naśyatād itas svāhā ālikhan vilikhan animiṣan kiṃvadantaḥ upaśrutiḥ svāhā aryamṇaḥ kumbhī śatruḥ pātrapāṇiḥ nipuṇiḥ svāhā āntrīmukhaḥ sarṣapāruṇaḥ naśyatād itas svāhā keśinī śvalominī bajābojā upakāśinī apeta naśyatād itas svāhā kauberakāḥ viśvavāsaḥ rakṣaḥ rājena preṣitāḥ grāmān sajātayaḥ yanti īpsantaḥ parijākṛtān svāhā etān hata etān badhnīta iti ayam brahmaṇaḥ dūtaḥ tān agniḥ paryasarat tān indraḥ tān bṛhaspatiḥ tān aham veda brāhmaṇaḥ pramṛśataḥ kūṭa dantān vikeśān lamba stanān svāhā naktaṃcāriṇaḥ uraspeśān śūla hastān kapāla pān svāhā pūrvaḥ eṣām pitā iti uccaiḥśrāvyakarṇakaḥ mātā jaghanyā gacchanti grāme vikhuram icchantī svāhā naktaṃcāriṇī svasā sandhinā prekṣate kulam yā svapatsu jāgarti yasyai vijātāyām manaḥ svāhā tāsām tvam kṛṣṇavartmane klomānam hṛdayam yakṛt agne akṣīṇi nirdaha svāhā iti
buhler-II-26,II,तत्र गृहे भवतः,tatra gṛhe bhavataḥ,invented,medium,3,17,0.627,"Carakasaṃhitā Ca, Sū., 30",DCS sent_id 61255,tatra triṃśadadhyāyakaṃ ślokasthānam aṣṭāṣṭādhyāyakāni nidānavimānaśārīrasthānāni dvādaśakam indriyāṇāṃ triṃśakaṃ cikitsitānāṃ dvādaśake kalpasiddhisthāne bhavataḥ
buhler-II-27,II,सर्वत्र दानानि वर्षन्ति नृपाः,sarvatra dānāni varṣanti nṛpāḥ,invented,medium,4,27,0.421,"ein Armer, wenn er auch Etwas/verschuldet hat, kommt überall mit/heiler Haut davon.",IS Saying 3760,nirdoṣamapi vittādyaṃ doṣairyojayate nṛpaḥ |/nirdhanaḥ prāptadoṣo 'pi sarvatra nirupadravaḥ ||
buhler-III-29,III,धनानि गृहेषु गूहन्ति,dhanāni gṛheṣu gūhanti,invented,medium,3,20,0.41,"Harivaṃśa HV, 54",DCS sent_id 763525,tṛṇāni śatapatrākṣa patrair gūhanti medinīm
buhler-III-30,III,कुन्तान्हस्ताभ्यां क्षिपामः,kuntānhastābhyāṃ kṣipāmaḥ,invented,medium,2,24,0.487,"Skandapurāṇa (Revākhaṇḍa) SkPur (Rkh), Revākhaṇḍa, 60",DCS sent_id 411892,tvatpālitā yāvadimaṃ sughoraṃ kālaṃ tvanāvṛṣṭihataṃ kṣipāmaḥ
buhler-III-31,III,नृपाय नरौ मार्गं दिशतः,nṛpāya narau mārgaṃ diśataḥ,invented,medium,4,24,0.296,GRETIL kavya: jIvagosvAmin · gopAlacampUp1 · 33u1 · 3u5 · 6u29,GRETIL sa_jIvagosvAmin-gopAlacampUp1-33u1-3u5-6u29,"cāturībhir iha nas tu karṣato dharma-dhāma diśataḥ samujjhataḥ | nirdayaṃ punar amuṣya śiṣyate yena nāsmad-atiduḥkham īkṣyate ||jgc_1,25.44|| [rathoddhatā]"
buhler-III-32,III,मार्गेण ग्रामं गच्छावः,mārgeṇa grāmaṃ gacchāvaḥ,invented,medium,3,22,0.396,"Divyāvadāna Divyāv, 2",DCS sent_id 654204,gacchāvaḥ dharmaṃ śroṣyāva iti
buhler-III-33,III,सुखेनेह गृहे तिष्ठति पुत्रः,sukheneha gṛhe tiṣṭhati putraḥ,invented,medium,4,27,0.417,"Hiraṇyakeśigṛhyasūtra HirGS, 1, 19",DCS sent_id 425247_1,vyāhṛti paryantam kṛtvā juhoti agniḥ aitu prathamaḥ devatānām saḥ asyai prajām muñcatu mṛtyu pāśāt tat ayam rājā varuṇaḥ anumanyatām yathā iyam strī pautram agham na rodāt _ imām agniḥ trāyatām gārhapatyaḥ prajām asyai nayatu dīrgham āyuḥ a śūnya upasthā jīvatām astu mātā pautram ānandam abhiprabudhyatām iyam _ mā te gṛhe niśi ghoṣaḥ utthāt anyatra tvat rudatyaḥ saṃviśantu mā tvam vikeśī uraḥ āvadhiṣṭhāḥ jīva patnī pati loke virāja prajām paśyantī sumanasyamānām _ dyauḥ te pṛṣṭham rakṣatu vāyuḥ ūrū aśvinaḥ ca stanam dhayataḥ te putrān savitā abhirakṣatu ā vāsasaḥ paridhānāt bṛhaspatiḥ viśvāḥ devāḥ abhirakṣantu paścāt _ aprajastām pautra mṛtyum pāpmānam _ _ agham śīrṣaṇaḥ srajam iva unmucya dviṣadbhyaḥ pratimuñcāmi pāpam _ deva kṛtam brāhmaṇam kalpamānam tena hanmi yoniṣadaḥ piśācān kravya adaḥ mṛtyūn adharān pādayāmi dīrgham āyuḥ te jīvantu putrāḥ _ iti
buhler-III-34,III,जलं सिञ्चति मेघः,jalaṃ siñcati meghaḥ,invented,medium,3,18,0.365,"Aitareyabrāhmaṇa AB, 2, 38",DCS sent_id 650903,hotṛjapaṃ japati retas tat siñcati
buhler-III-35,III,धनेन सुखमिच्छन्ति नराः,dhanena sukhamicchanti narāḥ,invented,medium,3,26,0.522,"Bhāratamañjarī BhāMañj, 5",DCS sent_id 577422,mūrkho 'pi pratibhodbhedaṃ dhanena labhate naraḥ
buhler-III-36,III,हस्तयोः फले तिष्ठतः,hastayoḥ phale tiṣṭhataḥ,invented,medium,3,22,0.361,"Carakasaṃhitā Ca, Śār., 7",DCS sent_id 63320,tadyathā dvātriṃśaddantāḥ dvātriṃśaddantolūkhalāni viṃśatirnakhāḥ ṣaṣṭiḥ pāṇipādāṅgulyasthīni viṃśatiḥ pāṇipādaśalākāḥ catvāri pāṇipādaśalākādhiṣṭhānāni dve pārṣṇyorasthinī catvāraḥ pādayor gulphāḥ dvau maṇikau hastayoḥ catvāryaratnyorasthīni catvāri jaṅghayoḥ dve jānunī dve jānukapālike dvāvūrunalakau dvau bāhunalakau dvāvaṃsau dve aṃsaphalake dvāvakṣakau ekaṃ jatru dve tāluke dve śroṇiphalake ekaṃ bhagāsthi pañcacatvāriṃśat pṛṣṭhagatānyasthīni pañcadaśa grīvāyāṃ caturdaśorasi dvayoḥ pārśvayoścaturviṃśatiḥ parśukāḥ tāvanti sthālakāni tāvanti caiva sthālakārbudāni ekaṃ hanvasthi dve hanumūlabandhane ekāsthi nāsikāgaṇḍakūṭalalāṭaṃ dvau śaṅkhau catvāri śiraḥkapālānīti evaṃ trīṇi saṣaṣṭīni śatāny asthnāṃ saha dantolūkhalanakheneti
buhler-III-37,III,जलं हस्तेन स्पृशसि,jalaṃ hastena spṛśasi,invented,medium,3,19,0.683,"Mahābhārata MBh, 8, 28",DCS sent_id 260739,jalaṃ spṛśasi pakṣābhyāṃ tuṇḍena ca punaḥ punaḥ
buhler-III-38,III,नरौ कटे सीदतः,narau kaṭe sīdataḥ,invented,medium,3,16,0.363,"Aṣṭāṅgahṛdayasaṃhitā AHS, Śār., 5",DCS sent_id 30713,sīdataḥ sakthinī caiva taṃ bhiṣak parivarjayet
buhler-III-39,III,क्षेत्राणि लाङ्गलैः कृषन्ति,kṣetrāṇi lāṅgalaiḥ kṛṣanti,invented,medium,3,24,0.367,"Mahābhārata MBh, 3, 199",DCS sent_id 204092,karṣanto lāṅgalaiḥ puṃso ghnanti bhūmiśayān bahūn
buhler-III-40,III,नगरं नृपौ विशतः,nagaraṃ nṛpau viśataḥ,invented,medium,3,19,0.374,"Bhāratamañjarī BhāMañj, 8",DCS sent_id 580884,pārthaḥ saṃśaptakānhatvā nināya bhrātarau nṛpau
buhler-III-41,III,नरः पुत्रेण मार्गं गच्छति,naraḥ putreṇa mārgaṃ gacchati,invented,medium,4,26,0.512,"Aitareyabrāhmaṇa AB, 7, 13",DCS sent_id 652685_1,ṛṇam asmin saṃnayati amṛta tvam ca gacchati pitā putrasya jātasya paśyet ced jīvataḥ mukham yāvantaḥ pṛthivyām bhogāḥ yāvantaḥ jātavedasi yāvantaḥ apsu prāṇinām bhūyān putre pituḥ tatas śaśvat putreṇa pitaraḥ atyāyan bahulam tamaḥ ātmā hi jajñe ātmanaḥ saḥ irāvatī atitāriṇī kim nu malam kim ajinam kim u śmaśrūṇi kim tapaḥ putram brahmāṇaḥ icchadhvam sa vai lokaḥ avadāvadaḥ annam ha prāṇaḥ śaraṇam ha vāsaḥ rūpam hiraṇyam paśavaḥ vivāhāḥ sakhā ha jāyā kṛpaṇam ha duhitā jyotiḥ ha putraḥ parame vyoman patiḥ jāyām praviśati garbhaḥ bhūtvā sa mātaram tasyām punar navaḥ bhūtvā daśame māsi jāyate tat jāyā jāyā bhavati yat asyām jāyate punar ābhūtiḥ eṣā ābhūtiḥ bījam etat nidhīyate devāḥ ca etām ṛṣayaḥ ca tejaḥ samabharat mahat devāḥ manuṣyān abruvan eṣā vaḥ jananī punar na aputrasya lokaḥ asti iti tat sarve paśavaḥ viduḥ tasmāt tu putraḥ mātaram svasāram ca adhirohati eṣa panthāḥ urugāyaḥ su śevaḥ yam putriṇaḥ ākramante viśokāḥ tam paśyanti paśavaḥ vayāṃsi ca tasmāt te mātrā api mithunībhavanti iti ha asmai ākhyāya
buhler-III-42,III,नरान्सृजति देवः,narānsṛjati devaḥ,invented,medium,2,16,0.299,"Abhidhānacintāmaṇi AbhCint, 2",DCS sent_id 590070,devāḥ suparvasuranirjaradevatarbhubarhirmukhānimiṣadaivatanākilekhāḥ
buhler-III-43,III,बालौ गृहे ह्वयति नरः,bālau gṛhe hvayati naraḥ,invented,medium,4,21,0.382,"Liṅgapurāṇa LiPur, 1, 85",DCS sent_id 378679,mārjāraś ca gṛhe yasya so'pyantyajasamo naraḥ
buhler-IV-46,IV,सदा देवा जनान्मुञ्चन्ति पापात्,sadā devā janānmuñcanti pāpāt,invented,medium,4,26,0.32,"Abhinavacintāmaṇi ACint, 1",DCS sent_id 506066,śabdārthāvagame bhajanti sakalā devā sadā mūkatāṃ manye kiṃtu viśanti pāram paraṃ duṣpāraśāstrāmbudheḥ
buhler-IV-47,IV,नृपस्य पुत्रौ क्व वसतः,nṛpasya putrau kva vasataḥ,invented,medium,4,23,0.433,"Saṅghabhedavastu SBhedaV, 1",DCS sent_id 365000,sa kathayati vatsa brāhmaṇāḥ kathayanti aputrasya gatir nāstīti asti tvayā kiṃcid apatyam utpāditam upādhyāya kumāra evāhaṃ strītantre aprakṛtijñaḥ pitrā rājyanimittaṃ protsāhyamānaḥ pravrajitaḥ kuto mamāpatyasamutpattiḥ vatsa yady evaṃ pūrvopabhuktaviṣayānusmaraṇaṃ kuru upādhyāya gāḍhavedanābhyāhatasya me idānīṃ chidyamāneṣu marmasu mucyamāneṣu sandhiṣu maraṇaikāntamanasaḥ kathaṃ pūrvopabhuktaviṣayānusmaraṇaṃ bhavati sa tasyopādhyāyaḥ pañcābhijñālābhī tena ṛddhyā mahān vātavarṣo nirmitaḥ tasya varṣabindavaḥ kāye nipatitāḥ tataḥ śītalasalilavātasparśād vedanā viṣṭambhitā sa pūrvopabhuktaviṣayān smartum ārabdhaḥ yāvad asya maithunarāgasamanusmaraṇād dvau śukrabindū sarudhire nipatitau catvāri sthānāny acintanīyāni ātmacintā lokacintā sattvānāṃ karmavipākacintā buddhānāṃ ca buddhaviṣayacintā iti tau śukrabindū dve aṇḍe prādurbhūte sūryasyābhyudgamanakālasamaye sūryaraśmiparipācite sphuṭite dvau kumārau jātau tato nātidūre ikṣuvāṭaḥ tau tatra praviṣṭau tatas sūryaraśmayo bhāsuratarā jātāḥ gautamariṣiḥ sūryaraśmiparitāpitaḥ kālagataḥ tataḥ suvarṇadvaipāyanariṣir āgataḥ paśyati kālagataḥ sa śūlasāmantake paśyati aṇḍe sphuṭite kapālāny avasthitāni so 'nusarann itaś cāmutaś ca ikṣuvāṭaṃ praviṣṭo yāvat paśyati dvau kumārau samanvāhartuṃ pravṛttaḥ kasyaitau putrāv iti paśyati gautamasya ṛṣeḥ tato 'sya sutarāṃ premā utpannaḥ tena tāv āśramapadaṃ nītvā āpāyitau poṣitau saṃvardhitau tayoś ca nāmadheyaṃ vyavasthāpayituṃ pravṛttaḥ sūryasyābhyudgamanakālasamaye sūryaraśmibhiḥ paripācitau jātau bhavataḥ tasmāt sūryagotrāviti sūryagotrā iti saṃjñā saṃvṛttā gautamasya riṣeḥ putrau gautamā gautamā iti dvitīyā saṃjñā saṃvṛttā svāṅgīnisṛtā iti āṅgīrasā āṅgīrasā iti tṛtīyā saṃjñā saṃvṛttā ikṣuvāṭāllabdhā ikṣvākā ikṣvākā iti caturthī saṃjñā saṃvṛttā yāvad apareṇa samayena bharadvājo rājā aputra eva kālagataḥ amātyāḥ saṃnipatya samavāyaṃ kartum ārabdhāḥ bhavantaḥ kam idānīṃ rājānam abhiṣiñcāma iti apare kathayanti tasya bhrātā gautamo riṣīṇāṃ madhye pravrajitaḥ tasyedaṃ kulakramāgataṃ rājyaṃ tam abhiṣiñcāma iti kṛtasaṃjalpāḥ suvarṇadvaipāyanasya riṣeḥ sakāśam upasaṃkrāntāḥ upasaṃkramya pādayor nipatya kathayanti maharṣe gautamaḥ kva gata iti sa kathayati yuṣmābhir eva praghātita iti maharṣe vayaṃ tasya darśanam api na samanusmarāmaḥ kathaṃ praghātayāmaḥ ahaṃ yuṣmān smārayāmi śobhanaṃ tena te smāritāḥ kathayanti maharṣe yady evam alaṃ tasya nāmagrahaṇena pāpakāryasāvakīrtanīyaḥ kiṃ tena pāpakaṃ karma kṛtaṃ idaṃ cedaṃ ca nāsau pāpakarmakārī adūṣy anapakāry eva yuṣmābhiḥ praghātitaḥ kathaṃ tena vistareṇa yathāvṛttaṃ samākhyātaṃ te saṃjātadaurmanasyāḥ kathayanti maharṣe yady evaṃ vayaṃ pāpakarmakāriṇo nāsāviti te caivam ālāpaṃ kurvanti tau ca dārakau riṣeḥ sakāśam upasaṃkrāntau amātyāḥ kathayanti maharṣe kasyaitau dārakau kathayati tasyaiva putrau katham etau samutpannau kā vā anayoḥ saṃjñā tena sotpattikaṃ vistareṇa samākhyātam amātyāḥ śrutvāpi paraṃ vismayam upagatāḥ tais taṃ riṣim anujñāpya tayor jyeṣṭhaḥ kumāro rājyābhiṣekeṇābhiṣiktaḥ so 'pyaputraḥ kālagataḥ tato 'sau dvitīyaḥ kanīyān abhiṣiktaḥ tasya ikṣvākurājā ikṣvākurājā iti saṃjñā saṃvṛttā ikṣvākor gautamā rājñaḥ putraprapautṛkayā naptṛpranaptṛkayā punar api potalake nagare ekaśatam ikṣvākurājaśatam abhūt
buhler-IV-48,IV,ऋषिर्दुःखात्पुत्रं गोपायति,ṛṣirduḥkhātputraṃ gopāyati,invented,medium,2,25,0.44,"Aitareya-Āraṇyaka AĀ, 2, 1, 6",DCS sent_id 749033,apaśyaṃ gopām ity eṣa vai gopā eṣa hīdaṃ sarvaṃ gopāyati
buhler-IV-49,IV,नृपो ऽसिना ऽरेः पाणी कृन्तति,nṛpo sinā reḥ pāṇī kṛntati,invented,medium,5,22,0.207,"Aitareyabrāhmaṇa AB, 5, 7",DCS sent_id 651827,tā ūrdhvāḥ sīmno 'bhyasṛjata yad ūrdhvāḥ sīmno 'bhyasṛjata tat simā abhavaṃs tat simānāṃ simātvam
buhler-IV-50,IV,कवयो हरिं शंसन्ति,kavayo hariṃ śaṃsanti,invented,medium,3,19,0.356,"Aitareyabrāhmaṇa AB, 2, 18",DCS sent_id 650727_3,atha yat stuvanti ca śaṃsanti ca tena stoma bhāgāḥ chandaḥ bhāgāḥ
buhler-IV-51,IV,अरयो जनानां धनं लुम्पन्ति,arayo janānāṃ dhanaṃ lumpanti,invented,medium,4,26,0.375,GRETIL kavya: kSemendra · kalAvilAsa,GRETIL sa_kSemendra-kalAvilAsa,hṛtvā dhanaṃ janānāṃ dinamakhilaṃ vividhakūṭamāyābhiḥ & vitarati gṛhe kirāṭaḥ kaṣṭena varāṭakatritayam // 2.5 //
buhler-IV-52,IV,जलं गिरेः पतति,jalaṃ gireḥ patati,invented,medium,3,16,0.662,"Hitopadeśa Hitop, 1",DCS sent_id 352073,jalam agnir viṣaṃ śastaṃ kṣud vyādhiḥ patanaṃ gireḥ
buhler-IV-53,IV,शरान्विषेण लिम्पथ,śarānviṣeṇa limpatha,invented,medium,2,19,,,,
buhler-IV-54,IV,वृक्षा गिरौ रोहन्ति,vṛkṣā girau rohanti,invented,medium,3,17,0.367,"Atharvaveda (Śaunaka) AVŚ, 4, 14",DCS sent_id 634552,svar yanto nāpekṣanta ā dyāṃ rohanti rodasī
