catalog_id,earliest_book,earliest_year,script,text,buhler_lessons,knauer_lessons,kochergina_lessons
C0115,buhler,1878,deva,हे वधु वाप्या जलमानय,XIV,3,
C0116,buhler,1878,deva,हे शिशवः पितॄन्सेवध्वं भ्रातॄणां स्निह्यत,XVI,10,
C0117,buhler,1878,deva,हे शिष्या गुरुणाहूयध्वे,X,16,
C0118,buhler,1878,deva,हे स्वसः पित्रोर्गृहे तिष्ठेः,XVI,4,XIX
C0119,buhler,1878,deva,ा पीत्वा चैते नरः सुप्ताः,XXIX,19,
C0120,knauer,1908,iast,gāraḥ çītaḥ kṛṣṇāyate karam,,17,XXXIV
C0121,knauer,1908,deva,नानुज्ञातो जगाम स्वनगरं तत्र च रेमे सह पत्न्या,,15,XXII
C0122,knauer,1908,deva,पतिं द्रक्ष्यसि कल्याणि क्षिप्रम्,,13,XVIII
C0123,knauer,1908,deva,प्रयागे गङ्गा यमुनया संगछते,,1,X
C0124,knauer,1908,deva,मस्य रथ्यासु गजा भ्राम्यन्ति,,1,X
