lesson	lemma_iast	topic	feature
3	gam	глагол движения, вин. цели (APT-5/23)
3	yā	глагол движения (APT-23)
3	i	глагол движения (APT-23)
3	car	глагол движения (APT-23)
3	vraj	глагол движения (APT-23)
3	sṛ	глагол движения (APT-23)
3	dhāv	глагол движения (APT-23)
7	ruc	«нравиться» + дательный (APT-20)
7	krudh	«гневаться», управление (APT-21)
7	druh	«вредить», управление (APT-21)
7	īrṣy	«ревновать», управление (APT-21)
7	asūy	«злобствовать», управление (APT-21)
9	kṣip	«бросать», местный цели (APT-18)
9	muc	«освобождать/бросать» (APT-18)
9	snih	«любить» + местный (APT-22)
9	abhilaṣ	«желать» (APT-22)
9	anurañj	«быть преданным» (APT-22)
10	īś	«господствовать» + род. (APT-19)
10	prabhū	«властвовать» (APT-19)
10	day	«сожалеть» (APT-19)
10	smṛ	«помнить»: род. или вин. (APT-19)
10	adhī	«изучать» (APT-19)
22	uta	частица «или», позиция (APT-12)
22	kim	вопросительная пара kim… uta (APT-12)
29–30	krīḍ	«играть»: залог почти поровну (APT-28)
29–30	ram	Ātmanepada 95 % (APT-26)
29–30	han	Parasmaipada 90 % (APT-27)
Прил.	punar	словарь частиц (APT-32..39)
Прил.	prāyas	словарь частиц (APT-32..39)
Прил.	muhur	словарь частиц (APT-32..39)
Прил.	yatas	словарь частиц (APT-32..39)
Прил.	yāvat	словарь частиц (APT-32..39)
Прил.	hā	словарь частиц (APT-32..39)
Прил.	vara	varaṃ… na «лучше X, чем Y» (APT-39)
