lesson	lemma_iast	lemma_slp1	count_all	rank_all	band
3	gam	gam	15950	25	топ-100
3	yā	yA	5103	81	топ-100
3	i	i	2133	307	топ-1000
3	car	car	3059	176	топ-1000
3	vraj	vraj	1080	642	топ-1000
3	sṛ	sf	149	3640	редкое
3	dhāv	DAv	447	1551	редкое
7	ruc	ruc	477	1463	редкое
7	krudh	kruD	1574	416	топ-1000
7	druh	druh	120	4237	редкое
7	īrṣy	Irzy	2	35949	редкое
7	asūy	asUy	37	8823	редкое
7	dat	dat	16	13704	редкое
9	kṣip	kzip	2391	264	топ-1000
9	muc	muc	3213	162	топ-1000
9	as	as	24567	17	топ-100
9	snih	snih	123	4166	редкое
9	abhilaṣ	aBilaz	113	4413	редкое
9	anurañj	anuraYj	180	3181	редкое
9	dat	dat	16	13704	редкое
9	ni	ni	642	1103	редкое
9	pra	pra	1549	423	топ-1000
10	īś	IS	248	2491	редкое
10	prabhū	praBU	299	2142	редкое
10	day	day	34	9223	редкое
10	smṛ	smf	3966	114	топ-1000
10	adhī	aDI	552	1275	редкое
10	tam	tam	46	7790	редкое
22	uta	uta	1835	363	топ-1000
22	āho	Aho	16	13704	редкое
22	āhosvit	Ahosvit	70	6041	редкое
22	kim	kim	1171	583	топ-1000
22	ca	ca	155088	1	топ-100
22	tu	tu	35004	10	топ-100
22	hi	hi	19452	21	топ-100
22	ced	ced	1608	407	топ-1000
22	iva	iva	16240	24	топ-100
22	eva	eva	45884	5	топ-100
29–30	krīḍ	krIq	437	1576	редкое
29–30	kram	kram	276	2293	редкое
29–30	tap	tap	1623	403	топ-1000
29–30	ud	ud	489	1427	редкое
29–30	ram	ram	1376	495	топ-1000
29–30	han	han	8257	55	топ-100
29–30	yāvat	yAvat	3101	172	топ-1000
29–30	yathā	yaTA	11776	35	топ-100
29–30	tathā	taTA	22741	19	топ-100
29–30	hā	hA	2938	190	топ-1000
29–30	na	na	53981	3	топ-100
