lesson	lemma_iast	band	count_all	rank_all	topic	form	example_iast	dcs_text	dcs_locus	ru	ru_source
3	gam	топ-100	15950	25	глагол движения, вин. цели (APT-5/23)	agamat	tenāsau pañcatvam agamat	Hitopadeśa	Hitop, 2, 35.3	оттого он и отошел к пяти началам [умер]	authored
3	yā	топ-100	5103	81	глагол движения (APT-23)	yāti	sa eva nidhanaṃ yāti kīlotpāṭīva vānaraḥ	Hitopadeśa	Hitop, 2, 30.5	тот и идет к гибели — как обезьяна, выдернувшая клин	authored
3	i	топ-1000	2133	307	глагол движения (APT-23)	eti	āsannataratām eti mṛtyur jantor dine dine	Hitopadeśa	Hitop, 4, 74	день за днем смерть подходит к живому все ближе	authored
3	car	топ-1000	3059	176	глагол движения (APT-23)	carati	ajā siṃhaprasādena vane carati nirbhayam	Hitopadeśa	Hitop, 3, 13.2	милостью льва коза бесстрашно бродит по лесу	authored
3	vraj	топ-1000	1080	642	глагол движения (APT-23)	vrajaty	sa vināśaṃ vrajaty āśu sūcakāśucir eva ca	Manusmṛti	ManuS, 4, 71.2	тот быстро идет к погибели, как и нечистый доносчик	authored
3	sṛ	редкое	149	3640	глагол движения (APT-23)	sasāra	tvaramāṇo janasthānaṃ sasārābhimukhas tadā	Rāmāyaṇa	Rām, Ār, 42, 21.2	тогда, спеша, он устремился прямо к Джанастхане	authored
3	dhāv	редкое	447	1551	глагол движения (APT-23)	dhāvatā	rājā stenena gantavyo muktakeśena dhāvatā	Manusmṛti	ManuS, 8, 314	вор должен бежать к царю с распущенными волосами	authored
7	ruc	редкое	477	1463	«нравиться» + дательный (APT-20)	rocate	yad eva rocate yasmai bhavet tat tasya sundaram	Hitopadeśa	Hitop, 2, 53.3	что кому нравится, то для того и прекрасно	authored
7	krudh	топ-1000	1574	416	«гневаться», управление (APT-21)	kruddhaḥ	na jāne kruddhaḥ svāmī kiṃ vidhāsyati	Hitopadeśa	Hitop, 2, 85.14	не знаю, что сделает разгневанный господин	authored
7	druh	редкое	120	4237	«вредить»: в корпусе вин., не дат. (APT-21)	druhyet	sa mātā sa pitā jñeyas taṃ na druhyet kadācana	Manusmṛti	ManuS, 2, 144.2	его следует чтить как мать и отца — ему пусть не вредит никогда	authored
7	īrṣy	редкое	2	35949	«ревновать», управление (APT-21)	īrṣyāmi	idānīm evāhaṃ janaka strīṇām īrṣyāmi no purā	Āpastambadharmasūtra	ĀpDhS, 2, 13, 6.2	лишь теперь, о Джанака, я ревную женщин — прежде нет	authored
7	asūy	редкое	37	8823	«злобствовать»: в корпусе вин. (APT-21)	asūyanti	asūyanti hi rājāno janān anṛtavādinaḥ	Mahābhārata	MBh, 4, 4, 13	ведь цари негодуют на людей лживых	authored
