lesson	lemma_iast	lemma_slp1	count_all	rank_all	band	cand_no	dcs_text	dcs_ref	dcs_sent	form	example_iast	public_glosses
3	gam	gam	15950	25	топ-100	1	Hitopadeśa	Hitop, 2	Hitop, 2, 35.3	agamat	tenāsau pañcatvam agamat	отправился | ушел | ступай
3	gam	gam	15950	25	топ-100	2	Hitopadeśa	Hitop, 3	Hitop, 3, 17.6	gamiṣyāmi	punar na tatra gamiṣyāmi	отправился | ушел | ступай
3	gam	gam	15950	25	топ-100	3	Hitopadeśa	Hitop, 3	Hitop, 3, 102.35	gamiṣyāmi	idānīm anyatra gamiṣyāmi	отправился | ушел | ступай
3	gam	gam	15950	25	топ-100	4	Hitopadeśa	Hitop, 2	Hitop, 2, 124	gacchāmi	tan mandaṃ mandaṃ gacchāmi	отправился | ушел | ступай
3	gam	gam	15950	25	топ-100	5	Hitopadeśa	Hitop, 3	Hitop, 3, 22.5	gacchāmi	tad anena saha na gacchāmi	отправился | ушел | ступай
3	gam	gam	15950	25	топ-100	6	Hitopadeśa	Hitop, 3	Hitop, 3, 142.4	gantum	adhunāhaṃ gantum asamarthaḥ	отправился | ушел | ступай
3	yā	yA	5103	81	топ-100	1	Hitopadeśa	Hitop, 3	Hitop, 3, 109	yātu	yātu prastutam anusaṃdhīyatām	идут | идет | приезжайте
3	yā	yA	5103	81	топ-100	2	Hitopadeśa	Hitop, 3	Hitop, 3, 15.4	yāmaḥ	andhā iva kiṃ kurmaḥ kva yāmaḥ	идут | идет | приезжайте
3	yā	yA	5103	81	топ-100	3	Hitopadeśa	Hitop, 1	Hitop, 1, 125.3	yāti	api nirvāṇam āyāti nānalo yāti śītatām	идут | идет | приезжайте
3	yā	yA	5103	81	топ-100	4	Hitopadeśa	Hitop, 2	Hitop, 2, 11	yānti	dānopabhogarahitā divasā yasya yānti vai	идут | идет | приезжайте
3	yā	yA	5103	81	топ-100	5	Hitopadeśa	Hitop, 2	Hitop, 2, 30.5	yāti	sa eva nidhanaṃ yāti kīlotpāṭīva vānaraḥ	идут | идет | приезжайте
3	yā	yA	5103	81	топ-100	6	Hitopadeśa	Hitop, 3	Hitop, 3, 37	yātu	sa ca dvitīyaṃ viśvāsapātraṃ gṛhītvā yātu	идут | идет | приезжайте
3	i	i	2133	307	топ-1000	1	Hitopadeśa	Hitop, 4	Hitop, 4, 74	eti	āsannataratām eti mṛtyur jantor dine dine	идет | достигает | идут
3	i	i	2133	307	топ-1000	2	Hitopadeśa	Hitop, 1	Hitop, 1, 37.4	eṣyanti	yadā tu nipatiṣyanti vaśam eṣyanti me tadā	идет | достигает | идут
3	i	i	2133	307	топ-1000	3	Hitopadeśa	Hitop, 0	Hitop, 0, 41.3	eti	samaiś ca samatām eti viśiṣṭaiś ca viśiṣṭatām	идет | достигает | идут
3	i	i	2133	307	топ-1000	4	Hitopadeśa	Hitop, 3	Hitop, 3, 2.6	itā	yadi na syān narapatiḥ samyaṅnetā tataḥ prajā	идет | достигает | идут
3	i	i	2133	307	топ-1000	5	Hitopadeśa	Hitop, 2	Hitop, 2, 93	eti	kiṃ cārthair na kulācāraiḥ sevatām eti pūruṣaḥ	идет | достигает | идут
3	i	i	2133	307	топ-1000	6	Hitopadeśa	Hitop, 4	Hitop, 4, 29	eti	satyo 'nupālayan satyaṃ saṃdhito naiti vikriyām	идет | достигает | идут
3	car	car	3059	176	топ-1000	1	Hitopadeśa	Hitop, 1	Hitop, 1, 8.9	caratu	dānadharmādikaṃ caratu bhavān iti	движется | бродит | движутся
3	car	car	3059	176	топ-1000	2	Hitopadeśa	Hitop, 3	Hitop, 3, 38	carati	gūḍhacāraś ca yo jale sthale ca carati	движется | бродит | движутся
3	car	car	3059	176	топ-1000	3	Hitopadeśa	Hitop, 1	Hitop, 1, 71.3	caritānām	udāracaritānāṃ tu vasudhaiva kuṭumbakam	движется | бродит | движутся
3	car	car	3059	176	топ-1000	4	Hitopadeśa	Hitop, 3	Hitop, 3, 13.2	carati	ajā siṃhaprasādena vane carati nirbhayam	движется | бродит | движутся
3	car	car	3059	176	топ-1000	5	Hitopadeśa	Hitop, 2	Hitop, 2, 98.2	carec	sa svāminam avajñāya carec ca niravagrahaḥ	движется | бродит | движутся
3	car	car	3059	176	топ-1000	6	Hitopadeśa	Hitop, 4	Hitop, 4, 2.9	caritam	kāryaṃ sucaritaṃ kvāpi daivayogād vinaśyati	движется | бродит | движутся
3	vraj	vraj	1080	642	топ-1000	1	Hitopadeśa	Hitop, 3	Hitop, 3, 22	vrajatu	rājāha tataḥ śuka eva vrajatu	загон | идет | Ступай
3	vraj	vraj	1080	642	топ-1000	2	Hitopadeśa	Hitop, 4	Hitop, 4, 83.2	vrajanti	vrajanti na nivartante srotāṃsi saritāṃ yathā	загон | идет | Ступай
3	vraj	vraj	1080	642	топ-1000	3	Hitopadeśa	Hitop, 2	Hitop, 2, 48	vrajaty	yāty adho 'dhaḥ vrajaty uccair naraḥ svair eva karmabhiḥ	загон | идет | Ступай
3	vraj	vraj	1080	642	топ-1000	4	Hitopadeśa	Hitop, 2	Hitop, 2, 117.3	vrajanti	vihāya śīghraṃ vanitā vrajanti narāntaraṃ śīlaguṇādihīnam	загон | идет | Ступай
3	vraj	vraj	1080	642	топ-1000	5	Manusmṛti	ManuS, 4	ManuS, 4, 71.2	vrajaty	sa vināśaṃ vrajaty āśu sūcakāśucir eva ca	загон | идет | Ступай
3	vraj	vraj	1080	642	топ-1000	6	Manusmṛti	ManuS, 6	ManuS, 6, 31	vrajed	aparājitāṃ vāsthāya vrajed diśam ajihmagaḥ	загон | идет | Ступай
3	sṛ	sf	149	3640	редкое	1	Rāmāyaṇa	Rām, Ār, 42	Rām, Ār, 42, 21.2	sasāra	tvaramāṇo janasthānaṃ sasārābhimukhas tadā	пути | текут | для бега
3	sṛ	sf	149	3640	редкое	2	Mahābhārata	MBh, 4, 5	MBh, 4, 5, 6.11	sṛtā	aṭavī ca mayā dūraṃ sṛtā mṛgavadhepsunā	пути | текут | для бега
3	sṛ	sf	149	3640	редкое	3	Mahābhārata	MBh, 1, 36	MBh, 1, 36, 11.2	sasāra	pṛṣṭhato dhanur ādāya sasāra gahane vane	пути | текут | для бега
3	sṛ	sf	149	3640	редкое	4	Mahābhārata	MBh, 15, 30	MBh, 15, 30, 14	saratsu	nadītīreṣu ramyeṣu saratsu ca viśāṃ pate	пути | текут | для бега
3	sṛ	sf	149	3640	редкое	5	Mahābhārata	MBh, 1, 6	MBh, 1, 6, 4	sasāra	sā tam ādāya suśroṇī sasāra bhṛgunandanam	пути | текут | для бега
3	sṛ	sf	149	3640	редкое	6	Mahābhārata	MBh, 1, 37	MBh, 1, 37, 5.3	sasāra	sasāra mṛgam ekākī viddhvā bāṇena patriṇā	пути | текут | для бега
3	dhāv	DAv	447	1551	редкое	1	Hitopadeśa	Hitop, 1	Hitop, 1, 137.3	dhāvatām	kutas taddhanalubdhānām itaś cetaś ca dhāvatām	бегут | мчится | мечутся
3	dhāv	DAv	447	1551	редкое	2	Hitopadeśa	Hitop, 1	Hitop, 1, 37.2	dhāvito	anantaraṃ ca vyādhaḥ sudūrāj jālāpahārakāṃs tān avalokya paścād dhāvito 'cintayat	бегут | мчится | мечутся
3	dhāv	DAv	447	1551	редкое	3	Manusmṛti	ManuS, 8	ManuS, 8, 314	dhāvatā	rājā stenena gantavyo muktakeśena dhāvatā	бегут | мчится | мечутся
3	dhāv	DAv	447	1551	редкое	4	Manusmṛti	ManuS, 2	ManuS, 2, 196.2	dhāvaṃs	pratyudgamya tv āvrajataḥ paścād dhāvaṃs tu dhāvataḥ	бегут | мчится | мечутся
3	dhāv	DAv	447	1551	редкое	5	Rāmāyaṇa	Rām, Utt, 35	Rām, Utt, 35, 45	dhāvato	tadāsya dhāvato rūpam airāvatajighṛkṣayā	бегут | мчится | мечутся
3	dhāv	DAv	447	1551	редкое	6	Rāmāyaṇa	Rām, Ay, 85	Rām, Ay, 85, 32	dhauta	upakalpitasarvānnaṃ dhautanirmalabhājanam	бегут | мчится | мечутся
7	ruc	ruc	477	1463	редкое	1	Hitopadeśa	Hitop, 2	Hitop, 2, 53.3	rocate	yad eva rocate yasmai bhavet tat tasya sundaram	нравится | сверкает | по душе
7	ruc	ruc	477	1463	редкое	2	Hitopadeśa	Hitop, 3	Hitop, 3, 1.3	rocate	viṣṇuśarmaṇoktaṃ yad evaṃ bhavadbhyo rocate tat kathayāmi	нравится | сверкает | по душе
7	ruc	ruc	477	1463	редкое	3	Manusmṛti	ManuS, 4	ManuS, 4, 20.2	rocate	tathā tathā vijānāti vijñānaṃ cāsya rocate	нравится | сверкает | по душе
7	ruc	ruc	477	1463	редкое	4	Manusmṛti	ManuS, 3	ManuS, 3, 62.2	rocate	tasyāṃ tv arocamānāyāṃ sarvam eva na rocate	нравится | сверкает | по душе
7	ruc	ruc	477	1463	редкое	5	Manusmṛti	ManuS, 3	ManuS, 3, 61	roceta	yadi hi strī na roceta pumāṃsaṃ na pramodayet	нравится | сверкает | по душе
7	ruc	ruc	477	1463	редкое	6	Manusmṛti	ManuS, 3	ManuS, 3, 254.2	rucitam	sampannam ity abhyudaye daive rucitam ity api	нравится | сверкает | по душе
7	krudh	kruD	1574	416	топ-1000	1	Hitopadeśa	Hitop, 2	Hitop, 2, 85.14	kruddhaḥ	na jāne kruddhaḥ svāmī kiṃ vidhāsyati	разгневанный | гневный | в гневе
7	krudh	kruD	1574	416	топ-1000	2	Hitopadeśa	Hitop, 2	Hitop, 2, 119.10	kruddha	ata evāyaṃ daṇḍanāyakaḥ kruddha eva gacchati	разгневанный | гневный | в гневе
7	krudh	kruD	1574	416	топ-1000	3	Hitopadeśa	Hitop, 2	Hitop, 2, 119.7	kruddhaḥ	sā brūte anyaṃ kenāpi kāryeṇa putrasyopari kruddhaḥ	разгневанный | гневный | в гневе
7	krudh	kruD	1574	416	топ-1000	4	Hitopadeśa	Hitop, 4	Hitop, 4, 62.2	kruddho	mattaḥ pramattaś conmattaḥ śrāntaḥ kruddho bubhukṣitaḥ	разгневанный | гневный | в гневе
7	krudh	kruD	1574	416	топ-1000	5	Hitopadeśa	Hitop, 4	Hitop, 4, 27.6	kruddhena	atha bhagavatā kruddhena varadānasyāvaśyakatayā vicāramūḍhayoḥ pārvatī pradattā	разгневанный | гневный | в гневе
7	krudh	kruD	1574	416	топ-1000	6	Manusmṛti	ManuS, 4	ManuS, 4, 207	kruddha	mattakruddhāturāṇāṃ ca na bhuñjīta kadācana	разгневанный | гневный | в гневе
7	druh	druh	120	4237	редкое	1	Hitopadeśa	Hitop, 2	Hitop, 2, 137.2	druhyati	mayā yad abhayavācaṃ dattvānītaḥ saṃvardhitaś ca tat kathaṃ mahyaṃ druhyati	обмана | порчи | вредителя
7	druh	druh	120	4237	редкое	2	Manusmṛti	ManuS, 5	ManuS, 5, 90.2	_	garbhabhartṛdruhāṃ caiva surāpīnāṃ ca yoṣitām	обмана | порчи | вредителя
7	druh	druh	120	4237	редкое	3	Manusmṛti	ManuS, 2	ManuS, 2, 144.2	druhyet	sa mātā sa pitā jñeyas taṃ na druhyet kadācana	обмана | порчи | вредителя
7	druh	druh	120	4237	редкое	4	Manusmṛti	ManuS, 8	ManuS, 8, 89.2	druhaḥ	mitradruhaḥ kṛtaghnasya te te syur bruvato mṛṣā	обмана | порчи | вредителя
7	druh	druh	120	4237	редкое	5	Rāmāyaṇa	Rām, Yu, 74	Rām, Yu, 74, 11.2	druhyasi	kathaṃ druhyasi putrasya pitṛvyo mama rākṣasa	обмана | порчи | вредителя
7	druh	druh	120	4237	редкое	6	Rāmāyaṇa	Rām, Ay, 22	Rām, Ay, 22, 7.2	druhyantu	mahiṣāḥ śṛṅgiṇo raudrā na te druhyantu putraka	обмана | порчи | вредителя
7	īrṣy	Irzy	2	35949	редкое	1	Baudhāyanadharmasūtra	BaudhDhS, 2, 3	BaudhDhS, 2, 3, 34	īrṣyāmi	idānīm aham īrṣyāmi strīṇāṃ janaka no purā	
7	īrṣy	Irzy	2	35949	редкое	2	Kāvyādarśa	KāvĀ, Dvitīyaḥ paricchedaḥ	KāvĀ, Dvitīyaḥ paricchedaḥ, 62.2	īrṣyati	viḍambayati saṃdhatte hasatīrṣyaty asūyati	
7	īrṣy	Irzy	2	35949	редкое	3	Āpastambadharmasūtra	ĀpDhS, 2, 13	ĀpDhS, 2, 13, 6.2	īrṣyāmi	idānīm evāhaṃ janaka strīṇām īrṣyāmi no purā	
