mw_L	root_iast	k1_slp1	classes	dcs_freq	dcs_rank	dcs_periods	oracle_dicts	oracle_sources
9	aṃś	aMS	10P,10Ā				4	mw,pw,pwg,skd
87	aṃs	aMs					3	mw,pwg,vcp
107	aṃh	aMh	1Ā,10P	0		RV|V|B|S	2	mw,pwg
114	aṃh	aMh		0		RV|V|B|S	2	mw,pwg
134	ak	ak	1P				1	skd
423	akṣ	akz	1,5	8	5127	AV|V|B	5	ap,mw,pw,pwg,vcp
762	ag	ag	1P					
1348	agh	aG	10P				2	ap,pwg
1408	aṅk	aNk	1Ā,10P				3	pwg,skd,vcp
1491	aṅkh	aNK	10P				1	mw
1492	aṅg	aNg	1P,10P	4	5210		4	mw,pw,pwg,skd
1752	aṅgh	aNG	1Ā					
1767	ac	ac	1P,1Ā	0		RV|AV|V|B|S|E	2	mw,pw
1927	aj	aj	1P	55	1741	RV|AV|V|B|S|C	7	ap,apte,krm-body,mw,pw,pwg,vcp
2250	añc	aYc	1P,1Ā,10P,10Ā				4	mw,pwg,skd,vcp
2267	añj	aYj	7P,7Ā	708	231	RV|V|B|S|E|C	4	mw,pw,pwg,skd
2337	aṭ	aw	1P,1Ā	60	1660	E|C	5	mw,pw,pwg,skd,vcp
2358	aṭṭ	aww	1Ā,10P				3	apte,pwg,vcp
2383	aṭh	aW	1P,1Ā					
2386	aḍ	aq	1P				2	mw,pwg
2388	aḍḍ	aqq	1P					
2390	aṇ	aR	1P,4Ā					
2447	aṇṭh	aRW	1Ā	0		C		
2490	at	at	1P,1Ā	8	3959	RV|V|B|C	4	ap,mw,pwg,skd
3575	ad	ad	2P	699	233	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
4782	an	an	2P	10	3646	RV|AV|V|B	5	krm-body,mw,pwg,skd,vcp
7900	ant	ant	1P				3	ap,pwg,vcp
8399	and	and	1P					
8411	andh	anD	10P				3	pwg,skd,vcp
13687	abhr	aBr	1P				2	pw,pwg
13748	am	am	0Ā	14	3186	RV|AV|V|B|E	5	mw,pw,pwg,skd,vcp
14390	amb	amb	1P,1Ā					
14564	ambh	amB						
15571	ark	ark					2	pw,pwg
15701	arc	arc	1P,1Ā	413	413	RV|AV|V|E|C	3	mw,pwg,vcp
15739	arj	arj	1P,1Ā	0			3	mw,pwg,vcp
15839	arth	arT	10Ā,1Ā				5	krm-body,mw,pw,pwg,vcp
16095	ard	ard	6P,1P,7				4	krm,mw,pw,pwg
16352	arb	arb	1P					
16408	arv	arv	1P				1	pwg
16483	arh	arh	1P,1Ā	2380	54	V|S|E|C	4	mw,pw,pwg,vcp
16510	al	al	1P				3	mw,pwg,skd
16938	av	av	1P	867	191	RV|V|B|S|C	3	mw,pw,pwg
19412	aś	aS	0Ā,0P	3896	72	RV|AV|V|B|S|E	6	krm,mw,pw,pwg,skd,vcp
19416	aś	aS		3896	72	RV|AV|V|B|S|E	6	krm,mw,pw,pwg,skd,vcp
20163	aṣ	az	1P,1Ā					
20353	as	as	2P,2Ā	71506	3	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
20354	as	as	4P,4Ā	71506	3	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
21629	ah	ah		9447	11	V	3	mw,pw,pwg
21630	ah	ah	5P	9447	11	V	3	mw,pw,pwg
24743	āp	Ap	5P,5Ā	2314	56	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
25983	ār	Ar	4P	6	4675			
27851	ās	As	2Ā	1955	70	AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
28539	i	i	2P,2Ā	7346	33	RV|AV|V|B|S|E|C	5	krm-body,mw,pw,pwg,vcp
28635	ikh	iK	1P				1	krm
28637	iṅkh	iNK	1P				1	pw
28638	iṅg	iNg	1P,1Ā	15	3111	V|S|E|C	3	mw,pw,pwg
28677	iṭ	iw	1P	0		RV		
28845	ind	ind	1P					
29258	indh	inD	7Ā				7	ap,apte,mw,pw,pwg,skd,vcp
29294	inv	inv	6P,8P,9P,9Ā				3	mw,pw,pwg
29342	ir	ir	6P				1	pwg
29396	il	il	6P,10P	0		AV|B|S	2	krm,pwg
29439	iṣ	iz	1P,1Ā,4P,4Ā	9684	23	RV|AV|V|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
29516	iṣ	iz	6P,6Ā	9684	23	RV|AV|V|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
29546	iṣūya	izUya	0P					
29695	īkṣ	Ikz	1Ā	473	360	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
29713	īkh	IK	1P					
29714	īṅkh	INK	1P	1	11044	RV|V|C	2	mw,pwg
29717	īj	Ij	1P	0			2	mw,skd
29721	īḍ	Iq	2Ā,2P	352	477	RV|AV|V|B|E	2	mw,pwg
29747	īnt	Int	1P					
29761	īr	Ir	2Ā,2P	87	1339	RV|V|B|E|C	6	krm,krm-body,mw,pw,pwg,vcp
29797	īrṣy	Irzy	1P	4	5592	AV|B|C	1	pwg
29820	īl	Il	0P					
29827	īś	IS	2Ā	425	401	RV|AV|V|B|S|C	4	mw,pw,pwg,vcp
29921	īṣ	Iz	1Ā,1P	24	2611	RV|V|B|S|C	4	mw,pw,pwg,skd
29985	īh	Ih	1Ā,1P	101	1220	AV|V|B|E|C	4	mw,pw,pwg,vcp
30001	u	u	5P,2Ā,1Ā	1	10284		2	mw,pwg
30072	ukṣ	ukz	1P,1Ā	382	796	RV|AV|V|B|S|C	5	ap,apte,mw,pwg,vcp
30098	ukh	uK	1P					
30208	uṅkh	uNK	1P					
30209	uc	uc	4P,4Ā	51	1825	RV|AV|V	4	krm,mw,pwg,vcp
30535	uch	uC	1P	0				
30536	uch	uC	1P	0				
30600	ujjh	ujJ	6P				4	krm,mw,pwg,skd
30615	uñch	uYC	1,6P	9	3900	S|C	3	mw,pw,pwg
30626	uṭh	uW	1P					
32059	ud	ud	7P,6P,6Ā	0		RV|AV|V|B|S|C	3	mw,pw,pwg
33764	udhras	uDras	9P				1	pwg
33765	udhras	uDras	10P,10Ā				1	pwg
37050	ubj	ubj	6P	15	3156	RV|AV|V|B	2	mw,pwg
37051	ubh	uB	9P,6P	4	5474	RV|AV|B|C	3	mw,pw,pwg
37438	ulaḍ	ulaq	10P					
37688	uṣ	uz	1P,9P	66	2262	RV|V|B|S|E|C	4	krm,mw,pwg,vcp
37931	uh	uh	1P				1	mw
38000	ūy	Uy	1Ā					
38037	ūrj	Urj	0P,0Ā				1	pwg
38079	ūrṇu	UrRu	2P,2Ā	0			2	mw,pwg
38104	ūrd	Urd	1Ā					
38324	ūrv	Urv	1P					
38333	ūṣ	Uz	1P				2	pwg,skd
38375	ūh	Uh	1P,1Ā	196	1236	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
38392	ūh	Uh	1P,1Ā	196	1236	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
38410	ṛ	f	1,3,5P,5Ā	0		RV|AV|V|B|S|E|C	5	krm-body,mw,pwg,skd,vcp
38696	ṛc	fc	6P	0			2	pw,pwg
38773	ṛch	fC	6P				1	mw
38776	ṛj	fj	1P,1Ā	44	1982	RV|V	1	mw
38847	ṛñj	fYj	1Ā				1	mw
38849	ṛñj	fYj	6P,6Ā,4P,4Ā,7Ā				1	mw
38854	ṛṇ	fR	8P,8Ā				1	pwg
38911	ṛt	ft	0Ā	0			1	pwg
38930	ṛdh	fD	6,2,4,5,7P	392	442	RV|AV|V|B|S	5	ap,apte,krm-body,mw,vcp
38955	ṛph	fP	6P					
39001	ṛṣ	fz	1P	147	957	RV|AV|V|B	3	mw,pwg,vcp
39039	ṛṣ	fz	6P	147	957	RV|AV|V|B	3	mw,pwg,vcp
39975	ej	ej	1P,1Ā	85	1352	RV|AV|V	2	mw,pwg
39986	eṭh	eW	1Ā					
40096	edh	eD	1Ā,1P	172	859	AV|V|B|S|E|C	3	mw,pwg,vcp
40241	eṣ	ez	1P,1Ā				4	mw,pw,pwg,vcp
40606	okh	oK	1P					
40621	oj	oj	1,10P					
40663	oṇ	oR	1P				1	pwg
40721	olaṇḍ	olaRq	1,8,10P					
41369	kaṃs	kaMs	2Ā					
41405	kak	kak	1Ā					
41598	kakh	kaK	1P					
41600	kag	kag	1P					
41602	kaṅk	kaNk	1Ā					
41710	kac	kac	1P,1Ā				5	mw,pw,pwg,skd,vcp
41817	kaj	kaj	1P					
41835	kañc	kaYc	1Ā				1	mw
41893	kaṭ	kaw	1P				3	pwg,skd,vcp
41894	kaṭ	kaw	1P				3	pwg,skd,vcp
42169	kaṭṭ	kaww	10P					
42177	kaṭh	kaW	1P				1	pwg
42258	kaḍ	kaq	1P,6P				2	pwg,skd
