mw_L	root_iast	k1_slp1	classes	dcs_freq	dcs_rank	dcs_periods	oracle_dicts	oracle_sources
42287	kaḍḍ	kaqq	1P					
42288	kaṇ	kaR	1P,10P				2	pwg,vcp
42355	kaṇṭ	kaRw	1P					
42456	kaṇṭh	kaRW	1P,1Ā,10P					
42560	kaṇḍ	kaRq	1P,1Ā,10P					
42681	katth	katT	1Ā	28	2414	E|C	3	mw,pwg,vcp
42690	katr	katr	10P					
42692	kath	kaT	10P,10Ā	57	1715	C	3	mw,pwg,skd
42779	kad	kad	1Ā	0		E	4	mw,pwg,skd,vcp
42917	kan	kan	1P,1Ā	56	1731	RV|V|B|E	3	mw,pwg,skd
43192	kand	kand	1P,1Ā					
43736	kab	kab	1Ā					
43768	kam	kam	1Ā,1P	82	1384	AV|V|B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
43913	kamp	kamp	1Ā,1P	237	661	RV|V|B|S|E|C	3	mw,pwg,vcp
43959	kamb	kamb	1P				1	skd
44777	karj	karj	1P					
44778	karṇ	karR	10P				4	mw,pw,pwg,vcp
45580	kal	kal	10P,10Ā	1	8719	B|S|E|C	5	krm-body,mw,pwg,skd,vcp
45581	kal	kal	0P,0Ā	1	8719	B|S|E|C	5	krm-body,mw,pwg,skd,vcp
46728	kaṣ	kaz	1P,1Ā	10	3664	AV|B|S|E|C	4	mw,pw,pwg,vcp
46861	kas	kas	1P	0		AV|V|B|S|E|C	4	mw,pw,pwg,vcp
47271	kāṅkṣ	kANkz	1P,1Ā	202	757	B|E|C	3	mw,pwg,vcp
49812	kāś	kAS	1Ā,4P,4Ā	45	1943	AV|V|B|E|C	5	mw,pw,pwg,skd,vcp
50091	kās	kAs	1Ā,1P	10	3666	AV|C	2	mw,pwg
50788	kīrt	kIrt	10P,10Ā				1	mw
51417	kuc	kuc	1P,6P	0		E|C	5	krm-body,mw,pw,pwg,vcp
51450	kuñc	kuYc	1P				3	mw,pwg,vcp
51471	kuñj	kuYj	1P	0				
51515	kuṭ	kuw	6P,4P,10Ā				5	mw,pw,pwg,skd,vcp
51676	kuṭṭ	kuww	10	4	5240	E|C	2	pwg,skd
52017	kuts	kuts	10P,10Ā,1P,4P				4	mw,pwg,skd,vcp
52041	kuth	kuT	4P	0		B|C	3	pwg,skd,vcp
52181	kup	kup	4P,4Ā	521	321	RV|AV|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
53477	kuṣ	kuz	9P,6	5	4811	S|C	4	mw,pw,pwg,skd
53796	kūj	kUj	1P	101	1214	AV|E	4	mw,pw,pwg,skd
53917	kūḍ	kUq	10P	0		S|C	1	mw
53919	kūṇ	kUR	1P,1Ā	0			2	mw,pwg
54039	kūrd	kUrd	1P,1Ā	4	5242	S|E|C	2	mw,pwg
54148	kṛ	kf	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	122397	1	RV|AV|V|B|S|E|C	7	ap,apte,krm-body,mw,pwg,skd,vcp
54683	kṛ	kf	3P,3Ā	122397	1	RV|AV|V|B|S|E|C	7	ap,apte,krm-body,mw,pwg,skd,vcp
54777	kṛt	kft	6P,6Ā,1P	440	711	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
54810	kṛt	kft	7P	440	711	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
54858	kṛp	kfp	6Ā,10P	14	3212	RV|AV|V|E	3	mw,skd,vcp
55010	kṛś	kfS	4P	8	3989	V|C	4	mw,pwg,skd,vcp
55083	kṛṣ	kfz	1P,1Ā,6P,6Ā	360	467	RV|AV|V|B|S|E|C	4	apte,mw,skd,vcp
55567	kṝ	kF	6P,6Ā				7	ap,apte,krm,krm-body,mw,skd,vcp
57713	krath	kraT	1P	0		E|C	1	pwg
57730	krand	krand	1P,1Ā	183	824	RV|AV|V|B|E|C	4	ap,mw,pwg,vcp
57749	kram	kram	1P,1Ā,4P,4Ā	414	412	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
58088	krī	krI	9P,9Ā	439	388	AV|V|B|S|E	7	ap,apte,krm-body,mw,pwg,skd,vcp
58135	krīḍ	krIq	1P,1Ā	494	340	RV|V|B|S|E|C	5	apte,mw,pwg,skd,vcp
58231	krudh	kruD	4P,4Ā	1659	83	RV|AV|V|B|E|C	5	krm,mw,pwg,skd,vcp
58298	kruś	kruS	1P,1Ā	238	657	RV|V|B|S|E|C	5	krm,mw,pwg,skd,vcp
58538	klath	klaT	1P	0				
58542	kland	kland	1P,1Ā	0				
58545	klam	klam	1,4	90	1303	E|C	3	mw,pwg,vcp
58564	klid	klid	4Ā,4P	125	1069	AV|S|E|C	5	mw,pw,pwg,skd,vcp
58692	kvaṇ	kvaR	1P	28	2415	C	4	mw,pwg,skd,vcp
58702	kvath	kvaT	1Ā	91	1293	B|S|E|C	4	mw,pwg,skd,vcp
58898	kṣad	kzad	1Ā	7	4208	RV|V	1	pwg
58968	kṣap	kzap	1P,1Ā	16	3044	V|E	4	krm-body,mw,pwg,vcp
59030	kṣam	kzam	1Ā,1P,2P,4P,4Ā	439	389	RV|AV|V|B|E|C	5	apte,mw,pwg,skd,vcp
59141	kṣar	kzar	1P,1Ā,2P	220	712	V|B|C	7	apte,krm-body,mw,pw,pwg,skd,vcp
59234	kṣal	kzal	10P	0		B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
59266	kṣi	kzi	1P	2362	131	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
59272	kṣi	kzi	2,6P	2362	131	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
59376	kṣi	kzi	1P,5P,9P,9Ā	2362	131	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
59502	kṣip	kzip	6P,6Ā,4P,4Ā	2461	51	RV|V|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
59841	kṣu	kzu	2P	20	2779	AV|B|E|C	4	krm-body,pwg,skd,vcp
59877	kṣud	kzud	1P,1Ā,7P,7Ā	60	1663	RV|V|B|E	4	mw,pw,pwg,skd
60072	kṣudh	kzuD	4P	98	1233	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
60118	kṣup	kzup	6P	0		RV|E	1	pwg
60128	kṣubh	kzuB	1Ā,4P,4Ā,5P,9P,9Ā	236	662	RV|AV|V|B|E|C	4	mw,pwg,skd,vcp
60470	kṣai	kzE	1P				6	ap,apte,krm,mw,skd,vcp
60596	kṣṇu	kzRu	2P	9	3814	RV|B|S	4	krm-body,mw,pwg,skd
60659	kṣvel	kzvel	1P	0		E|C	1	pwg
60863	khac	Kac	1P,9P,10P	18	2905	E	1	mw
60884	khañj	KaYj	1P	5	4809	C	1	pwg
61072	khaṇḍ	KaRq	1Ā,10P				1	mw
61265	khan	Kan	1P,1Ā	352	476	AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
61509	kharj	Karj	1P	1	8746	V|B	2	pw,pwg
61663	khall	Kall	1Ā	0		C		
61789	khād	KAd	1P,1Ā	369	459	RV|V|B|S|E|C	4	mw,pwg,skd,vcp
61905	khid	Kid	6,7Ā,4Ā,4P	141	988	RV|V|B|S|E|C	5	krm,mw,pw,pwg,vcp
61977	khud	Kud	6P	1	8752	AV|S	1	mw
62077	khai	KE	1P				2	krm,mw
62523	gaṇ	gaR	10P,10Ā				6	apte,mw,pw,pwg,skd,vcp
62868	gad	gad	1P,10P	466	366	AV|V|B|S|E|C	3	mw,pw,pwg
63409	gam	gam	1P,2P,3P,1Ā	18341	5	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
63862	garj	garj	1P	179	837	E|C	6	apte,krm-body,mw,pw,pwg,vcp
63914	gard	gard	1P,10	1	8645			
64179	garh	garh	1,10P,10Ā	185	816	RV|S|E	2	mw,pwg
64198	gal	gal	1P,1Ā	212	732	E|C	6	ap,apte,mw,pwg,skd,vcp
64493	gā	gA	3P,3Ā,2P,2Ā	3822	74	RV|AV|V|B|S|E|C	3	mw,pwg,vcp
65024	gāh	gAh	1Ā,1P	69	1541	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
65341	gu	gu	1Ā,1P	0		RV|V	3	mw,pwg,vcp
65392	guñj	guYj	1P	13	3300	C	3	mw,pwg,skd
65883	gudh	guD	4P,9P,1Ā				1	krm
65966	gumph	gumP	6P				1	pwg
66258	guh	guh	1P,1Ā	468	364	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
66407	gūrdh	gUrD	10P	0				
66434	gṛdh	gfD	4P,4Ā	61	1646	RV|AV|V|B|E|C	1	mw
66808	gṝ	gF	9P,9Ā				6	ap,apte,krm-body,mw,skd,vcp
66809	gṝ	gF	6P,6Ā				6	ap,apte,krm-body,mw,skd,vcp
66852	gai	gE	1P,1Ā,2,3P	0			6	ap,apte,krm-body,mw,skd,vcp
68437	grath	graT	9P,1P,1Ā	0		RV|V|B|S|E|C	2	mw,pwg
68546	gras	gras	1P,1Ā	519	323	RV|V|B|S|E|C	4	apte,mw,pwg,skd
68591	grah	grah	9P,9Ā				8	ap,apte,krm,krm-body,mw,pwg,skd,vcp
69145	glah	glah	1Ā,1P	9	3807	AV	1	pwg
69170	glai	glE	1P,1Ā,2P,2Ā				6	ap,apte,krm,mw,skd,vcp
69219	ghaṭ	Gaw	1Ā,1P	119	1101	RV|AV|E|C	3	mw,pwg,vcp
69346	ghaṭṭ	Gaww	1Ā,10P	2	6751	E|C	4	mw,pw,pwg,vcp
69692	ghas	Gas	1	73	1485	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
69841	ghuṣ	Guz	1P,1Ā	30	2339	RV|AV|V|B|E|C	5	apte,mw,pwg,skd,vcp
69925	ghūrṇ	GUrR	1P,1Ā	53	1778	S|E|C	4	mw,pwg,skd,vcp
69935	ghṛ	Gf	3P,1,10P	25	2547	RV|AV|V|B|S	6	ap,apte,krm-body,mw,pwg,vcp
70114	ghṛṣ	Gfz	1P,1Ā	156	910	RV|S|E|C	3	mw,skd,vcp
70246	ghrā	GrA	1,3P,3Ā,2P	130	1040	AV|V|B|S|E|C	8	ap,apte,krm,krm-body,mw,pwg,skd,vcp
70764	cañc	caYc	1P	23	2620	C	1	pwg
70830	caṭ	caw	1P	2	6701	E|C	2	mw,pwg
71515	can	can		2	6696	RV|V|B	1	pwg
72173	car	car	1Ā,1P	4027	30	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
72401	carc	carc	1,10Ā	0		S|E|C	4	ap,apte,pwg,vcp
72562	carv	carv	10,1	151	931	S|C	4	ap,apte,pwg,vcp
72587	cal	cal	1Ā	491	341	RV|AV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
73297	ci	ci	5Ā,5P	1526	221	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
73362	ci	ci	3Ā,5Ā	1526	221	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
73474	cit	cit	1,2Ā,3Ā,3P	266	608	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
74627	cumb	cumb	1Ā	71	1510	E|C	3	ap,mw,pwg
74801	cūrṇ	cUrR	10				4	mw,pwg,skd,vcp
74874	cūṣ	cUz	1	22	2670	E|C	4	mw,pwg,skd,vcp
75390	chad	Cad	1,10Ā	270	599	V|B|S|E|C	4	mw,pwg,skd,vcp
75556	chad	Cad	10,1Ā	270	599	V|B|S|E|C	4	mw,pwg,skd,vcp
75712	chal	Cal	10P				2	mw,pwg
75907	chid	Cid	7,9Ā	2139	64	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
76102	chṛd	Cfd	7P,7Ā,1Ā	15	3109	B|S|C	1	mw
76187	jakṣ	jakz	2Ā	228	1138	RV|AV|V|B|C	3	pw,pwg,skd
76735	jan	jan	1,10Ā,10P,3Ā,10,4,2Ā,1Ā	9247	13	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
77153	jap	jap	1Ā	1702	81	B|S|E|C	5	ap,apte,mw,pwg,vcp
78427	jāgṛ	jAgf	2,1Ā				6	ap,apte,krm-body,mw,skd,vcp
79180	ji	ji	1Ā,9Ā	8164	29	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
79399	jinv	jinv	1P,1Ā				2	mw,pwg
79622	jīv	jIv	1Ā	2222	61	AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
80005	jur	jur	4,6P,6Ā	0			2	mw,pwg
80017	juṣ	juz	6Ā,6P,3P,1P,1Ā	1226	123	RV|AV|V|B|S|E|C	5	krm-body,mw,pw,pwg,vcp
80120	jṛ	jf	1Ā	2828	107	RV|AV|V|B|S|C	2	mw,vcp
80153	jṝ	jF	1P,4P,4Ā,1Ā,9,10Ā				6	ap,apte,krm-body,mw,skd,vcp
80318	jñā	jYA	9P,9Ā,3Ā,3P	5041	22	RV|AV|V|B|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
80523	jyā	jyA	9P,4Ā	93	1273	RV|AV|V|B|S|E	2	krm-body,pwg
80857	jvar	jvar	1	8	3987	RV|AV|C	7	ap,apte,mw,pw,pwg,skd,vcp
80890	jval	jval	1P,1Ā	827	200	B|S|E|C	3	mw,pwg,vcp
81442	ḍī	qI	1,4Ā	0		E|C	4	mw,pwg,skd,vcp
81523	ḍhauk	QOk	1Ā	10	3763	E|C	3	mw,pwg,vcp
81602	takṣ	takz	1P,1Ā,2,5Ā	161	897	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
81685	taḍ	taq	10	1	10259	AV|V|E|C	6	ap,apte,mw,pwg,skd,vcp
82220	tan	tan	4	1432	229	RV|AV|V|B|S|E|C	7	ap,apte,krm-body,mw,pw,pwg,vcp
82226	tan	tan	8P,8Ā	1432	229	RV|AV|V|B|S|E|C	7	ap,apte,krm-body,mw,pw,pwg,vcp
82608	tap	tap	1Ā,4,4Ā,4P	2065	66	RV|AV|V|B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
82867	tam	tam	4Ā	99	1230	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
83341	tark	tark	10	0		B|S|E|C	7	ap,apte,krm-body,mw,pwg,skd,vcp
83427	tarj	tarj	1Ā	9	3885	E|C	6	ap,apte,mw,pw,pwg,vcp
84753	tij	tij	1P	6	4622	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
85813	tuj	tuj	6Ā,6P,1	35	2203	RV|V|E|C	1	pwg
85879	tud	tud	6P	99	1231	RV|AV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
86105	tul	tul	10Ā	0		B|S|E|C	5	mw,pw,pwg,skd,vcp
86265	tuṣ	tuz	4	840	196	V|S|E|C	6	ap,apte,mw,pwg,skd,vcp
86723	tṛp	tfp	4,5,6Ā,6P,1Ā	696	235	RV|AV|V|B|S|E|C	3	mw,skd,vcp
86774	tṛṣ	tfz	4Ā	55	1752	RV|AV|V|B|E|C	5	apte,mw,pwg,skd,vcp
86817	tṝ	tF	1P,1Ā,5,3,6P,6Ā				6	ap,apte,krm-body,mw,skd,vcp
87337	tyaj	tyaj	1P,1Ā	2417	52	RV|V|B|S|E|C	4	mw,pwg,skd,vcp
87510	tras	tras	1,4Ā	267	606	AV|V|B|S|E|C	5	ap,apte,mw,pwg,vcp
89316	dakṣ	dakz	1P,1Ā	8	3977	RV|V|B	4	ap,apte,pwg,vcp
90246	dam	dam	4P,9Ā	342	491	RV|V|B|S|E	6	ap,apte,mw,pwg,skd,vcp
90700	dal	dal	1	27	2451	B|E|C	6	apte,mw,pw,pwg,skd,vcp
91164	dah	dah	1P,1Ā	2275	58	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
91212	dā	dA	3Ā,1Ā	48032	7	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
91425	dā	dA	4P	48032	7	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
91851	dāś	dAS	1P,1Ā,2,5P	290	565	RV|AV|V|B	3	mw,pw,pwg
92229	div	div	4	110	1152	RV|V	6	krm-body,mw,pw,pwg,skd,vcp
92472	diś	diS	3P,6	186	810	RV|AV|V|B|S|E|C	9	ap,apte,krm,krm-body,mw,pw,pwg,skd,vcp
92642	dih	dih	2P,2Ā	185	815	RV|AV|V|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
92769	dīp	dIp	4Ā	1162	137	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
94747	duṣ	duz	4P	829	199	AV|V|B|S|E|C	4	mw,pw,pwg,skd
94848	duh	duh	2P,2Ā,6P,6Ā,4Ā	806	203	RV|AV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
95068	dṛṃh	dfMh	1P,1Ā,4P,4Ā				1	mw
95246	dṛp	dfp	4P	106	1177	RV|V|E|C	6	ap,apte,krm,mw,skd,vcp
95263	dṛś	dfS	0P,0Ā	14866	6	RV|AV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
95496	dṝ	dF	9P,2P,2Ā				5	krm,krm-body,mw,skd,vcp
97391	dyut	dyut	1Ā,1P	75	1455	RV|AV|V|B|E|C	6	ap,apte,mw,pwg,skd,vcp
97755	drā	drA	2P,2Ā	42	2729	AV|V|B|E|C	5	krm-body,mw,pwg,skd,vcp
97846	dru	dru	1P,1Ā	1073	156	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
97951	druh	druh	4P,4Ā	70	1522	RV|AV|V|B|E|C	3	mw,pwg,vcp
98962	dviṣ	dviz	2P,2Ā	1343	112	RV|AV|V|B|S|E|C	5	krm,mw,pwg,skd,vcp
99257	dhan	Dan	3P	2	6714	RV	2	mw,pwg
99639	dhanv	Danv	1P,1Ā	47	1897	RV|V|B	2	mw,pwg
99700	dham	Dam	1P,1Ā	1162	136	RV|AV|V|B|E|C	3	mw,pwg,skd
100554	dhav	Dav	1Ā	3	5803	RV	1	pwg
100607	dhā	DA	3P,3Ā,1P,1Ā,2P,4Ā,4P	9388	26	RV|AV|V|B|S|E|C	6	ap,krm-body,mw,pw,pwg,vcp
101159	dhāv	DAv	1P,1Ā	1164	275	RV|V|B|E|C	5	apte,mw,pwg,skd,vcp
101170	dhāv	DAv	1P,1Ā	1164	275	RV|V|B|E|C	5	apte,mw,pwg,skd,vcp
101184	dhi	Di	6P	31	2304	B	5	krm-body,mw,pwg,skd,vcp
101212	dhiṣ	Diz	3P					
101254	dhī	DI	3Ā	52	1796	RV|V|B	2	mw,pwg
101481	dhū	DU	5P,5Ā,6P,9P,9Ā,1P,2Ā	245	639	RV|AV|V|B|S|E|C	5	krm-body,mw,pw,pwg,vcp
101815	dhṛ	Df	1P,1Ā	1229	122	RV|AV|V|B|S|E|C	3	mw,skd,vcp
