ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
364,nddhy,ndDy,1,0.001,bhinddhyenam,
365,tst,tst,1,0.001,savidyutstanayitnumān,
366,mv,mv,1,0.001,daśarathasutarākṣasendracamvor,
367,ghv,Gv,1,0.001,laghvastro,
368,ṅghy,NGy,1,0.001,laṅghyatāṃ,
369,skr,skr,1,0.001,prākārāstiraskriyāḥ,
370,cchl,cCl,1,0.001,tacchlāghyam,
371,rddh,rdD,1,0.001,vārddhakaṃ,
372,rṣv,rzv,1,0.001,caturṣvapi,
373,jjy,jjy,1,0.001,bhavajjyeṣṭho,
374,kc,kc,1,0.001,asṛkcandanadigdhāṅgaṃ,
375,ñjy,Yjy,1,0.001,brahmañjyeṣṭho,
376,hly,hly,1,0.001,bāhlyāṃ,
