позиция,длина,кластер_iast,кластер_slp1,заголовков
any,2,pr,pr,21304
any,2,kṣ,kz,12250
any,2,tr,tr,10865
any,2,nt,nt,9760
any,2,ṇḍ,Rq,6111
any,2,vy,vy,5947
any,2,ṅg,Ng,5943
any,2,ṣṭ,zw,5661
any,2,tt,tt,5422
any,2,nd,nd,5109
any,2,st,st,4996
any,2,rv,rv,4906
any,2,rṇ,rR,4611
any,2,ty,ty,4585
any,2,ddh,dD,4565
any,2,śr,Sr,4512
any,2,kr,kr,4448
any,2,dr,dr,4383
any,2,sv,sv,4290
any,2,gr,gr,4173
any,2,kt,kt,4166
any,2,śv,Sv,4105
any,2,rm,rm,4094
any,2,ry,ry,4058
any,2,tv,tv,4022
any,2,ndh,nD,3578
any,2,sth,sT,3436
any,2,dv,dv,3404
any,2,ny,ny,3002
any,2,rt,rt,2916
any,2,jñ,jY,2865
any,2,rth,rT,2769
any,2,dy,dy,2753
any,2,ñc,Yc,2722
any,2,ṣṭh,zW,2686
any,2,mb,mb,2664
any,2,cch,cC,2659
any,2,pt,pt,2485
any,2,ñj,Yj,2287
any,2,rṣ,rz,2268
any,2,mbh,mB,2232
any,2,dhy,Dy,2163
any,2,ṅk,Nk,2118
any,2,ll,ll,2077
any,2,nn,nn,1970
any,2,ts,ts,1802
any,2,hm,hm,1764
any,2,sy,sy,1694
any,2,rg,rg,1691
any,2,vr,vr,1684
any,2,ṣp,zp,1670
any,2,ṣṇ,zR,1662
any,2,sr,sr,1639
any,2,br,br,1564
any,2,khy,Ky,1448
any,2,tn,tn,1435
any,2,rdh,rD,1434
any,2,lp,lp,1428
any,2,ṇy,Ry,1397
any,2,gn,gn,1311
any,2,sk,sk,1305
any,2,jy,jy,1302
any,2,ṣy,zy,1277
any,2,tm,tm,1273
any,2,ṭṭ,ww,1254
any,2,ly,ly,1231
any,2,rbh,rB,1230
any,2,bhr,Br,1226
any,2,rd,rd,1222
any,2,rś,rS,1198
any,2,tk,tk,1164
any,2,rj,rj,1161
any,2,dhv,Dv,1150
any,2,sm,sm,1135
any,2,rp,rp,1120
any,2,bhy,By,1092
any,2,rk,rk,1082
any,2,mp,mp,1076
any,2,ṣk,zk,1057
any,2,tp,tp,1029
any,2,śy,Sy,1021
any,2,nm,nm,1010
any,2,sp,sp,1007
any,2,śc,Sc,920
any,2,nv,nv,914
any,2,hv,hv,829
any,2,rh,rh,815
any,2,ky,ky,814
any,2,nth,nT,769
any,2,my,my,741
any,2,sn,sn,706
any,2,sph,sP,695
any,2,ṇṭ,Rw,689
any,2,śm,Sm,685
any,2,hy,hy,674
any,2,dm,dm,662
any,2,ṇṭh,RW,659
any,2,kk,kk,657
any,2,rc,rc,653
any,2,rgh,rG,647
any,2,bd,bd,643
any,2,dg,dg,634
any,2,mr,mr,623
any,2,jj,jj,621
any,2,dbh,dB,620
any,2,py,py,599
any,2,cc,cc,591
any,2,ghn,Gn,574
any,2,kl,kl,558
any,2,śl,Sl,544
any,2,ṣm,zm,530
any,2,gdh,gD,524
any,2,tth,tT,507
any,2,jr,jr,501
any,2,pl,pl,499
any,2,cy,cy,491
any,2,ml,ml,480
any,2,hn,hn,469
any,2,bdh,bD,456
any,2,dhr,Dr,433
any,2,dd,dd,419
any,2,ṅkh,NK,415
any,2,jv,jv,414
any,2,thy,Ty,406
any,2,hr,hr,388
any,2,rb,rb,380
any,2,gy,gy,373
any,2,mm,mm,362
any,2,lk,lk,346
any,2,yy,yy,335
any,2,śn,Sn,330
any,2,ghr,Gr,317
any,2,lv,lv,314
any,2,ṅgh,NG,304
any,2,lm,lm,298
any,2,ps,ps,293
any,2,kv,kv,290
any,2,mn,mn,272
any,2,gv,gv,242
any,2,ṣv,zv,242
any,2,pp,pp,190
any,2,hl,hl,189
any,2,kth,kT,178
any,2,lg,lg,174
any,2,bj,bj,171
any,2,ṭy,wy,169
any,2,gm,gm,168
any,2,pn,pn,165
any,2,rn,rn,164
any,2,dhm,Dm,162
any,2,ḍg,qg,161
any,2,rl,rl,152
any,2,ḍḍ,qq,138
any,2,ñch,YC,137
any,2,kp,kp,133
any,2,dgh,dG,129
any,2,ṭk,wk,128
any,2,ṇṇ,RR,124
any,2,db,db,123
any,2,ṇv,Rv,121
any,2,ḍhy,Qy,120
any,2,gl,gl,119
any,2,ṅm,Nm,114
any,2,km,km,109
any,2,gd,gd,109
any,2,gg,gg,105
any,2,dhn,Dn,103
any,2,ks,ks,102
any,2,lh,lh,99
any,2,ḍy,qy,97
any,2,ḍv,qv,94
any,2,gbh,gB,93
any,2,lb,lb,92
any,2,jjh,jJ,83
any,2,ṭv,wv,80
any,2,hṇ,hR,78
any,2,rch,rC,75
any,2,skh,sK,70
any,2,mv,mv,68
any,2,ṭp,wp,66
any,2,mph,mP,61
any,2,tph,tP,61
any,2,kn,kn,55
any,2,ṇm,Rm,55
any,2,jm,jm,54
any,2,thv,Tv,53
any,2,ṇḍh,RQ,52
any,2,tkh,tK,52
any,2,gj,gj,49
any,2,lbh,lB,45
