mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
148908	bharts	Barts	genuineroot	1	10Ā,10P,1	6	4467	2	Barts,109	1
148914	bharb	Barb	root	0	1P	0		0		1
148918	bharv	Barv	root	0	1P	3	5786	1	Barv,109	1
148923	bhal	Bal	root	0	1Ā,10Ā	0		3	Bal,109	1
148933	bhall	Ball	root	0	1Ā	0		2		1
149277	bhaṣ	Baz	genuineroot	1	1P,1Ā	11	3522	2	Baz,109	1
149289	bhas	Bas	genuineroot	1	3P	25	2545	3	Bas,109	1
149418	bhā	BA	genuineroot	1	2P	741	227	9	BA,110	1
149869	bhām	BAm	root	0	1Ā,10P	0		2	BAm,110	1
150479	bhāṣ	BAz	genuineroot	1	1Ā,1P	1532	96	6	BAz,110	1
150552	bhās	BAs	genuineroot	1	1Ā,1P	112	1146	7	BAs,110	1
150663	bhikṣ	Bikz	genuineroot	1	1Ā,1P	103	1194	1	Bikz,111	1
150727	bhid	Bid	genuineroot	1	7P,7Ā,1P	2047	68	5	Bid,111	1
150903	bhind	Bind	root	0		0		0		
150910	bhil	Bil	root	0	0	0		0		
150928	bhiṣaj	Bizaj	root	0	0	5	4788	2	Bizaj,111	
150969	bhī	BI	genuineroot	1	3P,3Ā,1Ā,10P,10Ā	1384	110	5	BI,111	1
151217	bhuj	Buj	genuineroot	1	6P	2725	46	5	Buj1,112	1
151348	bhuj	Buj	genuineroot	1	7P,7Ā,6P,6Ā	2725	46	5	Buj2,112	1
151408	bhuñjāpaya	BuYjApaya	root	0	0	0		0		
151430	bhuṇḍ	BuRq	root	0	1Ā	0		0		1
151434	bhur	Bur	genuineroot	1	0P,0Ā	3	5788	2	Bur,113	
151447	bhuraj	Buraj	root	0	0Ā	1	8534	0	Buraj,113	
151456	bhū	BU	genuineroot	1	1P,1Ā	40393	2	9	BU,113	1
152466	bhūṣ	BUz	genuineroot	1	1P,1Ā	48	1875	6	BUz,113	1
152494	bhṛ	Bf	genuineroot	1	1P,1Ā,3P,3Ā,2P,2Ā	1822	77	3	Bf,114	1
152547	bhṛṃś	BfMS	root	0	1,10P	0		0		1
152549	bhṛkṣ	Bfkz	root	0	1P,1Ā	0		0		1
152710	bhṛj	Bfj	root	0	1Ā	0		0		1
152719	bhṛḍ	Bfq	root	0	6P	0		0		1
152731	bhṛś	BfS	root	0	4P,6P	0		2		1
152764	bhṝ	BF	root	0	9P	0		1		1
152928	bheṣ	Bez	root	0	1P,1Ā	0		0		1
153446	bhyas	Byas	root	0	1Ā	1	8535	1	Byas,115	1
153448	bhraṃś	BraMS	genuineroot	1	1Ā,1P,4P,4Ā	340	493	6	BraMS,115	1
153483	bhraṃs	BraMs	root	0	0	0		0		
153485	bhrakṣ	Brakz	root	0	0	0		0		
153489	bhrajj	Brajj	genuineroot	1	6P,6Ā	0		2	Bfjj,114	1
153522	bhraṇ	BraR	root	0	1P	0		1		1
153524	bhram	Bram	genuineroot	1	1P,4P	592	271	5	Bram,115	1
153673	bhraś	BraS	root	0	0	0		0		
153678	bhrāj	BrAj	genuineroot	1	1Ā,1P	219	715	2	BrAj,115	1
153761	bhrāś	BrAS	root	0	1,4Ā	0		0		1
153766	bhrī	BrI	genuineroot	1	9P	1	8533	1	BrI,116	1
153768	bhruḍ	Bruq	root	0	6P	0		0		1
153837	bhrūṇ	BrUR	root	0	10Ā	0		0		1
153855	bhrej	Brej	root	0	1Ā	0		0		1
153856	bhreṣ	Brez	genuineroot	1	1P,1Ā	4	5214	1	Brez,116	1
153862	bhlakṣ	Blakz	root	0	1P,1Ā	0		0		1
153863	bhlāś	BlAS	root	0	1,4Ā	0		0		1
153864	bhlās	BlAs	root	0		0		0		1
153865	bhleṣ	Blez	root	0	0	0		0		1
153892	maṃh	maMh	genuineroot	1	1Ā,10	0		2	maMh,116	1
153911	makamakāya	makamakAya	genuineroot	1	0Ā	0		0		
154009	makk	makk	root	0	1Ā	0		0		1
154014	makṣ	makz	root	0	1P	0		1		1
154031	makh	maK	root	0	1P	0		1		1
154117	maṅk	maNk	root	0	1Ā	0		1		1
154130	maṅkh	maNK	root	0	1P	0		0		1
154139	maṅg	maNg	root	0	1Ā	0		3		1
154336	maṅgh	maNG	root	0	1P,1Ā	0		0		1
154337	mac	mac	root	0	1Ā	0		1		1
154344	maj	maj	root	0	0	0		0		
154347	majj	majj	genuineroot	1	6P	343	488	3	majj,116	1
154395	mañc	maYc	root	0	1Ā	0		1	maYc,117	1
154426	mañj	maYj	root	0	10P	0		0		
154549	maṭamaṭāya	mawamawAya	root	0		0		0		
154558	maṭh	maW	root	0	1P	0		2		1
154588	maṇ	maR	root	0	1P	0		1	maR,117	1
154846	maṇṭ	maRw	root	0	10P	2	6804	0	maRw,117	
154850	maṇṭh	maRW	root	0	1Ā	0		0		1
154854	maṇḍ	maRq	genuineroot	1	1P,1Ā	0		2	maRq,117	1
155187	math	maT	genuineroot	1	1,9P,9Ā	475	357	6	maT,117	1
155288	mad	mad	genuineroot	1	4P,1P,1Ā,3P,3Ā	1085	155	8	mad,118	1
156342	madhvasya	maDvasya	root	0	0P	0		0		
156626	man	man	genuineroot	1	8,4Ā	4697	25	8	man,118	1
157539	mantr	mantr	root	0	10Ā,10P	0		4		1
157544	manth	manT	root	0	0	0		7		
157643	mand	mand	genuineroot	1	1Ā,1P	0		2	mad,118	1
