текст,dcs_textName,V_гласные,C_согласные,консонантный_коэффициент,слов,слогов_на_слово
Атхарваведа,Atharvaveda (Śaunaka),159779,212812,1.33,66337,2.67
Мегхадута,Meghadūta,8296,11510,1.39,2227,3.99
Рамаяна,Rāmāyaṇa,620385,853340,1.38,204959,3.24
Махабхарата,Mahābhārata,2689255,3711486,1.38,892667,3.22
ИТОГО (4 текста),,3477715,4789148,1.38,1166190,3.19
