ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
1,sy,sy,4573,5.829,yajñasya,ṛtasya
2,nt,nt,4237,5.401,bharantaḥ,rājantam
3,pr,pr,4144,5.283,prapṛñcatī,prapṛñcatī
4,tr,tr,3051,3.889,citraśravastamaḥ,mitram
5,ndr,ndr,2910,3.710,indra,indraḥ
6,śv,Sv,2835,3.614,viśvatas,aśvinā
7,tv,tv,2614,3.332,ṛtvijam,tvam
8,kṣ,kz,2605,3.321,vakṣati,makṣū
9,sv,sv,2188,2.789,sve,sacasvā
10,gn,gn,1910,2.435,agnim,agniḥ
11,st,st,1829,2.332,citraśravastamaḥ,doṣāvastar
12,ry,ry,1535,1.957,vāryāṇām,maryāḥ
13,sm,sm,1445,1.842,dasma,tasmā
14,vy,vy,1438,1.833,navyam,samudravyacasaṃ
15,dy,dy,1350,1.721,dyavi,dyavi
16,ty,ty,1335,1.702,satyaḥ,satyam
17,ṣṭ,zw,1257,1.602,vaṣṭu,kṛṣṭayaḥ
18,rv,rv,1211,1.544,pūrvebhiḥ,girvaṇaḥ
19,kr,kr,1107,1.411,kratuḥ,kratum
20,dr,dr,1083,1.381,bhadram,dravat
21,ny,ny,1058,1.349,anyataś,ny
22,śr,Sr,976,1.244,citraśravastamaḥ,śrudhi
23,bhy,By,956,1.219,sakhibhya,abibhyuṣā
24,ṣṭh,zW,862,1.099,varṣiṣṭham,upātiṣṭhanta
25,nv,nv,861,1.098,sunvataḥ,sunvataḥ
26,cch,cC,765,0.975,gacchati,acchā
27,sr,sr,746,0.951,dasrā,usrā
28,jñ,jY,744,0.948,yajñasya,yajñam
29,nd,nd,741,0.945,indavaḥ,mandayatsakham
30,dhv,Dv,702,0.895,adhvaram,adhvarāṇām
31,nn,nn,667,0.850,parijmann,asminn
32,rt,rt,633,0.807,rudravartanī,martā
33,rm,rm,591,0.753,śarmaṇi,karmaṇo
34,ndh,nD,584,0.744,vindhe,andhaso
35,dv,dv,552,0.704,vidadvasum,dvāro
36,sth,sT,551,0.702,saṃsthe,tasthuṣaḥ
37,br,br,539,0.687,brahmāṇi,brahmāṇi
38,tt,tt,525,0.669,vīravattamam,uttare
39,kt,kt,522,0.665,vṛktabarhiṣaḥ,vṛktabarhiṣe
40,jy,jy,519,0.662,jyaiṣṭhyāya,irajyati
41,rṣ,rz,490,0.625,carṣaṇīdhṛto,carṣaṇīnāṃ
42,gr,gr,476,0.607,vigram,ugra
43,ṣv,zv,464,0.591,dadhiṣva,savaneṣv
44,ṣṇ,zR,462,0.589,dhṛṣṇū,vṛṣṇir
45,sp,sp,452,0.576,spṛśā,spṛdhaḥ
46,ts,ts,451,0.575,mandayatsakham,samatsu
47,ṇy,Ry,443,0.565,hiraṇyayaḥ,vareṇyam
48,dhy,Dy,428,0.546,dadhyāśiraḥ,idhyate
49,rdh,rD,409,0.521,vardhamānam,vardhantu
50,hm,hm,401,0.511,brahmāṇi,brahmāṇi
51,vr,vr,396,0.505,vrajaṃ,vrata
52,ddh,dD,392,0.500,vṛddho,iddharyoḥ
53,ṣy,zy,386,0.492,kariṣyasi,iṣyata
54,rṇ,rR,383,0.488,tūrṇayaḥ,arṇaḥ
55,jr,jr,380,0.484,vajrī,vajriṇam
56,ṇv,Rv,358,0.456,aṇvībhis,vṛṇvate
57,hy,hy,349,0.445,sāsahyāma,hy
