ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
58,rh,rh,333,0.424,vṛktabarhiṣaḥ,vṛktabarhiṣe
59,tn,tn,321,0.409,ratna,surūpakṛtnum
60,ṣm,zm,319,0.407,ṣma,haviṣmā
61,śy,Sy,315,0.402,apaśyaṃ,paśyata
62,hv,hv,310,0.395,juhvāsyaḥ,hvaye
63,bhr,Br,294,0.375,bhriyanta,śubhrā
64,pt,pt,285,0.363,apturaḥ,sāptāni
65,cy,cy,284,0.362,apacyavam,upacyavaṃ
66,ṅg,Ng,277,0.353,aṅga,aṅgiraḥ
67,rty,rty,273,0.348,iyarty,martyasya
68,rbh,rB,261,0.333,garbhatvam,arbhe
69,mn,mn,259,0.330,tuvidyumna,dyumnaṃ
70,ñc,Yc,258,0.329,prapṛñcatī,prapṛñcatī
71,khy,Ky,237,0.302,khya,sakhyeṣu
72,rc,rc,226,0.288,samānavarcasā,arcati
73,śc,Sc,225,0.287,vipaścitam,asaścataḥ
74,my,my,209,0.266,kāmyā,kāmyaiḥ
75,dhr,Dr,208,0.265,dhruve,ādhrasya
76,nty,nty,203,0.259,yuñjanty,rcanty
77,dbh,dB,202,0.257,uṣadbhiḥ,adbhutam
78,ñj,Yj,201,0.256,yuñjanti,yuñjanty
79,nm,nm,198,0.252,janmane,manmabhiḥ
80,rj,rj,196,0.250,ūrjām,āvarjate
81,ps,ps,182,0.232,drapsā,apsu
82,mbh,mB,175,0.223,śumbhatā,śumbhati
83,kth,kT,172,0.219,ukthebhiḥ,ukthā
84,gm,gm,171,0.218,saṃjagmāno,ṛgmiyam
85,śm,Sm,163,0.208,raśmibhis,uśmasi
86,rth,rT,162,0.207,pārthivād,arthaṃ
87,hn,hn,157,0.200,vahnayaḥ,vahnibhiḥ
88,ṣk,zk,147,0.187,niṣkṛtam,apratiṣkutaḥ
89,rk,rk,142,0.181,arkebhir,arkiṇaḥ
90,śn,Sn,136,0.173,aśnavat,aśnotu
91,tm,tm,129,0.164,divitmatā,tmanāpta
92,kv,kv,126,0.161,pakvā,kva
93,thy,Ty,124,0.158,rathyā,rathyam
94,rvy,rvy,116,0.148,pūrvya,pūrvyāso
95,py,py,109,0.139,āpyam,pyāyasva
96,dm,dm,108,0.138,vidmā,sadmamakhasam
97,rd,rd,106,0.135,sabardughām,gardabham
98,nth,nT,105,0.134,panthām,manthāṃ
99,ghn,Gn,105,0.134,saghnor,jaghnuṣaḥ
100,rś,rS,101,0.129,darśata,darśaṃ
101,jm,jm,96,0.122,parijmann,parijmānam
102,tth,tT,92,0.117,itthā,itthā
103,bhv,Bv,86,0.110,abhvam,abhva
104,sty,sty,85,0.108,pastyāsv,pastyābhir
105,rg,rg,82,0.105,durgā,durgṛbhiśvano
106,rdhv,rDv,81,0.103,vanasyordhvaṃ,ūrdhvaḥ
107,yy,yy,77,0.098,śravāyyaḥ,śravāyyaḥ
108,rp,rp,76,0.097,tarpayethām,ghoravarpasaḥ
109,mr,mr,75,0.096,samrājor,sāmrājyāya
110,dbhy,dBy,73,0.093,mahadbhyo,adbhyaḥ
111,sk,sk,70,0.089,haskārād,vayaskṛt
112,rgh,rG,66,0.084,dīrghāya,dīrgham
113,ntv,ntv,64,0.082,viśantv,sīdantv
114,hr,hr,61,0.078,hrādunim,ahrutapsavaḥ
115,mṇ,mR,58,0.074,mitrasyāryamṇaḥ,nṛmṇam
116,sn,sn,57,0.073,ghṛtasnuvaḥ,snīhitīṣu
117,kthy,kTy,57,0.073,ukthyaḥ,ukthyam
118,tp,tp,56,0.071,dravatpāṇī,satpatim
119,dhn,Dn,56,0.071,bradhnam,ṛdhnoti
120,ṣp,zp,56,0.071,haviṣpatir,catuṣpad
121,bdh,bD,55,0.070,adabdhāni,adabdho
122,gv,gv,53,0.068,navagvāḥ,tithigvāya
123,km,km,52,0.066,sakman,rukmā
124,try,try,52,0.066,maghavañchvitryaṃ,pitryāṇi
125,śvy,Svy,51,0.065,aśvyaḥ,svaśvyaṃ
126,ṣṇy,zRy,48,0.061,dhiṣṇyā,vṛṣṇyā
127,kṣy,kzy,47,0.060,kakṣyaprā,sisakṣy
128,mb,mb,44,0.056,ambayo,śambaram
129,ṣṭr,zwr,42,0.054,neṣṭrāt,ayodaṃṣṭrān
130,gdh,gD,42,0.054,mumugdhi,śagdhi
131,śl,Sl,41,0.052,sammiśla,ślokam
132,śp,Sp,41,0.052,viśpatim,viśpatir
133,str,str,41,0.052,vastrāṇy,trayastriṃśatam
134,ñch,YC,41,0.052,akrañchatrūyatām,svadhāvāñchukro
135,tsv,tsv,40,0.051,matsvā,pṛtsv
136,ḍy,qy,39,0.050,īḍyaḥ,īḍyaḥ
137,ntr,ntr,38,0.048,mantrāḥ,mantram
138,cc,cc,38,0.048,uccā,yacciddhi
139,kṣv,kzv,34,0.043,yukṣvā,yukṣvā
140,ṅk,Nk,33,0.042,araṅkṛtaḥ,vaṅkū
141,pn,pn,33,0.042,apnasvatīm,apnaḥ
142,rmy,rmy,31,0.040,iyarmy,harmyasyoru
143,dhm,Dm,30,0.038,sidhmo,dadhmasi
144,stv,stv,30,0.038,navavāstvam,nāgāstvam
145,tk,tk,29,0.037,āśrutkarṇa,śrutkarṇa
146,jv,jv,28,0.036,yajvarīr,yajvano
147,gy,gy,28,0.036,jigyuṣas,jigye
148,kṣm,kzm,28,0.036,kṣmayā,kṣmo
149,mp,mp,27,0.034,tṛmpatu,kṣumpam
150,bhṇ,BR,27,0.034,gṛbhṇāti,gṛbhṇanty
151,ky,ky,26,0.033,okye,vṛkye
152,ṇḍ,Rq,25,0.032,kuṇḍṛṇācyā,āṇḍā
153,ṣṭy,zwy,24,0.031,āviṣṭyo,pṛṣṭyāmayī
154,vṇ,vR,23,0.029,arāvṇaḥ,arāvṇas
155,dhry,Dry,23,0.029,sadhryagghitā,sadhryaṅ
156,rb,rb,22,0.028,uṣarbudhaḥ,uṣarbudhaḥ
157,psv,psv,22,0.028,apsv,apsv
158,lp,lp,22,0.028,akalpa,kalpasva
159,vn,vn,21,0.027,sutapāvne,vājadāvnām
160,ghny,Gny,21,0.027,aghnyasya,aghnyaṃ
161,tvy,tvy,21,0.027,kṛtvye,kṛtvyā
162,ndhy,nDy,20,0.025,purandhyām,śundhyuvaḥ
163,pś,pS,20,0.025,virapśī,virapśinaḥ
164,ṅkt,Nkt,20,0.025,paṅktirādhasaṃ,yuṅkte
165,bhn,Bn,20,0.025,dabhnuvanti,ubhnāḥ
166,ṭv,wv,20,0.025,ṭvā,ṭvad
167,sph,sP,20,0.025,sphurat,gayasphāno
168,ṣṭhy,zWy,19,0.024,jyaiṣṭhyāya,yaviṣṭhya
169,mv,mv,19,0.024,camvor,camvor
170,dd,dd,19,0.024,śraddadhati,śraddadhāna
171,rtv,rtv,18,0.023,kartvam,kartvaṃ
172,ḍhv,Qv,18,0.023,mīḍhvā,mīḍhvaḥ
173,kṇ,kR,17,0.022,rekṇaḥ,vivṛkṇā
174,gry,gry,17,0.022,tugryāsu,taugryo
175,ly,ly,16,0.020,kalyāṇa,saṃmīlya
176,ndy,ndy,16,0.020,vandya,nāndyaṃ
177,dg,dg,15,0.019,marudgaṇā,sumadgaṇaḥ
178,pty,pty,15,0.019,naptyaḥ,vedāptyaḥ
179,dhny,Dny,15,0.019,budhnyaḥ,ahirbudhnyaḥ
180,ṅkh,NK,14,0.018,īṅkhayanti,preṅkhaṃ
181,jj,jj,14,0.018,ujjighnanta,yātayajjano
182,bd,bd,14,0.018,upabdir,upabdiḥ
183,rḍ,rq,14,0.018,mārḍīkaṃ,marḍitendra
184,ṅgh,NG,14,0.018,jaṅghananta,jaṅghām
185,dry,dry,14,0.018,madryagghuvānaḥ,asmadryak
186,ṣṣ,zz,13,0.017,puruniṣṣidhe,niṣṣapī
187,cchr,cCr,13,0.017,bṛhacchravā,yacchravayanta
188,thv,Tv,13,0.017,pṛthvī,pṛthvī
189,ṭṭ,ww,13,0.017,īṭṭe,īṭṭe
190,ṅṅ,NN,13,0.017,sadṛṅṅ,pratyaṅṅ
191,mm,mm,12,0.015,sammiśla,sammiślāsas
192,bj,bj,12,0.015,ubjatam,ubjann
193,kmy,kmy,12,0.015,paritakmye,paritakmyāyām
194,rṣṇ,rzR,12,0.015,śīrṣṇā,śīrṣṇā
195,rṣm,rzm,12,0.015,kārṣmevātiṣṭhad,varṣman
196,ḍḍh,qQ,11,0.014,viviḍḍhi,aviḍḍhīndra
197,db,db,11,0.014,badbadhānasya,badbadhe
198,cchy,cCy,11,0.014,hotāpṛcchyo,āpṛcchyaṃ
199,ḍhy,Qy,11,0.014,dūḍhyaḥ,dūḍhyo
200,dn,dn,11,0.014,kṣodasodnaḥ,udneva
201,ktv,ktv,11,0.014,yuktvā,yuktvā
202,gbh,gB,11,0.014,uśigbhir,ṛgbhiḥ
203,lg,lg,10,0.013,jalgulaḥ,jalgulaḥ
204,rṣy,rzy,10,0.013,harṣyāhan,varṣyā
205,kṣṇ,kzR,10,0.013,akṣṇayā,kṣṇotreṇeva
206,lb,lb,10,0.013,kilbiṣād,gātuvittarānulbaṇena
207,tsy,tsy,9,0.011,matsy,matsy
208,ss,ss,9,0.011,śāssi,vakṣassu
209,ṣṇv,zRv,9,0.011,patayiṣṇv,dhṛṣṇv
210,ddhy,dDy,9,0.011,apupoddhy,cikiddhy
211,ṭk,wk,8,0.010,vaṣaṭkṛti,vaṣaṭkṛtim
212,kn,kn,8,0.010,śaknavāma,paliknīr
213,gdhv,gDv,8,0.010,ayugdhvam,ayugdhvam
214,hny,hny,8,0.010,tiroahnyam,tiroahnyam
215,ṣṭv,zwv,8,0.010,viṣṭvī,juṣṭvī
216,pv,pv,8,0.010,viṣṇāpvaṃ,suṣupvāṃsam
217,ḍv,qv,8,0.010,vīḍvaṅgam,vīḍv
218,pl,pl,8,0.010,plavam,pluṣī
219,ḍbh,qB,8,0.010,ṣaḍbhir,paḍbhiḥ
220,ṣṣv,zzv,8,0.010,duṣṣvapnyaṃ,duṣṣvapnyaṃ
221,pny,pny,8,0.010,duṣṣvapnyaṃ,duṣṣvapnyaṃ
222,chr,Cr,7,0.009,chrayasva,chrayasva
223,cchv,cCv,6,0.008,ucchvaitreyo,ucchvāse
224,gmy,gmy,6,0.008,sugmyam,sugmyo
225,pṇ,pR,6,0.008,tṛpṇuta,tṛpṇuhi
226,ghr,Gr,6,0.008,ghraṃsam,jaghriḥ
227,rṇy,rRy,6,0.008,tūrṇyartho,tūrṇyarthā
228,gdhy,gDy,5,0.006,mumugdhy,śuśugdhy
229,tny,tny,5,0.006,patnyāmadaḥ,śvitnyebhiḥ
230,thn,Tn,5,0.006,jabhārāmathnād,mathnanto
231,ñjy,Yjy,5,0.006,sūryasyāñjy,añjy
232,rṣṭ,rzw,5,0.006,asvārṣṭām,ārṣṭiṣeṇo
233,rsr,rsr,5,0.006,prasarsre,sarsrāte
234,ptr,ptr,5,0.006,naptre,naptre
235,rṣv,rzv,5,0.006,dhūrṣv,gīrṣv
236,rśy,rSy,5,0.006,darśy,darśyā
237,lk,lk,5,0.006,ulkāḥ,śulkāya
238,ṣmy,zmy,5,0.006,śuṣmy,śuṣmy
239,rjy,rjy,5,0.006,marjyam,marjyo
240,rph,rP,5,0.006,turpharītū,turpharī
241,mny,mny,4,0.005,dyumny,dyumny
242,ghv,Gv,4,0.005,raghvīr,raghvīr
243,rṇv,rRv,4,0.005,vyūrṇvatī,gṛṇānābhyūrṇvānā
244,rdhy,rDy,4,0.005,śardhyam,ardhya
245,rn,rn,4,0.005,durniyantavaḥ,durniyantavaḥ
246,pp,pp,4,0.005,pippalaṃ,pippalaṃ
247,psny,psny,4,0.005,viśvapsnyāya,viśvapsnyasya
248,ṅdh,ND,4,0.005,pṛṅdhi,vṛṅdhi
249,lm,lm,4,0.005,kalmalīkinam,bilmair
250,lś,lS,4,0.005,śatavalśo,sahasravalśā
251,ṅgdhv,NgDv,4,0.005,yuṅgdhvaṃ,yuṅgdhvaṃ
252,tnv,tnv,4,0.005,dravitnvā,dravitnvaḥ
253,ñchy,YCy,3,0.004,janāñchyāvāḥ,sīdañchyeno
254,ggh,gG,3,0.004,sadhryagghitā,madryagghuvānaḥ
255,rtr,rtr,3,0.004,nubhartrī,vārtrahatyāya
256,rdr,rdr,3,0.004,ārdrasya,ārdrād
257,nts,nts,3,0.004,cchantsad,chantsat
258,vl,vl,3,0.004,abhivlagya,abhivlagyā
259,bhm,Bm,3,0.004,jagṛbhmā,rarabhma
260,gṇ,gR,3,0.004,anavapṛgṇā,rugṇam
261,ḍb,qb,3,0.004,paḍbīśam,paḍbīśam
262,tty,tty,3,0.004,atty,vibhinatty
263,skr,skr,3,0.004,āskrā,āskre
264,śny,Sny,3,0.004,pṛśnyāḥ,pṛśnyāḥ
265,ñchr,YCr,3,0.004,yajīyāñchruṣṭī,mūrdhañchrīṇanty
266,ml,ml,3,0.004,abhimlāta,mlātāni
267,ktr,ktr,3,0.004,yoktrāṇi,yoktram
268,kny,kny,3,0.004,asiknyāṃ,asiknyāṃ
269,lv,lv,3,0.004,tilvile,tilvilāyadhvam
270,rtn,rtn,3,0.004,dartnum,ārtnī
271,ttv,ttv,3,0.004,maghavattvasya,bhittvā
272,nddh,ndD,3,0.004,bhinddhi,bhinddhi
273,rkṣ,rkz,3,0.004,ārkṣe,ārkṣo
274,ścy,Scy,3,0.004,tiraścyā,duścyavanena
275,ṇvy,Rvy,3,0.004,aṇvyā,aṇvyā
276,kry,kry,2,0.003,cakryoḥ,cakryoḥ
277,chv,Cv,2,0.003,chvetaḥ,chvaghnī
278,rkṣy,rkzy,2,0.003,tārkṣyo,tārkṣyam
279,ddv,ddv,2,0.003,yāvayaddveṣā,yāvayaddveṣasaṃ
280,tkṣ,tkz,2,0.003,dhārayatkṣitiṃ,dhārayatkṣitī
281,rṣṇy,rzRy,2,0.003,pārṣṇyā,ruruśīrṣṇy
282,ṅkr,Nkr,2,0.003,vaṅkrīr,caṅkramata
283,thr,Tr,2,0.003,mathrā,mathrā
284,rkt,rkt,2,0.003,varktam,varktam
285,ṅgy,Ngy,2,0.003,aṅgyāḥ,gāṅgyaḥ
286,tsn,tsn,2,0.003,utsnāya,niṣatsnum
287,jñv,jYv,2,0.003,abhijñv,abhijñv
288,ṣph,zP,2,0.003,ṣphura,viṣphurantī
289,lgv,lgv,2,0.003,phalgvena,valgv
290,tsm,tsm,2,0.003,abhutsmahi,abhutsmahi
291,hṇ,hR,2,0.003,gṛhṇātu,pūrvāhṇe
292,ndhv,nDv,2,0.003,bandhveṣe,indhvam
293,rdhn,rDn,2,0.003,mūrdhno,mūrdhno
294,kty,kty,2,0.003,siṣakty,takty
295,ṇm,Rm,2,0.003,kṛṇmahe,kṛṇmahe
296,drv,drv,2,0.003,sudrvam,drvam
297,ghm,Gm,2,0.003,daghma,drāghmā
298,jry,jry,2,0.003,vajry,ajryā
299,smy,smy,2,0.003,dasmyaṃ,asmy
300,pry,pry,2,0.003,śipry,śipry
301,gny,gny,2,0.003,indrāgnyor,indrāgnyor
302,ssv,ssv,2,0.003,rajassv,rajassv
303,rdy,rdy,2,0.003,hārdy,hārdy
304,hvy,hvy,2,0.003,dīrghajihvyam,yahvyo
305,hl,hl,2,0.003,hlādike,hlādikāvati
306,cr,cr,2,0.003,riricre,mumucre
307,ñchv,YCv,1,0.001,maghavañchvitryaṃ,
308,ñchn,YCn,1,0.001,vajriñchnathihy,
309,ṣr,zr,1,0.001,ajuṣran,
310,rtm,rtm,1,0.001,vartmāny,
311,tst,tst,1,0.001,marutstotrasya,
312,ḍḍhy,qQy,1,0.001,aviḍḍhy,
313,ḍbhy,qBy,1,0.001,saraḍbhyas,
314,rpy,rpy,1,0.001,prārpyā,
315,ghy,Gy,1,0.001,daghyā,
316,ntsy,ntsy,1,0.001,chantsy,
317,gl,gl,1,0.001,glāpayanti,
318,rtt,rtt,1,0.001,vartta,
319,kk,kk,1,0.001,vṛkka,
320,dmy,dmy,1,0.001,bhinadmy,
321,gbhy,gBy,1,0.001,uśigbhyaḥ,
322,cchm,cCm,1,0.001,pradodhuvacchmaśruṣu,
323,khv,Kv,1,0.001,cakhvāṃsaṃ,
324,rs,rs,1,0.001,sarsṛte,
325,rjm,rjm,1,0.001,mārjmi,
326,pśy,pSy,1,0.001,virapśy,
327,rśv,rSv,1,0.001,pārśvān,
328,ṣpr,zpr,1,0.001,duṣprāvyo,
329,trv,trv,1,0.001,śatrv,
330,jjh,jJ,1,0.001,jajjhatīr,
331,rbhy,rBy,1,0.001,dārbhyāya,
332,ṇḍy,Rqy,1,0.001,rāṇḍyā,
333,ddhv,dDv,1,0.001,yaddhvayāmasi,
334,kl,kl,1,0.001,klośam,
335,rñj,rYj,1,0.001,sārñjayo,
336,lph,lP,1,0.001,kulphau,
337,khkh,KK,1,0.001,akhkhalīkṛtya,
338,ld,ld,1,0.001,galdayā,
339,ndhr,nDr,1,0.001,randhram,
340,mby,mby,1,0.001,ambyam,
341,ṅgdh,NgD,1,0.001,aṅgdhi,
342,cm,cm,1,0.001,mumucmahe,
343,ñjm,Yjm,1,0.001,añjmo,
344,ṅghn,NGn,1,0.001,jaṅghnato,
345,ñchl,YCl,1,0.001,samasvarañchlokayantrāso,
346,sny,sny,1,0.001,vasnyasya,
347,ḍg,qg,1,0.001,paḍgṛbhim,
348,ñcy,Ycy,1,0.001,vanvañcyavānaḥ,
349,mpr,mpr,1,0.001,sampraśnam,
350,lpy,lpy,1,0.001,jalpyā,
351,śrv,Srv,1,0.001,śvaśrvām,
352,ktvy,ktvy,1,0.001,vṛktvy,
353,ṅdhy,NDy,1,0.001,bhaṅdhy,
354,rthy,rTy,1,0.001,pārthyaḥ,
355,yv,yv,1,0.001,jarāyv,
356,dhvy,Dvy,1,0.001,ayudhvy,
357,ṭtr,wtr,1,0.001,ṣaṭtriṃśāṃś,
358,rks,rks,1,0.001,manīṣarksāmābhyām,
359,ṣṭry,zwry,1,0.001,āṣṭryām,
360,svy,svy,1,0.001,vasvyā,
