L_id	k1	hom	k2
211	akzarajIvin		akzarajIvin

212	akzaratUlikA		akzaratUlikA

213	akzaranyAsa		akzaranyAsa

214	akzarapaNkti	1	akza/rapaNkti
215	akzarapaNkti	2	akzarapaNkti
216	akzaraBAj		akzaraBAj

217	akzaramuKa		akzaramuKa

218	akzaravinyAsa		akzaravinyAsa

219	akzaraSas		akzaraSas

220	akzarasaMsTAna		akzarasaMsTAna

221	akzarANga		akzarANga

222	akzarAja		akzarAja/

223	akzarya		akzarya^

224	akzavant		akzavant

225	akzavAwa		akzavAwa

226	akzavftta		akza/vftta

227	akzaSORqa		akza/SORqa

228	akzasUkta		akzasUkta

229	akzasUtra		akzasUtra

230	akzAgrakIla		akzAgrakIla

231	akzAgrakIlaka		akzAgrakIlaka

232	akzAnah		akzAna/h

233	akzAnti		akzAnti

234	akzAralavaRa		akzAralavaRa

235	akzArAlavaRASin		akzArAlavaRASin

236	akzAvapana		akzAva/pana

237	akzAvApa		akzAvApa/

238	akzi		a/kzi

239	akzika		akzika

240	akzikUwa		akzikUwa

241	akzikUwaka		akzikUwaka

242	akzigata		akzigata

243	akzijAha		akzijAha

244	akzita		a/kzita

245	akzitAvasu		a/kzitAvasu

246	akziti		a/kziti

247	akzitoti		a/kzitoti

248	akzipat		akzipa/t

249	akziBU		akziBU/

250	akziBezaja		akziBezaja

251	akziBruva		akziBruva

252	akziyant		a/kziyant

253	akziloman		akziloman

254	akziva		akziva

255	akzivikURita		akzivikURita

256	akzIka		akzIka

257	akzIyamARa		a/kzIyamARa

258	akzIva		akzIva

259	akzu		a/kzu

260	akzudra		akzudra

261	akzuD		a/kzuD

262	akzuDya		akzuDya/

263	akzetra	1	akzetra
264	akzetra	2	a/kzetra
265	akzetrajYa		akzetrajYa

266	akzetravid		a/kzetravid

267	akzetrin		akzetrin

268	akzEtrajYya		akzEtrajYya

269	akzowa		akzowa

270	akzoqa		akzoqa

271	akzoqaka		akzoqaka

272	akzoBa		akzoBa

273	akzoBya		akzoBya

274	akzoByarAja		akzoByarAja

275	akzOhiRI		akzOhiRI

276	akzRa	1	akzRa
277	akzRa	2	akzRa
