lesson	lemma_iast	lemma_slp1	count_all	rank_all	band	cand_no	dcs_text	dcs_ref	dcs_sent	form	example_iast	public_glosses
XII	nadī	nadI	1448	467	топ-1000	1	Hitopadeśa	Hitop, 3	Hitop, 3, 51.2	nadī	samunmūlayituṃ vṛkṣāṃs tṛṇānīva nadīrayaḥ	реки | река | реку
XII	nadī	nadI	1448	467	топ-1000	2	Hitopadeśa	Hitop, 1	Hitop, 1, 111.3	nadī	ṛṇadātā ca vaidyaś ca śrotriyaḥ sajalā nadī	реки | река | реку
XII	nadī	nadI	1448	467	топ-1000	3	Hitopadeśa	Hitop, 3	Hitop, 3, 71.2	nadī	nadyadrivanadurgeṣu yatra yatra bhayaṃ nṛpa	реки | река | реку
XII	nadī	nadI	1448	467	топ-1000	4	Hitopadeśa	Hitop, 3	Hitop, 3, 110.3	nadī	dīrghavartmapariśrāntaṃ nadyadrivanasaṅkulam	реки | река | реку
XII	nadī	nadI	1448	467	топ-1000	5	Hitopadeśa	Hitop, 1	Hitop, 1, 19.4	nadīnāṃ	nadīnāṃ śastrapāṇīnāṃ nakhināṃ śṛṅgiṇāṃ tathā	реки | река | реку
XII	nadī	nadI	1448	467	топ-1000	6	Hitopadeśa	Hitop, 4	Hitop, 4, 66.15	nadī	kṣālayanty api vṛkṣāṅghriṃ nadīvelā nikṛntati	реки | река | реку
XII	vadhū	vaDU	421	1636	редкое	1	Hitopadeśa	Hitop, 3	Hitop, 3, 102.40	vadhūḥ	tato vīravareṇa svagṛhaṃ gatvā nidrāyamāṇā svavadhūḥ prabodhitā putraś ca	невестка | невеста | невесту
XII	vadhū	vaDU	421	1636	редкое	2	Hitopadeśa	Hitop, 2	Hitop, 2, 115.2	vadhūr	damanakaḥ kathayati asti dvāravatyāṃ puryāṃ kasyacid gopasya vadhūr bandhakī	невестка | невеста | невесту
XII	vadhū	vaDU	421	1636	редкое	3	Hitopadeśa	Hitop, 2	Hitop, 2, 112.12	vadhūḥ	tataḥ prātar evānena nāpitena svavadhūḥ kṣurabhāṇḍaṃ yācitā satī kṣuram ekaṃ prādāt	невестка | невеста | невесту
XII	vadhū	vaDU	421	1636	редкое	4	Rāmāyaṇa	Rām, Bā, 70	Rām, Bā, 70, 19.2	vadhvau	dadāmi paramaprīto vadhvau te munipuṃgava	невестка | невеста | невесту
XII	vadhū	vaDU	421	1636	редкое	5	Rāmāyaṇa	Rām, Bā, 1	Rām, Bā, 1, 24	vadhūḥ	sarvalakṣaṇasampannā nārīṇām uttamā vadhūḥ	невестка | невеста | невесту
XII	vadhū	vaDU	421	1636	редкое	6	Rāmāyaṇa	Rām, Bā, 70	Rām, Bā, 70, 21.2	vadhvau	dadāmi paramaprīto vadhvau te raghunandana	невестка | невеста | невесту
XII	senānī	senAnI	26	10649	редкое	1	Mahābhārata	MBh, 8, 6	MBh, 8, 6, 28.2	senānye	abhiṣecaya senānye svayam ātmānam ātmanā	полководцев | полководец | военачальников
XII	senānī	senAnI	26	10649	редкое	2	Mahābhārata	MBh, 14, 8	MBh, 14, 8, 19.2	senānye	vṛṣāya mātṛbhaktāya senānye madhyamāya ca	полководцев | полководец | военачальников
XII	senānī	senAnI	26	10649	редкое	3	Mahābhārata	MBh, 8, 6	MBh, 8, 6, 29	senānīḥ	devatānāṃ yathā skandaḥ senānīḥ prabhur avyayaḥ	полководцев | полководец | военачальников
XII	senānī	senAnI	26	10649	редкое	4	Kathāsaritsāgara	KSS, 3, 6	KSS, 3, 6, 99	senānīḥ	tato jaghāna na cirāt senānīstārakāsuram	полководцев | полководец | военачальников
XII	senānī	senAnI	26	10649	редкое	5	Kathāsaritsāgara	KSS, 3, 6	KSS, 3, 6, 98.2	senānye	abhiṣekotsavaṃ samyak senānye niravartayat	полководцев | полководец | военачальников
XII	senānī	senAnI	26	10649	редкое	6	Maitrāyaṇīsaṃhitā	MS, 2, 9, 3	MS, 2, 9, 3, 1	senānye	namo hiraṇyabāhave senānye	полководцев | полководец | военачальников
XVI	jñā	jYA	4568	90	топ-100	1	Hitopadeśa	Hitop, 2	Hitop, 2, 83.2	jñātaṃ	jñātaṃ mayā bhayakāraṇam	зная | познав | знает
XVI	jñā	jYA	4568	90	топ-100	2	Hitopadeśa	Hitop, 3	Hitop, 3, 69.2	jñāyatām	tadaiteṣām upayogo jñāyatām	зная | познав | знает
XVI	jñā	jYA	4568	90	топ-100	3	Hitopadeśa	Hitop, 4	Hitop, 4, 6.9	jñāyatāṃ	haṃsāv āhatuḥ jñāyatāṃ tāvat	зная | познав | знает
