headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast	dcs_status	dcs_compound_raw	dcs_prefix_hits	dcs_split	dcs_arity	dcs_freq_sum	seam_no_sandhi	key_form
ABaradvasu	ābharadvasu	8851	2	ABarant + vasu	ābharant + vasu	unattested		0					folded-miss
ABerI	ābherī	8890	2	A + BerI	ā + bherī	unattested		0					folded-miss
ABogaya	ābhogaya	8892	2	A + Boga	ā + bhoga	unattested		0					folded-miss
ADArarUpA	ādhārarūpā	66436	2	ADAra + rUpa	ādhāra + rūpa	unattested		0					folded-miss
ADIkaraRa	ādhīkaraṇa	66445	2	ADi + kar	ādhi + kar	unattested		0					folded-miss
ADijYa	ādhijña	8513	2	ADi + jYa	ādhi + jña	unattested		0					folded-miss
AGUrRa	āghūrṇa	66180	2	A + GUrRa	ā + ghūrṇa	unattested		0					folded-miss
AKarezWa	ākhareṣṭha	7903	2	AKare + sTa	ākhare + stha	unattested		0					folded-miss
AKuga	ākhuga	7910	2	AKu + ga	ākhu + ga	unattested		0					folded-miss
AKukarRI	ākhukarṇī	7909	2	AKu + karRa	ākhu + karṇa	prefix-evidence		1					folded-miss
AKuparRikA	ākhuparṇikā	7911	2	AKu + parRa	ākhu + parṇa	unattested		0					folded-miss
AMkfti	āṃkṛti	8023	2	Am + kfti	ām + kṛti	unattested		0					folded-miss
ASIrdA	āśīrdā	9591	2	ASis + dA	āśis + dā	unattested		0					folded-miss
ASIrgeya	āśīrgeya	9589	2	ASis + geya	āśis + geya	unattested		0					folded-miss
ASIrvAda	āśīrvāda	9593	2	ASis + vAda	āśis + vāda	unattested		0					folded-miss
ASarIram	āśarīram	66978	2	A + SarIra	ā + śarīra	unattested		0					folded-miss
ASirvAda	āśirvāda	9582	2	ASis + vAda	āśis + vāda	prefix-evidence		1					folded-miss
ASitaMBava	āśitaṃbhava	9574	2	ASita + Bava	āśita + bhava	unattested		0					folded-miss
ASitaMgavIna	āśitaṃgavīna	9573	2	ASita + go	āśita + go	unattested		0					folded-miss
ASrayASa	āśrayāśa	9654	2	ASraya + ASa	āśraya + āśa	unattested		0					folded-miss
ASutoza	āśutoṣa	66999	2	ASu + toza	āśu + toṣa	unattested		0					folded-miss
ASuzeRa	āśuṣeṇa	9612	2	ASu + senA	āśu + senā	unattested		0					folded-miss
ASvaSva	āśvaśva	9690	2	ASu + aSva	āśu + aśva	unattested		0					folded-miss
ASvapas	āśvapas	9678	2	ASu + apas	āśu + apas	unattested		0					folded-miss
AbAlam	ābālam	66611	2	A + bAla	ā + bāla	unattested		0					folded-miss
AbAlyam	ābālyam	66612	2	A + bAlya	ā + bālya	unattested		0					folded-miss
Abdam	ābdam	66614	2	A + abda	ā + abda	unattested		0					folded-miss
Abilam	ābilam	8843	2	A + bila	ā + bila	unattested		0					folded-miss
Abrahma	ābrahma	66615	2	A + brahman	ā + brahman	unattested		0					folded-miss
AcAracakrin	ācāracakrin	66201	2	AcAra + cakra	ācāra + cakra	unattested		0					folded-miss
AcArollAsa	ācārollāsa	8069	2	A + ullAsa	ā + ullāsa	unattested		0					folded-miss
Acaturam	ācaturam	8041	2	A + catvar	ā + catvar	unattested		0					folded-miss
AceSvara	āceśvara	8083	2	Aca + ISvara	āca + īśvara	unattested		0					folded-miss
AdAyacara	ādāyacara	8399	2	AdAya + cara	ādāya + cara	unattested		0					folded-miss
AdaGna	ādaghna	8376	2	As + daGna	ās + daghna	unattested		0					folded-miss
Adi	ādi	66365	2	A + Adi	ā + ādi	prefix-evidence		176					folded-miss
AdvAdaSam	ādvādaśam	8491	2	A + dvAdaSan	ā + dvādaśan	unattested		0					folded-miss
Adyanta	ādyanta	66418	2	Adi + anta	ādi + anta	prefix-evidence		13					folded-miss
Adyantavant	ādyantavant	8484	2	Adi + anta	ādi + anta	prefix-evidence		3					folded-miss
AgamApAyin	āgamāpāyin	66148	2	Agama + apAya	āgama + apāya	prefix-evidence		1					folded-miss
AgavIna	āgavīna	7953	2	A + go	ā + go	unattested		0					folded-miss
AgneyAstra	āgneyāstra	66168	2	Agneya + astra	āgneya + astra	unattested		0					folded-miss
AharaRIkar	āharaṇīkar	9875	2	AharaRa + kar	āharaṇa + kar	unattested		0					folded-miss
AharakarawA	āharakaraṭā	9873	2	Ahara + karawa	āhara + karaṭa	unattested		0					folded-miss
AhutIvfD	āhutīvṛdh	9906	2	Ahuti + vfD	āhuti + vṛdh	unattested		0					folded-miss
AjIvam	ājīvam	66232	2	A + jIva	ā + jīva	prefix-evidence		1					folded-miss
AjYAKya	ājñākhya	66238	2	AjYA + AKyA	ājñā + ākhyā	prefix-evidence		1					folded-miss
Ajarasam	ājarasam	8114	2	A + jaras	ā + jaras	unattested		0					folded-miss
Ajyanta	ājyanta	8156	2	Aji + anta	āji + anta	unattested		0					folded-miss
AkAla	ākāla	7807	2	A + kAla	ā + kāla	unattested		0					folded-miss
AkAlika	ākālika	66061	2	A + kAla	ā + kāla	prefix-evidence		1					folded-miss
AkAra	ākāra	7802	2	A + kAra	ā + kāra	prefix-evidence		10					folded-miss
AkIm	ākīm	7832	2	A + kIm	ā + kīm	unattested		0					folded-miss
AkarRay	ākarṇay	7777	2	A + karRa	ā + karṇa	unattested		0					folded-miss
Akenipa	ākenipa	7854	2	Ake + nipa	āke + nipa	unattested		0					folded-miss
AkulIBU	ākulībhū	7842	2	Akula + BU	ākula + bhū	unattested		0					folded-miss
AkulIkar	ākulīkar	7841	2	Akula + kar	ākula + kar	unattested		0					folded-miss
AkzArAnta	ākṣārānta	66107	2	AkzAra + anta	ākṣāra + anta	unattested		0					folded-miss
AlAkta	ālākta	9376	2	Ala + akta	āla + akta	unattested		0					folded-miss
AlAsya	ālāsya	9387	2	Ala + Asya	āla + āsya	unattested		0					folded-miss
AlAvarta	ālāvarta	9386	2	Ala + Avarta	āla + āvarta	unattested		0					folded-miss
AliNg	āliṅg	9394	2	A + liNga	ā + liṅga	prefix-evidence		2					folded-miss
Alola	ālola	9425	2	A + lola	ā + lola	prefix-evidence		1					folded-miss
AmASaya	āmāśaya	8940	2	Ama + ASaya	āma + āśaya	prefix-evidence		3					folded-miss
AmAd	āmād	8937	2	Ama + ad	āma + ad	prefix-evidence		2					folded-miss
AmUlam	āmūlam	66682	2	A + mUla	ā + mūla	unattested		0					folded-miss
Amandra	āmandra	8917	2	A + mandra	ā + mandra	unattested		0					folded-miss
AmapAtra	āmapātra	8918	2	Ama + pAtra	āma + pātra	prefix-evidence		3					folded-miss
AmavAta	āmavāta	8932	2	Ama + vAta	āma + vāta	prefix-evidence		2					folded-miss
AmbazWa	āmbaṣṭha	8981	2	Amba + sTa	āmba + stha	unattested		0					folded-miss
AmiSla	āmiśla	8947	2	A + miSla	ā + miśla	unattested		0					folded-miss
AmrAvarta	āmrāvarta	8997	2	Amra + Avarta	āmra + āvarta	unattested		0					folded-miss
AmraganDaka	āmragandhaka	8989	2	Amra + ganDa	āmra + gandha	unattested		0					folded-miss
Amragupta	āmragupta	8990	2	Amra + gupta	āmra + gupta	unattested		0					folded-miss
AmuKa	āmukha	8956	2	A + muKa	ā + mukha	unattested		0					folded-miss
AnIla	ānīla	66508	2	A + nIla	ā + nīla	prefix-evidence		2					folded-miss
Anamra	ānamra	66495	2	A + namra	ā + namra	unattested		0					folded-miss
Antam	āntam	8685	2	A + anta	ā + anta	unattested		0					folded-miss
ApIta	āpīta	8776	2	A + pIta	ā + pīta	prefix-evidence		5					folded-miss
ApaTi	āpathi	8731	2	A + paTi	ā + pathi	unattested		0					folded-miss
ApatkAlika	āpatkālika	8728	2	Apad + kAla	āpad + kāla	unattested		0					folded-miss
AprAvfzam	āprāvṛṣam	8820	2	A + prAvfz	ā + prāvṛṣ	unattested		0					folded-miss
Apradivam	āpradivam	8816	2	A + pradiva	ā + pradiva	unattested		0					folded-miss
AptaBAva	āptabhāva	66591	2	Apta + BAva	āpta + bhāva	unattested		0					folded-miss
ArAgra	ārāgra	9143	2	ArA + agra	ārā + agra	prefix-evidence		1					folded-miss
ArAtrika	ārātrika	9152	2	A + rAtri	ā + rātri	unattested		0					folded-miss
ArAvalI	ārāvalī	9167	2	ArA + AvalI	ārā + āvalī	unattested		0					folded-miss
Arakta	ārakta	9098	2	A + rakta	ā + rakta	prefix-evidence		11					folded-miss
ArdraBAva	ārdrabhāva	66827	2	Ardra + BAva	ārdra + bhāva	prefix-evidence		1					folded-miss
ArdrapawI	ārdrapaṭī	66826	2	Ardra + pawa	ārdra + paṭa	unattested		0					folded-miss
AreaGa	āreagha	9201	2	Are + aGa	āre + agha	unattested		0					folded-miss
Arkam	ārkam	66806	2	A + arka	ā + arka	unattested		0					folded-miss
AryaliNgin	āryaliṅgin	9317	2	Arya + liNga	ārya + liṅga	unattested		0					folded-miss
AspAtra	āspātra	9827	2	As + pAtra	ās + pātra	unattested		0					folded-miss
Aspada	āspada	9826	2	A + pada	ā + pada	unattested		0					folded-miss
AsvadIya	āsvadīya	67099	2	A + svad	ā + svad	unattested		0					folded-miss
AsyaMDaya	āsyaṃdhaya	9840	2	Asyam + Daya	āsyam + dhaya	unattested		0					folded-miss
AtAmra	ātāmra	66280	2	A + tAmra	ā + tāmra	prefix-evidence		5					folded-miss
Atapodaka	ātapodaka	66276	2	Atapa + udaka	ātapa + udaka	unattested		0					folded-miss
AtatIkaraRa	ātatīkaraṇa	66273	2	Atata + kar	ātata + kar	unattested		0					folded-miss
AtmIBAva	ātmībhāva	8357	2	Atman + BU	ātman + bhū	unattested		0					folded-miss
AtmaMBari	ātmaṃbhari	8333	2	Atmam + Bari	ātmam + bhari	unattested		0					folded-miss
AtmakAma	ātmakāma	8284	2	Atman + kAma	ātman + kāma	prefix-evidence		2					folded-miss
AtmaneBAzA	ātmanebhāṣā	8314	2	Atmane + BAzA	ātmane + bhāṣā	unattested		0					folded-miss
Atmanepada	ātmanepada	8312	2	Atmane + pada	ātmane + pada	unattested		0					folded-miss
Atmapa	ātmapa	66310	2	Atman + pa	ātman + pa	prefix-evidence		7					folded-miss
Atmatantra	ātmatantra	66300	2	Atman + tantra	ātman + tantra	unattested		0					folded-miss
Atmayoga	ātmayoga	66323	2	Atman + yoga	ātman + yoga	prefix-evidence		2					folded-miss
Attamanaska	āttamanaska	8279	2	Atta + manas	ātta + manas	unattested		0					folded-miss
Atuc	ātuc	8267	2	A + tuc	ā + tuc	unattested		0					folded-miss
AvasAyin	āvasāyin	9464	2	Avasa + Ayin	āvasa + āyin	unattested		0					folded-miss
AvikasOtrika	āvikasautrika	9481	2	Avika + sUtra	āvika + sūtra	unattested		0					folded-miss
AvirBUti	āvirbhūti	66945	2	Avis + BU	āvis + bhū	unattested		0					folded-miss
Avirhotra	āvirhotra	66947	2	Avis + hotra	āvis + hotra	unattested		0					folded-miss
AvirmuKa	āvirmukha	66946	2	Avis + muKa	āvis + mukha	unattested		0					folded-miss
Avya	āvya	66966	2	A + vI	ā + vī	unattested		0					folded-miss
Avyakta	āvyakta	66967	2	A + vyakta	ā + vyakta	unattested		0					folded-miss
Avyuzam	āvyuṣam	9531	2	A + vyuza	ā + vyuṣa	unattested		0					folded-miss
AwImuKa	āṭīmukha	8182	2	Awi + muKa	āṭi + mukha	unattested		0					folded-miss
AyadvAra	āyadvāra	66699	2	Aya + dvAra	āya + dvāra	unattested		0					folded-miss
Ayadvasu	āyadvasu	9023	2	Ayant + vasu	āyant + vasu	unattested		0					folded-miss
AyatastU	āyatastū	9014	2	Ayata + stU	āyata + stū	unattested		0					folded-miss
AyuHSeza	āyuḥśeṣa	66723	2	Ayus + Seza	āyus + śeṣa	unattested		0					folded-miss
AyurdA	āyurdā	66720	2	Ayus + dA	āyus + dā	attested	āyurdā	0	āyus da	2	16	0	exact
AyurdAya	āyurdāya	66721	2	Ayus + dAya	āyus + dāya	unattested		0					folded-miss
Ayurdad	āyurdad	9062	2	Ayus + dad	āyus + dad	unattested		0					folded-miss
Ayuzak	āyuṣak	9074	2	Ayu + sac	āyu + sac	unattested		0					folded-miss
AyuzkAma	āyuṣkāma	9076	2	Ayus + kAma	āyus + kāma	unattested		0					folded-miss
Ayuzwoma	āyuṣṭoma	9078	2	Ayus + stoma	āyus + stoma	unattested		0					folded-miss
BAMSa	bhāṃśa	54390	2	Ba + aMSa	bha + aṃśa	unattested		0					folded-miss
BARasTAna	bhāṇasthāna	54492	2	BARa + sTAna	bhāṇa + sthāna	unattested		0					folded-miss
BAgArha	bhāgārha	54444	2	BArga + arha	bhārga + arha	prefix-evidence		1					folded-miss
BAgIkar	bhāgīkar	54449	2	BAga + kar	bhāga + kar	unattested		0					folded-miss
BAgaBAj	bhāgabhāj	54414	2	BAga + BAj	bhāga + bhāj	prefix-evidence		1					folded-miss
BAgaBuj	bhāgabhuj	54415	2	BAga + Buj	bhāga + bhuj	unattested		0					folded-miss
BAgaDa	bhāgadha	54411	2	BAga + Da	bhāga + dha	unattested		0					folded-miss
BAgaDeya	bhāgadheya	54412	2	BAga + Deya	bhāga + dheya	unattested		0					folded-miss
BAgaMjaya	bhāgaṃjaya	54407	2	BAgam + jaya	bhāgam + jaya	unattested		0					folded-miss
BAgaRa	bhāgaṇa	54408	2	BA + gaRa	bhā + gaṇa	unattested		0					folded-miss
BAgadA	bhāgadā	54409	2	BAga + dA	bhāga + dā	unattested		0					folded-miss
BAgaduGa	bhāgadugha	54410	2	BAga + duGa	bhāga + dugha	unattested		0					folded-miss
BAgahAra	bhāgahāra	54439	2	BAga + hAra	bhāga + hāra	unattested		0					folded-miss
BAgahara	bhāgahara	54438	2	BAga + hara	bhāga + hara	unattested		0					folded-miss
BAgamuKa	bhāgamukha	54417	2	BAga + muKa	bhāga + mukha	unattested		0					folded-miss
BAjanIBUta	bhājanībhūta	54470	2	BAjana + BUta	bhājana + bhūta	unattested		0					folded-miss
BAkUwa	bhākūṭa	54396	2	BA + kUwa	bhā + kūṭa	unattested		0					folded-miss
BAkoSa	bhākośa	54397	2	BA + koSa	bhā + kośa	unattested		0					folded-miss
BAlANka	bhālāṅka	54675	2	BAla + aNka	bhāla + aṅka	unattested		0					folded-miss
BAladfS	bhāladṛś	54670	2	BAla + dfS	bhāla + dṛś	unattested		0					folded-miss
BAlakft	bhālakṛt	54667	2	BAla + kft	bhāla + kṛt	unattested		0					folded-miss
BAmanI	bhāmanī	54571	2	BAma + nI	bhāma + nī	unattested		0					folded-miss
BAnemi	bhānemi	54561	2	BA + nemi	bhā + nemi	unattested		0					folded-miss
BAnuBawwa	bhānubhaṭṭa	54550	2	BAnu + Bawwa	bhānu + bhaṭṭa	unattested		0					folded-miss
BAnuPalA	bhānuphalā	54549	2	BAnu + Pala	bhānu + phala	unattested		0					folded-miss
BAnudatta	bhānudatta	54544	2	BAnu + datta	bhānu + datta	unattested		0					folded-miss
BAnudeva	bhānudeva	54547	2	BAnu + deva	bhānu + deva	unattested		0					folded-miss
BAnudina	bhānudina	54545	2	BAnu + dina	bhānu + dina	unattested		0					folded-miss
BAnuja	bhānuja	54542	2	BAnu + ja	bhānu + ja	unattested		0					folded-miss
BAnumatin	bhānumatin	54551	2	BAnu + mati	bhānu + mati	unattested		0					folded-miss
BAnumitra	bhānumitra	54554	2	BAnu + mitra	bhānu + mitra	unattested		0					folded-miss
BAnuraTa	bhānuratha	54555	2	BAnu + raTa	bhānu + ratha	unattested		0					folded-miss
BAnusena	bhānusena	54560	2	BAnu + senA	bhānu + senā	unattested		0					folded-miss
BAnuvAra	bhānuvāra	54559	2	BAnu + vAra	bhānu + vāra	unattested		0					folded-miss
BAnuvana	bhānuvana	54557	2	BAnu + vana	bhānu + vana	unattested		0					folded-miss
BArUpa	bhārūpa	54633	2	BA + rUpa	bhā + rūpa	unattested		0					folded-miss
BAraBft	bhārabhṛt	54604	2	BAra + Bft	bhāra + bhṛt	unattested		0					folded-miss
BArahAra	bhārahāra	54621	2	BAra + hAra	bhāra + hāra	attested	bhārahāraḥ	0	bhāra hāra	2	2	1	folded
BArahara	bhārahara	54620	2	BAra + hara	bhāra + hara	prefix-evidence		1					folded-miss
BArasaha	bhārasaha	54617	2	BAra + saha	bhāra + saha	prefix-evidence		1					folded-miss
BAravAh	bhāravāh	54610	2	BAra + vAh	bhāra + vāh	unattested		0					folded-miss
BAravAha	bhāravāha	54611	2	BAra + vAha	bhāra + vāha	unattested		0					folded-miss
BAravfkza	bhāravṛkṣa	54616	2	BAra + vfkza	bhāra + vṛkṣa	unattested		0					folded-miss
BArgavana	bhārgavana	54642	2	BArga + vana	bhārga + vana	unattested		0					folded-miss
