headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast
ArAtrika	ārātrika	9152	2	A + rAtri	ā + rātri
ArAvalI	ārāvalī	9167	2	ArA + AvalI	ārā + āvalī
Arakta	ārakta	9098	2	A + rakta	ā + rakta
ArdraBAva	ārdrabhāva	66827	2	Ardra + BAva	ārdra + bhāva
ArdrapawI	ārdrapaṭī	66826	2	Ardra + pawa	ārdra + paṭa
AreaGa	āreagha	9201	2	Are + aGa	āre + agha
Arkam	ārkam	66806	2	A + arka	ā + arka
AryaliNgin	āryaliṅgin	9317	2	Arya + liNga	ārya + liṅga
AspAtra	āspātra	9827	2	As + pAtra	ās + pātra
Aspada	āspada	9826	2	A + pada	ā + pada
AsvadIya	āsvadīya	67099	2	A + svad	ā + svad
AtAmra	ātāmra	66280	2	A + tAmra	ā + tāmra
Atapodaka	ātapodaka	66276	2	Atapa + udaka	ātapa + udaka
AtatIkaraRa	ātatīkaraṇa	66273	2	Atata + kar	ātata + kar
AtizWa	ātiṣṭha	8264	2	A + tizWa	ā + tiṣṭha
AtmIBAva	ātmībhāva	8357	2	Atman + BU	ātman + bhū
AtmakAma	ātmakāma	8284	2	Atman + kAma	ātman + kāma
AtmaneBAzA	ātmanebhāṣā	8314	2	Atmane + BAzA	ātmane + bhāṣā
Atmapa	ātmapa	66310	2	Atman + pa	ātman + pa
Atmatantra	ātmatantra	66300	2	Atman + tantra	ātman + tantra
Atmayoga	ātmayoga	66323	2	Atman + yoga	ātman + yoga
Attamanaska	āttamanaska	8279	2	Atta + manas	ātta + manas
Atuc	ātuc	8267	2	A + tuc	ā + tuc
AvikasOtrika	āvikasautrika	9481	2	Avika + sUtra	āvika + sūtra
AvirBUti	āvirbhūti	66945	2	Avis + BU	āvis + bhū
Avirhotra	āvirhotra	66947	2	Avis + hotra	āvis + hotra
AvirmuKa	āvirmukha	66946	2	Avis + muKa	āvis + mukha
Avya	āvya	66966	2	A + vI	ā + vī
Avyakta	āvyakta	66967	2	A + vyakta	ā + vyakta
Avyuzam	āvyuṣam	9531	2	A + vyuza	ā + vyuṣa
AwImuKa	āṭīmukha	8182	2	Awi + muKa	āṭi + mukha
AyadvAra	āyadvāra	66699	2	Aya + dvAra	āya + dvāra
AyatastU	āyatastū	9014	2	Ayata + stU	āyata + stū
AyuHSeza	āyuḥśeṣa	66723	2	Ayus + Seza	āyus + śeṣa
AyurdA	āyurdā	66720	2	Ayus + dA	āyus + dā
AyurdAya	āyurdāya	66721	2	Ayus + dAya	āyus + dāya
Ayurdad	āyurdad	9062	2	Ayus + dad	āyus + dad
Ayuzak	āyuṣak	9074	2	Ayu + sac	āyu + sac
AyuzkAma	āyuṣkāma	9076	2	Ayus + kAma	āyus + kāma
Ayuzwoma	āyuṣṭoma	9078	2	Ayus + stoma	āyus + stoma
BAMSa	bhāṃśa	54390	2	Ba + aMSa	bha + aṃśa
BARasTAna	bhāṇasthāna	54492	2	BARa + sTAna	bhāṇa + sthāna
BAgArha	bhāgārha	54444	2	BArga + arha	bhārga + arha
BAgIkar	bhāgīkar	54449	2	BAga + kar	bhāga + kar
BAgaBAj	bhāgabhāj	54414	2	BAga + BAj	bhāga + bhāj
BAgaBuj	bhāgabhuj	54415	2	BAga + Buj	bhāga + bhuj
BAgaDa	bhāgadha	54411	2	BAga + Da	bhāga + dha
BAgaDeya	bhāgadheya	54412	2	BAga + Deya	bhāga + dheya
BAgaMjaya	bhāgaṃjaya	54407	2	BAga + jaya	bhāga + jaya
BAgaRa	bhāgaṇa	54408	2	BA + gaRa	bhā + gaṇa
BAgadA	bhāgadā	54409	2	BAga + dA	bhāga + dā
BAgaduGa	bhāgadugha	54410	2	BAga + duGa	bhāga + dugha
BAgahAra	bhāgahāra	54439	2	BAga + hAra	bhāga + hāra
BAgahara	bhāgahara	54438	2	BAga + hara	bhāga + hara
BAgamuKa	bhāgamukha	54417	2	BAga + muKa	bhāga + mukha
BAjanIBUta	bhājanībhūta	54470	2	BAjana + BUta	bhājana + bhūta
BAlANka	bhālāṅka	54675	2	BAla + aNka	bhāla + aṅka
BAladfS	bhāladṛś	54670	2	BAla + dfS	bhāla + dṛś
BAlakft	bhālakṛt	54667	2	BAla + kft	bhāla + kṛt
BAmanI	bhāmanī	54571	2	BAma + nI	bhāma + nī
BAnuBawwa	bhānubhaṭṭa	54550	2	BAnu + Bawwa	bhānu + bhaṭṭa
BAnuPalA	bhānuphalā	54549	2	BAnu + Pala	bhānu + phala
BAnudatta	bhānudatta	54544	2	BAnu + datta	bhānu + datta
BAnudeva	bhānudeva	54547	2	BAnu + deva	bhānu + deva
BAnudina	bhānudina	54545	2	BAnu + dina	bhānu + dina
BAnuja	bhānuja	54542	2	BAnu + ja	bhānu + ja
BAnumatin	bhānumatin	54551	2	BAnu + mati	bhānu + mati
BAnumitra	bhānumitra	54554	2	BAnu + mitra	bhānu + mitra
BAnuraTa	bhānuratha	54555	2	BAnu + raTa	bhānu + ratha
BAnusena	bhānusena	54560	2	BAnu + senA	bhānu + senā
BAnuvAra	bhānuvāra	54559	2	BAnu + vAra	bhānu + vāra
BAnuvana	bhānuvana	54557	2	BAnu + vana	bhānu + vana
BAraBft	bhārabhṛt	54604	2	BAra + Bft	bhāra + bhṛt
BArahAra	bhārahāra	54621	2	BAra + hAra	bhāra + hāra
BArahara	bhārahara	54620	2	BAra + hara	bhāra + hara
BArasaha	bhārasaha	54617	2	BAra + saha	bhāra + saha
BAravAh	bhāravāh	54610	2	BAra + vAh	bhāra + vāh
BAravAha	bhāravāha	54611	2	BAra + vAha	bhāra + vāha
BAravfkza	bhāravṛkṣa	54616	2	BAra + vfkza	bhāra + vṛkṣa
BArgavana	bhārgavana	54642	2	BArga + vana	bhārga + vana
BArodvaha	bhārodvaha	54634	2	BAra + udvaha	bhāra + udvaha
BAryADikArika	bhāryādhikārika	54659	2	BAryA + aDikAra	bhāryā + adhikāra
BAryAwa	bhāryāṭa	54656	2	BAryA + Awa	bhāryā + āṭa
BAryAwika	bhāryāṭika	54657	2	BAryA + Awa	bhāryā + āṭa
BAsakarRa	bhāsakarṇa	54783	2	BAsa + karRa	bhāsa + karṇa
BAskara	bhāskara	54798	2	BAs + kara	bhās + kara
BAvAtmaka	bhāvātmaka	54739	2	BAva + Atman	bhāva + ātman
BAvAva	bhāvāva	54743	2	BAva + ava	bhāva + ava
BAvamiSra	bhāvamiśra	54720	2	BAva + miSra	bhāva + miśra
BAvanATa	bhāvanātha	54705	2	BAva + nATa	bhāva + nātha
BAvapAda	bhāvapāda	54713	2	BAva + pAda	bhāva + pāda
BAvarUpa	bhāvarūpa	54726	2	BAva + rUpa	bhāva + rūpa
BAvavftta	bhāvavṛtta	54731	2	BAva + vftta	bhāva + vṛtta
BAzyakAra	bhāṣyakāra	54774	2	BAzya + kAra	bhāṣya + kāra
BAzyakft	bhāṣyakṛt	54775	2	BAzya + kft	bhāṣya + kṛt
BAzyawIkA	bhāṣyaṭīkā	54776	2	BAzya + wIkA	bhāṣya + ṭīkā
BEkzAnna	bhaikṣānna	55765	2	BEkza + anna	bhaikṣa + anna
BEkzaBuj	bhaikṣabhuj	55762	2	BEkza + Buj	bhaikṣa + bhuj
BEraveSa	bhairaveśa	55789	2	BErava + ISa	bhairava + īśa
BEravendra	bhairavendra	55788	2	BErava + indra	bhairava + indra
BIkara	bhīkara	54940	2	BI + kara	bhī + kara
BImAdeva	bhīmādeva	54989	2	BImA + deva	bhīmā + deva
BImaBawwa	bhīmabhaṭṭa	54967	2	BIma + Bawwa	bhīma + bhaṭṭa
BImaSAha	bhīmaśāha	54981	2	BIma + SAha	bhīma + śāha
BImaSara	bhīmaśara	54979	2	BIma + Sara	bhīma + śara
BImabala	bhīmabala	54966	2	BIma + bala	bhīma + bala
BImagava	bhīmagava	54950	2	BIma + gava	bhīma + gava
BImagupta	bhīmagupta	54951	2	BIma + gupta	bhīma + gupta
BImajAnu	bhīmajānu	54953	2	BIma + jAnu	bhīma + jānu
BImamuKa	bhīmamukha	54968	2	BIma + muKa	bhīma + mukha
BImanAda	bhīmanāda	54959	2	BIma + nAda	bhīma + nāda
BImapAla	bhīmapāla	54964	2	BIma + pAla	bhīma + pāla
BImaraTa	bhīmaratha	54971	2	BIma + raTa	bhīma + ratha
BImasena	bhīmasena	54984	2	BIma + senA	bhīma + senā
BImavega	bhīmavega	54976	2	BIma + vega	bhīma + vega
BImavikrama	bhīmavikrama	54974	2	BIma + vi	bhīma + vi
BImeSa	bhīmeśa	54990	2	BIma + ISa	bhīma + īśa
BImodarI	bhīmodarī	54994	2	BIma + udara	bhīma + udara
BIrupattrI	bhīrupattrī	55004	2	BIru + pattra	bhīru + pattra
BIrusattva	bhīrusattva	55008	2	BIru + sattva	bhīru + sattva
BIruzWAna	bhīruṣṭhāna	55007	2	BIru + sTAna	bhīru + sthāna
BIzidAsa	bhīṣidāsa	55019	2	Bizi + dAsa	bhiṣi + dāsa
BIzmaratna	bhīṣmaratna	55025	2	BIzma + ratna	bhīṣma + ratna
BIzmasU	bhīṣmasū	55026	2	BIzma + sU	bhīṣma + sū
BOmaratna	bhaumaratna	55921	2	BOma + ratna	bhauma + ratna
BOmavAra	bhaumavāra	55922	2	BOma + vAra	bhauma + vāra
BOvAdika	bhauvādika	55936	2	BU + Adi	bhū + ādi
BUBAga	bhūbhāga	55391	2	BU + BAga	bhū + bhāga
BUBawa	bhūbhaṭa	55389	2	BU + Bawa	bhū + bhaṭa
BUBft	bhūbhṛt	55393	2	BU + Bft	bhū + bhṛt
BUBuj	bhūbhuj	55392	2	BU + Buj	bhū + bhuj
BUDana	bhūdhana	55356	2	BU + Dana	bhū + dhana
BUDara	bhūdhara	55357	2	BU + Dara	bhū + dhara
BUGana	bhūghana	55194	2	BU + Gana	bhū + ghana
BUKaRqa	bhūkhaṇḍa	55186	2	BU + KaRqa	bhū + khaṇḍa
BUSakra	bhūśakra	55581	2	BU + Sakra	bhū + śakra
BUSaya	bhūśaya	55583	2	BU + Saya	bhū + śaya
BUSelu	bhūśelu	55587	2	BU + Selu	bhū + śelu
BUcakra	bhūcakra	55195	2	BU + cakra	bhū + cakra
BUcara	bhūcara	55196	2	BU + cara	bhū + cara
BUdeva	bhūdeva	55354	2	BU + deva	bhū + deva
BUgarBa	bhūgarbha	55190	2	BU + garBa	bhū + garbha
BUgara	bhūgara	55189	2	BU + gara	bhū + gara
BUgata	bhūgata	55188	2	BU + gata	bhū + gata
BUgeha	bhūgeha	55192	2	BU + geha	bhū + geha
BUgfha	bhūgṛha	55191	2	BU + gfha	bhū + gṛha
BUgola	bhūgola	55193	2	BU + gola	bhū + gola
BUjantu	bhūjantu	55198	2	BU + jantu	bhū + jantu
BUkAka	bhūkāka	55180	2	BU + kAka	bhū + kāka
BUkanda	bhūkanda	55172	2	BU + kanda	bhū + kanda
BUkarRa	bhūkarṇa	55175	2	BU + karRa	bhū + karṇa
BUkeSa	bhūkeśa	55183	2	BU + keSa	bhū + keśa
BUkzit	bhūkṣit	55184	2	BU + kzit	bhū + kṣit
BUliNgA	bhūliṅgā	55574	2	BU + liNga	bhū + liṅga
BUloka	bhūloka	55577	2	BU + loka	bhū + loka
BUmituRqika	bhūmituṇḍika	55427	2	BUmi + tuRqi	bhūmi + tuṇḍi
BUnAga	bhūnāga	55364	2	BU + nAga	bhū + nāga
BUnIpa	bhūnīpa	55366	2	BU + nIpa	bhū + nīpa
BUpAla	bhūpāla	55378	2	BU + pAla	bhū + pāla
BUpa	bhūpa	55368	2	BU + pa	bhū + pa
BUpada	bhūpada	55371	2	BU + pada	bhū + pada
BUpaputra	bhūpaputra	55372	2	BUpa + putra	bhūpa + putra
BUpasuta	bhūpasuta	55376	2	BUpa + suta	bhūpa + suta
BUpezwa	bhūpeṣṭa	55385	2	BUpa + izwa	bhūpa + iṣṭa
BUpura	bhūpura	55384	2	BU + pura	bhū + pura
BUputra	bhūputra	55382	2	BU + putra	bhū + putra
BUrBuva	bhūrbhuva	55564	2	BUr + Buva	bhūr + bhuva
BUrloka	bhūrloka	55571	2	BUr + loka	bhūr + loka
BUruh	bhūruh	55558	2	BU + ruh	bhū + ruh
BUryakza	bhūryakṣa	55568	2	BUri + akza	bhūri + akṣa
BUsTa	bhūstha	55603	2	BU + sTa	bhū + stha
BUspfS	bhūspṛś	55604	2	BU + spfS	bhū + spṛś
BUstfRa	bhūstṛṇa	55602	2	BU + stfRa	bhū + stṛṇa
BUsura	bhūsura	55601	2	BU + sura	bhū + sura
BUsuta	bhūsuta	55600	2	BU + suta	bhū + suta
BUsvarga	bhūsvarga	55605	2	BU + svarga	bhū + svarga
BUtAMSa	bhūtāṃśa	55297	2	BUta + aMSa	bhūta + aṃśa
BUtArTa	bhūtārtha	55309	2	BUta + arTa	bhūta + artha
BUtArma	bhūtārma	55310	2	BUta + arma	bhūta + arma
BUtArta	bhūtārta	55308	2	BUta + Arta	bhūta + ārta
BUtAtmaka	bhūtātmaka	55299	2	BUta + Atman	bhūta + ātman
BUtAvizwa	bhūtāviṣṭa	55313	2	BUta + A	bhūta + ā
BUtaBft	bhūtabhṛt	55247	2	BUta + Bft	bhūta + bhṛt
BUtaGna	bhūtaghna	55215	2	BUta + Gna	bhūta + ghna
BUtadruh	bhūtadruh	55225	2	BUta + druh	bhūta + druh
BUtagaRa	bhūtagaṇa	55212	2	BUta + gaRa	bhūta + gaṇa
BUtaganDA	bhūtagandhā	55213	2	BUta + ganDa	bhūta + gandha
BUtagrAma	bhūtagrāma	55214	2	BUta + grAma	bhūta + grāma
BUtahara	bhūtahara	55295	2	BUta + hara	bhūta + hara
BUtakAla	bhūtakāla	55204	2	BUta + kAla	bhūta + kāla
BUtakeSa	bhūtakeśa	55208	2	BUta + keSa	bhūta + keśa
BUtakesarA	bhūtakesarā	55209	2	BUta + kesara	bhūta + kesara
BUtaketu	bhūtaketu	55207	2	BUta + ketu	bhūta + ketu
BUtakft	bhūtakṛt	55206	2	BUta + kft	bhūta + kṛt
BUtanATa	bhūtanātha	55230	2	BUta + nATa	bhūta + nātha
BUtapAla	bhūtapāla	55236	2	BUta + pAla	bhūta + pāla
BUtapUrva	bhūtapūrva	55240	2	BUta + pUrva	bhūta + pūrva
BUtapattrI	bhūtapattrī	55235	2	BUta + pattra	bhūta + pattra
BUtapura	bhūtapura	55237	2	BUta + pura	bhūta + pura
BUtapuzpa	bhūtapuṣpa	55238	2	BUta + puzpa	bhūta + puṣpa
BUtarAj	bhūtarāj	55259	2	BUta + rAj	bhūta + rāj
BUtarUpa	bhūtarūpa	55260	2	BUta + rUpa	bhūta + rūpa
BUtaraya	bhūtaraya	55258	2	BUta + raya	bhūta + raya
BUtasAra	bhūtasāra	55289	2	BUta + sAra	bhūta + sāra
BUtasTAna	bhūtasthāna	55292	2	BUta + sTAna	bhūta + sthāna
BUtasTa	bhūtastha	55291	2	BUta + sTa	bhūta + stha
BUtasaMGa	bhūtasaṃgha	55281	2	BUta + saMGa	bhūta + saṃgha
BUtasarga	bhūtasarga	55286	2	BUta + sarga	bhūta + sarga
BUtavAsa	bhūtavāsa	55267	2	BUta + vAsa	bhūta + vāsa
BUtavIra	bhūtavīra	55275	2	BUta + vIra	bhūta + vīra
BUtavarga	bhūtavarga	55266	2	BUta + varga	bhūta + varga
BUtavezI	bhūtaveṣī	55277	2	BUta + veza	bhūta + veṣa
BUtavid	bhūtavid	55271	2	BUta + vid	bhūta + vid
BUtayajYa	bhūtayajña	55256	2	BUta + yajYa	bhūta + yajña
BUteSa	bhūteśa	55342	2	BUta + ISa	bhūta + īśa
BUtejya	bhūtejya	55340	2	BUta + ijyA	bhūta + ijyā
BUtfRa	bhūtṛṇa	55338	2	BU + tfRa	bhū + tṛṇa
BUvAh	bhūvāh	55580	2	BU + vAh	bhū + vāh
BUyarUpa	bhūyarūpa	55488	2	BUyas + rUpa	bhūyas + rūpa
BUyaskara	bhūyaskara	55490	2	BUyaMs + kara	bhūyaṃs + kara
BUyaskft	bhūyaskṛt	55491	2	BUyaMs + kft	bhūyaṃs + kṛt
BUyovidya	bhūyovidya	55499	2	BUyaMs + vidyA	bhūyaṃs + vidyā
BaNgakara	bhaṅgakara	53839	2	BaNga + kara	bhaṅga + kara
BaNgasArTa	bhaṅgasārtha	53842	2	BaNga + sArTa	bhaṅga + sārtha
BaNgavAsA	bhaṅgavāsā	53840	2	BaNga + vAsa	bhaṅga + vāsa
BaNgurIkar	bhaṅgurīkar	121325	2	BaNgura + kar	bhaṅgura + kar
Bacakra	bhacakra	53861	2	Ba + cakra	bha + cakra
Badatta	bhadatta	80082	2	Ba + datta	bha + datta
BadrANga	bhadrāṅga	54074	2	Badra + aNga	bhadra + aṅga
BadrASva	bhadrāśva	54087	2	Badra + aSva	bhadra + aśva
BadrAha	bhadrāha	54089	2	Badra + aha	bhadra + aha
BadrAkar	bhadrākar	54072	2	Badra + kar	bhadra + kar
BadrAkza	bhadrākṣa	80096	2	Badra + akza	bhadra + akṣa
BadrAvakASA	bhadrāvakāśā	54082	2	Badra + avakASa	bhadra + avakāśa
BadraBUzaRA	bhadrabhūṣaṇā	54021	2	Badra + BUzaRa	bhadra + bhūṣaṇa
BadraBuja	bhadrabhuja	54020	2	Badra + Buja	bhadra + bhuja
BadraSAKa	bhadraśākha	54054	2	Badra + SAKA	bhadra + śākhā
BadraSIla	bhadraśīla	54056	2	Badra + SIla	bhadra + śīla
BadraSreRya	bhadraśreṇya	54064	2	Badra + SreRi	bhadra + śreṇi
BadraSriya	bhadraśriya	54061	2	Badra + SrI	bhadra + śrī
BadraSrut	bhadraśrut	54063	2	Badra + Srut	bhadra + śrut
BadrabAhu	bhadrabāhu	54018	2	Badra + bAhu	bhadra + bāhu
BadracAru	bhadracāru	53993	2	Badra + cAru	bhadra + cāru
BadracUqa	bhadracūḍa	53994	2	Badra + cUqA	bhadra + cūḍā
BadradAru	bhadradāru	54003	2	Badra + dAru	bhadra + dāru
BadradantikA	bhadradantikā	54002	2	Badra + danta	bhadra + danta
Badradeha	bhadradeha	54004	2	Badra + deha	bhadra + deha
BadradvIpa	bhadradvīpa	54005	2	Badra + dvIpa	bhadra + dvīpa
BadragOra	bhadragaura	53990	2	Badra + gOra	bhadra + gaura
BadraganDikA	bhadragandhikā	53989	2	Badra + ganDa	bhadra + gandha
Badrahasta	bhadrahasta	54071	2	Badra + hasta	bhadra + hasta
Badraja	bhadraja	53995	2	Badra + ja	bhadra + ja
Badrajaya	bhadrajaya	53996	2	Badra + jaya	bhadra + jaya
BadrakAra	bhadrakāra	53981	2	Badra + kAra	bhadra + kāra
Badrakalpa	bhadrakalpa	53979	2	Badra + kalpa	bhadra + kalpa
BadrakarRikA	bhadrakarṇikā	53977	2	Badra + karRa	bhadra + karṇa
Badrakft	bhadrakṛt	53987	2	Badra + kft	bhadra + kṛt
Badramanda	bhadramanda	54023	2	Badra + manda	bhadra + manda
Badramfga	bhadramṛga	54030	2	Badra + mfga	bhadra + mṛga
BadramuKa	bhadramukha	54027	2	Badra + muKa	bhadra + mukha
BadramuYja	bhadramuñja	54028	2	Badra + muYja	bhadra + muñja
Badramusta	bhadramusta	54029	2	Badra + musta	bhadra + musta
BadranAman	bhadranāman	54006	2	Badra + nAman	bhadra + nāman
BadraniDi	bhadranidhi	54008	2	Badra + niDi	bhadra + nidhi
BadrapAla	bhadrapāla	54013	2	Badra + pAla	bhadra + pāla
BadrapIWa	bhadrapīṭha	54015	2	Badra + pIWa	bhadra + pīṭha
Badrapada	bhadrapada	54009	2	Badra + pada	bhadra + pada
BadraparRA	bhadraparṇā	54010	2	Badra + parRa	bhadra + parṇa
Badrapura	bhadrapura	54014	2	Badra + pura	bhadra + pura
BadrarUpA	bhadrarūpā	54036	2	Badra + rUpa	bhadra + rūpa
BadraraTa	bhadraratha	54034	2	Badra + raTa	bhadra + ratha
BadrareRu	bhadrareṇu	54037	2	Badra + reRu	bhadra + reṇu
BadrasAra	bhadrasāra	54067	2	Badra + sAra	bhadra + sāra
Badrasena	bhadrasena	54069	2	Badra + senA	bhadra + senā
BadrasomA	bhadrasomā	54070	2	Badra + soma	bhadra + soma
BadratuNga	bhadratuṅga	54000	2	Badra + tuNga	bhadra + tuṅga
BadravAc	bhadravāc	54045	2	Badra + vAc	bhadra + vāc
Badravawa	bhadravaṭa	54039	2	Badra + vawa	bhadra + vaṭa
BadravrAta	bhadravrāta	54052	2	Badra + vrAta	bhadra + vrāta
BadrayAna	bhadrayāna	54032	2	Badra + yAna	bhadra + yāna
Badrayava	bhadrayava	54031	2	Badra + yava	bhadra + yava
Badrayoga	bhadrayoga	54033	2	Badra + yoga	bhadra + yoga
BadreSa	bhadreśa	54093	2	Badra + ISa	bhadra + īśa
BadrodanI	bhadrodanī	54096	2	Badra + odana	bhadra + odana
BagIraTa	bhagīratha	53822	2	Bagin + raTa	bhagin + ratha
BagaBakta	bhagabhakta	53783	2	Baga + Bakta	bhaga + bhakta
BagaRa	bhagaṇa	53765	2	Ba + gaRa	bha + gaṇa
BagadA	bhagadā	53768	2	Baga + dA	bhaga + dā
BagadEvata	bhagadaivata	53771	2	Baga + dEvata	bhaga + daivata
Bagadatta	bhagadatta	53767	2	Baga + datta	bhaga + datta
Bagadeva	bhagadeva	53769	2	Baga + deva	bhaga + deva
Bagadevata	bhagadevata	53770	2	Baga + devatA	bhaga + devatā
Bagahan	bhagahan	53813	2	Baga + han	bhaga + han
BaganarAya	bhaganarāya	53773	2	Bagana + rAya	bhagana + rāya
Bagapura	bhagapura	53782	2	Baga + pura	bhaga + pura
Bagatti	bhagatti	53766	2	Baga + tti	bhaga + tti
BagavacCAstra	bhagavacchāstra	53786	2	Bagavant + SAstra	bhagavant + śāstra
BagavaddfSa	bhagavaddṛśa	53796	2	Bagavant + dfSa	bhagavant + dṛśa
Bagavaddruma	bhagavaddruma	53797	2	Bagavant + druma	bhagavant + druma
BagavadgItA	bhagavadgītā	53795	2	Bagavant + gItA	bhagavant + gītā
BagavadrAta	bhagavadrāta	80054	2	Bagavant + rAta	bhagavant + rāta
BagavatyaNga	bhagavatyaṅga	53792	2	BagavatI + aNga	bhagavatī + aṅga
BageSa	bhageśa	53824	2	Baga + ISa	bhaga + īśa
Bagnakrama	bhagnakrama	53828	2	Bagna + krama	bhagna + krama
BagnapfzWa	bhagnapṛṣṭha	53830	2	Bagna + pfzWa	bhagna + pṛṣṭha
BagnaprakramatA	bhagnaprakramatā	80061	2	Bagna + prakrama	bhagna + prakrama
BagnasaMDika	bhagnasaṃdhika	53832	2	Bagna + saMDi	bhagna + saṃdhi
Bagola	bhagola	53825	2	Ba + gola	bha + gola
