headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast
ABerI	ābherī	8890	2	A + BerI	ā + bherī
ABogaya	ābhogaya	8892	2	A + Boga	ā + bhoga
ADArarUpA	ādhārarūpā	66436	2	ADAra + rUpa	ādhāra + rūpa
ADIkaraRa	ādhīkaraṇa	66445	2	ADi + kar	ādhi + kar
ADijYa	ādhijña	8513	2	ADi + jYa	ādhi + jña
AGUrRa	āghūrṇa	66180	2	A + GUrRa	ā + ghūrṇa
AKuga	ākhuga	7910	2	AKu + ga	ākhu + ga
AMkfti	āṃkṛti	8023	2	Am + kfti	ām + kṛti
ASIrdA	āśīrdā	9591	2	ASis + dA	āśis + dā
ASIrgeya	āśīrgeya	9589	2	ASis + geya	āśis + geya
ASIrvAda	āśīrvāda	9593	2	ASis + vAda	āśis + vāda
ASarIram	āśarīram	66978	2	A + SarIra	ā + śarīra
ASirvAda	āśirvāda	9582	2	ASis + vAda	āśis + vāda
ASitaMBava	āśitaṃbhava	9574	2	ASita + Bava	āśita + bhava
ASitaMgavIna	āśitaṃgavīna	9573	2	ASita + go	āśita + go
ASrayASa	āśrayāśa	9654	2	ASraya + ASa	āśraya + āśa
ASutoza	āśutoṣa	66999	2	ASu + toza	āśu + toṣa
ASuzeRa	āśuṣeṇa	9612	2	ASu + senA	āśu + senā
ASvaSva	āśvaśva	9690	2	ASu + aSva	āśu + aśva
ASvapas	āśvapas	9678	2	ASu + apas	āśu + apas
AbAlam	ābālam	66611	2	A + bAla	ā + bāla
AbAlyam	ābālyam	66612	2	A + bAlya	ā + bālya
Abdam	ābdam	66614	2	A + abda	ā + abda
Abilam	ābilam	8843	2	A + bila	ā + bila
Abrahma	ābrahma	66615	2	A + brahman	ā + brahman
AcAracakrin	ācāracakrin	66201	2	AcAra + cakra	ācāra + cakra
AcArollAsa	ācārollāsa	8069	2	A + ullAsa	ā + ullāsa
Acaturam	ācaturam	8041	2	A + catvar	ā + catvar
AceSvara	āceśvara	8083	2	Aca + ISvara	āca + īśvara
AdaGna	ādaghna	8376	2	As + daGna	ās + daghna
Adi	ādi	66365	2	A + Adi	ā + ādi
AdvAdaSam	ādvādaśam	8491	2	A + dvAdaSan	ā + dvādaśan
Adyanta	ādyanta	66418	2	Adi + anta	ādi + anta
Adyantavant	ādyantavant	8484	2	Adi + anta	ādi + anta
AgamApAyin	āgamāpāyin	66148	2	Agama + apAya	āgama + apāya
AgavIna	āgavīna	7953	2	A + go	ā + go
AgneyAstra	āgneyāstra	66168	2	Agneya + astra	āgneya + astra
AharaRIkar	āharaṇīkar	9875	2	AharaRa + kar	āharaṇa + kar
AhutIvfD	āhutīvṛdh	9906	2	Ahuti + vfD	āhuti + vṛdh
AjIvam	ājīvam	66232	2	A + jIva	ā + jīva
AjYAKya	ājñākhya	66238	2	AjYA + AKyA	ājñā + ākhyā
Ajarasam	ājarasam	8114	2	A + jaras	ā + jaras
Ajyanta	ājyanta	8156	2	Aji + anta	āji + anta
AkAla	ākāla	7807	2	A + kAla	ā + kāla
AkAlika	ākālika	66061	2	A + kAla	ā + kāla
AkAra	ākāra	7802	2	A + kAra	ā + kāra
AkarRay	ākarṇay	7777	2	A + karRa	ā + karṇa
Akenipa	ākenipa	7854	2	Ake + nipa	āke + nipa
AkulIBU	ākulībhū	7842	2	Akula + BU	ākula + bhū
AkulIkar	ākulīkar	7841	2	Akula + kar	ākula + kar
AkzArAnta	ākṣārānta	66107	2	AkzAra + anta	ākṣāra + anta
AlAkta	ālākta	9376	2	Ala + akta	āla + akta
Alakzya	ālakṣya	9351	2	A + lakzya	ā + lakṣya
AliNg	āliṅg	9394	2	A + liNga	ā + liṅga
Alola	ālola	9425	2	A + lola	ā + lola
AmASaya	āmāśaya	8940	2	Ama + ASaya	āma + āśaya
AmAd	āmād	8937	2	Ama + ad	āma + ad
AmUlam	āmūlam	66682	2	A + mUla	ā + mūla
Amandra	āmandra	8917	2	A + mandra	ā + mandra
AmapAtra	āmapātra	8918	2	Ama + pAtra	āma + pātra
AmbazWa	āmbaṣṭha	8981	2	Amba + sTa	āmba + stha
AmiSla	āmiśla	8947	2	A + miSla	ā + miśla
AmrAvarta	āmrāvarta	8997	2	Amra + Avarta	āmra + āvarta
AmraganDaka	āmragandhaka	8989	2	Amra + ganDa	āmra + gandha
Amragupta	āmragupta	8990	2	Amra + gupta	āmra + gupta
AmuKa	āmukha	8956	2	A + muKa	ā + mukha
AnIla	ānīla	66508	2	A + nIla	ā + nīla
AnUkam	ānūkam	8671	2	A + anUkam	ā + anūkam
Anamra	ānamra	66495	2	A + namra	ā + namra
Antam	āntam	8685	2	A + anta	ā + anta
ApIta	āpīta	8776	2	A + pIta	ā + pīta
ApaTi	āpathi	8731	2	A + paTi	ā + pathi
ApatkAlika	āpatkālika	8728	2	Apad + kAla	āpad + kāla
AprAvfzam	āprāvṛṣam	8820	2	A + prAvfz	ā + prāvṛṣ
Apradivam	āpradivam	8816	2	A + pradiva	ā + pradiva
AptaBAva	āptabhāva	66591	2	Apta + BAva	āpta + bhāva
ArAgra	ārāgra	9143	2	ArA + agra	ārā + agra
